mode,pass,start_word,end_word,total_words_approx,source_words__childes,source_words__qwen_pair_packed,source_words__simple_wiki,source_words__open_subtitles,source_words__bnc_spoken,source_words__gutenberg,source_words__cleanqwen_fineweb_compact_view_reinvest,source_words__switchboard,source_words__neutral_cleanqwen_topup_compact_reinvest::open_subtitles
source_childes_taper_f55_d25,8,70000000,80000000,9999934,1901440,1807143,1155200,1995520,628160,2028160,462071,22240,
source_childes_taper_f55_d25,9,80000000,90000000,10000110,1794080,1831086,1170560,2021920,636480,2055040,468064,22880,
source_childes_taper_f55_d25,10,90000000,100000000,9999852,1709760,1849032,1181440,2041600,642240,2074880,472100,28800,
source_childes_taper_f55_d40,1,0,10000000,10000134,5307520,1047215,669440,1156320,364000,1175200,267790,12640,9
source_childes_taper_f55_d40,2,10000000,20000000,9999942,4024640,1333387,852320,1472320,463520,1496480,340946,16320,9
source_childes_taper_f55_d40,3,20000000,30000000,9999934,3164640,1525239,975040,1684160,530240,1711680,389886,19040,9
source_childes_taper_f55_d40,4,30000000,40000000,9999995,2588320,1653903,1057280,1826240,574880,1856160,422883,20320,9
source_childes_taper_f55_d40,5,40000000,50000000,10000151,2201920,1740192,1112320,1921440,604800,1952800,444901,21760,18
source_childes_taper_f55_d40,6,50000000,60000000,9999863,1942880,1797844,1149280,1985280,624960,2017760,459601,22240,18
source_childes_taper_f55_d40,7,60000000,70000000,9999984,1769280,1836623,1174080,2028000,638400,2061120,469583,22880,18
source_childes_taper_f55_d40,8,70000000,80000000,10000050,1652960,1862592,1190560,2056640,647360,2090400,476178,23360,
source_childes_taper_f55_d40,9,80000000,90000000,9999970,1574880,1879978,1201760,2076000,653440,2109920,480632,23360,
source_childes_taper_f55_d40,10,90000000,100000000,9999977,1521760,1891027,1208320,2088000,656800,2122080,482710,29280,
source_childes_taper_f55_d60,1,0,10000000,10000157,6657120,745991,476800,823680,259360,837120,190797,9280,9
source_childes_taper_f55_d60,2,10000000,20000000,9999885,4292480,1273581,814080,1406400,442720,1429280,325655,15680,9
source_childes_taper_f55_d60,3,20000000,30000000,10000008,2994720,1563126,999200,1726080,543360,1754240,399593,19680,9
source_childes_taper_f55_d60,4,30000000,40000000,10000051,2282560,1722083,1100800,1901600,598560,1932640,440190,21600,18
source_childes_taper_f55_d60,5,40000000,50000000,10000024,1891680,1809263,1156640,1997920,628960,2030560,462583,22400,18
source_childes_taper_f55_d60,6,50000000,60000000,10000030,1677120,1857210,1187200,2050720,645600,2084320,474802,23040,18
source_childes_taper_f55_d60,7,60000000,70000000,9999939,1559520,1883474,1204000,2079680,654720,2113760,481576,23200,9
source_childes_taper_f55_d60,8,70000000,80000000,10000021,1494880,1897823,1213120,2095680,659680,2129920,485238,23680,
source_childes_taper_f55_d60,9,80000000,90000000,9999956,1459360,1905847,1218240,2104320,662400,2138720,487229,23840,
source_childes_taper_f55_d60,10,90000000,100000000,9999929,1439360,1909602,1220320,2108320,663040,2143040,487447,28800,
source_childes_taper_f70_d15,1,0,10000000,10000055,3187520,1520245,971680,1678560,528480,1706080,388601,18880,9
source_childes_taper_f70_d15,2,10000000,20000000,9999995,2994560,1563200,999200,1726080,543360,1754400,399666,19520,9
source_childes_taper_f70_d15,3,20000000,30000000,9999980,2828480,1600320,1022880,1767040,556320,1796000,409091,19840,9
source_childes_taper_f70_d15,4,30000000,40000000,9999982,2685600,1632167,1043360,1802240,567360,1831680,417246,20320,9
source_childes_taper_f70_d15,5,40000000,50000000,10000107,2562560,1659583,1060960,1832640,576800,1862560,424346,20640,18
source_childes_taper_f70_d15,6,50000000,60000000,9999894,2456800,1683275,1076000,1858720,585120,1889120,430361,20480,18
source_childes_taper_f70_d15,7,60000000,70000000,10000053,2365600,1703592,1088960,1881120,592160,1911840,435483,21280,18
source_childes_taper_f70_d15,8,70000000,80000000,9999940,2287200,1721047,1100160,1900480,598240,1931520,440013,21280,
source_childes_taper_f70_d15,9,80000000,90000000,10000008,2219680,1736193,1109760,1917120,603520,1948480,443815,21440,
source_childes_taper_f70_d15,10,90000000,100000000,9999986,2160800,1748378,1117440,1930400,607040,1961920,446488,27520,
source_childes_taper_f70_d25,1,0,10000000,10000047,3664000,1413909,903840,1561280,491520,1586720,361489,17280,9
source_childes_taper_f70_d25,2,10000000,20000000,10000059,3252160,1505784,962560,1662720,523360,1689920,384986,18560,9
source_childes_taper_f70_d25,3,20000000,30000000,10000002,2931520,1577238,1008320,1741600,548320,1770080,403235,19680,9
source_childes_taper_f70_d25,4,30000000,40000000,10000013,2681760,1633012,1043840,1803200,567680,1832640,417552,20320,9
source_childes_taper_f70_d25,5,40000000,50000000,10000032,2487360,1676458,1071680,1851040,582720,1881440,428516,20800,18
source_childes_taper_f70_d25,6,50000000,60000000,9999994,2335840,1710302,1093280,1888480,594400,1919360,437194,21120,18
source_childes_taper_f70_d25,7,60000000,70000000,9999880,2217920,1736525,1110080,1917440,603680,1948800,443977,21440,18
source_childes_taper_f70_d25,8,70000000,80000000,9999986,2125920,1757008,1123200,1940160,610720,1971840,449218,21920,
source_childes_taper_f70_d25,9,80000000,90000000,10000051,2054400,1773051,1133440,1957760,616320,1989760,453240,22080,
source_childes_taper_f70_d25,10,90000000,100000000,9999936,1997920,1784713,1140160,1970720,619680,2003040,455703,28000,
source_childes_taper_f70_d40,1,0,10000000,10000027,4396640,1250435,799360,1380640,434720,1403200,319663,15360,9
source_childes_taper_f70_d40,2,10000000,20000000,10000054,3541440,1441255,921280,1591360,500960,1617440,368390,17920,9
source_childes_taper_f70_d40,3,20000000,30000000,9999950,2968160,1569192,1003040,1732640,545440,1760960,401149,19360,9
source_childes_taper_f70_d40,4,30000000,40000000,9999985,2583840,1654862,1057920,1827360,575200,1857280,423034,20480,9
source_childes_taper_f70_d40,5,40000000,50000000,9999999,2326240,1712319,1094560,1890720,595200,1921760,437742,21440,18
source_childes_taper_f70_d40,6,50000000,60000000,10000104,2153600,1750895,1119200,1933280,608640,1964960,447591,21920,18
source_childes_taper_f70_d40,7,60000000,70000000,9999988,2037760,1776785,1135680,1961920,617600,1993920,454225,22080,18
source_childes_taper_f70_d40,8,70000000,80000000,9999978,1960320,1793974,1146720,1980960,623520,2013440,458644,22400,
source_childes_taper_f70_d40,9,80000000,90000000,10000027,1908320,1805702,1154240,1993760,627680,2026400,461685,22240,
source_childes_taper_f70_d40,10,90000000,100000000,9999888,1872480,1812581,1158400,2001760,629440,2034240,462987,28000,
source_childes_taper_f70_d60,1,0,10000000,10000108,5296480,1049682,670880,1159040,364800,1177920,268337,12960,9
source_childes_taper_f70_d60,2,10000000,20000000,9999936,3720000,1401314,895840,1547360,487040,1572640,358293,17440,9
source_childes_taper_f70_d60,3,20000000,30000000,10000079,2854880,1594370,1019200,1760480,554240,1789280,407620,20000,9
source_childes_taper_f70_d60,4,30000000,40000000,9999950,2380000,1700302,1086880,1877600,591040,1908320,434670,21120,18
source_childes_taper_f70_d60,5,40000000,50000000,10000029,2119520,1758452,1124160,1941760,611200,1973440,449559,21920,18
source_childes_taper_f70_d60,6,50000000,60000000,9999954,1976480,1790400,1144480,1976960,622400,2009280,457696,22240,18
source_childes_taper_f70_d60,7,60000000,70000000,10000058,1897920,1807869,1155680,1996320,628480,2028960,462260,22560,9
source_childes_taper_f70_d60,8,70000000,80000000,9999895,1854880,1817536,1161760,2006880,631840,2039680,464599,22720,
source_childes_taper_f70_d60,9,80000000,90000000,10000146,1831200,1822814,1165120,2012800,633600,2045600,465972,23040,
source_childes_taper_f70_d60,10,90000000,100000000,9999845,1817440,1825261,1166400,2015200,633760,2048480,466104,27200,
source_childes_taper_rowsort_ratio_f40_d25,1,0,10000000,10000123,4752960,1170808,748480,1292960,407040,1313440,299386,15040,9
source_childes_taper_rowsort_ratio_f40_d25,2,10000000,20000000,10000027,3929440,1354694,864640,1495840,470880,1520960,346284,17280,9
source_childes_taper_rowsort_ratio_f40_d25,3,20000000,30000000,9999932,3288160,1497699,956800,1653760,520640,1680800,382864,19200,9
source_childes_taper_rowsort_ratio_f40_d25,4,30000000,40000000,9999926,2788640,1609125,1028000,1776800,559360,1805920,411432,20640,9
source_childes_taper_rowsort_ratio_f40_d25,5,40000000,50000000,10000064,2399680,1695964,1083680,1872640,589440,1903360,433522,21760,18
source_childes_taper_rowsort_ratio_f40_d25,6,50000000,60000000,9999954,2096640,1763616,1126720,1947360,612960,1979200,450880,22560,18
source_childes_taper_rowsort_ratio_f40_d25,7,60000000,70000000,10000101,1860800,1816194,1160480,2005440,631360,2038240,464369,23200,18
source_childes_taper_rowsort_ratio_f40_d25,8,70000000,80000000,9999954,1676960,1857288,1186560,2050720,645600,2084320,474826,23680,
source_childes_taper_rowsort_ratio_f40_d25,9,80000000,90000000,9999984,1533920,1889182,1206880,2086080,656640,2120160,482962,24160,
source_childes_taper_rowsort_ratio_f40_d25,10,90000000,100000000,9999935,1421600,1913430,1228160,2112800,664480,2147200,488585,23680,
source_childes_taper_rowsort_comp_f40_d25,1,0,10000000,10000031,4752960,1170925,747680,1292960,407040,1314080,299346,15040,
source_childes_taper_rowsort_comp_f40_d25,2,10000000,20000000,10000004,3929440,1354685,865280,1495840,470880,1520320,346270,17280,9
source_childes_taper_rowsort_comp_f40_d25,3,20000000,30000000,10000058,3288160,1497680,956960,1653760,520640,1680800,382849,19200,9
source_childes_taper_rowsort_comp_f40_d25,4,30000000,40000000,10000007,2788640,1609171,1028000,1776800,559360,1805920,411467,20640,9
source_childes_taper_rowsort_comp_f40_d25,5,40000000,50000000,10000036,2399680,1696023,1083520,1872640,589440,1903360,433604,21760,9
source_childes_taper_rowsort_comp_f40_d25,6,50000000,60000000,9999898,2096640,1763638,1126560,1947360,612960,1979200,450944,22560,36
source_childes_taper_rowsort_comp_f40_d25,7,60000000,70000000,10000057,1860800,1816253,1160480,2005440,631360,2038240,464266,23200,18
source_childes_taper_rowsort_comp_f40_d25,8,70000000,80000000,9999967,1676960,1857307,1186560,2050720,645600,2084320,474820,23680,
source_childes_taper_rowsort_comp_f40_d25,9,80000000,90000000,10000018,1533920,1889168,1206880,2086080,656640,2120160,483010,24160,
source_childes_taper_rowsort_comp_f40_d25,10,90000000,100000000,9999924,1421600,1913150,1228480,2112800,664480,2147200,488534,23680,
source_childes_taper_rowsort_ratio_f40_d40,1,0,10000000,10000149,6218400,843900,539520,931840,293440,946400,215760,10880,9
source_childes_taper_rowsort_ratio_f40_d40,2,10000000,20000000,9999876,4507840,1225608,782080,1353280,426080,1376000,313299,15680,9
source_childes_taper_rowsort_ratio_f40_d40,3,20000000,30000000,10000000,3361280,1481391,946240,1635840,514880,1662560,378760,19040,9
source_childes_taper_rowsort_ratio_f40_d40,4,30000000,40000000,9999999,2592800,1652881,1055840,1825120,574560,1855040,422629,21120,9
source_childes_taper_rowsort_ratio_f40_d40,5,40000000,50000000,10000052,2077600,1767812,1129600,1952000,614560,1984000,451902,22560,18
source_childes_taper_rowsort_ratio_f40_d40,6,50000000,60000000,9999983,1732160,1844922,1178720,2037120,641280,2070560,471683,23520,18
source_childes_taper_rowsort_ratio_f40_d40,7,60000000,70000000,10000051,1500640,1896582,1211680,2094240,659200,2128480,484891,24320,18
source_childes_taper_rowsort_ratio_f40_d40,8,70000000,80000000,9999990,1345600,1931164,1233760,2132480,671200,2167360,493786,24640,
source_childes_taper_rowsort_ratio_f40_d40,9,80000000,90000000,9999976,1241600,1954428,1248640,2158080,679360,2193280,499628,24960,
source_childes_taper_rowsort_ratio_f40_d40,10,90000000,100000000,9999924,1170880,1969312,1264320,2174400,683840,2209920,502772,24480,
source_childes_taper_rowsort_comp_f40_d40,1,0,10000000,10000032,6218400,843905,538720,931840,293440,947040,215807,10880,
source_childes_taper_rowsort_comp_f40_d40,2,10000000,20000000,9999987,4507840,1225631,782720,1353280,426080,1375360,313387,15680,9
source_childes_taper_rowsort_comp_f40_d40,3,20000000,30000000,10000128,3361280,1481433,946400,1635840,514880,1662560,378686,19040,9
source_childes_taper_rowsort_comp_f40_d40,4,30000000,40000000,9999968,2592800,1652873,1055840,1825120,574560,1855040,422606,21120,9
source_childes_taper_rowsort_comp_f40_d40,5,40000000,50000000,10000039,2077600,1767912,1129440,1952000,614560,1984000,451958,22560,9
source_childes_taper_rowsort_comp_f40_d40,6,50000000,60000000,9999968,1732160,1844962,1178720,2037120,641280,2070560,471610,23520,36
source_childes_taper_rowsort_comp_f40_d40,7,60000000,70000000,10000031,1500640,1896577,1211680,2094240,659200,2128480,484876,24320,18
source_childes_taper_rowsort_comp_f40_d40,8,70000000,80000000,9999850,1345600,1931170,1233760,2132480,671200,2167360,493640,24640,
source_childes_taper_rowsort_comp_f40_d40,9,80000000,90000000,10000127,1241600,1954377,1248800,2158080,679360,2193280,499670,24960,
source_childes_taper_rowsort_comp_f40_d40,10,90000000,100000000,9999870,1170880,1969160,1264320,2174400,683840,2209920,502870,24480,
source_childes_taper_rowsort_ratio_f55_d25,1,0,10000000,10000023,4208480,1292385,826080,1427040,449280,1449920,330349,16480,9
source_childes_taper_rowsort_ratio_f55_d25,2,10000000,20000000,10000035,3590880,1430181,913120,1579200,497120,1605600,365685,18240,9
source_childes_taper_rowsort_ratio_f55_d25,3,20000000,30000000,10000089,3109760,1537563,982400,1697760,534400,1725440,393077,19680,9
source_childes_taper_rowsort_ratio_f55_d25,4,30000000,40000000,10000005,2735200,1621107,1035520,1790080,563520,1819360,414409,20800,9
source_childes_taper_rowsort_ratio_f55_d25,5,40000000,50000000,9999998,2443520,1686234,1077280,1861920,586080,1892320,431026,21600,18
source_childes_taper_rowsort_ratio_f55_d25,6,50000000,60000000,9999970,2216320,1736884,1109600,1917920,603680,1949280,444028,22240,18
source_childes_taper_rowsort_ratio_f55_d25,7,60000000,70000000,9999944,2039360,1776380,1134880,1961440,617440,1993600,454106,22720,18
source_childes_taper_rowsort_ratio_f55_d25,8,70000000,80000000,10000095,1901440,1807093,1154720,1995520,628160,2028160,461962,23040,
source_childes_taper_rowsort_ratio_f55_d25,9,80000000,90000000,9999880,1794080,1831073,1169760,2021920,636480,2055040,468167,23360,
source_childes_taper_rowsort_ratio_f55_d25,10,90000000,100000000,9999961,1709760,1849100,1187040,2041600,642240,2074880,472301,23040,
source_childes_taper_rowsort_comp_f55_d25,1,0,10000000,10000070,4208480,1292312,825600,1427040,449280,1450400,330478,16480,
source_childes_taper_rowsort_comp_f55_d25,2,10000000,20000000,9999949,3590880,1430268,913440,1579200,497120,1605120,365672,18240,9
source_childes_taper_rowsort_comp_f55_d25,3,20000000,30000000,10000114,3109760,1537495,982560,1697760,534400,1725440,393010,19680,9
source_childes_taper_rowsort_comp_f55_d25,4,30000000,40000000,9999944,2735200,1621071,1035520,1790080,563520,1819360,414384,20800,9
source_childes_taper_rowsort_comp_f55_d25,5,40000000,50000000,10000064,2443520,1686194,1077280,1861920,586080,1892320,431141,21600,9
source_childes_taper_rowsort_comp_f55_d25,6,50000000,60000000,9999968,2216320,1736974,1109440,1917920,603680,1949280,444078,22240,36
source_childes_taper_rowsort_comp_f55_d25,7,60000000,70000000,10000043,2039360,1776352,1135040,1961440,617440,1993600,454073,22720,18
source_childes_taper_rowsort_comp_f55_d25,8,70000000,80000000,9999938,1901440,1807184,1154400,1995520,628160,2028160,462034,23040,
source_childes_taper_rowsort_comp_f55_d25,9,80000000,90000000,10000003,1794080,1831075,1169920,2021920,636480,2055040,468128,23360,
