n,ngram,component_kind_counts,branch_counts,pair_count,eval_record_count,top_dir_counts
7,on a scale of 1 to 10,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,3,"{""glue_filtered"": 6}"
7,book series of the same name by,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,in the new york times book review,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,3,"{""glue_filtered"": 6}"
7,bowed out of that because that's uh,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,of that because that's uh uh something,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,that's uh uh something that nationalized very,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,uh uh something that nationalized very quickly,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,peace corps bowed out of that because,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,because that's uh uh something that nationalized,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,corps bowed out of that because that's,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,that because that's uh uh something that,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,out of that because that's uh uh,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
7,at the height of the cold war,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,2,"{""aoa"": 2}"
7,of the federal government of the united,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,the first tuesday after the first monday,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,on the first tuesday after the first,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,first tuesday after the first monday in,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,tuesday after the first monday in november,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,office of the high commissioner for human,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,of the high commissioner for human rights,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
7,on the novel of the same name,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,based on the novel of the same,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,in the history of the united states,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,based on the marvel comics superhero team,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,the vice president of the united states,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,president and vice president of the united,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,the president and vice president of the,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,and vice president of the united states,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
7,compared to other parts of the world,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
7,there are no hard and fast rules,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""aoa"": 1}"
7,effect of the 2004 indian ocean earthquake,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
7,i help a friend who is in,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
7,how can i help a friend who,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
7,can i help a friend who is,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
7,in many other parts of the world,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
7,is based on the true story of,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,at the top of the food chain,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,seasons in major league baseball mlb for,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,in major league baseball mlb for the,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,is on the other side of the,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,of the united states as well as,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,where there is a will there is,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,in the united kingdom canada and some,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,world war i and world war ii,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,imagine what it would be like if,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""aoa"": 1}"
7,how much does it cost for a,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,the attack on the world trade center,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,the new york stock exchange under the,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,and statistical manual of mental disorders dsm,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,diagnostic and statistical manual of mental disorders,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,the diagnostic and statistical manual of mental,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,what are we going to do now,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,series of the same name created by,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,was inducted into the rock and roll,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,inducted into the rock and roll hall,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,commander in chief of the united states,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,was based on the novel of the,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,the film is an adaptation of the,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,only a matter of time before the,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""aoa"": 1}"
7,award for best supporting actor for the,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,nominated for the academy award for best,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,was nominated for the academy award for,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,selected for preservation in the united states,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,preservation in the united states national film,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,in the united states national film registry,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
7,for preservation in the united states national,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,number three on the billboard hot 100,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,doing the same thing over and over,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,the same thing over and over again,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,for the first time in their history,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,rock and roll hall of fame in,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,induction into the rock and roll hall,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,in about a quarter of an hour,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,thought it would be a good idea,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,it would have been nice to have,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""aoa"": 1}"
7,what do you see when you look,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
