n,ngram,component_kind,branch,pair_id,source_label,words,lexical_tokens,eval_top_dir,eval_file,eval_locator,component_text_prefix,eval_text_prefix,meta
8,into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_000958,qwen3.5-9b paraphrase of simple_wiki,17,17,glue_filtered,glue_filtered/boolq.valid.jsonl,line:298,"In 1994, Hunter was inducted into the Rock and Roll Hall of Fame alongside the Grateful Dead.","Los Lobos -- On October 9, 2015, Los Lobos was nominated for induction into the Rock and Roll Hall of Fame for the first time.","{""cohort"": ""base"", ""example_id"": 56808, ""source"": ""simple_wiki""}"
8,was inducted into the rock and roll hall,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_000958,qwen3.5-9b paraphrase of simple_wiki,17,17,glue_filtered,glue_filtered/boolq.valid.jsonl,line:38,"In 1994, Hunter was inducted into the Rock and Roll Hall of Fame alongside the Grateful Dead.","Jefferson Airplane -- The ``classic'' lineup of Jefferson Airplane, from October 1966 to February 1970, was Marty Balin (vocals), Paul Kantner (guitar, vocals), Grace Slick (vocals), Jorma Kaukonen (lead guitar, vocals), Jack Casady (bass), and Spencer Dryden (drums). Marty Balin left the band in 1971. After 1972, Jeff","{""cohort"": ""base"", ""example_id"": 56808, ""source"": ""simple_wiki""}"
8,on the first tuesday after the first monday,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why are U.S. presidential elections held on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,on the first tuesday after the first monday,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why does election day fall on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,first tuesday after the first monday in november,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why are U.S. presidential elections held on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,first tuesday after the first monday in november,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why does election day fall on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,the first tuesday after the first monday in,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why are U.S. presidential elections held on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,the first tuesday after the first monday in,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why does election day fall on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,the diagnostic and statistical manual of mental disorders,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_026025,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:8457,He played a major role in the development of the Diagnostic and Statistical Manual of Mental Disorders (DSM).,At what point did the American Psychology Association remove homosexuality from the Diagnostic and Statistical Manual of Mental Disorders (DSM)? What were the internal arguments for and against the decision?,"{""cohort"": ""extra_shard1"", ""example_id"": 57381, ""source"": ""simple_wiki""}"
8,diagnostic and statistical manual of mental disorders dsm,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_026025,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:8457,He played a major role in the development of the Diagnostic and Statistical Manual of Mental Disorders (DSM).,At what point did the American Psychology Association remove homosexuality from the Diagnostic and Statistical Manual of Mental Disorders (DSM)? What were the internal arguments for and against the decision?,"{""cohort"": ""extra_shard1"", ""example_id"": 57381, ""source"": ""simple_wiki""}"
8,of the federal government of the united states,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_002112,qwen3.5-9b paraphrase of simple_wiki,21,21,glue_filtered,glue_filtered/boolq.valid.jsonl,line:17,The order instructs agencies and officers of the Federal government of the United States on matters they are required to perform.,"Vice President of the United States -- The Vice President of the United States (informally referred to as VPOTUS, or Veep) is a constitutional officer in the legislative branch of the federal government of the United States as the President of the Senate under Article I, Section 3, Clause 4, of the United States Consti","{""cohort"": ""extra_shard1"", ""example_id"": 58361, ""source"": ""simple_wiki""}"
8,of the federal government of the united states,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_002112,qwen3.5-9b paraphrase of simple_wiki,21,21,glue_filtered,glue_filtered/boolq.valid.jsonl,line:407,The order instructs agencies and officers of the Federal government of the United States on matters they are required to perform.,United States Congress -- The United States Congress is the bicameral legislature of the Federal government of the United States. The legislature consists of two chambers: the Senate and the House of Representatives.,"{""cohort"": ""extra_shard1"", ""example_id"": 58361, ""source"": ""simple_wiki""}"
8,seasons in major league baseball mlb for the,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s0_005947,qwen3.5-9b paraphrase of simple_wiki,20,20,glue_filtered,glue_filtered/boolq.valid.jsonl,line:651,He spent two seasons with the Oakland Athletics and sixteen seasons in Major League Baseball (MLB) for the Chicago Cubs.,"Cal Ripken Jr. -- Calvin Edwin Ripken Jr. (born August 24, 1960), nicknamed ``The Iron Man'', is an American former baseball shortstop and third baseman who played 21 seasons in Major League Baseball (MLB) for the Baltimore Orioles (1981--2001). One of his position's most offensively productive players, Ripken compiled","{""cohort"": ""extra_shard0"", ""example_id"": 59146, ""source"": ""simple_wiki""}"
7,it would have been nice to have,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_043623,qwen3.5-9b paraphrase of open_subtitles,15,15,aoa,aoa/cdi_childes.json,json,It would have been nice to have a conversation before I took him to jail.,"I had my third baby when she was 2.5 so although it would have been nice to have her in underwear, I really did not have the time, or energy, to get her","{""cohort"": ""base"", ""example_id"": 39647, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:13,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:236,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:431,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:437,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:448,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:460,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:497,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,widely regarded as one of the most,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_042065,qwen3.5-9b paraphrase of open_subtitles,19,19,glue_filtered,glue_filtered/multirc.valid.jsonl,line:617,"The Stalk Inn, widely regarded as one of the most charming asparagus farms, fell because of this very thing.","(CNN) -- Gabriel García Márquez, widely regarded as one of the most important contemporary Latin American authors, was admitted to a hospital in Mexico earlier this week, according to the Ministry of Health. The Nobel Prize recipient, known as ""Gabo,"" had infections in his lungs and his urinary tract. He was suffering ","{""cohort"": ""base"", ""example_id"": 47117, ""source"": ""open_subtitles""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:358,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:616,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:685,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:782,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:872,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:902,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:945,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,once upon a time there was a,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_040277,qwen3.5-9b paraphrase of childes,12,12,glue_filtered,glue_filtered/multirc.valid.jsonl,line:1091,"*CHI: Once upon a time, there was a boy who enjoyed jelly.","Once upon a time, there was a squirrel named Joey. Joey loved to go outside and play with his cousin Jimmy. Joey and Jimmy played silly games together, and were always laughing. One day, Joey and Jimmy went swimming together at their Aunt Julie's pond. Joey woke up early in the morning to eat some food before they left","{""cohort"": ""base"", ""example_id"": 18900, ""source"": ""childes""}"
7,president and vice president of the united,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:919,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","President's Guest House -- The President's Guest House is one of several residences owned by the United States government for use by the President and Vice President of the United States; other such residences include the White House, Camp David, One Observatory Circle, the Presidential Townhouse, and Trowbridge House.","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
7,president and vice president of the united,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:1076,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","District of Columbia voting rights -- In the United States House of Representatives, the District is represented by a delegate, who is not allowed to vote on the House floor but can vote on procedural matters and in congressional committees. D.C. residents have no representation in the United States Senate. The Twenty-","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
7,the president and vice president of the,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:919,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","President's Guest House -- The President's Guest House is one of several residences owned by the United States government for use by the President and Vice President of the United States; other such residences include the White House, Camp David, One Observatory Circle, the Presidential Townhouse, and Trowbridge House.","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
7,the president and vice president of the,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:1076,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","District of Columbia voting rights -- In the United States House of Representatives, the District is represented by a delegate, who is not allowed to vote on the House floor but can vote on procedural matters and in congressional committees. D.C. residents have no representation in the United States Senate. The Twenty-","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
7,and vice president of the united states,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:919,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","President's Guest House -- The President's Guest House is one of several residences owned by the United States government for use by the President and Vice President of the United States; other such residences include the White House, Camp David, One Observatory Circle, the Presidential Townhouse, and Trowbridge House.","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
7,and vice president of the united states,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:1076,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","District of Columbia voting rights -- In the United States House of Representatives, the District is represented by a delegate, who is not allowed to vote on the House floor but can vote on procedural matters and in congressional committees. D.C. residents have no representation in the United States Senate. The Twenty-","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
