pair_id,match_level,pair_cost,category,opposition_axis,pivot_norm_a,pivot_norm_b,target_norm_a,target_norm_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,distance_bin_a,distance_bin_b,target_side_a,target_side_b,slot_content_jaccard,slot_surface_jaccard,shared_content_count,row_a,row_b
p0000018,2,8.956521739130435,causal_connector,cause_concession,because,though,nearly,actually,adverbish,1,501-1000,1001+,5-8,5-8,after,after,0.0,0.17391304347826086,0,7015,9203
p0000019,2,13.059090909090909,causal_connector,cause_concession,though,because,dorothy,mother,capitalized,1,501-1000,1001+,2,3-4,after,after,0.0,0.18181818181818182,0,2321,15591
p0000020,2,11.640766798418973,causal_connector,cause_concession,because,though,sam's,jonah,capitalized,2,26-50,51-100,2,3-4,after,after,0.09090909090909091,0.043478260869565216,1,10918,11966
p0000021,0,-0.9928571428571428,causal_connector,cause_concession,though,because,june,there's,capitalized,2,1001+,1001+,3-4,3-4,after,after,0.0,0.19047619047619047,0,1978,5764
p0000022,0,-1.0909090909090908,causal_connector,cause_concession,though,because,thread,rat,content,1,51-100,51-100,2,2,after,after,0.0,0.18181818181818182,0,9494,2144
p0000023,2,5.52,causal_connector,cause_concession,because,though,tore,sees,content,1,51-100,101-250,2,2,after,after,0.08333333333333333,0.2,1,6958,20216
p0000024,2,7.851,causal_connector,cause_concession,although,thus,acknowledge,delay,content,1,51-100,101-250,2,2,after,after,0.0625,0.04,1,2329,16595
p0000025,2,10.799999999999999,causal_connector,cause_concession,because,although,sandwiches,tastes,content,1,51-100,101-250,3-4,2,after,after,0.1,0.125,1,11751,7114
p0000026,1,3.3,causal_connector,cause_concession,because,though,hears,grim,content,1,51-100,51-100,2,3-4,after,after,0.0,0.16666666666666666,0,2000,5276
p0000027,0,-3.05,causal_connector,cause_concession,because,though,bulk,touches,content,1,51-100,51-100,2,2,after,after,0.08333333333333333,0.125,1,20090,8161
p0000028,2,11.226391304347827,causal_connector,cause_concession,because,although,convince,possess,content,1,51-100,101-250,3-4,2,after,after,0.08333333333333333,0.13043478260869565,1,13533,6342
p0000029,2,8.988999999999999,causal_connector,cause_concession,because,though,sheer,patch,content,1,51-100,101-250,3-4,3-4,after,after,0.0,0.2,0,9018,3350
p0000030,1,1.4928571428571435,causal_connector,cause_concession,though,therefore,souls,attacks,content,1,101-250,101-250,2,1,after,after,0.07142857142857142,0.09523809523809523,1,2169,16604
p0000031,0,-3.963636363636364,causal_connector,cause_concession,though,because,confess,engineers,content,1,101-250,101-250,2,2,after,after,0.1,0.22727272727272727,1,9338,17517
p0000032,2,13.399999999999999,causal_connector,cause_concession,though,because,sung,credit,content,1,101-250,251-500,5-8,3-4,after,after,0.0,0.2,0,17392,5544
p0000033,0,-2.806739130434783,causal_connector,cause_concession,because,although,concerns,guide,content,1,101-250,101-250,2,2,after,after,0.08333333333333333,0.08695652173913043,1,18072,7757
p0000034,0,-2.165,causal_connector,cause_concession,because,though,comments,interests,content,1,101-250,101-250,3-4,3-4,after,after,0.0625,0.04,1,17675,1296
p0000035,2,7.216260869565218,causal_connector,cause_concession,because,although,scratch,appears,content,1,101-250,251-500,2,2,after,after,0.08333333333333333,0.08695652173913043,1,7733,8816
p0000036,2,6.694260869565218,causal_connector,cause_concession,because,though,believes,manager,content,1,101-250,251-500,2,2,after,after,0.1111111111111111,0.08695652173913043,1,18054,14086
p0000037,0,-2.1467692307692308,causal_connector,cause_concession,though,because,bore,fail,content,1,101-250,101-250,2,2,after,after,0.0625,0.038461538461538464,1,11245,12405
p0000038,1,3.209090909090909,causal_connector,cause_concession,because,though,tend,ours,content,1,101-250,101-250,3-4,2,after,after,0.0,0.18181818181818182,0,13907,8489
p0000039,1,0.4248571428571426,causal_connector,cause_concession,although,because,wrap,principle,content,1,101-250,101-250,3-4,2,after,after,0.125,0.14285714285714285,1,11089,1336
p0000040,0,-2.9581027667984188,causal_connector,cause_concession,because,though,muscles,incident,content,1,101-250,101-250,2,2,after,after,0.09090909090909091,0.08695652173913043,1,17550,19192
p0000041,1,1.8242857142857145,causal_connector,cause_concession,because,though,machines,spite,content,1,101-250,101-250,3-4,2,after,after,0.07142857142857142,0.04,1,4748,18999
p0000042,0,-1.6,causal_connector,cause_concession,because,though,honour,benefit,content,1,101-250,101-250,3-4,3-4,after,after,0.0,0.125,0,8209,2162
p0000043,0,-1.0549090909090908,causal_connector,cause_concession,because,although,centers,delay,content,1,101-250,101-250,2,2,after,after,0.0,0.18181818181818182,0,4649,7764
p0000044,2,11.615384615384615,causal_connector,cause_concession,though,because,pattern,humans,content,1,101-250,251-500,3-4,2,after,after,0.07692307692307693,0.08333333333333333,1,1849,7348
p0000045,2,9.106521739130436,causal_connector,cause_concession,because,though,nearest,symptoms,content,1,101-250,251-500,5-8,5-8,after,after,0.0,0.17391304347826086,0,16874,15820
p0000046,2,11.725,causal_connector,cause_concession,because,though,broad,trip,content,1,101-250,251-500,3-4,2,after,after,0.0625,0.08333333333333333,1,3454,13866
p0000047,2,11.184775919732441,causal_connector,cause_concession,although,because,lover,lack,content,1,101-250,251-500,2,3-4,after,after,0.07692307692307693,0.13043478260869565,1,15426,3343
p0000048,2,7.1499999999999995,causal_connector,cause_concession,because,though,hammer,wings,content,1,101-250,251-500,3-4,3-4,after,after,0.1,0.041666666666666664,1,17936,8377
p0000049,2,7.388461538461537,causal_connector,cause_concession,because,though,hip,dollar,content,1,101-250,251-500,5-8,5-8,after,after,0.1,0.07692307692307693,1,560,18872
p0000050,0,-2.496153846153846,causal_connector,cause_concession,because,though,humble,trunk,content,1,101-250,101-250,3-4,3-4,after,after,0.07692307692307693,0.07692307692307693,1,4032,11762
p0000051,2,8.76,causal_connector,cause_concession,because,though,goods,vessel,content,1,101-250,251-500,2,2,after,after,0.0,0.04,0,4808,1751
p0000052,2,9.782090909090908,causal_connector,cause_concession,although,because,exact,blind,content,1,101-250,251-500,2,3-4,after,after,0.08333333333333333,0.18181818181818182,1,9223,3033
p0000053,1,1.620130434782609,causal_connector,cause_concession,although,because,effort,efforts,content,1,251-500,251-500,2,3-4,after,after,0.08333333333333333,0.043478260869565216,1,13303,2630
p0000054,2,6.609090909090909,causal_connector,cause_concession,because,though,stands,roll,content,1,251-500,501-1000,2,2,after,after,0.08333333333333333,0.18181818181818182,1,1075,6479
p0000055,2,8.255,causal_connector,cause_concession,because,though,belongs,ought,content,1,251-500,501-1000,2,2,after,after,0.0,0.125,0,11980,13440
p0000056,2,11.590285714285713,causal_connector,cause_concession,thus,though,soil,ways,content,1,251-500,501-1000,1,2,after,after,0.07142857142857142,0.08,1,2483,4018
p0000057,2,8.724652173913043,causal_connector,cause_concession,although,because,path,husband,content,1,251-500,501-1000,2,2,after,after,0.0,0.21739130434782608,0,2969,18213
p0000058,2,13.007142857142858,causal_connector,cause_concession,because,although,loves,smile,content,1,251-500,501-1000,2,3-4,after,after,0.0,0.19047619047619047,0,10523,15765
p0000059,0,-2.5487142857142855,causal_connector,cause_concession,although,because,thick,officers,content,1,251-500,251-500,2,2,after,after,0.07142857142857142,0.08333333333333333,1,13689,15215
p0000060,2,11.461645484949832,causal_connector,cause_concession,because,though,aside,likes,content,1,251-500,501-1000,1,2,after,after,0.07692307692307693,0.08695652173913043,1,15339,9389
p0000061,0,-2.1557692307692307,causal_connector,cause_concession,because,though,purple,storm,content,1,251-500,251-500,2,2,after,after,0.0625,0.038461538461538464,1,1533,3555
p0000062,2,6.917391304347826,causal_connector,cause_concession,therefore,though,agree,fair,content,1,251-500,501-1000,2,2,after,after,0.08333333333333333,0.13043478260869565,1,4721,11659
p0000063,2,6.853376623376625,causal_connector,cause_concession,thus,although,patient,enjoy,content,1,251-500,501-1000,2,2,after,after,0.07142857142857142,0.18181818181818182,1,8976,15796
p0000064,2,7.766000000000001,causal_connector,cause_concession,because,although,property,modern,content,1,251-500,501-1000,2,2,after,after,0.06666666666666667,0.04,1,19361,4018
p0000065,2,11.09302766798419,causal_connector,cause_concession,because,though,joke,catch,content,1,251-500,501-1000,3-4,5-8,after,after,0.09090909090909091,0.13043478260869565,1,4522,14953
p0000066,0,-2.756043956043956,causal_connector,cause_concession,although,because,remains,shoe,content,1,251-500,251-500,2,2,after,after,0.07692307692307693,0.09523809523809523,1,8469,13408
p0000067,2,13.059090909090909,causal_connector,cause_concession,because,although,lack,race,content,1,251-500,501-1000,3-4,2,after,after,0.0,0.18181818181818182,0,10355,14064
p0000068,2,7.434285714285715,causal_connector,cause_concession,because,though,quit,twelve,content,1,251-500,501-1000,3-4,3-4,after,after,0.07142857142857142,0.08,1,8053,19448
p0000069,1,3.106521739130435,causal_connector,cause_concession,though,because,fortune,soldier,content,1,251-500,251-500,1,2,after,after,0.0,0.17391304347826086,0,19971,18720
p0000070,1,1.6755951417004051,causal_connector,cause_concession,thus,although,ends,recent,content,1,251-500,251-500,1,2,after,after,0.07692307692307693,0.05263157894736842,1,7877,18517
p0000071,1,1.6796703296703301,causal_connector,cause_concession,though,because,somewhat,conflict,content,1,251-500,251-500,1,2,after,after,0.07692307692307693,0.047619047619047616,1,1805,9892
p0000072,2,11.539,causal_connector,cause_concession,because,though,workers,title,content,1,251-500,501-1000,3-4,2,after,after,0.08333333333333333,0.08,1,6246,18408
p0000073,0,-2.8483229813664592,causal_connector,cause_concession,therefore,although,excellent,characters,content,1,251-500,251-500,2,2,after,after,0.07142857142857142,0.13043478260869565,1,6903,11429
p0000074,0,-2.5787142857142853,causal_connector,cause_concession,though,because,separate,newspaper,content,1,251-500,251-500,3-4,3-4,after,after,0.07142857142857142,0.08333333333333333,1,19628,12684
p0000075,2,11.503846153846153,causal_connector,cause_concession,because,though,hadta,neither,content,1,251-500,501-1000,2,1,after,after,0.07692307692307693,0.07692307692307693,1,8383,11178
p0000076,2,7.266636363636363,causal_connector,cause_concession,because,though,requires,tiny,content,1,251-500,501-1000,3-4,3-4,after,after,0.09090909090909091,0.05,1,13107,1242
p0000077,2,8.961521739130436,causal_connector,cause_concession,because,though,value,knowledge,content,1,251-500,501-1000,2,2,after,after,0.0,0.17391304347826086,0,1763,13321
p0000078,2,10.767391304347825,causal_connector,cause_concession,though,because,tells,catch,content,1,251-500,501-1000,2,3-4,after,after,0.1,0.13043478260869565,1,16398,12857
p0000079,2,5.4997442455242975,causal_connector,cause_concession,though,because,sky,hot,content,1,501-1000,1001+,2,2,after,after,0.11764705882352941,0.13043478260869565,2,17926,12328
p0000080,2,11.602747252747251,causal_connector,cause_concession,though,because,spent,told,content,1,501-1000,1001+,1,2,after,after,0.07142857142857142,0.07692307692307693,1,5964,13637
p0000081,1,3.1500000000000004,causal_connector,cause_concession,because,though,thinks,meant,content,1,501-1000,501-1000,2,3-4,after,after,0.0,0.16666666666666666,0,1127,7015
p0000082,1,0.2818181818181822,causal_connector,cause_concession,though,because,seem,parents,content,1,501-1000,501-1000,3-4,5-8,after,after,0.125,0.13636363636363635,1,16387,3551
p0000083,2,6.697802197802199,causal_connector,cause_concession,because,though,touch,doctor,content,1,501-1000,1001+,5-8,5-8,after,after,0.14285714285714285,0.038461538461538464,1,10004,18505
p0000084,0,-2.565714285714286,causal_connector,cause_concession,though,because,largest,husband,content,1,501-1000,501-1000,2,2,after,after,0.07142857142857142,0.08,1,7759,7289
p0000085,0,-3.289,causal_connector,cause_concession,though,because,dream,wide,content,1,501-1000,501-1000,3-4,3-4,after,after,0.125,0.04,1,11452,10264
p0000086,2,5.433391304347826,causal_connector,cause_concession,because,though,thinks,lot,content,1,501-1000,1001+,2,2,after,after,0.16666666666666666,0.13043478260869565,1,18054,2766
p0000087,0,-2.821739130434783,causal_connector,cause_concession,although,because,spoke,students,content,1,501-1000,501-1000,2,2,after,after,0.08333333333333333,0.08695652173913043,1,1547,15436
p0000088,0,-3.546,causal_connector,cause_concession,though,because,starts,entire,content,1,501-1000,501-1000,3-4,3-4,after,after,0.1111111111111111,0.15,1,9203,2373
p0000089,2,10.42,causal_connector,cause_concession,therefore,though,thou,still,content,1,501-1000,1001+,2,1,after,after,0.125,0.125,1,18108,15310
p0000090,2,6.7,causal_connector,cause_concession,although,because,nobody,hear,content,1,501-1000,1001+,2,2,after,after,0.1111111111111111,0.08333333333333333,1,10602,17905
p0000091,2,6.6000000000000005,causal_connector,cause_concession,because,though,flat,guess,content,1,501-1000,1001+,3-4,3-4,after,after,0.125,0.08333333333333333,1,6354,16567
p0000092,2,8.857142857142858,causal_connector,cause_concession,though,because,itself,comes,content,1,501-1000,1001+,2,2,after,after,0.0,0.19047619047619047,0,8732,14354
p0000093,1,2.060407239819005,causal_connector,cause_concession,because,though,current,busy,content,1,501-1000,501-1000,2,3-4,after,after,0.058823529411764705,0.038461538461538464,1,10007,7182
p0000094,1,0.8954545454545455,causal_connector,cause_concession,though,because,calls,fit,content,1,501-1000,501-1000,2,3-4,after,after,0.09090909090909091,0.13636363636363635,1,7851,1611
p0000095,2,6.028571428571429,causal_connector,cause_concession,though,because,wear,care,content,1,501-1000,1001+,2,2,after,after,0.14285714285714285,0.1,1,17672,15612
p0000096,2,13.059090909090909,causal_connector,cause_concession,because,although,knowledge,due,content,1,501-1000,1001+,3-4,5-8,after,after,0.0,0.18181818181818182,0,3205,14804
p0000097,0,-0.8934782608695652,causal_connector,cause_concession,because,though,amount,bottom,content,1,501-1000,501-1000,3-4,3-4,after,after,0.0,0.17391304347826086,0,6507,11269
p0000098,1,3.0101428571428577,causal_connector,cause_concession,because,though,countries,term,content,1,501-1000,501-1000,3-4,2,after,after,0.0,0.19047619047619047,0,14767,14630
p0000099,2,9.091176470588236,causal_connector,cause_concession,because,though,earlier,sometimes,content,1,501-1000,1001+,3-4,3-4,after,after,0.0,0.17647058823529413,0,8209,9046
p0000100,2,7.803416149068323,causal_connector,cause_concession,because,though,upstairs,hurt,content,1,501-1000,1001+,3-4,3-4,after,after,0.07142857142857142,0.043478260869565216,1,9242,15715
p0000101,2,6.057142857142858,causal_connector,cause_concession,because,although,likes,gets,content,1,501-1000,1001+,2,2,after,after,0.14285714285714285,0.09523809523809523,1,5979,8124
p0000102,2,7.065384615384615,causal_connector,cause_concession,because,though,likes,gets,content,1,501-1000,1001+,2,2,after,after,0.07692307692307693,0.125,1,10722,2773
p0000103,2,6.878260869565217,causal_connector,cause_concession,because,though,director,heart,content,1,501-1000,1001+,2,2,after,after,0.1,0.08695652173913043,1,2160,16820
p0000104,2,7.036775919732441,causal_connector,cause_concession,because,although,type,seems,content,1,501-1000,1001+,2,2,after,after,0.07692307692307693,0.13043478260869565,1,15323,19780
p0000105,2,6.557142857142858,causal_connector,cause_concession,because,though,cars,others,content,1,501-1000,1001+,2,2,after,after,0.08333333333333333,0.19047619047619047,1,9698,16649
p0000106,2,11.406461538461539,causal_connector,cause_concession,because,though,gives,course,content,1,501-1000,1001+,2,3-4,after,after,0.08333333333333333,0.07692307692307693,1,7539,11831
p0000107,2,8.956521739130435,causal_connector,cause_concession,though,because,houses,went,content,1,501-1000,1001+,2,2,after,after,0.0,0.17391304347826086,0,18710,6924
p0000108,2,8.808,causal_connector,cause_concession,because,though,cost,suppose,content,1,501-1000,1001+,2,2,after,after,0.0,0.2,0,18081,1437
p0000109,2,7.041897233201581,causal_connector,cause_concession,though,because,clock,keep,content,1,501-1000,1001+,2,2,after,after,0.09090909090909091,0.08695652173913043,1,7246,9570
p0000110,2,8.962521739130436,causal_connector,cause_concession,therefore,though,shown,police,content,1,501-1000,1001+,1,1,after,after,0.0,0.17391304347826086,0,5240,10445
p0000111,2,11.734285714285715,causal_connector,cause_concession,because,though,sight,ever,content,1,501-1000,1001+,2,3-4,after,after,0.07142857142857142,0.08,1,18675,2778
p0000112,2,7.191897233201582,causal_connector,cause_concession,because,though,loud,sleep,content,1,501-1000,1001+,3-4,3-4,after,after,0.09090909090909091,0.08695652173913043,1,13514,3566
p0000113,2,7.293645484949832,causal_connector,cause_concession,because,though,shows,police,content,1,501-1000,1001+,2,2,after,after,0.07692307692307693,0.08695652173913043,1,15180,1028
p0000114,2,6.776391304347826,causal_connector,cause_concession,because,although,heavy,lot,content,1,501-1000,1001+,3-4,3-4,after,after,0.1,0.13043478260869565,1,11044,18400
p0000115,2,7.575,causal_connector,cause_concession,because,though,starts,sound,content,1,501-1000,1001+,2,2,after,after,0.0625,0.08333333333333333,1,10360,5412
p0000116,2,6.8136363636363635,causal_connector,cause_concession,because,though,parents,high,content,1,501-1000,1001+,2,2,after,after,0.09090909090909091,0.125,1,14657,19506
p0000117,2,8.503260869565217,causal_connector,cause_concession,because,although,couple,lot,content,1,501-1000,1001+,2,2,after,after,0.0,0.08695652173913043,0,13238,1112
p0000118,2,8.8,causal_connector,cause_concession,although,because,support,power,content,1,501-1000,1001+,2,3-4,after,after,0.16666666666666666,0.125,2,6007,16242
p0000119,2,6.581818181818181,causal_connector,cause_concession,because,although,double,means,content,1,501-1000,1001+,2,2,after,after,0.1,0.13636363636363635,1,5673,16289
p0000120,2,9.687662337662339,causal_connector,cause_concession,because,though,wind,point,content,1,501-1000,1001+,2,3-4,after,after,0.14285714285714285,0.18181818181818182,1,8662,19763
p0000121,2,11.463636363636363,causal_connector,cause_concession,because,though,bank,summer,content,1,501-1000,1001+,5-8,3-4,after,after,0.09090909090909091,0.041666666666666664,1,13027,19683
p0000122,0,-2.5,causal_connector,cause_concession,though,because,means,believe,content,1,1001+,1001+,2,2,after,after,0.06666666666666667,0.08333333333333333,1,8839,2516
p0000123,1,1.5209999999999997,causal_connector,cause_concession,because,though,means,little,content,1,1001+,1001+,2,3-4,after,after,0.08333333333333333,0.08,1,8908,6770
p0000124,0,-2.9000000000000004,causal_connector,cause_concession,because,though,still,hope,content,1,1001+,1001+,2,2,after,after,0.1,0.05,1,15275,10161
p0000125,0,-2.709090909090909,causal_connector,cause_concession,because,though,pick,means,content,1,1001+,1001+,2,2,after,after,0.09090909090909091,0.045454545454545456,1,9271,1248
p0000126,0,-2.8990000000000005,causal_connector,cause_concession,though,thus,became,sent,content,1,1001+,1001+,2,2,after,after,0.1,0.05,1,514,18858
p0000127,0,-3.215789473684211,causal_connector,cause_concession,though,because,done,end,content,1,1001+,1001+,3-4,3-4,after,after,0.125,0.05263157894736842,1,3774,9203
p0000128,0,-3.7358571428571428,causal_connector,cause_concession,because,although,saw,hope,content,1,1001+,1001+,2,2,after,after,0.1,0.19047619047619047,1,13667,13650
p0000129,0,-3.232608695652174,causal_connector,cause_concession,because,though,believe,hold,content,1,1001+,1001+,3-4,3-4,after,after,0.1,0.13043478260869565,1,16176,17154
p0000130,1,1.8600634920634924,causal_connector,cause_concession,because,though,works,dead,content,1,1001+,1001+,2,1,after,after,0.07142857142857142,0.037037037037037035,1,2043,4136
p0000131,0,-1.0909090909090908,causal_connector,cause_concession,because,though,around,walk,content,1,1001+,1001+,2,2,after,after,0.0,0.18181818181818182,0,2813,9353
p0000132,1,1.5842857142857147,causal_connector,cause_concession,although,because,both,lot,content,1,1001+,1001+,3-4,2,after,after,0.07142857142857142,0.08,1,5989,15676
p0000133,1,1.1070276679841893,causal_connector,cause_concession,because,though,thought,ever,content,1,1001+,1001+,2,3-4,after,after,0.09090909090909091,0.13043478260869565,1,12397,1069
p0000134,1,2.069230769230769,causal_connector,cause_concession,because,though,brought,yet,content,1,1001+,1001+,3-4,5-8,after,after,0.06666666666666667,0.038461538461538464,1,17774,11455
p0000135,0,-2.435714285714286,causal_connector,cause_concession,because,though,enough,heard,content,1,1001+,1001+,3-4,3-4,after,after,0.07142857142857142,0.08333333333333333,1,11799,10388
p0000136,0,-2.39,causal_connector,cause_concession,because,though,lost,stay,content,1,1001+,1001+,2,2,after,after,0.0625,0.08,1,7860,13944
p0000137,1,3.230090909090909,causal_connector,cause_concession,though,because,yet,woman,content,1,1001+,1001+,3-4,2,after,after,0.0,0.18181818181818182,0,1205,4366
p0000138,0,-3.2,causal_connector,cause_concession,because,although,major,name,content,1,1001+,1001+,2,2,after,after,0.08333333333333333,0.15,1,1576,14402
p0000139,0,-2.9887972027972025,causal_connector,cause_concession,though,because,heard,lives,content,1,1001+,1001+,2,2,after,after,0.07692307692307693,0.13636363636363635,1,738,6978
p0000140,0,-1.0,causal_connector,cause_concession,thus,though,brought,later,content,1,1001+,1001+,1,1,after,after,0.0,0.16666666666666666,0,15346,20158
p0000141,1,0.5545454545454549,causal_connector,cause_concession,though,because,till,funny,content,1,1001+,1001+,5-8,3-4,after,after,0.125,0.09090909090909091,1,4936,15754
p0000142,1,1.8653846153846152,causal_connector,cause_concession,because,though,speak,piece,content,1,1001+,1001+,3-4,5-8,after,after,0.07692307692307693,0.041666666666666664,1,16360,4876
p0000143,0,-3.5928571428571425,causal_connector,cause_concession,because,though,father,summer,content,1,1001+,1001+,3-4,3-4,after,after,0.1,0.19047619047619047,1,401,7741
p0000144,0,-2.6486153846153844,causal_connector,cause_concession,though,therefore,stood,matter,content,1,1001+,1001+,2,2,after,after,0.07692307692307693,0.08,1,19585,11292
p0000145,1,1.2699999999999998,causal_connector,cause_concession,because,although,mean,large,content,1,1001+,1001+,2,3-4,after,after,0.1111111111111111,0.041666666666666664,1,2913,15183
p0000146,0,-2.48,causal_connector,cause_concession,though,because,fast,saw,content,1,1001+,1001+,3-4,3-4,after,after,0.06666666666666667,0.08,1,4911,8083
p0000147,1,2.2942307692307695,causal_connector,cause_concession,because,though,wish,story,content,1,1001+,1001+,3-4,5-8,after,after,0.0625,0.038461538461538464,1,16526,10662
p0000148,0,-1.3636363636363635,causal_connector,cause_concession,because,though,pay,rather,content,1,1001+,1001+,3-4,3-4,after,after,0.0,0.22727272727272727,0,13027,2005
p0000149,0,-1.263157894736842,causal_connector,cause_concession,though,because,police,funny,content,1,1001+,1001+,3-4,3-4,after,after,0.0,0.21052631578947367,0,16840,18527
p0000150,1,1.443645484949833,causal_connector,cause_concession,though,because,few,small,content,1,1001+,1001+,3-4,2,after,after,0.07692307692307693,0.08695652173913043,1,19019,16411
p0000151,1,1.1000000000000003,causal_connector,cause_concession,though,because,sent,thought,content,1,1001+,1001+,2,3-4,after,after,0.08333333333333333,0.125,1,15056,8890
p0000152,0,-1.24,causal_connector,cause_concession,because,though,knows,knew,content,1,1001+,1001+,2,2,after,after,0.0,0.04,0,10559,19892
p0000153,0,-8.155882352941177,causal_connector,cause_concession,because,though,company,problem,content,1,1001+,1001+,3-4,3-4,after,after,0.3333333333333333,0.11764705882352941,2,13183,5844
p0000154,1,1.8242857142857145,causal_connector,cause_concession,though,because,met,power,content,1,1001+,1001+,2,3-4,after,after,0.07142857142857142,0.04,1,15370,6340
p0000155,0,-2.163,causal_connector,cause_concession,because,although,among,research,content,1,1001+,1001+,1,1,after,after,0.0625,0.041666666666666664,1,3212,19819
p0000156,1,1.838461538461538,causal_connector,cause_concession,because,though,case,great,content,1,1001+,1001+,2,3-4,after,after,0.06666666666666667,0.07692307692307693,1,14545,17167
p0000157,0,-0.983,causal_connector,cause_concession,because,although,lives,began,content,1,1001+,1001+,2,2,after,after,0.0,0.16666666666666666,0,5080,1923
p0000158,0,-1.72,causal_connector,cause_concession,because,though,love,knew,content,1,1001+,1001+,2,2,after,after,0.0,0.12,0,18307,10388
p0000159,1,1.610130434782609,causal_connector,cause_concession,because,although,cold,area,content,1,1001+,1001+,3-4,2,after,after,0.08333333333333333,0.043478260869565216,1,9452,19000
p0000160,1,1.1300000000000003,causal_connector,cause_concession,though,because,write,understand,content,1,1001+,1001+,3-4,2,after,after,0.08333333333333333,0.12,1,7054,14281
p0000161,1,2.95,causal_connector,cause_concession,thus,though,member,kept,content,1,1001+,1001+,3-4,5-8,after,after,0.0,0.2,0,3534,13431
p0000162,0,-0.978,causal_connector,cause_concession,because,though,father,words,content,1,1001+,1001+,2,2,after,after,0.0,0.16666666666666666,0,6916,4146
p0000163,0,-2.931578947368421,causal_connector,cause_concession,though,because,return,already,content,1,1001+,1001+,2,2,after,after,0.08333333333333333,0.10526315789473684,1,3571,14641
p0000164,1,1.9942307692307695,causal_connector,cause_concession,because,though,always,whole,content,1,1001+,1001+,3-4,2,after,after,0.0625,0.038461538461538464,1,8821,5142
p0000165,0,-3.432608695652174,causal_connector,cause_concession,though,because,reason,always,content,1,1001+,1001+,3-4,3-4,after,after,0.1111111111111111,0.13043478260869565,1,9735,3922
p0000166,0,-2.24,causal_connector,cause_concession,though,because,now,found,content,1,1001+,1001+,2,2,after,after,0.06666666666666667,0.04,1,4237,4909
