token_id,token,surface_repr,direct_count40,component_n16,component_min_count16,component_geo_count16,component_sum_count16,component_tokens16,component_counts16
155,Ú,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
156,Û,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
157,Ü,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
158,Ý,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
159,Þ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
160,ß,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
162,á,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
12621,âģ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
168,ç,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
169,è,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
172,ë,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
173,ì,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
174,í,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
175,î,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
178,ñ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
179,ò,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
180,ó,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
181,ô,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
182,õ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
183,ö,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
184,÷,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
185,ø,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
186,ù,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
187,ú,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
188,û,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
189,ü,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
190,ý,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
191,þ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
192,ÿ,'�',0,1,826,825.9999999999997,826,Ġï¿½,826
24750,Ġforci,'forci',0,2,821,7380.383865355518,67167,Ġfor ci,66346 821
31981,ĠEind,'Eind',0,2,820,1823.26081513315,4874,ĠE ind,4054 820
17835,Ġpreca,'preca',0,2,819,856.6352782835884,1715,Ġpre ca,896 819
34140,adeshi,'adeshi',0,3,804,1628.3022899922148,7933,Ġad es hi,804 6273 856
14596,flix,'flix',0,2,801,1150.3269100564414,2453,Ġfl ix,1652 801
28198,namese,'namese',0,2,769,2115.1931353897685,6587,Ġnames e,769 5818
23106,ĠCitiz,'Citiz',0,3,742,3005.920839753572,13137,ĠC it iz,7541 4854 742
17542,Ġfingerna,'fingerna',0,2,739,1160.688157947689,2562,Ġfinger na,739 1823
18351,ĠCec,'Cec',0,2,733,2351.074860569096,8274,ĠC ec,7541 733
31163,ifax,'ifax',0,2,725,3701.1011874846145,19619,Ġif ax,18894 725
21278,inax,'inax',0,2,725,10081.59089628219,140916,Ġin ax,140191 725
32715,atene,'atene',0,2,722,5566.967576697382,43646,Ġat ene,42924 722
33051,ikatene,'ikatene',0,4,722,2311.9779872036397,11532,Ġi k at ene,2078 4231 4501 722
37112,haff,'haff',0,2,718,936.3108458199124,1939,Ġha ff,1221 718
34746,isome,'isome',0,2,712,8119.583733172541,93307,Ġis ome,92595 712
37816,olesome,'olesome',0,3,712,1745.5970382013595,6256,Ġo les ome,3234 2310 712
34762,Ġpome,'pome',0,2,712,1819.1690410734245,5360,Ġp ome,4648 712
28442,liÃ¡,'liá',0,2,710,724.3548853980346,1449,Ġli Ã¡,739 710
26820,Ã¡lez,'ález',0,4,710,5634.380436689495,95572,Ġ Ã¡ le z,86754 710 4324 3784
25660,ĠHroth,'Hroth',0,3,707,2584.244432767161,10631,ĠH r oth,5421 4503 707
28783,ĠPodliÃ¡,'Podliá',0,4,706,1567.6624264796683,10470,ĠP od li Ã¡,7433 1621 706 710
18185,igail,'igail',0,3,705,5219.55959753919,89784,Ġ ig ail,86754 2325 705
31961,ĠOric,'Oric',0,2,701,1482.9150346530312,3838,ĠO ric,3137 701
39505,ablack,'ablack',0,3,700,1739.9466227515402,7643,Ġab l ack,700 5599 1344
17644,abwe,'abwe',0,2,700,738.9181280764469,1480,Ġab we,700 780
31896,ĠSny,'Sny',0,2,700,2327.960480764225,8442,ĠS ny,7742 700
26645,ĠOls,'Ols',0,2,694,1475.4924601637242,3831,ĠO ls,3137 694
32099,Ġtraged,'traged',0,2,687,858.1748073673567,1759,Ġtra ged,687 1072
33061,ĠGrassing,'Grassing',0,3,683,2443.8131806647293,21226,ĠGr ass ing,683 1099 19444
28867,zong,'zong',0,2,671,939.6999521123753,1987,Ġz ong,671 1316
34847,ĠNAL,'NAL',0,2,667,1694.7277067422942,4973,ĠN AL,4306 667
22155,Ġwret,'wret',0,2,667,1329.9939849488046,3319,Ġw ret,2652 667
32966,echea,'echea',0,3,659,2471.0471490889095,12730,Ġe che a,2357 659 9714
27135,ĠSows,'Sows',0,2,657,2255.3256971000883,8399,ĠS ows,7742 657
33710,ĠAuck,'Auck',0,2,656,2907.2158502594884,13540,ĠA uck,12884 656
38595,rolet,'rolet',0,2,640,783.8367176906166,1600,Ġro let,640 960
28454,ĠArron,'Arron',0,2,619,845.1780877424593,1773,ĠAr ron,1154 619
33050,shfield,'shfield',0,2,618,790.0506312889067,1628,Ġsh field,1010 618
23957,ctica,'ctica',0,3,616,2203.8411561812927,9261,Ġc t ica,3179 5466 616
15462,querque,'querque',0,3,616,1739.6180180565977,11148,Ġqu er que,886 9646 616
34996,Ġhandica,'handica',0,2,616,1605.602690580706,4801,Ġhand ica,4185 616
21637,Ġtransp,'transp',0,2,608,1768.6605101036203,5753,Ġtrans p,608 5145
16172,cony,'cony',0,2,603,2443.4203486097126,10504,Ġcon y,603 9901
29013,Ġconster,'conster',0,2,603,639.872643578392,1282,Ġcon ster,603 679
35040,ĠNewfound,'Newfound',0,3,592,2003.9649716388408,8016,ĠNew f ound,3282 4142 592
38631,ĠPover,'Pover',0,2,581,2078.117657881768,8014,ĠP over,7433 581
36303,bsky,'bsky',0,3,578,3800.507002527286,26911,Ġb s ky,4313 22020 578
35345,marana,'marana',0,2,569,658.4664000539436,1331,Ġmar ana,569 762
26263,ĠMinnea,'Minnea',0,3,567,1557.7064298561397,7454,ĠMin n ea,567 5722 1165
38530,aloes,'aloes',0,2,560,859.4416792313486,1879,Ġal oes,1319 560
25344,undu,'undu',0,2,557,1637.8375987868885,5373,Ġund u,557 4816
26853,HEEDF,'HEEDF',0,3,556,1171.429725627033,4184,ĠHE ED F,556 1182 2446
26971,disambig,'disambig',0,3,556,1633.534978112726,6253,Ġdis amb ig,3372 556 2325
23257,Ġremin,'remin',0,2,554,2223.4873509871823,9478,Ġrem in,554 8924
16539,Ġremn,'remn',0,2,554,1780.44601153756,6276,Ġrem n,554 5722
22449,lorn,'lorn',0,2,552,1428.546114061426,4249,Ġl orn,3697 552
26596,ĠAime,'Aime',0,2,551,2664.4106290134796,13435,ĠA ime,12884 551
37328,ellular,'ellular',0,3,542,1104.9456820347516,3955,Ġe ll ular,2357 1056 542
19609,$=,'$=',0,2,538,655.6386199729235,1337,Ġ$ =,799 538
37031,Hull,'Hull',0,2,537,1706.187856011172,5958,ĠH ull,5421 537
34962,aughn,'aughn',0,4,528,7331.784438464647,209662,Ġa u gh n,198596 4816 528 5722
24253,aloxone,'aloxone',0,3,527,1075.7639805963897,3637,Ġal ox one,1319 527 1791
27680,Ġliveli,'liveli',0,3,526,1464.1679783640673,9340,Ġli vel i,739 526 8075
38094,RETT,'RETT',0,3,521,2153.5571685056007,9806,ĠR ET T,6186 521 3099
39625,ĠMORETT,'MORETT',0,4,521,1813.749081441082,12465,ĠM OR ET T,8008 837 521 3099
19857,uatu,'uatu',0,3,519,2240.7201330444154,9836,Ġu at u,519 4501 4816
25743,ucian,'ucian',0,3,519,1926.0447190245663,8090,Ġu c ian,519 4536 3035
35823,ucius,'ucius',0,3,519,1268.4752839010705,6130,Ġu ci us,519 821 4790
37399,ueger,'ueger',0,3,519,1283.3537134373353,7037,Ġu e ger,519 5818 700
37877,uppi,'uppi',0,3,519,1608.4949896722137,9587,Ġu pp i,519 993 8075
9676,ureau,'ureau',0,3,519,1260.97811176793,5266,Ġu re au,519 3704 1043
27536,uryeo,'uryeo',0,4,519,2795.476077007809,17436,Ġu ry e o,519 2298 5818 8801
38415,pents,'pents',0,2,513,1544.1580230015325,5161,Ġp ents,4648 513
32683,harest,'harest',0,2,510,789.1197627736865,1731,Ġha rest,1221 510
33123,moil,'moil',0,2,500,1288.6038956948719,3821,Ġmo il,500 3321
30996,HROD,'HROD',0,3,498,2070.103706909501,9205,ĠH RO D,5421 498 3286
17637,raoh,'raoh',0,2,485,678.4283307763615,1434,Ġra oh,949 485
30265,Abig,'Abig',0,2,482,1058.6075760167214,2807,ĠAb ig,482 2325
37462,nye,'nye',0,2,475,1019.9264679377628,2665,Ġn ye,2190 475
32967,Ġindeb,'indeb',0,2,473,602.321342806313,1240,Ġind eb,767 473
29725,inki,'inki',0,2,461,8039.1573563402835,140652,Ġin ki,140191 461
28604,sski,'sski',0,3,461,3147.6020328869286,25553,Ġs s ki,3072 22020 461
31999,hansk,'hansk',0,3,454,1328.6324258435586,5906,Ġha ns k,1221 454 4231
18377,Ġvaud,'vaud',0,2,446,899.9644437420847,2262,Ġv aud,1816 446
24069,-deg,'-deg',0,3,443,4218.697370981972,41217,Ġ- de g,36076 443 4698
14785,ishops,'ishops',0,3,443,5317.266330501578,96703,Ġis h ops,92595 3665 443
21359,ĠResour,'Resour',0,2,442,746.566808798784,1703,ĠRes our,442 1261
6309,overy,'overy',0,2,438,1190.1646944855988,3672,Ġo very,3234 438
28621,ĠFezzi,'Fezzi',0,3,438,1283.628275756371,9111,ĠFe zz i,438 598 8075
29261,ĠMilwau,'Milwau',0,3,435,1196.773157070487,5256,ĠMil w au,435 3778 1043
30295,kaid,'kaid',0,2,431,759.1093465371108,1768,Ġk aid,1337 431
29195,ĠWarwicks,'Warwicks',0,3,429,1318.1165183212531,5620,ĠWar w icks,1413 3778 429
28927,Ġregg,'regg',0,2,428,979.5795016230178,2670,Ġre gg,2242 428
22212,ĠGorm,'Gorm',0,2,426,1606.060397369913,6481,ĠG orm,6055 426
21292,ublics,'ublics',0,3,425,711.3644330402336,2576,Ġu bl ics,519 425 1632
30701,velli,'velli',0,3,418,1527.545811300226,9549,Ġve ll i,418 1056 8075
24013,nderland,'nderland',0,3,416,3723.981294249772,88601,Ġ nder land,86754 416 1431
11378,olleyball,'olleyball',0,4,404,1015.8992736315538,5466,Ġo ll ey ball,3234 1056 772 404
10746,emetery,'emetery',0,3,395,1435.266838002024,11052,Ġem eter y,756 395 9901
22301,ĠSevent,'Sevent',0,2,391,549.7663139916815,1164,ĠSe vent,773 391
11704,USIC,'USIC',0,2,389,522.1963232348536,1090,ĠUS IC,701 389
10145,chestra,'chestra',0,2,389,1044.0201147487535,3191,Ġchest ra,389 2802
36325,ĠGuilla,'Guilla',0,2,388,502.96719574938516,1040,ĠGu illa,652 388
21818,FORE,'FORE',0,2,383,961.342290758083,2796,ĠFOR E,383 2413
25232,chini,'chini',0,2,383,733.5632215426286,1788,Ġch ini,1405 383
15953,insula,'insula',0,2,383,576.9116050141477,1252,Ġins ula,869 383
34999,manini,'manini',0,2,383,1932.9161906301072,10138,Ġman ini,9755 383
38556,acters,'acters',0,2,382,678.4614948543509,1587,Ġac ters,382 1205
38555,acum,'acum',0,2,382,987.1585485624893,2933,Ġac um,382 2551
39781,acumalonga,'acumalonga',0,5,382,2466.3740644695968,21289,Ġac um al ong a,382 2551 7326 1316 9714
30450,ĠJAI,'JAI',0,2,379,1111.0369030774805,3636,ĠJ AI,3257 379
37682,ĠSyktyv,'Syktyv',0,4,378,1635.7384649823944,9245,ĠSy k ty v,378 4231 1371 3265
28843,drus,'drus',0,2,376,1342.0283156476246,5166,Ġdr us,376 4790
33824,Ġrati,'rati',0,2,374,1026.0653000662292,3189,Ġr ati,2815 374
17703,ĠAntar,'Antar',0,2,373,1350.5443347036032,5263,ĠAnt ar,373 4890
34985,izoph,'izoph',0,3,370,2877.1668367037214,87866,Ġ iz oph,86754 742 370
21430,seudophil,'seudophil',0,4,370,1095.2179893515538,5863,Ġse ud oph il,994 1178 370 3321
21470,seudophilautus,'seudophilautus',0,6,370,1203.0908137577057,11093,Ġse ud oph il aut us,994 1178 370 3321 440 4790
36087,intestinal,'intestinal',0,3,368,1081.3815515616623,4987,Ġint est inal,932 3687 368
38926,yeol,'yeol',0,2,367,922.9339087930406,2688,Ġye ol,367 2321
19867,erget,'erget',0,2,362,1607.5814131794377,7501,Ġer get,7139 362
36271,Ġconfron,'confron',0,2,356,469.4294409173756,975,Ġconf ron,356 619
37702,wellyn,'wellyn',0,2,353,2060.982532677073,12386,Ġwell yn,12033 353
32218,ĠCheboks,'Cheboks',0,3,348,636.4518366703155,2187,ĠChe bo ks,596 348 1243
27785,terness,'terness',0,2,345,857.8373971796759,2478,Ġter ness,345 2133
19674,ĠEston,'Eston',0,2,345,1182.6368842548425,4399,ĠE ston,4054 345
38732,igrams,'igrams',0,4,339,6229.201357109268,111438,Ġ ig ram s,86754 2325 339 22020
37219,ĠCura,'Cura',0,2,339,1598.8742914938614,7880,ĠC ura,7541 339
26031,-ris,'-ris',0,2,337,3486.7767350376726,36413,Ġ- ris,36076 337
26701,ĠSovi,'Sovi',0,2,337,1560.7165021233031,7565,ĠSo vi,7228 337
34132,ĠMerride,'Merride',0,3,336,1256.457988819647,6150,ĠMer r ide,336 4503 1311
20978,agles,'agles',0,2,335,879.6874444937819,2645,Ġag les,335 2310
28366,agopal,'agopal',0,3,335,1742.5563297139713,9817,Ġag op al,335 2156 7326
28248,lehem,'lehem',0,2,331,520.0259608904158,1148,Ġle hem,817 331
28239,anmar,'anmar',0,2,330,2755.833812115671,23344,Ġan mar,23014 330
37045,SEPH,'SEPH',0,3,328,1954.0076847371686,11008,ĠS EP H,7742 328 2938
32651,oother,'oother',0,2,325,1025.2072961113765,3559,Ġo other,3234 325
7287,vior,'vior',0,2,320,762.3122719725819,2136,Ġv ior,1816 320
10865,hedral,'hedral',0,3,319,4372.723825224108,72230,Ġhe d ral,68060 3851 319
33694,ĠTope,'Tope',0,2,316,1422.4443750108478,6719,ĠT ope,6403 316
24741,ashire,'ashire',0,2,311,3636.7853937234163,42839,Ġas hire,42528 311
14402,hamshire,'hamshire',0,3,311,647.8329378048762,2248,Ġha ms hire,1221 716 311
27623,ĠIcar,'Icar',0,2,304,7515.449687144473,186100,ĠI car,185796 304
33569,BLOCK,'BLOCK',0,3,302,956.8920235135181,9151,ĠB LO CK,8508 302 341
33034,ĠGoico,'Goico',0,2,296,686.463400335371,1888,ĠGo ico,1592 296
19381,bache,'bache',0,2,295,1127.9782799327297,4608,Ġb ache,4313 295
36319,ĠGriment,'Griment',0,2,293,447.34662175990564,976,ĠGr iment,683 293
9583,hantilly,'hantilly',0,3,288,526.0610703668787,1923,Ġha nt illy,1221 414 288
29147,ĠPrinc,'Princ',0,2,285,441.5201014676453,969,ĠPr inc,684 285
30389,ĠCÃ³rd,'Córd',0,3,283,944.6497717691312,8219,ĠC Ã³ rd,7541 283 395
34888,ĠLÃ³,'Ló',0,2,283,1322.902868694448,6467,ĠL Ã³,6184 283
35235,afidis,'afidis',0,3,280,1619.6518075020902,8318,Ġaf id is,280 3030 5008
35234,afish,'afish',0,2,280,748.1443710942425,2279,Ġaf ish,280 1999
26345,ĠCatanz,'Catanz',0,3,279,1835.5585109030685,9921,ĠCat an z,279 5858 3784
35026,Ġobnox,'obnox',0,3,279,810.6473425957978,3141,Ġob no x,279 1059 1803
23549,Ġhomet,'homet',0,2,278,771.130339177496,2417,Ġh omet,2139 278
25432,steop,'steop',0,2,272,765.7884825459313,2428,Ġste op,272 2156
32818,ĠYarm,'Yarm',0,2,271,756.5394900466201,2383,ĠY arm,2112 271
32933,irlaw,'irlaw',0,3,268,3215.5365211020853,88452,Ġ irl aw,86754 268 1430
31664,ĠDIFFER,'DIFFER',0,4,263,2071.3683204260255,17976,ĠD I FF ER,6817 9854 263 1042
15202,ROANING,'ROANING',0,3,262,740.4814094182307,2904,ĠRO AN ING,262 879 1763
20631,hagin,'hagin',0,2,262,565.5987977356389,1483,Ġha gin,1221 262
20717,ĠRegin,'Regin',0,2,262,625.0135998520348,1753,ĠRe gin,1491 262
35832,Ŀng,'�ng',0,2,262,465.201031813129,1088,Ġï¿½ ng,826 262
17258,xual,'xual',0,2,261,496.63366780757036,1206,Ġx ual,261 945
36360,irtus,'irtus',0,3,259,4756.727382657519,91803,Ġ irt us,86754 259 4790
32695,edale,'edale',0,2,257,534.8280097377103,1370,Ġed ale,257 1113
35868,edip,'edip',0,2,257,609.818825553951,1704,Ġed ip,257 1447
9482,urches,'urches',0,2,256,466.4761515876241,1106,Ġur ches,256 850
38443,helf,'helf',0,2,251,4133.1658568221055,68311,Ġhe lf,68060 251
34651,ILA,'ILA',0,2,243,6719.257994749121,186039,ĠI LA,185796 243
34943,ĠAndrian,'Andrian',0,2,243,1849.253633226117,14316,ĠAnd rian,14073 243
35711,ĠAndrianafidis,'Andrianafidis',0,5,243,1853.8836410597441,22776,ĠAnd rian af id is,14073 243 422 3030 5008
36318,ĠGrimb,'Grimb',0,2,243,407.3929307192259,926,ĠGr imb,683 243
23668,phins,'phins',0,2,236,619.4642846847591,1862,Ġph ins,236 1626
26693,ĠVolog,'Volog',0,2,235,951.3069956643862,4086,ĠV olog,3851 235
21809,ipelago,'ipelago',0,4,232,3228.1938207275794,92162,Ġ ip el ago,86754 1447 3729 232
13836,emois,'emois',0,2,230,416.9892084934572,986,Ġem ois,756 230
22327,Ġscrut,'scrut',0,2,230,674.8333127521199,2210,Ġscr ut,230 1980
25392,cedented,'cedented',0,3,229,2202.5262926073146,18085,Ġc ed ented,3179 14677 229
33915,ubon,'ubon',0,2,228,343.99418599737993,747,Ġu bon,519 228
31992,ĠJamm,'Jamm',0,2,228,861.7401000301662,3485,ĠJ amm,3257 228
32878,apolis,'apolis',0,3,226,1379.799447155935,7555,Ġap ol is,226 2321 5008
31147,Ġaspha,'aspha',0,2,223,3079.568800984972,42751,Ġas pha,42528 223
29639,amenc,'amenc',0,2,220,1168.1866289253624,6423,Ġam enc,6203 220
36874,robatidis,'robatidis',0,4,220,1968.8365386196358,12759,Ġrob at id is,220 4501 3030 5008
21630,Ġlocomot,'locomot',0,3,218,1111.9432971448998,5242,Ġloc om ot,218 2572 2452
37410,Ġunwh,'unwh',0,2,216,803.5073117277775,3205,Ġun wh,2989 216
16706,ervoir,'ervoir',0,3,212,1451.598526898364,9372,Ġer vo ir,7139 212 2021
