line_no,example_id,source,nearest_cue,distance_to_cue_chars,target_word,target_word_freq,alternative_word,alternative_word_freq,local_alt_rank,scale_local_margin_target_minus_alt,scale_full_margin_target_minus_alt,base_full_margin_target_minus_alt,context_gain_full_minus_local,scale_minus_base_full_margin,scale_full_target_rank,scale_full_alt_rank,base_full_target_rank,base_full_alt_rank,scale_full_error_vs_alt,unsaturated_abs_full_margin_le_0p5,context_decides_local_alt_full_gold,scale_weaker_than_base_by_0p5,snippet
367,950366,cleanqwen_fineweb_compact_view_reinvest,near,80,jerry,239,says,3584,6,-7.158125162124634,5.307127952575684,5.722776412963867,12.465253114700317,-0.4156484603881836,1,23,1,23,False,False,True,False,"Jerry the Moose is based on a real, extraordinary moose who was born in Endako (near Burns Lake) and was orphaned as a small calf. Jerry the Moose is based on a real moose born in Endako near Burns Lake who was orphaned as a calf. Ringworm, for example, you can pick up from stray cats and dogs, rarely the source of infection is other people. You can get ringworm from stray cats and dogs, rarely from other people. Methane emissions make up about 9"
500,950499,cleanqwen_fineweb_compact_view_reinvest,over,39,white,2863,ally,103,4,-5.877129793167114,-4.314408302307129,-3.0730056762695312,1.5627214908599854,-1.2414026260375977,221,3,152,8,True,False,False,True,"The most common cool roof coatings used over sprayed polyurethane foam (SPF) and other roof deck surfaces are light/white colored. Most cool roof coatings over SPF and other decks are light or white. The expedition's log notes that in September of 1805 ""the men are becoming lean and debilitated, on account of the scarcity and poor quality of provisions on which we exist."" Some were clearly in the early stages of starvation. The 1805 September log"
509,950508,cleanqwen_fineweb_compact_view_reinvest,around,85,ounce,32,eighth,124,9,-8.005177736282349,16.983023166656494,12.115774631500244,24.988200902938843,4.86724853515625,1,12017,1,933,False,False,True,False,"For those children, who are not yet secure in their phonic knowledge, a re-check is administered in the Summer term of Year 2. - During Year 2, daily phonics teaching continues and children continue to learn, re-visit, practise and apply grapheme-phoneme correspondences in reading and writing. Children not yet secure in phonics receive a re-check in Year 2 Summer term while daily teaching continues for all. A little drop of rainwater is a heavy b"
509,950508,cleanqwen_fineweb_compact_view_reinvest,drop,72,ounce,32,eighth,124,4,-9.464416921138763,17.110074996948242,13.206887006759644,26.574491918087006,3.9031879901885986,1,12112,1,1849,False,False,True,False,"For those children, who are not yet secure in their phonic knowledge, a re-check is administered in the Summer term of Year 2. - During Year 2, daily phonics teaching continues and children continue to learn, re-visit, practise and apply grapheme-phoneme correspondences in reading and writing. Children not yet secure in phonics receive a re-check in Year 2 Summer term while daily teaching continues for all. A little drop of rainwater is a heavy b"
525,950524,cleanqwen_fineweb_compact_view_reinvest,into,65,local,1016,sang,271,9,-8.609763622283936,8.163816332817078,10.533252716064453,16.773579955101013,-2.3694363832473755,8,5466,14,12047,False,False,True,True,"Local scenes, for example, often stemmed from other roots or fed into musical practices that were antithetical to the evolutionary chronology of jazz in the US, serving to create a distinctive body of post-war British jazz performers. Local scenes often fed into practices antithetical to US jazz evolution, creating a distinctive body of post-war British jazz performers. Swimming is a fantastic way to release this excess energy as it helps with th"
535,950534,cleanqwen_fineweb_compact_view_reinvest,into,7,studies,563,wood,878,5,-5.865076541900635,3.3836843371391296,4.131318807601929,9.248760879039764,-0.7476344704627991,548,4769,79,2495,False,False,True,True,"Studies into gaming have clearly found that gamers are boosting their decision-making reflexes and skills based on visual cues. Studies show gamers boost decision-making reflexes and skills using visual cues. Evening primrose oil and borage seed oil, which are high in omega-6s, help hydrate the skin and prevent water from evaporating, says Leslie Baumann, director of the University of Miami Cosmetic Medicine and Research Institute. Leslie Baumann"
560,950559,cleanqwen_fineweb_compact_view_reinvest,into,32,whenever,411,fight,1447,8,-4.140707969665527,-3.2989962100982666,-2.5307540893554688,0.8417117595672607,-0.7682421207427979,1405,141,546,77,True,False,False,True,Whenever the tribes moved or went into battle the standard was raised so that the leaders could identify the tribe and their location. Raising the standard helped leaders identify tribes and locations when they moved or fought. Cicero described one court case in which a man getting a shave was killed when a ball accidentally hit the barber. Cicero described a case where a shaving man died when a ball hit the barber. The finding is important becau
563,950562,cleanqwen_fineweb_compact_view_reinvest,left,57,daily,501,christmas,1341,18,-4.9203187227249146,3.6660337448120117,5.072659492492676,8.586352467536926,-1.406625747680664,1,5,1,135,False,False,True,True,"Daily events like supper can leave such children feeling left out, as they may not know what is being discussed around the dinner table. Daily events like supper can leave such children feeling left out because they may not know what is discussed. In pre-Columbian Mexico, three celebrations a year were organized to commemorate the dead. Pre-Columbian Mexico held three yearly celebrations for the dead. For example, after hearing a political debate"
572,950571,cleanqwen_fineweb_compact_view_reinvest,close,59,climate,514,known,3518,21,-7.359816610813141,4.590699911117554,5.470010459423065,11.950516521930695,-0.8793105483055115,19,1940,53,4129,False,False,True,True,"Climate is another reason why many Canadians choose to live close to the border. Climate causes many Canadians to live near the border. Garlic is one of the most used herbs that deer cannot stand eating or smelling! Deer cannot eat or smell garlic, one of the most used herbs. The fortress of Kuelap is a walled city associated with the Chachapoyas culture built in 6th century AD. Kuelap fortress is a 6th-century AD walled city of the Chachapoyas c"
608,950607,cleanqwen_fineweb_compact_view_reinvest,more,45,children,3675,commonly,245,8,-5.695312559604645,0.3813199996948242,-0.6679446697235107,6.076632559299469,1.049264669418335,194,255,398,243,False,True,False,False,Children exposed to second-hand smoke are also more likely to develop ear infections. Second-hand smoke causes more ear infections in children. The response contains completion status information about the request and may also contain requested content in its message body. The response contains completion status and may include requested content. Treatment requires surgery to remove nearly all of the thyroid and removal of surrounding lymph nodes
653,950652,cleanqwen_fineweb_compact_view_reinvest,turn,83,ions,48,ones,1610,20,-1.67671537399292,11.263221740722656,9.578669548034668,12.939937114715576,1.6845521926879883,1,316,1,35,False,False,True,False,"Plasma, the fourth state of matter, consists of electrons, ions and neutral species and is the most common form found in space, stars and lightning, Jiang said. Jiang said plasma, the most common matter in space, stars, and lightning, contains electrons, ions, and neutral species. Once you start travelling on Golra Sharif Road, a sharp turn comes for a village named after the saint - Shah Allah Ditta. After starting on Golra Sharif Road, a sharp "
657,950656,cleanqwen_fineweb_compact_view_reinvest,before,29,children,3675,people,12507,1,-6.071262359619141,2.110581874847412,2.0323681831359863,8.181844234466553,0.07821369171142578,8,26,14,68,False,False,True,False,Children who start to stutter before age 3½ are more likely to outgrow it than children who start to stutter at an older age. - The amount of time that it's lasted. Children starting to stutter before age 3½ are more likely to outgrow it than those starting later. Dogs are usually used when quail hunting due to how easily they can detect a quail. Dogs are used for quail hunting because they easily detect quail. By promoting a healthier balance of
694,950693,cleanqwen_fineweb_compact_view_reinvest,last,26,brown,1150,girl,4077,6,-5.06581449508667,10.222582340240479,9.971824169158936,15.288396835327148,0.25075817108154297,1,227,1,136,False,False,True,False,"Brown, who was in Beijing last week to discuss deepening cooperation with China on climate and clean technology. Brown was in Beijing last week to discuss climate and clean tech cooperation with China. AP Biology is a notoriously challenging course that students take in order to earn advance placement or credits for college. AP Biology is hard; students take it for college credits or placement. If you feel it is serious, or your upset stomach occ"
738,950737,cleanqwen_fineweb_compact_view_reinvest,more,41,christmas,1341,small,3358,5,-6.130755424499512,13.597948789596558,11.939429759979248,19.72870421409607,1.6585190296173096,1,3109,1,1939,False,False,True,False,"Christmas trees are decorated in Slovenia, more often now with purchased decorations than with homemade decorations like in olden times. Slovenians now buy decorations for Christmas trees more often than they did in olden times. Beech wood is famed for its saprophytes - species growing on decaying organic matter. Beech wood is famous for saprophytes growing on decaying matter. According to latest analysis revealed in JAMA Internal Medicine, a Med"
775,950774,cleanqwen_fineweb_compact_view_reinvest,into,78,native,501,according,1034,2,-6.568612575531006,0.9606552124023438,-0.0177154541015625,7.52926778793335,0.9783706665039062,4,12,2,1,False,False,True,False,"Native to the New World tropics, this species has been introduced accidentally into North America, Australia, and southern Africa, where it is an economically important pest in rangelands. Native to New World tropics, this species accidentally entered North America, Australia, and southern Africa, becoming an important rangeland pest. In order to investigate the causes, mechanisms, and results of social categorisation, Dr Quinn used techniques fr"
797,950796,cleanqwen_fineweb_compact_view_reinvest,before,47,thus,726,perhaps,1729,10,-4.347371578216553,-1.8598558902740479,-3.3358625173568726,2.487515687942505,1.4760066270828247,779,186,1900,214,True,False,False,False,"Thus we must answer questions about existence before we can answer questions about essence. - God is a necessary being, is simple (e.g., not compound). We must answer existence questions before essence questions because God is a simple necessary being. If you are connected via WIFI or an Ethernet cable, you should see it in that list. If connected via WIFI or Ethernet cable, you should see it in that list. The story of sugar is indeed an extraord"
800,950799,cleanqwen_fineweb_compact_view_reinvest,more,45,indonesia,75,india,704,1,-5.574994087219238,3.801865577697754,2.405014991760254,9.376859664916992,1.3968505859375,2,16,1,7,False,False,True,False,"Indonesia, India, Spain and Taiwan account for more than 35 percent of all sharks taken annually, based on their own reported data. Indonesia, India, Spain, and Taiwan account for over 35 percent of annual shark catches based on their data. Since we had time while the cookies were baking, we introduced Baby K to his first sensory material. We introduced Baby K to his first sensory material while cookies baked. Recent research into the neurobiolog"
811,950810,cleanqwen_fineweb_compact_view_reinvest,above,77,instead,1517,perhaps,1729,25,-5.872970104217529,-3.375334143638611,-4.766179323196411,2.4976359605789185,1.3908451795578003,7066,1063,10206,1023,True,False,False,False,"Instead the flash is thought to have come from a giant meteor burning up high above Jupiter's cloud tops, which did not plunge deep enough into the atmosphere to explode and leave behind any telltale cloud of debris, as seen in previous Jupiter collisions. Instead, the flash came from a giant meteor burning high above Jupiter's clouds, which did not plunge deep enough to explode or leave debris like previous collisions. The information provided h"
834,950833,cleanqwen_fineweb_compact_view_reinvest,break,55,once,4084,until,4217,31,-1.8304920196533203,2.7272262573242188,2.8632829189300537,4.557718276977539,-0.13605666160583496,77,477,38,233,False,False,True,False,"Once the plant has captured the energy from the sun to break down carbon dioxide and water into glucose, it is then used as an essential part of the plant's metabolism. After capturing sun energy to break carbon dioxide and water into glucose, the plant uses it for metabolism. Many small and medium sized businesses collapsed due to competition from corporations which led to downwards mobility forcing middle class people to undertake low paying wo"
871,950870,cleanqwen_fineweb_compact_view_reinvest,same,67,bird,1157,play,5324,25,-6.601382613182068,-3.1917728185653687,-3.2947992086410522,3.409609794616699,0.1030263900756836,3175,364,5652,971,True,False,False,False,"APRIL is the cruellest month, breeding Lilacs out of the dead land, mixing Memory and desire, stirring Dull roots with spring rain. April is cruellest, breeding lilacs, mixing memory and desire, stirring roots with rain. For example, a person may feel the need to continue pointing at a door handle until they ‘feel’ like it is locked. A person may keep pointing at a door handle until they feel it is locked. Whether the predator is a wolf or a cat,"
872,950871,cleanqwen_fineweb_compact_view_reinvest,face,10,whatever,1285,view,678,22,-1.2735190391540527,5.147124290466309,4.597893238067627,6.420643329620361,0.5492310523986816,2,35,9,146,False,False,True,False,"Whatever we face in life, our own attitude should be like Hannah's, approaching our Father in true humility and trust, and giving all glory to Him who alone is worthy. Whatever we face, our attitude should be like Hannah's, approaching our Father in humility and trust, giving glory to Him alone worthy. The salivary duct system is than visually examined for any source of obstruction whether it be thick sludge, stone, or abnormal narrowing. The sal"
918,950917,cleanqwen_fineweb_compact_view_reinvest,facing,43,despite,719,prevent,443,19,-0.26230573654174805,-0.1688380241394043,2.9717369079589844,0.09346771240234375,-3.1405749320983887,27,23,5,48,True,True,False,True,"Despite the vast and continuing challenges facing independent media worldwide, there are signs in many countries that progress is being made, with inclusive media policies being developed or in prospect. Despite global challenges, many countries show progress with inclusive media policies being developed or planned. This finding, say the researchers, indicates that inertia, and not friction, is the greater force for the fruit fly to overcome in t"
919,950918,cleanqwen_fineweb_compact_view_reinvest,below,41,ions,48,rations,12,7,-0.04173564910888672,1.7617430686950684,4.304286003112793,1.803478717803955,-2.5425429344177246,17,96,14,713,False,False,True,True,"Harcourt, which became a standard textbook for many years thereafter. Harcourt became a standard textbook for many years. Solutions containing molecules or ions that reduce the concentration of H+ below that of pure water have pH values above 7 and are basic or alkaline. Solutions with H+ below pure water have pH above 7 and are basic or alkaline. There is more depth, and a whole brain perspective required, in such research and study of cases suc"
948,950947,cleanqwen_fineweb_compact_view_reinvest,more,66,high,3040,active,432,15,-2.091187000274658,0.7958230972290039,0.45398521423339844,2.887010097503662,0.34183788299560547,47,141,111,179,False,False,True,False,"As tolerance increases, the user feels compelled to use higher, more frequent quantities of the drug in an effort to achieve the “high” they are used to experiencing. As tolerance increases, users need higher, more frequent drug amounts to get their usual high. The shutdown was planned because the LHC was in operation for three years and needs upgrades in order to continue to extend its research. The shutdown was planned because the LHC operated "
959,950958,cleanqwen_fineweb_compact_view_reinvest,same,69,oxford,523,several,1683,14,-4.923299312591553,14.75139331817627,13.4839448928833,19.674692630767822,1.2674484252929688,1,5862,1,9268,False,False,True,False,"Oxford cloth is created by weaving together two yarns that are of the same color but just a shade different, giving it a marled texture that breaks from the ordinary aesthetic of a solid dress shirt. Oxford cloth weaves two same-color yarns of slightly different shades, creating a marled texture that differs from a solid dress shirt's look. This region is an area that has been affected by Hurricane Katrina and Rita, growth, and changing sea level"
973,950972,cleanqwen_fineweb_compact_view_reinvest,into,65,according,1034,home,7204,5,2.1155500411987305,2.279451370239258,3.640054702758789,0.16390132904052734,-1.3606033325195312,5,62,6,135,False,False,False,True,"According to Herlinda, it is also the point where new life is born into the cosmos. Herlinda says this is where new life is born into the cosmos. Soil improvement, not an herbicide, is the best way to assure that your lawn grasses gets the upper hand. Soil improvement, not herbicide, best assures lawn grasses get the upper hand. If a property is physical ly obvious in Theory A, but the corresponding property in Theory B may be difficult to recogn"
996,950995,cleanqwen_fineweb_compact_view_reinvest,higher,11,ions,48,ants,81,25,-0.889439582824707,4.738451957702637,5.567514419555664,5.627891540527344,-0.8290624618530273,2,74,2,106,False,False,True,True,"In fact, thousands of golf cart incidents happen every year, many which are serious and sometimes even fatal. Thousands of golf cart incidents happen yearly, many serious or fatal. The regression coefficients of the observed vs. simulated concentration of the major ions were higher than 0.961 in all the three replicates with slopes ranging between 0.717 and 0.940. All three replicates showed regression coefficients above 0.961 for major ion conce"
1019,951018,cleanqwen_fineweb_compact_view_reinvest,around,9,ounce,32,species,736,16,-3.931067943572998,11.715861678123474,11.210291862487793,15.646929621696472,0.5055698156356812,1,1966,1,687,False,False,True,False,"The ones that weight around an ounce are called “pygmy mouse lemurs” and the largest of the species are called “indri lemurs”. Small ones weigh an ounce and are pygmy mouse lemurs; largest are indri lemurs. In 1997, the only year for which national statistics are available, more than 177,000 students were suspended or expelled for drug, alcohol or tobacco violations. In 1997, the only year with national stats, over 177,000 students were suspended"
1061,951060,cleanqwen_fineweb_compact_view_reinvest,first,74,according,1034,native,501,1,-0.1716756820678711,3.6331043243408203,2.420632839202881,3.8047800064086914,1.2124714851379395,3,133,5,90,False,False,True,False,"According to ancient tradition, Mary, the mother of Jesus, and Stephen, the first bishop of Jerusalem who was stoned to death, are believed to be buried here. Ancient tradition says Mary, Jesus's mother, and Stephen, Jerusalem's first bishop stoned to death, are buried here. After choosing photography, I learned that editing is key into creating a good narrative. Choosing photography taught me editing creates good narratives. The purpose of a Goo"
1101,951100,cleanqwen_fineweb_compact_view_reinvest,face,62,never,7464,perhaps,1729,39,0.45030927658081055,3.296708106994629,2.471406936645508,2.8463988304138184,0.8253011703491211,3,23,6,15,False,False,False,False,"When children spend time in child care or other facilities they are exposed to a large number of other children, increasing the opportunity for the spread of infectious diseases. Children in child care or other facilities meet many others, increasing infectious disease spread. There are several approaches to playing the keys on a melodica and after playing awhile you will find what best suites you. Several melodica key approaches exist, and playi"
1239,951238,cleanqwen_fineweb_compact_view_reinvest,first,39,ions,48,inches,136,8,-4.787271499633789,9.81553316116333,13.038801670074463,14.60280466079712,-3.223268508911133,1,186,1,807,False,False,True,True,"DeMaria ElectroOptics also supplied a near-infrared laser being used in the development of the radiometer that will fly on the SOFIA missionan effort between NASA and the German space agency, DLR. DeMaria ElectroOptics supplied a near-infrared laser for the radiometer flying on the NASA and DLR SOFIA mission. When these metals form ions, the 4s electrons are always lost first. 4s electrons are lost first when metals form ions. At a technical leve"
1239,951238,cleanqwen_fineweb_compact_view_reinvest,first,23,ions,48,percent,505,13,-3.1024560928344727,11.921112060546875,13.819090247154236,15.023568153381348,-1.8979781866073608,1,538,1,1310,False,False,True,True,"DeMaria ElectroOptics also supplied a near-infrared laser being used in the development of the radiometer that will fly on the SOFIA missionan effort between NASA and the German space agency, DLR. DeMaria ElectroOptics supplied a near-infrared laser for the radiometer flying on the NASA and DLR SOFIA mission. When these metals form ions, the 4s electrons are always lost first. 4s electrons are lost first when metals form ions. At a technical leve"
1262,951261,cleanqwen_fineweb_compact_view_reinvest,holds,48,stone,783,aged,567,14,-4.16683554649353,2.954024076461792,4.730792164802551,7.120859622955322,-1.7767680883407593,128,1357,19,1642,False,False,True,True,"Here at Blasieholmen, until well into the 1600s, were long navy shipyard and it was actually here that the Vasa was built, Hans-Lennart Ohlsson, President of the Maritime Museum. Blasieholmen was a navy shipyard until the 1600s where Hans-Lennart Ohlsson says the Vasa was built. 30, 2008, a cougar was shot and killed in a neighborhood by Bossier City Police Department. On March 30, 2008, Bossier City Police shot and killed a cougar. This collecti"
1304,951303,cleanqwen_fineweb_compact_view_reinvest,close,43,researchers,381,people,12507,10,-1.9050827026367188,7.120987415313721,10.172045946121216,9.02607011795044,-3.051058530807495,2,101,2,426,False,False,True,True,"Researchers found the two species have shared close quarters throughout history, depending on shifting nature of glacial ice and land. Researchers found two species shared close quarters due to shifting glacial ice and land. When soft drinks calories are added to the food we eat, the excess of it will be stored as fat. Added soft drink calories become fat if they exceed food calories. However, since this is not practical in many applications, mot"
1353,951352,cleanqwen_fineweb_compact_view_reinvest,over,6,people,12507,play,5324,27,-5.6045902967453,10.30380129814148,11.378574073314667,15.90839159488678,-1.0747727751731873,1,2052,1,3174,False,False,True,True,"People over 40 with bifocals or reading glasses often run into problems because their glasses are geared to looking at books held 16 inches away, rather than computer screens that are typically two feet away. People over 40 with bifocals or reading glasses often have problems because their glasses are for books 16 inches away, not computer screens two feet away. When mature, the cucumber fruit is 90% water, and is not particularly high in nutrien"
1360,951359,cleanqwen_fineweb_compact_view_reinvest,lower,68,children,3675,people,12507,10,-0.7387170791625977,4.017704010009766,1.27138090133667,4.756421089172363,2.7463231086730957,93,1596,178,469,False,False,True,False,"Children are also taught the alphabet song and are introduced to both lower and upper case letters simultaneously. - In Key Stage 1, phonics teaching is continued in daily, focused sessions and children continue to learn new grapheme phoneme correspondences and practise and apply these each day. In Key Stage 1, children learn the alphabet song, upper and lower case letters, and continue daily phonics sessions to practice new grapheme phoneme corr"
1363,951362,cleanqwen_fineweb_compact_view_reinvest,break,57,captain,1220,greater,711,3,-7.146848201751709,12.80064582824707,13.954770892858505,19.94749402999878,-1.154125064611435,1,837,1,2398,False,False,True,True,"Captain America sent General Bryan to New York in 2038 to break up the resistance that was gathering. Captain America sent General Bryan to New York in 2038 to stop the gathering resistance. During those heady days, women were a powerful voice, a compelling presence in the protests. Women were a powerful voice and compelling presence in protests. Even though mustard gas was more notorious, phosgene actually accounted for more deaths: approximatel"
1374,951373,cleanqwen_fineweb_compact_view_reinvest,same,45,ounce,32,million,1253,1,-13.55917501449585,7.509677410125732,10.51326334476471,21.068852424621582,-3.003585934638977,1,538,1,3845,False,False,True,True,"Again, there is the use of in in such constructions as he caught in back of the plate, apparently suggested by in front. The use of ""in"" in ""he caught in back of the plate"" is apparently suggested by ""in front. Scientists writing in Neurology analyzed diets of more than 21,000 people nationwide and found those in North and South Carolina, Georgia, Alabama, Mississippi, Tennessee, Arkansas and Louisiana ate a 3-ounce serving of fish an average of "
1374,951373,cleanqwen_fineweb_compact_view_reinvest,same,62,ounce,32,short,1495,1,-12.874643802642822,8.280104160308838,4.3594794273376465,21.15474796295166,3.9206247329711914,1,281,7,1116,False,False,True,False,"Again, there is the use of in in such constructions as he caught in back of the plate, apparently suggested by in front. The use of ""in"" in ""he caught in back of the plate"" is apparently suggested by ""in front. Scientists writing in Neurology analyzed diets of more than 21,000 people nationwide and found those in North and South Carolina, Georgia, Alabama, Mississippi, Tennessee, Arkansas and Louisiana ate a 3-ounce serving of fish an average of "
1449,951448,cleanqwen_fineweb_compact_view_reinvest,more,27,researchers,381,people,12507,7,-5.146822452545166,6.322932720184326,8.141622543334961,11.469755172729492,-1.8186898231506348,2,35,2,97,False,False,True,True,"Researchers already knew that more forested areas were home to more birds with rounder wing tips, improving maneuverability around branches. Researchers knew more forested areas held more birds with rounder wing tips for better branch maneuverability. Concussions are complex injuries It can be challenging to recognize when a concussion occurs. Concussions are complex injuries that can be hard to recognize. In some children, the ligaments of the f"
1466,951465,cleanqwen_fineweb_compact_view_reinvest,after,56,lincoln,153,pope,370,2,-7.22044563293457,13.323405683040619,10.406907320022583,20.54385131597519,2.916498363018036,1,3518,1,1019,False,False,True,False,"Lincoln then restored Pope's army to McClellan, who even after obtaining a copy of Lee's orders dividing his forces, did not move swiftly enough to encounter the Confederates before they were reunited. Lincoln restored Pope's army to McClellan, who, despite getting Lee's divided orders, moved too slowly to meet Confederates before they reunited. The skies are cloudless with a low humidity, 40% - 60%, thus the high temperatures are easier to bear."
1484,951483,cleanqwen_fineweb_compact_view_reinvest,over,16,once,4084,weeks,1267,25,-4.465550780296326,1.0947876274585724,2.2243765592575073,5.560338407754898,-1.129588931798935,866,2134,283,1802,False,False,True,True,"Once molting is over after three weeks, the bulls return to their migratory life and do not return to land until six months later, when they mate with the females in the Antarctic spring. After three weeks of molting, bulls resume migration and stay at sea for six months until Antarctic spring mating. Twenty people have died and two million others have been affected, according to the government. Government says twenty died and two million were af"
1489,951488,cleanqwen_fineweb_compact_view_reinvest,more,63,according,1034,similar,670,4,2.522937774658203,0.5093851089477539,0.9571628570556641,-2.013552665710449,-0.44777774810791016,21,36,21,52,False,False,False,False,"According to its developers the machine is capable of performing more that 200 trillion operations per second. Developers say the machine performs over 200 trillion operations per second. The parents share the incubating duties and once the eggs hatch, they are both busy feeding their voracious youngsters. Parents share incubating duties and feed voracious hatchlings after eggs hatch. A mosque present at that site was shifted few miles away. The "
