label,pid,pred,gold,pred_wc,gold_wc,pred_ic,gold_ic,is_nothing,is_recency,matches_initial,irrelevant_ops,entity_type
binding_ep25_alpha0p50,ambiref_0_ops_284,the small mirror and the small block and the big file.,the green cash and the red document and the yellow picture.,11,11,3,3,False,0,False,3,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_292,the red fish.,the big beer.,3,3,1,1,False,0,False,3,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_293,the big cream.,the blue brick.,3,3,1,1,False,0,False,3,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_301,the small magazine and the red gift and the blue letter.,the small magazine and the red gift and the blue magazine.,11,11,3,3,False,0,False,3,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_314,the yellow creature and the small note.,the green bus and the small note.,7,7,2,2,False,0,False,4,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_315,the small meat and the big tape.,the small meat and the yellow tape.,7,7,2,2,False,0,False,4,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_323,the red bowl and the yellow cheese.,the yellow wire and the yellow cheese.,7,7,2,2,False,0,False,4,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_342,the green rock and the big train and the yellow flower.,the green rock and the green train and the yellow flower.,11,11,3,3,False,0,False,4,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_344,the yellow picture and the yellow pipe.,the red fan and the green ice.,7,7,2,2,False,0,False,4,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_346,the blue drug and the green flower and the red fish.,the blue drug and the green flower and the yellow newspaper.,11,11,3,3,False,0,False,5,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_354,the blue note and the big newspaper.,the blue note and the red card.,7,7,2,2,False,0,False,5,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_357,the big radio and the red cross.,the yellow train and the small picture.,7,7,2,2,False,0,False,5,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_369,the blue knife and the yellow fig.,the red fan and the big bag.,7,7,2,2,False,0,False,5,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_374,the yellow ball.,the small boot.,3,3,1,1,False,0,False,5,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_375,the blue camera and the small cigarette and the yellow ice.,the yellow bowl and the blue car and the small cross.,11,11,3,3,False,0,False,5,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_383,the big newspaper and the red bag.,the big newspaper and the yellow magazine.,7,7,2,2,False,0,False,6,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_390,the blue cream.,the red creature.,3,3,1,1,False,0,False,6,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_393,the big game.,the blue tape.,3,3,1,1,False,0,False,6,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_405,the big shell and the red stone and the yellow shell.,the big shell and the yellow stone and the yellow shell.,11,11,3,3,False,0,False,6,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_407,the blue card and the green bread and the yellow tea.,the blue fan and the red tea and the blue cash.,11,11,3,3,False,0,False,7,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_419,the blue ice and the small medicine.,the red bag and the yellow bag.,7,7,2,2,False,1,False,7,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_423,the red ice.,the green car.,3,3,1,1,False,0,False,7,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_433,the blue card and the green bread and the yellow tea.,the blue fan and the red tea and the blue cash.,11,11,3,3,False,0,False,8,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_447,the green crown and the yellow tissue and the green ticket.,the blue rose and the yellow coffee and the yellow document.,11,11,3,3,False,0,False,8,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_448,the green ball and the big radio and the blue watch.,the green ball and the big radio and the green watch.,11,11,3,3,False,0,False,8,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_454,the small watch and the green phone and the red file.,the big bus and the small branch and the small paper.,11,11,3,3,False,0,False,9,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_457,the blue note and the big bag and the green dress.,the blue note and the red radio and the green dress.,11,11,3,3,False,0,False,9,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_468,the green suit and the small bone and the red bone.,the green camera and the red guitar and the red bowl.,11,11,3,3,False,1,False,9,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_470,the blue machine and the yellow fig and the green map.,the yellow train and the red dish and the red brick.,11,11,3,3,False,0,False,9,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_505,the blue suit and the small bone and the green guitar.,the yellow wire and the blue map and the yellow newspaper.,11,11,3,3,False,1,False,12,ambiref
binding_ep25_alpha0p50,regular_0_ops_20,the coffee and the tissue.,the camera and the dress.,5,5,2,2,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_22,the card and the wheel and the stone.,the card and the letter and the stone.,8,8,3,3,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_24,the shoe and the television.,the shirt and the tape.,5,5,2,2,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_52,the card and the plate and the watch.,the bell and the plate and the watch.,8,8,3,3,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_72,the mirror.,the ring.,2,2,1,1,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_74,the file and the milk and the television.,the cake and the plane and the string.,8,8,3,3,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_81,the crown and the pipe.,the crown and the letter.,5,5,2,2,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_100,the drug and the shell and the tie.,the drug and the shell and the string.,8,8,3,3,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_105,the watch.,the glass.,2,2,1,1,False,0,False,0,regular
binding_ep25_alpha0p50,regular_0_ops_122,the apple and the coat and the map.,the game and the knife and the ring.,8,8,3,3,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_126,the bone and the cigarette.,the bone and the train.,5,5,2,2,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_133,the brain and the dish.,the crown and the fig.,5,5,2,2,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_151,the bell.,the plane.,2,2,1,1,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_157,the camera and the mirror and the note.,the camera and the fan and the note.,8,8,3,3,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_160,the car.,the bag.,2,2,1,1,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_167,the tea.,the leaf.,2,2,1,1,False,0,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_179,the chemical and the egg.,the disk and the wheel.,5,5,2,2,False,1,False,1,regular
binding_ep25_alpha0p50,regular_0_ops_201,the bill and the rose.,the brain and the machine.,5,5,2,2,False,0,False,2,regular
binding_ep25_alpha0p50,regular_0_ops_210,the picture.,the creature.,2,2,1,1,False,0,False,2,regular
binding_ep25_alpha0p50,regular_0_ops_217,the bottle and the stone and the tape.,the car and the magazine and the note.,8,8,3,3,False,0,False,2,regular
binding_ep25_alpha0p50,regular_0_ops_242,the camera.,the plate.,2,2,1,1,False,1,False,2,regular
binding_ep25_alpha0p50,regular_0_ops_253,the cross.,the letter.,2,2,1,1,False,0,False,2,regular
binding_ep25_alpha0p50,regular_0_ops_260,the tea.,the disk.,2,2,1,1,False,0,True,2,regular
binding_ep25_alpha0p50,regular_0_ops_263,the apple and the clock and the ticket.,the camera and the fish and the letter.,8,8,3,3,False,0,False,2,regular
binding_ep25_alpha0p50,regular_0_ops_300,the pot and the car.,the pot and the train.,5,5,2,2,False,0,False,3,regular
binding_ep25_alpha0p50,regular_0_ops_312,the tape.,the creature.,2,2,1,1,False,1,False,3,regular
binding_ep25_alpha0p50,regular_0_ops_316,the bowl and the glass and the ring.,the bus and the magazine and the meat.,8,8,3,3,False,0,False,3,regular
binding_ep25_alpha0p50,regular_0_ops_337,the letter and the plane and the string.,the letter and the plane and the seed.,8,8,3,3,False,0,False,4,regular
binding_ep25_alpha0p50,regular_0_ops_340,the bread and the bus and the fish.,the document and the magazine and the ticket.,8,8,3,3,False,0,False,4,regular
binding_ep25_alpha0p50,regular_0_ops_359,the machine.,the game.,2,2,1,1,False,0,False,4,regular
binding_ep25_alpha0p50,regular_0_ops_367,the bill and the cash and the disk.,the book and the bottle and the cake.,8,8,3,3,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_371,the train.,the paper.,2,2,1,1,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_375,the paper and the milk.,the paper and the plane.,5,5,2,2,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_382,the car and the cup and the wire.,the car and the cup and the document.,8,8,3,3,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_383,the bus and the cheese and the egg.,the bell and the car and the cup.,8,8,3,3,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_394,the tea.,the brick.,2,2,1,1,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_395,the bomb and the brick and the ice.,the drug and the map and the radio.,8,8,3,3,False,0,False,5,regular
binding_ep25_alpha0p50,regular_0_ops_404,the beer and the knife.,the beer and the pipe.,5,5,2,2,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_407,the apple and the bag and the note.,the engine and the hat and the train.,8,8,3,3,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_411,the flower and the shoe.,the creature and the watch.,5,5,2,2,False,1,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_412,the guitar and the pipe and the shirt.,the ball and the chemical and the tea.,8,8,3,3,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_415,the bomb and the wire.,the bomb and the drink.,5,5,2,2,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_417,the bowl and the clock and the rock.,the book and the boot and the fan.,8,8,3,3,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_419,the flower and the gift and the pipe.,the bell and the jacket and the rock.,8,8,3,3,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_423,the boot and the meat and the milk.,the bag and the clock and the cross.,8,8,3,3,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_424,the flower and the painting.,the glass and the painting.,5,5,2,2,False,0,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_431,the coat.,the suit.,2,2,1,1,False,1,False,6,regular
binding_ep25_alpha0p50,regular_0_ops_433,the bone and the bowl and the knife.,the camera and the fish and the letter.,8,8,3,3,False,0,False,7,regular
binding_ep25_alpha0p50,regular_0_ops_438,the cigarette and the painting and the tissue.,the cigarette and the sheet and the tissue.,8,8,3,3,False,0,False,7,regular
binding_ep25_alpha0p50,regular_0_ops_440,the chemical and the crown.,the bottle and the document.,5,5,2,2,False,1,False,7,regular
binding_ep25_alpha0p50,regular_0_ops_447,the crown and the fig.,the brain and the dish.,5,5,2,2,False,0,False,7,regular
binding_ep25_alpha0p50,regular_0_ops_448,the clock and the coat and the key.,the hat and the painting and the shell.,8,8,3,3,False,0,False,7,regular
binding_ep25_alpha0p50,regular_0_ops_464,the flower and the bone and the wire.,the flower and the suit and the wire.,8,8,3,3,False,0,False,8,regular
binding_ep25_alpha0p50,regular_0_ops_467,the brick and the plant and the shell.,the bill and the plant and the shell.,8,8,3,3,False,0,False,8,regular
binding_ep25_alpha0p50,regular_0_ops_468,the bottle and the flower and the letter.,the gift and the plate and the suit.,8,8,3,3,False,0,False,8,regular
binding_ep25_alpha0p50,regular_0_ops_482,the painting.,the machine.,2,2,1,1,False,0,False,9,regular
binding_ep25_alpha0p50,regular_0_ops_485,the cross and the mirror.,the disk and the fan.,5,5,2,2,False,0,False,9,regular
binding_ep25_alpha0p50,regular_0_ops_487,the newspaper and the painting.,the bag and the coffee.,5,5,2,2,False,0,False,10,regular
binding_ep25_alpha0p50,regular_0_ops_492,the apple and the egg.,the cup and the gift.,5,5,2,2,False,0,False,10,regular
binding_ep25_alpha0p50,regular_0_ops_493,the guitar.,the tissue.,2,2,1,1,False,1,False,10,regular
binding_ep25_alpha0p50,regular_0_ops_495,the jacket and the machine and the picture.,the jacket and the machine and the tape.,8,8,3,3,False,0,False,10,regular
binding_ep25_alpha0p50,regular_0_ops_496,the picture and the string and the suit.,the bell and the cigarette and the tape.,8,8,3,3,False,0,False,10,regular
binding_ep25_alpha0p50,regular_0_ops_499,the bone and the picture and the rock.,the block and the bread and the fish.,8,8,3,3,False,1,False,11,regular
binding_ep25_alpha0p50,regular_0_ops_500,the shirt and the tissue and the watch.,the dish and the drug and the picture.,8,8,3,3,False,1,False,11,regular
binding_ep25_alpha0p50,regular_0_ops_501,the cup and the paper and the sheet.,the cup and the phone and the sheet.,8,8,3,3,False,0,False,11,regular
binding_ep25_alpha0p50,regular_0_ops_510,the bowl and the glass and the machine.,the creature and the magazine and the train.,8,8,3,3,False,0,False,12,regular
binding_ep25_alpha0p50,move_contents_0_ops_14,the sheet and the cream.,the sheet and the wheel.,5,5,2,2,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_22,the cup and the key and the bell.,the cup and the key and the tape.,8,8,3,3,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_23,the bowl and the bread and the wheel.,the block and the magazine and the radio.,8,8,3,3,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_35,the cross.,the plate.,2,2,1,1,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_38,the document and the fish.,the drug and the letter.,5,5,2,2,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_39,the beer and the fan and the guitar.,the beer and the fan and the wheel.,8,8,3,3,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_42,the shirt and the plane.,the bell and the plane.,5,5,2,2,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_45,the cream and the pot.,the bus and the pot.,5,5,2,2,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_51,the cash and the map and the train.,the cash and the map and the string.,8,8,3,3,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_71,the knife.,the wheel.,2,2,1,1,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_81,the bottle and the egg.,the cream and the creature.,5,5,2,2,False,0,False,0,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_104,the bomb and the hat and the tie.,the game and the guitar and the pot.,8,8,3,3,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_109,the bag and the egg and the glass.,the bell and the camera and the magazine.,8,8,3,3,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_110,the bowl.,the string.,2,2,1,1,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_111,the cream.,the note.,2,2,1,1,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_117,the chemical.,the bone.,2,2,1,1,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_118,the book and the knife.,the fan and the pipe.,5,5,2,2,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_120,the apple and the branch and the dress.,the cigarette and the coffee and the ice.,8,8,3,3,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_121,the tie.,the wire.,2,2,1,1,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_129,the brain and the drug and the meat.,the cream and the drink and the radio.,8,8,3,3,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_145,the coffee.,the game.,2,2,1,1,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_152,the cross.,the map.,2,2,1,1,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_182,the document and the fish.,the drug and the letter.,5,5,2,2,False,0,False,1,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_190,the rock and the map.,the engine and the map.,5,5,2,2,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_192,the bowl and the shirt and the milk.,the bowl and the map and the milk.,8,8,3,3,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_204,the phone and the rose.,the computer and the seed.,5,5,2,2,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_211,the ball and the tea and the television.,the ball and the key and the television.,8,8,3,3,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_224,the tape and the tie.,the tape and the television.,5,5,2,2,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_228,the drug and the bread and the flower.,the boot and the bread and the flower.,8,8,3,3,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_233,the sheet and the machine.,the sheet and the wheel.,5,5,2,2,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_234,the apple and the ball.,the bill and the cheese.,5,5,2,2,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_235,the bone.,the computer.,2,2,1,1,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_239,the dish and the leaf and the sheet.,the game and the pot and the wheel.,8,8,3,3,False,0,False,2,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_276,the wire.,the leaf.,2,2,1,1,False,0,False,3,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_289,the beer and the bottle and the milk.,the block and the bottle and the milk.,8,8,3,3,False,0,False,3,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_291,the fish and the mirror and the pipe.,the fish and the mirror and the paper.,8,8,3,3,False,0,False,3,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_297,the coffee.,the camera.,2,2,1,1,False,0,False,3,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_298,the mirror and the tie.,the disk and the rock.,5,5,2,2,False,1,False,3,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_317,the ball and the tea.,the chemical and the coffee.,5,5,2,2,False,0,False,3,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_323,the fish and the milk.,the fig and the tea.,5,5,2,2,False,1,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_329,the computer and the glass.,the computer and the seed.,5,5,2,2,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_332,the plant.,the plate.,2,2,1,1,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_343,the disk and the shoe.,the creature and the shoe.,5,5,2,2,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_344,the leaf and the pot.,the cream and the map.,5,5,2,2,False,1,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_347,the tie and the bottle and the milk.,the block and the bottle and the milk.,8,8,3,3,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_351,the knife.,the map.,2,2,1,1,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_352,the map.,the leaf.,2,2,1,1,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_363,the bus and the clock and the newspaper.,the beer and the fan and the wheel.,8,8,3,3,False,0,False,4,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_365,the jacket and the paper.,the jacket and the radio.,5,5,2,2,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_367,the bag.,the rock.,2,2,1,1,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_375,the bottle and the shirt.,the seed and the shirt.,5,5,2,2,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_376,the magazine and the newspaper and the painting.,the cake and the disk and the game.,8,8,3,3,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_381,the hat.,the suit.,2,2,1,1,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_383,the plate and the bottle.,the plate and the string.,5,5,2,2,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_385,the shirt.,the leaf.,2,2,1,1,False,0,False,5,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_398,the gift and the letter.,the gift and the shoe.,5,5,2,2,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_403,the cigarette and the disk and the knife.,the bone and the guitar and the suit.,8,8,3,3,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_405,the egg and the string.,the fan and the pipe.,5,5,2,2,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_406,the bottle and the egg.,the cream and the creature.,5,5,2,2,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_408,the drink.,the suit.,2,2,1,1,False,1,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_409,the pot and the radio and the television.,the magazine and the radio and the television.,8,8,3,3,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_417,the mirror.,the cake.,2,2,1,1,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_419,the game.,the suit.,2,2,1,1,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_423,the chemical and the magazine and the plane.,the ball and the key and the seed.,8,8,3,3,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_425,the computer and the ice and the seed.,the boot and the bowl and the plane.,8,8,3,3,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_427,the bread and the knife and the wire.,the bread and the cash and the wire.,8,8,3,3,False,0,False,6,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_432,the medicine.,the clock.,2,2,1,1,False,0,False,7,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_446,the computer.,the key.,2,2,1,1,False,1,False,7,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_449,the computer and the mirror.,the boat and the disk.,5,5,2,2,False,0,False,7,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_455,the ice.,the machine.,2,2,1,1,False,0,False,8,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_456,the computer and the tie and the wheel.,the computer and the rose and the wheel.,8,8,3,3,False,0,False,8,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_459,the bell and the car.,the tape and the train.,5,5,2,2,False,0,False,8,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_461,the mirror.,the boat.,2,2,1,1,False,0,False,8,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_466,the ball and the drug and the string.,the cake and the chemical and the shell.,8,8,3,3,False,0,False,8,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_471,the camera and the jacket.,the chemical and the gift.,5,5,2,2,False,0,False,9,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_472,the glass and the mirror and the tape.,the book and the document and the shell.,8,8,3,3,False,0,False,9,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_473,the cross and the leaf and the meat.,the cake and the chemical and the shell.,8,8,3,3,False,0,False,9,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_482,the bag and the rose.,the hat and the knife.,5,5,2,2,False,1,False,9,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_499,the cup and the engine and the key.,the cheese and the phone and the picture.,8,8,3,3,False,0,False,11,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_501,the card and the paper and the radio.,the clock and the coffee and the phone.,8,8,3,3,False,0,False,11,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_503,the drink and the tea.,the dress and the newspaper.,5,5,2,2,False,0,False,11,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_505,the ball and the newspaper and the shoe.,the cash and the map and the string.,8,8,3,3,False,0,False,12,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_512,the cup.,the medicine.,2,2,1,1,False,0,False,12,move_contents
binding_ep25_alpha0p50,move_contents_0_ops_515,the fish and the machine and the medicine.,the key and the tape and the watch.,8,8,3,3,False,0,False,12,move_contents
binding_ep25_alpha0p75,ambiref_0_ops_4,the small paper and the yellow rose.,the small paper and the big egg.,7,7,2,2,False,0,False,0,ambiref
binding_ep25_alpha0p75,ambiref_0_ops_22,the blue dish and the yellow rose and the blue bag.,the big radio and the yellow rose and the blue bag.,11,11,3,3,False,0,False,0,ambiref
binding_ep25_alpha0p75,ambiref_0_ops_29,the big shell.,the big beer.,3,3,1,1,False,0,False,0,ambiref
binding_ep25_alpha0p75,ambiref_0_ops_43,the blue ice.,the big painting.,3,3,1,1,False,0,False,0,ambiref
binding_ep25_alpha0p75,ambiref_0_ops_44,the big ring.,the big disk.,3,3,1,1,False,0,False,0,ambiref
binding_ep25_alpha0p75,ambiref_0_ops_49,the blue shoe and the yellow shoe and the blue shirt.,the big cheese and the red cheese and the big hat.,11,11,3,3,False,0,False,0,ambiref
