source,boost,rows,words,relation_group_frac,relation_token_frac,selected_group_multiplier_vs_uniform,target_token_multiplier_vs_uniform,relation_selected_group_frac,relation_target_token_frac,rows_clipped,rows_clipped_frac
open_subtitles,3.0,11434,1829440,0.12798819726889016,0.12194713020736006,0.9999999999999998,0.9869002037084366,0.3839645918066703,0.37069745172548646,0,0.0
open_subtitles,4.0,11434,1829440,0.12798819726889016,0.12194713020736006,0.9999999999999998,0.9803501641833737,0.511906153144718,0.4975187994609224,7,0.0006122092006297008
qwen_pair_packed,1.0,12236,1656800,0.10361223386018031,0.09202612722756572,1.0000000000000002,0.9999999999999967,0.10361223386018009,0.09202612722756641,0,0.0
qwen_pair_packed,1.5,12236,1656800,0.10361223386018031,0.09202612722756572,1.0000000000000002,0.9939012868093046,0.15541835079027122,0.13888621805138382,0,0.0
qwen_pair_packed,2.0,12236,1656800,0.10361223386018031,0.09202612722756572,1.0000000000000002,0.9878025736186097,0.20722446772036018,0.18632493918384416,0,0.0
qwen_pair_packed,3.0,12236,1656800,0.10361223386018031,0.09202612722756572,1.0000000000000002,0.9756061713791949,0.3108330798093515,0.28297840670358704,1,8.172605426610003e-05
qwen_pair_packed,4.0,12236,1656800,0.10361223386018031,0.09202612722756572,1.0000000000000002,0.9634131108524543,0.41436925647451867,0.3820104183903434,9,0.0007355344883949003
simple_wiki,1.0,6619,1059040,0.061034484407196166,0.045957970961374335,1.0000000000000002,0.9999999999999744,0.06103448440719624,0.045957970961375605,0,0.0
simple_wiki,1.5,6619,1059040,0.061034484407196166,0.045957970961374335,1.0,0.9927442229338652,0.09155172661079387,0.0694408034310504,0,0.0
simple_wiki,2.0,6619,1059040,0.061034484407196166,0.045957970961374335,1.0,0.9854884458677268,0.1220689688143925,0.09326942625067154,0,0.0
simple_wiki,3.0,6619,1059040,0.061034484407196166,0.045957970961374335,1.0,0.9709768917354645,0.18310345322158775,0.1419950506110351,0,0.0
simple_wiki,4.0,6619,1059040,0.061034484407196166,0.045957970961374335,1.0,0.956465337603194,0.244137937628785,0.1921992116370489,0,0.0
switchboard,1.0,132,21120,0.12537878787878787,0.12044875063742988,1.0,0.9999999999999993,0.12537878787878787,0.12044875063742996,0,0.0
switchboard,1.5,132,21120,0.12537878787878787,0.12044875063742988,1.0,0.9974392007705744,0.18806818181818183,0.1811369813985306,0,0.0
switchboard,2.0,132,21120,0.12537878787878787,0.12044875063742988,1.0,0.9948784015411478,0.25075757575757573,0.24213763300287744,0,0.0
switchboard,3.0,132,21120,0.12537878787878787,0.12044875063742988,1.0,0.9897568030822979,0.37613636363636366,0.36508589866418295,0,0.0
switchboard,4.0,132,21120,0.12537878787878787,0.12044875063742988,1.0,0.9846352046234458,0.5015151515151515,0.4893131997387525,0,0.0
