category,boost,candidate_groups,candidate_tokens,candidate_group_frac_of_all_visible_groups,candidate_token_frac_of_all_visible_tokens,expected_selected_groups,expected_selected_tokens,expected_group_multiplier_vs_uniform_category,expected_token_multiplier_vs_uniform_category,expected_group_frac_of_all_selected_groups,expected_token_frac_of_all_selected_tokens
physical_interaction,1.0,40930.0,48467.0,0.0041463485793614965,0.0035361467345855096,6139.499999996797,7270.049999996616,0.9999999999994783,0.9999999999995345,0.004146348579359333,0.003536146734584638
physical_interaction,1.5,40930.0,48467.0,0.0041463485793614965,0.0035361467345855096,9209.250000007098,10905.075000007364,1.500000000001156,1.500000000001013,0.006219522869047038,0.00534020666522498
physical_interaction,2.0,40930.0,48467.0,0.0041463485793614965,0.0035361467345855096,12278.999999993594,14540.099999993232,1.9999999999989566,1.999999999999069,0.008292697158718667,0.007168913155841643
physical_interaction,3.0,40930.0,48467.0,0.0041463485793614965,0.0035361467345855096,18418.351548335428,21809.93904833596,2.9999758202354307,2.9999709834644825,0.012438945480352018,0.010902192298857888
physical_interaction,4.0,40930.0,48467.0,0.0041463485793614965,0.0035361467345855096,24553.979757426383,29074.723786064493,3.9993451840420855,3.9992467432912417,0.016582679222229144,0.014737178577868416
quantity_measure,1.0,162047.0,184558.0,0.016415913712186477,0.01346533041124131,24307.050000048814,27683.700000052617,1.0000000000020082,1.0000000000019007,0.01641591371221944,0.013465330411269849
quantity_measure,1.5,162047.0,184558.0,0.016415913712186477,0.01346533041124131,36460.57499988886,41525.54999988639,1.4999999999954277,1.499999999995896,0.02462387056820465,0.020335029230553366
quantity_measure,2.0,162047.0,184558.0,0.016415913712186477,0.01346533041124131,48614.10000009763,55367.40000010523,2.0000000000040163,2.0000000000038014,0.03283182742443888,0.027298579945508335
quantity_measure,3.0,162047.0,184558.0,0.016415913712186477,0.01346533041124131,72915.95986737423,83045.2119152986,2.9997864762434863,2.9997873086075413,0.04924423594899699,0.04151203117961338
quantity_measure,4.0,162047.0,184558.0,0.016415913712186477,0.01346533041124131,97020.6683401477,110495.21205136119,3.991462079526216,3.9913455228658448,0.06552349708296674,0.05600698682409612
social_relation,1.0,47642.0,68199.0,0.00482629706860348,0.0049757911806383144,7146.299999994355,10229.849999993967,0.9999999999992101,0.9999999999994102,0.004826297068599667,0.004975791180636469
social_relation,1.5,47642.0,68199.0,0.00482629706860348,0.0049757911806383144,10719.45000000954,15344.775000011885,1.500000000001335,1.5000000000011617,0.007239445602911661,0.007514324269332011
social_relation,2.0,47642.0,68199.0,0.00482629706860348,0.0049757911806383144,14292.59999998871,20459.699999987934,1.9999999999984202,1.9999999999988205,0.009652594137199334,0.010087538083957815
social_relation,3.0,47642.0,68199.0,0.00482629706860348,0.0049757911806383144,21438.72000001908,30689.37000002377,2.999974812143218,2.999982404436406,0.014478769641731087,0.015340777089268716
social_relation,4.0,47642.0,68199.0,0.00482629706860348,0.0049757911806383144,28582.524084943132,40915.92764429917,3.999625552375793,3.9996605663132074,0.019303381078942864,0.02073915944344037
spatial_state,1.0,111023.0,133730.0,0.011247008510296884,0.00975692538874121,16653.449999974564,20059.499999997348,0.9999999999984726,0.9999999999998678,0.011247008510279705,0.009756925388742056
spatial_state,1.5,111023.0,133730.0,0.011247008510296884,0.00975692538874121,24980.174999963103,30089.24999996386,1.4999999999977844,1.4999999999981983,0.016870512765420405,0.014734682099968982
spatial_state,2.0,111023.0,133730.0,0.011247008510296884,0.00975692538874121,33306.89999994913,40118.999999994696,1.999999999996945,1.9999999999997355,0.02249401702055941,0.019780443525100014
spatial_state,3.0,111023.0,133730.0,0.011247008510296884,0.00975692538874121,49959.93296045251,60178.08296045403,2.999974957768661,2.9999792098733282,0.03374074388070167,0.030081378547527373
spatial_state,4.0,111023.0,133730.0,0.011247008510296884,0.00975692538874121,66600.40995860848,80221.3448005043,3.9991959599127194,3.999169710137556,0.04497899099548327,0.04066199537374224
