mode,word,delta_exp_1M,delta_exp_2M,child_aoa,childes_logfreq,whole_logfreq
sort__childes_freq,later,-292.1375,-376.0,28.08468448252086,5.1613313090289115,5.793943054364158
sort__childes_freq,head,-250.0,-383.0,21.410556416835345,6.269473811672127,6.154656375158736
sort__childes_freq,house,-280.0,-318.0,23.090503002489797,6.785272161756341,6.55137314931198
sort__childes_freq,long,-264.0,-339.0,,6.038033372299425,6.520775754778549
sort__childes_freq,party,-220.0,-420.0,25.998215555193525,5.156867514093279,5.749090392360743
sort__childes_freq,boy,-243.0,-360.0,23.9923879977722,6.422568300467102,6.172337137990999
sort__childes_freq,room,-253.0,-319.0,24.722076365420904,6.577165013646126,6.2540307142686755
sort__childes_freq,country,-216.0,-382.0,,3.3723516269914233,5.506164522236254
sort__childes_freq,high,-238.0,-338.0,26.708808302132432,5.784080874773746,5.886117920242595
sort__childes_freq,black,-251.0,-304.0,25.804687037784696,6.698661765079163,6.04335703694208
sort__childes_freq,door,-211.0,-363.0,21.094330119099542,5.945873777681399,5.802435545617071
sort__childes_freq,child,-203.0,-375.0,,4.247431659006836,5.450201193289871
sort__childes_freq,girl,-225.0,-321.0,24.667729430346036,5.99929630103451,6.024185819194328
sort__childes_freq,red,-234.0,-300.0,23.71687667589879,6.2731434058967785,5.790281220272818
sort__childes_freq,morning,-216.0,-332.0,26.726898941775957,5.6209398197306575,5.821580325017661
sort__childes_freq,blue,-213.0,-298.0,22.642599694308036,5.956990056064274,5.445896500992256
sort__childes_freq,hand,-192.0,-305.0,21.18568722469747,6.132580806096998,5.954035228449029
sort__childes_freq,poor,-184.0,-321.0,,4.622732394160128,5.4333070703197786
sort__childes_freq,bear,-197.0,-291.0,20.255559869502484,6.498474957747266,5.4672370176518
sort__childes_freq,sun,-170.0,-340.0,22.620513837393432,5.332812297308436,5.165956716907853
sort__childes_ratio,put,2504.0,4124.0,26.847988805835868,8.021962568335118,7.124482288250216
sort__childes_ratio,mommy,2418.0,3429.0,,7.626455930350997,6.302261769097063
sort__childes_ratio,have,-2081.0,-3119.0,25.902575376900778,8.291184240371877,8.416511711975142
sort__childes_ratio,see,1519.0,2919.1375,23.26497097971234,8.208395569017808,7.6188430602245445
sort__childes_ratio,baby,1754.0,2232.0,,7.175692297978997,6.21861007980149
sort__childes_ratio,look,1540.0,2594.0,24.098423511314476,7.780686376934893,7.14748452410013
sort__childes_ratio,eat,1536.95,2290.0,20.38286318166485,7.331113266273134,6.2681583439782855
sort__childes_ratio,time,-1285.0,-2118.0,,6.927813891533989,7.378511749771549
sort__childes_ratio,hungry,1495.0,1611.0,24.654359259781693,6.722314153130227,5.572933196231209
sort__childes_ratio,people,-1052.0,-1864.8625000000002,27.729170763166103,6.404745353268232,7.132980661780615
sort__childes_ratio,go,791.0,2253.1375,19.7106217091394,8.247803201271969,7.733992192149176
sort__childes_ratio,play,1031.0,1694.0,22.7220598630656,7.207273408240402,6.2902812735777855
sort__childes_ratio,like,602.4625000000001,2537.3312499999993,25.75007721668643,8.39985910501987,7.952476164256436
sort__childes_ratio,book,1094.0,1549.0,,6.978649343360932,6.172337137990999
sort__childes_ratio,bear,1131.0,1211.0,20.255559869502484,6.498474957747266,5.4672370176518
sort__childes_ratio,big,863.0,1670.0,22.607359585163238,7.265422010189091,6.499644173307944
sort__childes_ratio,yellow,1033.0,1276.0,23.813112283182036,6.53013136649,5.506976523661272
sort__childes_ratio,cat,967.0,1155.0,18.228507346753123,6.389211563037923,5.3447476054258445
sort__childes_ratio,first,-762.0,-1414.0,28.986200167021508,6.618980001647649,7.050300301516208
sort__childes_ratio,ball,865.0,1168.99375,,6.376740527463105,5.355193796189734
sort__childes_ratio,stick,835.0,1147.0,24.602147570761282,6.508367098579312,5.429367558538547
sort__childes_ratio,new,-713.0,-1351.8625,28.840785987993776,5.949930372666764,6.741116108230288
sort__childes_ratio,dog,785.0,1115.0,,6.633390585291819,5.781684431017422
sort__childes_ratio,black,765.0,1125.0,25.804687037784696,6.698661765079163,6.04335703694208
sort__childes_ratio,table,734.0,1102.0,23.623454640728905,6.546427981822358,5.630871222045353
sort__childes_ratio,read,700.0,1063.0,23.095216853951683,6.73485758023231,5.9181005289211
sort__childes_ratio,write,652.0,985.0,28.395648019984414,6.570657574939623,5.5861431786687765
sort__childes_ratio,milk,681.0,914.0,18.255048075517685,6.248671456845309,5.192428933788718
sort__childes_ratio,day,-585.0,-1084.725,28.57030413820359,6.327324362435809,6.75868085978167
sort__childes_ratio,old,-578.0,-1097.0,,5.629342642087174,6.566538806248726
sort__childes_ratio,food,610.0,857.0,23.482138731792105,6.401528985631022,5.749408909348354
sort__childes_ratio,cheese,630.0,676.0,18.558248075188768,5.768428276592141,4.580928721615057
sort__childes_ratio,egg,604.0,712.0,21.979637752951344,5.935659705939165,4.8442264557623504
sort__childes_ratio,sit,538.0,839.0,21.993039748466675,6.420673822302685,5.566453403781075
sort__childes_ratio,daddy,514.0,882.0,,6.583093192468943,5.536566255637849
sort__childes_ratio,long,-498.0,-896.0,,6.038033372299425,6.520775754778549
sort__childes_ratio,moon,558.0,639.0,21.266352929569763,5.930513279058709,5.002636723984989
sort__childes_ratio,tape,480.0,778.1375,26.896831500589155,6.3027367025279215,5.141692795841268
sort__childes_ratio,cake,541.0,609.0,22.219009204871558,5.794775528426588,4.729200334404942
sort__childes_ratio,paper,450.0,732.0,22.99233148218998,6.26209397669561,5.44718985548696
sort__spoken_freq,have,5394.5,8371.864516129033,25.902575376900778,8.291184240371877,8.416511711975142
sort__spoken_freq,like,2418.4625,4306.0,25.75007721668643,8.39985910501987,7.952476164256436
sort__spoken_freq,go,1747.5,3271.1375,19.7106217091394,8.247803201271969,7.733992192149176
sort__spoken_freq,think,1838.0,3072.0,,7.608888336748274,7.4157799838344545
sort__spoken_freq,get,1344.0,2580.0,24.364636413972246,8.04227475150112,7.6429580928170475
sort__spoken_freq,see,1272.0,2492.1375,23.26497097971234,8.208395569017808,7.6188430602245445
sort__spoken_freq,good,589.0,1402.275,24.339939004434495,7.600181777990932,7.357941968329268
sort__spoken_freq,say,659.0,1229.0,27.143040225343398,7.261067136062021,7.005158720929226
sort__spoken_freq,look,615.0,1253.0,24.098423511314476,7.780686376934893,7.14748452410013
sort__spoken_freq,people,464.0,1195.1374999999998,27.729170763166103,6.404745353268232,7.132980661780615
sort__spoken_freq,put,456.0,980.0,26.847988805835868,8.021962568335118,7.124482288250216
sort__spoken_freq,old,-401.0,-675.0,,5.629342642087174,6.566538806248726
sort__spoken_freq,new,-393.0,-655.8625,28.840785987993776,5.949930372666764,6.741116108230288
sort__spoken_freq,make,309.0,762.0,26.76673663101711,7.3972868419386195,7.0313038839767765
sort__spoken_freq,night,-349.0,-489.0,24.482917590787725,6.07085159485008,6.329373251515157
sort__spoken_freq,day,-340.0,-417.7249999999999,28.57030413820359,6.327324362435809,6.75868085978167
sort__spoken_freq,home,-371.51250000000005,-330.0,21.78006375395454,6.673945816250395,6.5919548996104025
sort__spoken_freq,house,-337.5,-385.0,23.090503002489797,6.785272161756341,6.55137314931198
sort__spoken_freq,black,-307.0,-442.0,25.804687037784696,6.698661765079163,6.04335703694208
sort__spoken_freq,eat,-351.04999999999995,-343.0,20.38286318166485,7.331113266273134,6.2681583439782855
sort__spoken_freq,white,-272.0,-490.0,26.40244979152026,5.391111291718112,5.726864034099522
sort__spoken_freq,room,-309.0,-370.0,24.722076365420904,6.577165013646126,6.2540307142686755
sort__spoken_freq,head,-275.0,-429.0,21.410556416835345,6.269473811672127,6.154656375158736
sort__spoken_freq,face,-267.0,-438.0,23.708999528999072,5.228087334055585,5.802435545617071
sort__spoken_freq,boy,-272.0,-421.0,23.9923879977722,6.422568300467102,6.172337137990999
sort__spoken_freq,later,-281.0,-374.0,28.08468448252086,5.1613313090289115,5.793943054364158
sort__spoken_freq,take,185.48749999999995,551.0,26.912440144087405,7.147369047691428,6.954261885436218
sort__spoken_freq,time,80.5,709.0,,6.927813891533989,7.378511749771549
sort__spoken_freq,first,-279.0,-299.0,28.986200167021508,6.618980001647649,7.050300301516208
sort__spoken_freq,red,-247.0,-362.0,23.71687667589879,6.2731434058967785,5.790281220272818
sort__spoken_freq,girl,-241.0,-358.0,24.667729430346036,5.99929630103451,6.024185819194328
sort__spoken_freq,high,-247.0,-333.0,26.708808302132432,5.784080874773746,5.886117920242595
sort__spoken_freq,door,-220.0,-375.0,21.094330119099542,5.945873777681399,5.802435545617071
sort__spoken_freq,party,-206.0,-391.0,25.998215555193525,5.156867514093279,5.749090392360743
sort__spoken_freq,blue,-218.0,-346.0,22.642599694308036,5.956990056064274,5.445896500992256
sort__spoken_freq,child,-201.0,-365.0,,4.247431659006836,5.450201193289871
sort__spoken_freq,bear,-211.0,-341.0,20.255559869502484,6.498474957747266,5.4672370176518
sort__spoken_freq,long,-235.0,-279.0,,6.038033372299425,6.520775754778549
sort__spoken_freq,man,-281.0,-186.0,26.239323453067815,6.90393031950422,6.920577719002021
sort__spoken_freq,hand,-211.0,-324.0,21.18568722469747,6.132580806096998,5.954035228449029
sort__childes_composite,like,3351.475,5508.0,25.75007721668643,8.39985910501987,7.952476164256436
sort__childes_composite,have,3166.0,5573.9375,25.902575376900778,8.291184240371877,8.416511711975142
sort__childes_composite,go,2717.0,4591.1375,19.7106217091394,8.247803201271969,7.733992192149176
sort__childes_composite,see,2405.01875,3862.1375,23.26497097971234,8.208395569017808,7.6188430602245445
sort__childes_composite,get,1747.0,3251.0,24.364636413972246,8.04227475150112,7.6429580928170475
sort__childes_composite,put,1649.0,2669.9375,26.847988805835868,8.021962568335118,7.124482288250216
sort__childes_composite,look,1473.0,2548.9375,24.098423511314476,7.780686376934893,7.14748452410013
sort__childes_composite,think,1360.0,2476.9375,,7.608888336748274,7.4157799838344545
sort__childes_composite,mommy,805.0,1415.0,,7.626455930350997,6.302261769097063
sort__childes_composite,good,626.0,1489.2125,24.339939004434495,7.600181777990932,7.357941968329268
sort__childes_composite,make,580.0,1215.0,26.76673663101711,7.3972868419386195,7.0313038839767765
sort__childes_composite,new,-596.0,-1101.8625,28.840785987993776,5.949930372666764,6.741116108230288
sort__childes_composite,say,543.0062499999999,1092.0,27.143040225343398,7.261067136062021,7.005158720929226
sort__childes_composite,first,-553.0,-877.0,28.986200167021508,6.618980001647649,7.050300301516208
sort__childes_composite,old,-508.0,-941.0,,5.629342642087174,6.566538806248726
sort__childes_composite,people,-564.99375,-721.8625000000002,27.729170763166103,6.404745353268232,7.132980661780615
sort__childes_composite,day,-524.0,-800.7249999999999,28.57030413820359,6.327324362435809,6.75868085978167
sort__childes_composite,play,440.0,919.0,22.7220598630656,7.207273408240402,6.2902812735777855
sort__childes_composite,time,-567.9937500000001,-631.0,,6.927813891533989,7.378511749771549
sort__childes_composite,book,386.0,745.0,,6.978649343360932,6.172337137990999
sort__childes_composite,night,-404.0,-649.0,24.482917590787725,6.07085159485008,6.329373251515157
sort__childes_composite,big,333.0,751.0,22.607359585163238,7.265422010189091,6.499644173307944
sort__childes_composite,long,-387.0,-570.0,,6.038033372299425,6.520775754778549
sort__childes_composite,write,352.0,559.0,28.395648019984414,6.570657574939623,5.5861431786687765
sort__childes_composite,baby,176.0,779.875,,7.175692297978997,6.21861007980149
sort__childes_composite,later,-316.0,-444.0,28.08468448252086,5.1613313090289115,5.793943054364158
sort__childes_composite,face,-285.0,-489.0,23.708999528999072,5.228087334055585,5.802435545617071
sort__childes_composite,white,-275.0,-504.0,26.40244979152026,5.391111291718112,5.726864034099522
sort__childes_composite,last,-311.0,-424.86249999999995,,6.201795678430712,6.4812784629342906
sort__childes_composite,party,-255.0,-499.0,25.998215555193525,5.156867514093279,5.749090392360743
sort__childes_composite,take,138.48749999999995,731.0,26.912440144087405,7.147369047691428,6.954261885436218
sort__childes_composite,stick,220.0,560.0,24.602147570761282,6.508367098579312,5.429367558538547
sort__childes_composite,home,-336.51250000000005,-316.0625,21.78006375395454,6.673945816250395,6.5919548996104025
sort__childes_composite,eat,160.95000000000005,611.0,20.38286318166485,7.331113266273134,6.2681583439782855
sort__childes_composite,country,-235.0,-443.0,,3.3723516269914233,5.506164522236254
sort__childes_composite,morning,-245.0,-375.0,26.726898941775957,5.6209398197306575,5.821580325017661
sort__childes_composite,head,-259.0,-332.0,21.410556416835345,6.269473811672127,6.154656375158736
sort__childes_composite,girl,-240.0,-358.0,24.667729430346036,5.99929630103451,6.024185819194328
sort__childes_composite,child,-214.0,-407.0,,4.247431659006836,5.450201193289871
sort__childes_composite,high,-242.0,-342.0,26.708808302132432,5.784080874773746,5.886117920242595
sort__cdi_density,go,3083.0,4936.1375,19.7106217091394,8.247803201271969,7.733992192149176
sort__cdi_density,like,2247.4625,4238.0,25.75007721668643,8.39985910501987,7.952476164256436
sort__cdi_density,see,2259.8875,3781.1375,23.26497097971234,8.208395569017808,7.6188430602245445
sort__cdi_density,put,2252.0,3293.0,26.847988805835868,8.021962568335118,7.124482288250216
sort__cdi_density,get,2138.8875,3428.5375000000004,24.364636413972246,8.04227475150112,7.6429580928170475
sort__cdi_density,look,1919.0,2931.0,24.098423511314476,7.780686376934893,7.14748452410013
sort__cdi_density,mommy,2007.0,2720.0,,7.626455930350997,6.302261769097063
sort__cdi_density,baby,1834.0,2247.0,,7.175692297978997,6.21861007980149
sort__cdi_density,have,1363.8874999999998,2870.0,25.902575376900778,8.291184240371877,8.416511711975142
sort__cdi_density,good,1150.0,2143.8125000000005,24.339939004434495,7.600181777990932,7.357941968329268
sort__cdi_density,big,1286.8875,1759.0,22.607359585163238,7.265422010189091,6.499644173307944
sort__cdi_density,eat,1160.8375,1848.0,20.38286318166485,7.331113266273134,6.2681583439782855
sort__cdi_density,take,969.4875,1545.0,26.912440144087405,7.147369047691428,6.954261885436218
sort__cdi_density,make,973.0,1472.5375,26.76673663101711,7.3972868419386195,7.0313038839767765
sort__cdi_density,bear,1086.0,1118.0,20.255559869502484,6.498474957747266,5.4672370176518
sort__cdi_density,think,703.0,1536.0749999999998,,7.608888336748274,7.4157799838344545
sort__cdi_density,book,888.0,1134.0,,6.978649343360932,6.172337137990999
sort__cdi_density,man,794.0,1304.0,26.239323453067815,6.90393031950422,6.920577719002021
sort__cdi_density,play,816.0,1232.0,22.7220598630656,7.207273408240402,6.2902812735777855
sort__cdi_density,dog,850.0,1137.0,,6.633390585291819,5.781684431017422
sort__cdi_density,car,752.0,970.0,17.496796781553705,6.62156859774509,5.896343099492617
sort__cdi_density,ball,740.0,973.0,,6.376740527463105,5.355193796189734
sort__cdi_density,black,680.0,980.0,25.804687037784696,6.698661765079163,6.04335703694208
sort__cdi_density,yellow,687.0,906.6125,23.813112283182036,6.53013136649,5.506976523661272
sort__cdi_density,cat,655.0,923.0,18.228507346753123,6.389211563037923,5.3447476054258445
sort__cdi_density,red,630.0,879.0,23.71687667589879,6.2731434058967785,5.790281220272818
sort__cdi_density,daddy,640.0,857.0,,6.583093192468943,5.536566255637849
sort__cdi_density,table,595.0,837.0,23.623454640728905,6.546427981822358,5.630871222045353
sort__cdi_density,read,559.0,855.0,23.095216853951683,6.73485758023231,5.9181005289211
sort__cdi_density,boy,608.0,743.0,23.9923879977722,6.422568300467102,6.172337137990999
sort__cdi_density,house,566.0,825.0,23.090503002489797,6.785272161756341,6.55137314931198
sort__cdi_density,sit,535.0,833.0,21.993039748466675,6.420673822302685,5.566453403781075
sort__cdi_density,give,508.0,862.5374999999999,25.598843914428592,6.637978801645617,6.488300266920697
sort__cdi_density,nice,484.88750000000005,857.0,25.83342302182803,6.645579355069875,6.035493394175703
sort__cdi_density,room,486.0,812.0,24.722076365420904,6.577165013646126,6.2540307142686755
sort__cdi_density,moon,557.0,667.0,21.266352929569763,5.930513279058709,5.002636723984989
sort__cdi_density,say,438.0,892.0,27.143040225343398,7.261067136062021,7.005158720929226
sort__cdi_density,bed,507.0,719.0,20.670831293608018,6.0174343573530935,5.528257766862519
sort__cdi_density,stick,483.0,753.0,24.602147570761282,6.508367098579312,5.429367558538547
sort__cdi_density,hungry,464.0,766.0,24.654359259781693,6.722314153130227,5.572933196231209
sort__whole_freq,have,5724.387500000001,8844.0,25.902575376900778,8.291184240371877,8.416511711975142
sort__whole_freq,like,1292.1562500000005,2663.4500000000007,25.75007721668643,8.39985910501987,7.952476164256436
sort__whole_freq,think,1313.69375,2428.0,,7.608888336748274,7.4157799838344545
sort__whole_freq,people,1234.69375,2220.5,27.729170763166103,6.404745353268232,7.132980661780615
sort__whole_freq,go,692.6937499999999,1656.1374999999998,19.7106217091394,8.247803201271969,7.733992192149176
sort__whole_freq,time,695.0,1616.7250000000004,,6.927813891533989,7.378511749771549
sort__whole_freq,get,612.0,1503.0,24.364636413972246,8.04227475150112,7.6429580928170475
sort__whole_freq,eat,-521.05,-849.0,20.38286318166485,7.331113266273134,6.2681583439782855
sort__whole_freq,mommy,-479.0,-749.0,,7.626455930350997,6.302261769097063
sort__whole_freq,good,345.38750000000005,929.2750000000001,24.339939004434495,7.600181777990932,7.357941968329268
sort__whole_freq,say,396.0,804.0,27.143040225343398,7.261067136062021,7.005158720929226
sort__whole_freq,see,275.0,976.1374999999998,23.26497097971234,8.208395569017808,7.6188430602245445
sort__whole_freq,black,-354.0,-588.0,25.804687037784696,6.698661765079163,6.04335703694208
sort__whole_freq,baby,-351.0,-557.0,,7.175692297978997,6.21861007980149
sort__whole_freq,play,-348.0,-533.0,22.7220598630656,7.207273408240402,6.2902812735777855
sort__whole_freq,room,-362.0,-487.0,24.722076365420904,6.577165013646126,6.2540307142686755
sort__whole_freq,house,-386.0,-435.0,23.090503002489797,6.785272161756341,6.55137314931198
sort__whole_freq,home,-379.51250000000005,-354.0,21.78006375395454,6.673945816250395,6.5919548996104025
sort__whole_freq,big,-321.0,-411.0,22.607359585163238,7.265422010189091,6.499644173307944
sort__whole_freq,boy,-276.0,-498.0,23.9923879977722,6.422568300467102,6.172337137990999
sort__whole_freq,book,-296.0,-452.275,,6.978649343360932,6.172337137990999
sort__whole_freq,first,238.0,553.0,28.986200167021508,6.618980001647649,7.050300301516208
sort__whole_freq,night,-313.0,-390.0,24.482917590787725,6.07085159485008,6.329373251515157
sort__whole_freq,dog,-258.0,-483.6375,,6.633390585291819,5.781684431017422
sort__whole_freq,head,-289.0,-417.0,21.410556416835345,6.269473811672127,6.154656375158736
sort__whole_freq,red,-277.0,-434.0,23.71687667589879,6.2731434058967785,5.790281220272818
sort__whole_freq,white,-262.0,-453.0,26.40244979152026,5.391111291718112,5.726864034099522
sort__whole_freq,read,-254.0,-430.9125,23.095216853951683,6.73485758023231,5.9181005289211
sort__whole_freq,food,-256.0,-414.0,23.482138731792105,6.401528985631022,5.749408909348354
sort__whole_freq,yellow,-231.0,-441.0,23.813112283182036,6.53013136649,5.506976523661272
sort__whole_freq,bear,-231.0,-427.0,20.255559869502484,6.498474957747266,5.4672370176518
sort__whole_freq,hungry,-223.0,-441.0,24.654359259781693,6.722314153130227,5.572933196231209
