pair_id,category,pivot_norm_a,target_norm_a,target_norm_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,left_distance,right_distance,between_content_count,row_a,source_a
p0000035,causal_connector,if,container,relationships,content,1,51-100,101-250,1,3,2,300,fw_preserved_compact_view
p0000036,temporal,when,planet,soon,content,1,251-500,1001+,2,6,3,301,simple_wiki
p0000037,comparative,higher,could,down,content,1,1001+,1001+,3,5,3,304,childes
p0000038,temporal,after,shall,can,content,1,1001+,1001+,2,3,1,305,gutenberg
p0000039,causal_connector,if,can,wants,content,1,1001+,1001+,4,2,2,305,gutenberg
p0000040,causal_connector,if,approached,interested,verbish,1,101-250,251-500,6,4,3,306,bnc_spoken
p0000041,spatial,into,house,sold,content,1,1001+,501-1000,2,4,3,307,simple_wiki
p0000042,temporal,when,half,went,content,1,1001+,1001+,2,2,2,308,gutenberg
p0000043,causal_connector,if,own,could,content,1,1001+,1001+,5,2,2,310,qwen_pair_packed
p0000044,spatial,through,should,town,content,1,1001+,1001+,4,2,1,313,gutenberg
p0000045,causal_connector,unless,pass,would,content,1,501-1000,1001+,5,2,5,313,gutenberg
p0000046,temporal,when,about,finish,content,1,1001+,1001+,1,2,1,314,open_subtitles
p0000047,temporal,when,about,friends,content,1,1001+,1001+,1,2,1,314,open_subtitles
p0000048,temporal,since,dark,we're,content,2,1001+,1001+,1,1,1,316,open_subtitles
p0000049,temporal,since,again,haven't,content,2,1001+,1001+,1,2,1,316,open_subtitles
p0000050,temporal,after,international,february,capitalized,1,1001+,1001+,3,3,4,317,simple_wiki
p0000051,causal_connector,although,however,danger,content,2,1001+,501-1000,1,6,3,318,gutenberg
p0000052,causal_connector,unless,freedom,became,content,1,251-500,1001+,1,2,1,318,gutenberg
p0000053,causal_connector,if,second,anybody,content,1,1001+,501-1000,5,1,3,321,open_subtitles
p0000054,spatial,into,run,bright,content,1,1001+,501-1000,1,3,2,324,fw_preserved_compact_view
p0000055,causal_connector,if,boys,party,content,1,1001+,1001+,2,3,3,325,childes
p0000056,temporal,while,will,alright,content,1,1001+,1001+,3,5,2,332,childes
p0000057,spatial,through,line,lack,content,1,1001+,251-500,6,1,3,333,bnc_spoken
p0000058,spatial,inside,eating,called,verbish,1,1001+,1001+,3,2,2,334,open_subtitles
p0000059,temporal,while,should,still,content,1,1001+,1001+,3,2,2,334,open_subtitles
p0000060,temporal,after,spent,night,content,1,501-1000,1001+,2,1,2,336,open_subtitles
p0000061,temporal,after,loss,draw,content,1,501-1000,501-1000,1,3,2,337,simple_wiki
p0000062,spatial,within,down,hear,content,1,1001+,1001+,1,4,2,338,bnc_spoken
p0000063,comparative,than,rather,help,content,1,1001+,1001+,1,2,2,338,bnc_spoken
p0000064,temporal,during,british,american,capitalized,1,1001+,1001+,1,2,1,339,simple_wiki
p0000065,spatial,against,victories,colonists,content,2,51-100,26-50,1,2,1,339,simple_wiki
p0000066,spatial,into,he's,now,content,2,1001+,1001+,2,3,2,343,childes
p0000067,causal_connector,because,water,mhm,content,2,1001+,1001+,1,7,3,343,childes
p0000068,causal_connector,if,yourself,gods,content,2,1001+,251-500,3,7,3,344,childes
p0000069,causal_connector,if,juice,there's,content,2,501-1000,1001+,5,1,2,348,childes
p0000070,temporal,when,foot,stay,content,1,501-1000,1001+,9,2,2,349,childes
p0000071,temporal,when,needs,can,content,1,1001+,1001+,2,2,2,350,open_subtitles
p0000072,comparative,than,seems,doubt,content,1,1001+,501-1000,4,4,5,350,open_subtitles
p0000073,temporal,before,money,sleep,content,1,1001+,1001+,3,2,2,351,open_subtitles
p0000074,temporal,during,lady,too,content,1,1001+,1001+,1,6,3,353,qwen_pair_packed
p0000075,temporal,during,lady,yet,content,1,1001+,1001+,1,4,3,353,qwen_pair_packed
p0000076,causal_connector,if,best,problem,content,1,1001+,1001+,3,4,3,354,open_subtitles
p0000077,spatial,through,ate,apple,content,1,1001+,501-1000,1,2,1,358,childes
p0000078,spatial,through,ate,pears,content,1,1001+,251-500,1,2,1,358,childes
p0000079,spatial,between,association,consumption,nominal,1,501-1000,101-250,1,2,2,359,fw_preserved_compact_view
p0000080,comparative,lower,association,consumption,nominal,1,501-1000,101-250,2,1,2,359,fw_preserved_compact_view
p0000081,causal_connector,if,workers,consumers,content,2,251-500,51-100,1,2,2,360,fw_preserved_compact_view
p0000082,spatial,into,another,house,content,2,1001+,1001+,3,2,1,361,gutenberg
p0000083,comparative,longer,bother,stays,content,1,101-250,101-250,2,7,5,363,open_subtitles
p0000084,temporal,during,pneumonia,address,content,1,51-100,251-500,1,3,2,365,qwen_pair_packed
p0000085,spatial,beyond,room,there's,content,2,1001+,1001+,4,2,2,366,gutenberg
p0000086,spatial,within,stood,small,content,1,1001+,1001+,1,2,1,367,qwen_pair_packed
p0000087,causal_connector,because,yyy,cha,content,1,501-1000,101-250,3,7,3,373,childes
p0000088,spatial,through,caterpillar,nice,content,1,1001+,1001+,2,2,2,376,childes
p0000089,temporal,after,leaf,felt,content,1,501-1000,1001+,2,3,1,376,childes
p0000090,spatial,onto,down,room,content,1,1001+,1001+,4,3,3,384,childes
p0000091,causal_connector,because,supper,knew,content,1,501-1000,1001+,1,2,1,386,gutenberg
p0000092,causal_connector,if,supper,keep,content,1,501-1000,1001+,5,6,5,386,gutenberg
p0000093,spatial,behind,lives,faces,content,1,1001+,251-500,3,2,4,387,open_subtitles
p0000094,causal_connector,if,says,enough,content,1,1001+,1001+,7,4,3,391,gutenberg
p0000095,temporal,when,somehow,says,content,1,251-500,1001+,1,2,2,391,gutenberg
p0000096,temporal,while,toys,talk,content,1,1001+,1001+,1,2,1,392,childes
p0000097,temporal,while,little,can,content,1,1001+,1001+,1,4,2,392,childes
p0000098,spatial,behind,man,reason,content,1,1001+,1001+,1,4,1,393,qwen_pair_packed
p0000099,temporal,before,details,visit,content,1,251-500,1001+,1,2,1,393,qwen_pair_packed
p0000100,causal_connector,if,could,thee,content,1,1001+,251-500,4,3,2,394,gutenberg
p0000101,spatial,outside,hear,man,content,1,1001+,1001+,5,3,3,395,gutenberg
p0000102,causal_connector,although,helping,thinking,verbish,1,251-500,1001+,6,2,4,395,gutenberg
p0000103,comparative,more,now,thousand,content,1,1001+,1001+,1,3,2,400,qwen_pair_packed
p0000104,comparative,than,now,thousand,content,1,1001+,1001+,2,2,2,400,qwen_pair_packed
p0000105,spatial,between,hear,father,content,1,1001+,1001+,3,2,3,402,childes
p0000106,spatial,into,agnes,tilly,capitalized,1,251-500,101-250,4,4,3,403,gutenberg
p0000107,temporal,when,again,should,content,1,1001+,1001+,1,2,2,403,gutenberg
p0000108,causal_connector,though,horses,must,content,1,501-1000,1001+,3,3,3,405,childes
p0000109,causal_connector,though,yet,band,content,1,1001+,501-1000,4,3,3,406,qwen_pair_packed
p0000110,temporal,while,upon,other,content,1,1001+,1001+,3,5,4,407,gutenberg
p0000111,causal_connector,if,later,off,content,1,1001+,1001+,4,4,5,408,childes
p0000112,temporal,while,little,needta,content,1,1001+,251-500,1,4,2,408,childes
p0000113,causal_connector,though,feels,friends,content,1,251-500,1001+,2,2,1,409,qwen_pair_packed
p0000114,temporal,after,bridge,crash,content,1,501-1000,251-500,3,3,3,415,fw_preserved_compact_view
p0000115,causal_connector,unless,full,they've,content,2,1001+,501-1000,1,1,1,417,bnc_spoken
p0000116,temporal,before,story,goes,content,1,1001+,1001+,1,2,1,418,childes
p0000117,spatial,above,meters,level,content,1,251-500,501-1000,1,2,2,419,simple_wiki
p0000118,temporal,when,comes,pretty,content,1,1001+,1001+,2,9,2,420,qwen_pair_packed
p0000119,causal_connector,though,shows,rather,content,1,501-1000,1001+,4,4,5,420,qwen_pair_packed
p0000120,spatial,through,haven't,yet,content,2,1001+,1001+,2,2,1,423,bnc_spoken
p0000121,temporal,when,fled,conquered,verbish,1,101-250,101-250,1,2,2,432,gutenberg
p0000122,temporal,when,night,guys,content,1,1001+,1001+,1,2,1,433,childes
p0000123,comparative,shorter,next,note,content,1,1001+,501-1000,1,1,1,434,qwen_pair_packed
p0000124,temporal,before,richard,eric,capitalized,1,501-1000,251-500,4,1,3,435,open_subtitles
p0000125,causal_connector,if,stuff,find,content,1,1001+,1001+,3,3,2,435,open_subtitles
p0000126,spatial,inside,weak,chamber,content,1,251-500,251-500,2,2,2,439,fw_preserved_compact_view
p0000127,spatial,inside,weak,chamber,content,1,251-500,251-500,2,2,2,439,fw_preserved_compact_view
p0000128,temporal,when,peace,herself,content,2,501-1000,1001+,1,4,2,444,gutenberg
p0000129,temporal,before,stood,ready,content,1,1001+,1001+,1,2,1,444,gutenberg
p0000130,temporal,when,ask,door,content,1,1001+,1001+,2,6,3,447,qwen_pair_packed
p0000131,causal_connector,if,column,newspaper,content,1,101-250,251-500,1,2,1,448,qwen_pair_packed
p0000132,causal_connector,if,column,newspaper,content,1,101-250,251-500,1,2,1,448,qwen_pair_packed
p0000133,spatial,into,heavy,now,content,2,501-1000,1001+,8,2,4,452,open_subtitles
p0000134,temporal,when,drink,baby,content,1,1001+,1001+,1,4,1,453,childes
p0000135,temporal,when,money,another,content,1,1001+,1001+,4,4,3,462,gutenberg
p0000136,temporal,while,thought,send,content,1,1001+,1001+,3,2,2,463,gutenberg
p0000137,temporal,when,truth,told,content,1,501-1000,1001+,7,7,4,465,gutenberg
p0000138,spatial,into,eyes,strong,content,1,1001+,1001+,2,2,3,465,gutenberg
p0000139,spatial,through,road,woods,content,2,1001+,501-1000,4,2,3,466,gutenberg
p0000140,temporal,when,fun,play,content,1,1001+,1001+,1,2,1,467,open_subtitles
p0000141,temporal,when,fun,junior,content,1,1001+,251-500,1,4,2,467,open_subtitles
p0000142,temporal,after,brazil,england,capitalized,2,251-500,1001+,1,3,2,468,simple_wiki
p0000143,temporal,before,dozen,picked,verbish,1,251-500,501-1000,2,2,2,475,open_subtitles
p0000144,causal_connector,if,square,enough,content,1,501-1000,1001+,2,4,3,475,open_subtitles
p0000145,temporal,after,cut,face,content,1,1001+,1001+,3,3,3,476,simple_wiki
p0000146,spatial,through,ate,apple,content,1,1001+,501-1000,1,2,1,477,childes
p0000147,temporal,when,second,league,content,1,1001+,501-1000,2,2,2,481,simple_wiki
p0000148,spatial,under,mother,room,content,1,1001+,1001+,3,3,4,487,childes
p0000149,temporal,when,period,troubles,content,1,501-1000,101-250,4,2,2,488,gutenberg
p0000150,spatial,under,eighty,process,content,1,501-1000,501-1000,4,2,2,489,bnc_spoken
p0000151,spatial,onto,ball,big,content,1,1001+,1001+,1,2,1,491,childes
p0000152,spatial,outside,germany,european,capitalized,1,501-1000,501-1000,1,2,1,493,bnc_spoken
p0000153,causal_connector,because,kitty,wants,content,1,1001+,1001+,3,2,2,496,childes
p0000154,causal_connector,if,suppose,ran,content,1,1001+,1001+,6,2,4,497,gutenberg
p0000155,comparative,more,dark,months,content,1,1001+,1001+,2,3,3,498,gutenberg
p0000156,comparative,than,dark,months,content,1,1001+,1001+,3,2,3,498,gutenberg
p0000157,spatial,into,words,song,content,1,1001+,1001+,3,1,3,500,gutenberg
p0000158,spatial,under,sent,command,content,1,1001+,251-500,3,2,2,501,fw_preserved_compact_view
p0000159,spatial,behind,guys,minute,content,2,1001+,1001+,3,7,4,506,open_subtitles
p0000160,spatial,behind,hide,rocks,content,1,251-500,251-500,1,3,1,506,open_subtitles
p0000161,temporal,when,learned,watching,verbish,1,501-1000,501-1000,2,3,1,508,childes
p0000162,temporal,while,little,always,content,1,1001+,1001+,1,3,1,510,gutenberg
p0000163,causal_connector,if,great,went,content,1,1001+,1001+,2,6,3,510,gutenberg
p0000164,spatial,onto,down,room,content,1,1001+,1001+,4,3,3,512,childes
p0000165,spatial,through,father,else,content,1,1001+,1001+,3,5,3,513,open_subtitles
p0000166,temporal,since,became,days,content,1,1001+,1001+,3,2,2,514,open_subtitles
p0000167,temporal,when,even,tried,verbish,1,1001+,1001+,1,2,1,514,open_subtitles
p0000168,spatial,under,thought,orders,content,1,1001+,251-500,4,2,2,515,simple_wiki
p0000169,spatial,into,will,paper,content,1,1001+,1001+,2,2,3,518,qwen_pair_packed
p0000170,temporal,before,blue,breath,content,1,1001+,251-500,5,5,4,520,gutenberg
p0000171,spatial,across,search,sea,content,1,501-1000,1001+,1,2,1,520,gutenberg
p0000172,comparative,better,would,school,content,1,1001+,1001+,3,4,2,522,gutenberg
p0000173,comparative,better,health,air,content,1,1001+,1001+,3,5,2,522,gutenberg
p0000174,causal_connector,if,folks,plain,content,1,101-250,251-500,2,6,3,525,gutenberg
p0000175,temporal,while,numbers,crowd,content,1,501-1000,251-500,3,2,2,526,qwen_pair_packed
p0000176,comparative,than,fingers,hand,content,1,501-1000,1001+,2,2,2,528,childes
p0000177,spatial,against,victories,navy,content,2,51-100,101-250,1,3,2,530,simple_wiki
p0000178,comparative,higher,quite,could,content,1,1001+,1001+,9,4,7,531,gutenberg
p0000179,comparative,than,quite,could,content,1,1001+,1001+,10,3,7,531,gutenberg
p0000180,spatial,within,inner,outer,content,1,101-250,101-250,2,4,3,532,gutenberg
p0000181,temporal,after,injuries,struck,content,1,101-250,251-500,2,2,2,538,qwen_pair_packed
p0000182,spatial,toward,channel,north,capitalized,1,501-1000,1001+,1,2,1,538,qwen_pair_packed
p0000183,causal_connector,if,zzz,else,content,2,1001+,1001+,3,5,3,539,childes
p0000184,comparative,longer,snake,food,content,1,251-500,1001+,2,3,3,542,qwen_pair_packed
p0000185,temporal,when,needs,certain,content,1,1001+,1001+,2,7,3,542,qwen_pair_packed
p0000186,causal_connector,because,hear,brother,content,1,1001+,1001+,3,2,3,548,childes
p0000187,spatial,through,ate,piece,content,1,1001+,1001+,1,2,1,548,childes
p0000188,comparative,better,puts,fact,content,1,501-1000,1001+,8,3,5,550,bnc_spoken
p0000189,spatial,through,senator,mayor,capitalized,1,101-250,251-500,3,3,3,553,simple_wiki
p0000190,spatial,through,diego,california,capitalized,1,101-250,501-1000,3,4,3,553,simple_wiki
p0000191,spatial,under,now,down,content,1,1001+,1001+,1,2,2,554,gutenberg
p0000192,temporal,after,heights,summit,content,2,101-250,101-250,1,3,2,555,qwen_pair_packed
p0000193,spatial,into,descended,staying,verbish,1,101-250,251-500,1,4,3,555,qwen_pair_packed
p0000194,comparative,more,lists,publications,content,2,51-100,51-100,3,3,3,556,simple_wiki
p0000195,comparative,than,lists,publications,content,2,51-100,51-100,4,2,3,556,simple_wiki
p0000196,temporal,before,mean,explain,content,2,1001+,251-500,4,6,3,558,gutenberg
p0000197,temporal,while,ones,half,content,1,1001+,1001+,4,4,3,558,gutenberg
p0000198,temporal,until,dead,over,content,1,1001+,1001+,1,3,2,559,open_subtitles
p0000199,causal_connector,because,version,hip,content,1,251-500,101-250,1,8,3,560,simple_wiki
p0000200,comparative,slower,version,hip,content,1,251-500,101-250,4,5,3,560,simple_wiki
p0000201,temporal,when,feel,find,content,1,1001+,1001+,2,8,3,561,open_subtitles
p0000202,temporal,when,feel,find,content,1,1001+,1001+,5,5,3,561,open_subtitles
p0000203,spatial,into,went,seat,content,1,1001+,501-1000,1,2,1,562,qwen_pair_packed
p0000204,spatial,into,again,power,content,1,1001+,1001+,2,2,2,567,fw_preserved_compact_view
p0000205,spatial,within,families,week,content,1,251-500,1001+,7,2,4,569,gutenberg
p0000206,comparative,longer,could,themselves,content,1,1001+,1001+,2,2,2,569,gutenberg
p0000207,temporal,while,social,university,capitalized,1,501-1000,1001+,2,5,3,571,fw_preserved_compact_view
p0000208,temporal,when,became,went,content,1,1001+,1001+,3,2,2,571,fw_preserved_compact_view
p0000209,causal_connector,if,bottom,small,content,1,501-1000,1001+,5,9,8,573,bnc_spoken
p0000210,causal_connector,if,always,can,content,1,1001+,1001+,1,3,1,573,bnc_spoken
p0000211,causal_connector,although,still,may,content,1,1001+,1001+,2,3,3,574,qwen_pair_packed
p0000212,temporal,before,seen,even,verbish,1,1001+,1001+,2,3,2,575,open_subtitles
p0000213,temporal,after,dessert,sandwich,content,2,251-500,251-500,2,3,2,576,childes
p0000214,temporal,after,dessert,sandwich,content,2,251-500,251-500,2,3,2,576,childes
p0000215,temporal,until,gentleman,now,content,2,251-500,1001+,1,1,1,578,open_subtitles
p0000216,spatial,toward,magnet,black,content,1,1001+,1001+,1,6,1,579,childes
p0000217,spatial,through,gone,few,content,1,1001+,1001+,1,2,1,581,gutenberg
p0000218,temporal,while,suspicion,tests,content,1,101-250,251-500,2,2,2,583,fw_preserved_compact_view
p0000219,spatial,below,far,sea,content,1,1001+,1001+,2,2,2,584,gutenberg
p0000220,spatial,into,could,somewhere,content,1,1001+,501-1000,3,2,4,585,open_subtitles
p0000221,causal_connector,if,now,you're,content,2,1001+,1001+,1,1,1,585,open_subtitles
p0000222,causal_connector,because,eat,milk,content,1,1001+,1001+,9,6,4,588,childes
p0000223,spatial,against,october,white,capitalized,1,1001+,1001+,2,2,3,590,fw_preserved_compact_view
p0000224,spatial,against,october,white,capitalized,1,1001+,1001+,2,2,3,590,fw_preserved_compact_view
p0000225,causal_connector,if,son,could,content,1,1001+,1001+,2,3,2,591,open_subtitles
p0000226,temporal,while,could,knew,content,1,1001+,1001+,3,2,3,591,open_subtitles
p0000227,temporal,after,double,pretty,content,1,501-1000,1001+,4,5,4,593,open_subtitles
p0000228,causal_connector,because,such,might,content,1,1001+,1001+,2,2,2,593,open_subtitles
p0000229,temporal,after,other,now,content,1,1001+,1001+,2,2,2,596,open_subtitles
p0000230,temporal,until,out,sight,content,1,1001+,501-1000,8,4,5,597,gutenberg
p0000231,spatial,within,carson,territory,capitalized,2,51-100,101-250,2,2,2,597,gutenberg
p0000232,causal_connector,because,that's,they're,content,2,1001+,1001+,1,1,1,598,childes
p0000233,causal_connector,because,tired,asking,verbish,1,501-1000,501-1000,1,2,2,600,childes
p0000234,spatial,into,artists,months,content,1,251-500,1001+,5,4,4,601,open_subtitles
p0000235,comparative,better,home,frank,content,2,1001+,251-500,2,5,3,603,open_subtitles
p0000236,causal_connector,if,he's,top,content,2,1001+,1001+,8,6,6,604,childes
p0000237,causal_connector,if,such,man,content,1,1001+,1001+,2,2,2,606,gutenberg
p0000238,causal_connector,if,would,blame,content,1,1001+,251-500,3,4,3,606,gutenberg
p0000239,comparative,longer,play,about,content,1,1001+,1001+,3,5,1,607,childes
p0000240,temporal,until,fought,worn,content,1,251-500,101-250,1,4,2,613,qwen_pair_packed
p0000241,temporal,until,fought,worn,content,1,251-500,101-250,1,4,2,613,qwen_pair_packed
p0000242,spatial,across,traveled,performing,verbish,1,101-250,101-250,1,3,2,614,qwen_pair_packed
p0000243,spatial,within,football,murray,capitalized,1,501-1000,101-250,2,4,4,614,qwen_pair_packed
p0000244,spatial,into,made,man,content,1,1001+,1001+,2,2,1,616,open_subtitles
p0000245,spatial,above,flew,past,content,1,501-1000,1001+,4,3,4,618,childes
p0000246,temporal,during,populations,conditions,content,1,101-250,251-500,1,3,2,619,fw_preserved_compact_view
p0000247,spatial,within,users,kilometers,content,1,101-250,101-250,3,2,3,619,fw_preserved_compact_view
p0000248,spatial,into,mine,house,content,2,1001+,1001+,4,2,2,620,gutenberg
p0000249,temporal,before,finish,afternoon,content,1,1001+,501-1000,2,2,1,621,open_subtitles
p0000250,comparative,better,ordered,bring,verbish,1,251-500,1001+,6,4,3,627,gutenberg
p0000251,spatial,into,everyone,such,content,1,1001+,1001+,2,1,2,627,gutenberg
p0000252,causal_connector,if,believed,looked,verbish,1,501-1000,1001+,2,3,2,628,simple_wiki
p0000253,temporal,once,lot,understand,content,1,1001+,1001+,7,6,6,633,childes
p0000254,causal_connector,if,can,remember,content,1,1001+,1001+,2,3,3,633,childes
p0000255,temporal,once,would,lay,content,1,1001+,1001+,4,4,4,635,qwen_pair_packed
p0000256,comparative,greater,yet,mind,content,1,1001+,1001+,2,4,4,635,qwen_pair_packed
p0000257,temporal,when,com-plex,ob-serve,content,3,1-2,3-5,2,2,2,636,gutenberg
p0000258,causal_connector,if,thought,can,content,1,1001+,1001+,1,2,2,640,bnc_spoken
p0000259,causal_connector,if,please,might,content,1,1001+,1001+,1,6,4,640,bnc_spoken
p0000260,causal_connector,if,today,knows,content,1,1001+,1001+,2,2,3,641,open_subtitles
p0000261,spatial,into,problems,other,content,1,501-1000,1001+,3,1,2,641,open_subtitles
p0000262,spatial,outside,music,summer,capitalized,1,1001+,1001+,2,2,3,648,simple_wiki
p0000263,causal_connector,if,stronger,lies,content,1,101-250,251-500,1,5,3,649,gutenberg
p0000264,causal_connector,though,stronger,lies,content,1,101-250,251-500,4,2,3,649,gutenberg
p0000265,temporal,after,telephone,aunt,content,1,501-1000,501-1000,2,2,3,650,qwen_pair_packed
p0000266,comparative,than,now,down,content,1,1001+,1001+,2,4,4,651,gutenberg
p0000267,temporal,before,now,down,content,1,1001+,1001+,3,3,4,651,gutenberg
p0000268,comparative,more,far,severe,content,1,1001+,251-500,1,4,3,653,gutenberg
p0000269,comparative,than,far,severe,content,1,1001+,251-500,2,3,3,653,gutenberg
p0000270,temporal,before,face,read,content,1,1001+,1001+,1,3,1,657,gutenberg
p0000271,comparative,better,thank,somebody,content,1,1001+,1001+,3,2,3,659,gutenberg
p0000272,causal_connector,if,miles,went,content,1,1001+,1001+,1,2,1,659,gutenberg
p0000273,temporal,until,hair,found,content,1,1001+,1001+,1,4,2,660,qwen_pair_packed
p0000274,spatial,into,herself,county,content,1,1001+,1001+,2,5,3,660,qwen_pair_packed
p0000275,spatial,into,heart,brave,content,1,1001+,501-1000,2,4,1,662,gutenberg
p0000276,temporal,when,occurs,immediate,content,1,101-250,101-250,1,4,1,663,simple_wiki
p0000277,temporal,before,over,now,content,1,1001+,1001+,2,2,1,664,gutenberg
p0000278,causal_connector,if,would,knew,content,1,1001+,1001+,4,2,2,664,gutenberg
p0000279,temporal,during,met,program,content,1,1001+,501-1000,1,5,2,666,simple_wiki
p0000280,temporal,when,such,could,content,1,1001+,1001+,3,2,3,667,gutenberg
p0000281,temporal,when,tail,mistress,content,1,501-1000,101-250,1,2,1,667,gutenberg
p0000282,causal_connector,if,told,heard,content,1,1001+,1001+,3,8,4,668,open_subtitles
p0000283,spatial,between,play,toy,content,1,1001+,1001+,1,1,1,669,childes
p0000284,spatial,between,play,toy,content,1,1001+,1001+,1,1,1,669,childes
p0000285,temporal,when,paint,door,content,2,251-500,1001+,3,5,3,671,childes
p0000286,causal_connector,if,down,weight,content,1,1001+,501-1000,2,5,2,672,gutenberg
p0000287,comparative,than,slain,descendants,content,1,51-100,51-100,5,4,3,672,gutenberg
p0000288,temporal,while,football,ears,content,1,501-1000,501-1000,2,2,2,675,qwen_pair_packed
p0000289,causal_connector,though,families,unknown,content,2,251-500,251-500,1,5,2,678,fw_preserved_compact_view
p0000290,spatial,below,chamber,area,content,1,251-500,1001+,1,3,2,679,fw_preserved_compact_view
p0000291,temporal,when,holds,cry,content,1,501-1000,501-1000,2,2,1,680,qwen_pair_packed
p0000292,temporal,while,cry,myself,content,2,501-1000,1001+,1,3,3,680,qwen_pair_packed
p0000293,causal_connector,if,desk,taller,content,2,251-500,51-100,2,6,2,681,gutenberg
p0000294,spatial,through,could,sent,content,1,1001+,1001+,4,4,3,687,gutenberg
p0000295,spatial,against,drawn,team,content,1,251-500,1001+,1,3,2,688,simple_wiki
p0000296,comparative,better,mother,home,content,1,1001+,1001+,2,5,1,689,gutenberg
p0000297,temporal,before,finished,called,verbish,1,1001+,1001+,2,3,1,690,gutenberg
p0000298,causal_connector,if,quite,try,content,1,1001+,1001+,3,4,2,690,gutenberg
p0000299,temporal,since,child,over,content,1,1001+,1001+,3,3,4,692,open_subtitles
p0000300,comparative,smaller,prettier,stones,content,2,26-50,101-250,2,1,1,695,gutenberg
p0000301,temporal,when,about,came,content,1,1001+,1001+,5,2,1,696,childes
p0000302,spatial,against,must,half,content,1,1001+,1001+,2,3,3,697,simple_wiki
p0000303,spatial,under,play,half,content,1,1001+,1001+,3,1,2,697,simple_wiki
p0000304,causal_connector,if,please,back,content,1,1001+,1001+,1,3,1,700,childes
p0000305,temporal,before,minutes,pictures,content,1,1001+,1001+,3,3,3,701,bnc_spoken
p0000306,causal_connector,if,might,draw,content,1,1001+,501-1000,7,5,3,703,childes
p0000307,causal_connector,because,now,service,content,1,1001+,1001+,1,5,2,704,qwen_pair_packed
p0000308,causal_connector,because,now,service,content,1,1001+,1001+,6,3,4,704,qwen_pair_packed
p0000309,temporal,when,thought,it's,content,2,1001+,1001+,3,1,2,706,gutenberg
