pair_id,match_level,pair_cost,category,target_class,target_token_len,target_token_pattern,target_freq_bin_a,target_freq_bin_b,target_freq_bin_delta,distance_bin_a,distance_bin_b,distance_bin_delta,row_a,row_b,source_a,source_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b
p0000044,1,2.1,causal_connector,adjectival,1,S,1001+,1001+,0,2,3-4,1,1094,19434,gutenberg,open_subtitles,give,possible,if,if
p0000045,1,2.1,causal_connector,adjectival,1,S,1001+,1001+,0,2,3-4,1,8605,11120,bnc_spoken,open_subtitles,give,possible,if,if
p0000046,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,5276,907,gutenberg,open_subtitles,give,music,if,because
p0000047,0,0.1,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,7811,8271,gutenberg,open_subtitles,able,give,if,if
p0000048,0,0.0,causal_connector,adjectival,2,SC,11-25,11-25,0,3-4,3-4,0,8702,10224,open_subtitles,gutenberg,cancerous,friendless,if,if
p0000049,1,2.1,causal_connector,adjectival,2,SC,26-50,26-50,0,5-8,3-4,1,6480,6264,bnc_spoken,open_subtitles,luxurious,infectious,if,if
p0000050,1,2.114,causal_connector,adjectival,2,SC,101-250,101-250,0,2,1,1,6759,2562,gutenberg,qwen_pair_packed,relative,tribal,although,though
p0000051,1,2.116,causal_connector,adjectival,2,SC,501-1000,501-1000,0,1,2,1,6093,7583,qwen_pair_packed,gutenberg,necessary,magic,if,if
p0000052,0,0.14700000000000002,causal_connector,adjectival,2,SC,1001+,1001+,0,3-4,3-4,0,6886,7461,qwen_pair_packed,open_subtitles,possible,live,if,if
p0000053,1,2.112,causal_connector,adjectival,3,SCC,6-10,6-10,0,2,3-4,1,1029,8224,fw_preserved_compact_view,qwen_pair_packed,presumptive,factual,although,though
p0000054,0,0.025,causal_connector,adjectival,3,SCC,11-25,11-25,0,2,2,0,13326,13515,fw_preserved_compact_view,gutenberg,complementary,conscientious,because,if
p0000055,0,0.0,causal_connector,adjectival,3,SCC,26-50,26-50,0,2,2,0,15489,2237,simple_wiki,open_subtitles,traumatic,unanimous,because,unless
p0000056,0,0.1,causal_connector,adjectival,3,SCC,51-100,51-100,0,3-4,3-4,0,17306,3293,simple_wiki,open_subtitles,prehistoric,scandal,if,because
p0000057,0,0.0,causal_connector,adverbish,1,S,51-100,51-100,0,2,2,0,18483,12217,open_subtitles,gutenberg,accidentally,wholly,if,though
p0000058,0,0.016,causal_connector,adverbish,1,S,51-100,51-100,0,2,2,0,10615,19699,open_subtitles,qwen_pair_packed,practically,rely,because,because
p0000059,1,2.1,causal_connector,adverbish,1,S,51-100,51-100,0,2,3-4,1,17711,4848,open_subtitles,gutenberg,bully,wholly,if,because
p0000060,0,0.0,causal_connector,adverbish,1,S,101-250,101-250,0,2,2,0,5356,5468,gutenberg,bnc_spoken,utterly,severely,if,though
p0000061,1,2.106,causal_connector,adverbish,1,S,101-250,101-250,0,1,2,1,8814,14725,gutenberg,qwen_pair_packed,unfortunately,rarely,though,although
p0000062,0,0.028,causal_connector,adverbish,1,S,101-250,101-250,0,3-4,3-4,0,7627,5090,qwen_pair_packed,simple_wiki,hastily,barely,though,though
p0000063,0,0.019,causal_connector,adverbish,1,S,101-250,101-250,0,2,2,0,5460,1107,gutenberg,qwen_pair_packed,greatly,frequently,if,although
p0000064,0,0.039,causal_connector,adverbish,1,S,101-250,101-250,0,2,2,0,19535,6544,gutenberg,fw_preserved_compact_view,strongly,successfully,therefore,if
p0000065,0,0.1,causal_connector,adverbish,1,S,101-250,101-250,0,3-4,3-4,0,16349,8509,gutenberg,bnc_spoken,ugly,necessarily,because,because
p0000066,0,0.157,causal_connector,adverbish,1,S,251-500,251-500,0,3-4,3-4,0,16493,11869,qwen_pair_packed,gutenberg,fully,generally,if,because
p0000067,0,0.0,causal_connector,adverbish,1,S,251-500,251-500,0,2,2,0,1498,8209,open_subtitles,bnc_spoken,clearly,directly,although,because
p0000068,0,0.0,causal_connector,adverbish,1,S,251-500,251-500,0,1,1,0,9477,10782,gutenberg,bnc_spoken,apparently,seriously,though,though
p0000069,0,0.0,causal_connector,adverbish,1,S,251-500,251-500,0,2,2,0,9942,17540,gutenberg,open_subtitles,possibly,totally,if,because
p0000070,0,0.14,causal_connector,adverbish,1,S,251-500,251-500,0,3-4,3-4,0,5935,12078,gutenberg,qwen_pair_packed,fully,currently,though,because
p0000071,1,2.2,causal_connector,adverbish,1,S,251-500,251-500,0,5-8,3-4,1,19180,3540,open_subtitles,simple_wiki,definitely,fully,if,if
p0000072,1,2.1430000000000002,causal_connector,adverbish,1,S,251-500,251-500,0,1,2,1,6503,5017,gutenberg,qwen_pair_packed,clearly,recently,although,because
p0000073,0,0.0,causal_connector,adverbish,1,S,501-1000,501-1000,0,2,2,0,581,13150,gutenberg,open_subtitles,especially,suddenly,therefore,because
p0000074,1,2.114,causal_connector,adverbish,1,S,501-1000,501-1000,0,1,2,1,11346,9624,gutenberg,qwen_pair_packed,suddenly,finally,if,although
p0000075,0,0.005,causal_connector,adverbish,1,S,501-1000,501-1000,0,3-4,3-4,0,3339,11358,qwen_pair_packed,fw_preserved_compact_view,completely,lovely,because,because
p0000076,1,2.2,causal_connector,adverbish,1,S,501-1000,501-1000,0,5-8,3-4,1,7015,7990,open_subtitles,gutenberg,nearly,likely,because,if
p0000077,1,2.1390000000000002,causal_connector,adverbish,1,S,501-1000,501-1000,0,1,2,1,14954,12057,gutenberg,qwen_pair_packed,easily,suddenly,thus,though
p0000078,0,0.0,causal_connector,adverbish,1,S,501-1000,501-1000,0,3-4,3-4,0,18121,14023,open_subtitles,simple_wiki,likely,completely,because,because
p0000079,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,2,2,0,12454,19936,open_subtitles,gutenberg,really,exactly,if,though
p0000080,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,3-4,3-4,0,7820,4384,gutenberg,bnc_spoken,usually,really,though,if
p0000081,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,2,2,0,16620,8136,open_subtitles,childes,actually,family,if,because
p0000082,0,0.011,causal_connector,adverbish,1,S,1001+,1001+,0,2,2,0,3740,5923,qwen_pair_packed,gutenberg,actually,really,if,if
p0000083,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,5-8,5-8,0,18583,12491,bnc_spoken,gutenberg,actually,certainly,if,if
p0000084,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,3-4,3-4,0,9726,962,open_subtitles,bnc_spoken,really,actually,unless,if
p0000085,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,2,2,0,7055,4572,gutenberg,bnc_spoken,probably,actually,though,if
p0000086,0,0.0,causal_connector,adverbish,1,S,1001+,1001+,0,5-8,5-8,0,9203,6298,switchboard,gutenberg,actually,really,though,if
p0000087,1,2.117,causal_connector,adverbish,2,SC,6-10,6-10,0,3-4,5-8,1,14676,5663,gutenberg,fw_preserved_compact_view,basely,logically,though,because
p0000088,1,2.115,causal_connector,adverbish,2,SC,11-25,11-25,0,2,3-4,1,7800,13058,fw_preserved_compact_view,simple_wiki,fundamentally,loosely,although,because
p0000089,1,2.2,causal_connector,adverbish,2,SC,11-25,11-25,0,3-4,5-8,1,8305,7305,gutenberg,bnc_spoken,cruelly,unnecessarily,although,because
p0000090,1,2.1,causal_connector,adverbish,2,SC,1001+,1001+,0,5-8,3-4,1,9911,4728,gutenberg,open_subtitles,really,family,if,because
p0000091,0,0.021,causal_connector,adverbish,3,SCC,6-10,6-10,0,1,1,0,3712,13474,fw_preserved_compact_view,gutenberg,domestically,informally,if,thus
p0000092,0,0.1,causal_connector,capitalized,1,S,51-100,51-100,0,3-4,3-4,0,1298,61,childes,open_subtitles,sesame,portia,because,if
p0000093,0,0.0,causal_connector,capitalized,1,S,51-100,51-100,0,1,1,0,11276,4371,gutenberg,bnc_spoken,raoul,stuart,though,if
p0000094,1,2.1,causal_connector,capitalized,1,S,51-100,51-100,0,1,2,1,11784,9297,gutenberg,bnc_spoken,horace,kenneth,unless,though
p0000095,1,2.1,causal_connector,capitalized,1,S,51-100,51-100,0,3-4,2,1,17198,1804,open_subtitles,gutenberg,portia,germans,if,if
p0000096,0,0.0,causal_connector,capitalized,1,S,101-250,101-250,0,1,1,0,13560,1035,bnc_spoken,gutenberg,iraq,lincoln,if,though
p0000097,0,0.1,causal_connector,capitalized,1,S,101-250,101-250,0,3-4,3-4,0,6113,15860,bnc_spoken,open_subtitles,steve,oliver,if,if
p0000098,0,0.0,causal_connector,capitalized,1,S,101-250,101-250,0,2,2,0,3782,6652,gutenberg,bnc_spoken,greeks,russians,although,if
p0000099,0,0.0,causal_connector,capitalized,1,S,101-250,101-250,0,1,1,0,2891,8971,open_subtitles,simple_wiki,kim,leo,because,thus
p0000100,0,0.0,causal_connector,capitalized,1,S,101-250,101-250,0,1,1,0,1511,13054,bnc_spoken,gutenberg,jerusalem,amanda,because,though
p0000101,0,0.0,causal_connector,capitalized,1,S,101-250,101-250,0,1,1,0,4644,14134,childes,open_subtitles,sandra,riley,if,if
p0000102,0,0.0,causal_connector,capitalized,1,S,101-250,101-250,0,2,2,0,6536,11950,open_subtitles,gutenberg,khan,russians,if,though
p0000103,1,2.2,causal_connector,capitalized,1,S,101-250,101-250,0,5-8,3-4,1,7635,15613,open_subtitles,bnc_spoken,lewis,jan,if,if
p0000104,1,2.1,causal_connector,capitalized,1,S,101-250,101-250,0,3-4,2,1,5091,3478,open_subtitles,gutenberg,dale,merle,if,if
p0000105,1,2.1,causal_connector,capitalized,1,S,101-250,101-250,0,2,3-4,1,14237,3582,gutenberg,open_subtitles,persian,dale,although,if
p0000106,0,0.0,causal_connector,capitalized,1,S,251-500,251-500,0,2,2,0,3746,15350,open_subtitles,gutenberg,manager,americans,if,if
p0000107,0,0.0,causal_connector,capitalized,1,S,251-500,251-500,0,2,2,0,1357,11715,bnc_spoken,open_subtitles,oxford,americans,because,if
p0000108,1,2.109,causal_connector,capitalized,1,S,251-500,251-500,0,1,2,1,17669,6414,fw_preserved_compact_view,gutenberg,egypt,earl,if,if
p0000109,1,2.2,causal_connector,capitalized,1,S,251-500,251-500,0,5-8,3-4,1,11211,10673,childes,simple_wiki,tuesday,easter,because,because
p0000110,1,2.1,causal_connector,capitalized,1,S,251-500,251-500,0,3-4,2,1,1581,11426,open_subtitles,simple_wiki,climate,australian,unless,though
p0000111,0,0.023,causal_connector,capitalized,1,S,501-1000,501-1000,0,2,2,0,1149,18163,fw_preserved_compact_view,gutenberg,german,russian,thus,if
p0000112,0,0.0,causal_connector,capitalized,1,S,501-1000,501-1000,0,1,1,0,5345,10042,gutenberg,bnc_spoken,jack,china,if,if
p0000113,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,3-4,3-4,0,17352,6872,gutenberg,bnc_spoken,english,council,if,because
p0000114,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,2,2,0,10527,16091,gutenberg,open_subtitles,camp,could,if,if
p0000115,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,2,2,0,17208,7166,gutenberg,simple_wiki,english,world,if,because
p0000116,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,1,1,0,5782,7406,childes,gutenberg,mommy,uncle,if,if
p0000117,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,1,1,0,13170,13520,bnc_spoken,gutenberg,now,john,if,if
p0000118,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,3-4,3-4,0,17092,15591,gutenberg,open_subtitles,old,mother,though,because
p0000119,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,2,2,0,11772,2614,gutenberg,simple_wiki,sir,person,thus,unless
p0000120,1,2.1,causal_connector,capitalized,1,S,1001+,1001+,0,2,3-4,1,13111,10247,gutenberg,open_subtitles,john,men,if,because
p0000121,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,3-4,3-4,0,197,13738,gutenberg,open_subtitles,red,care,because,if
p0000122,0,0.0,causal_connector,capitalized,1,S,1001+,1001+,0,1,1,0,12621,12076,gutenberg,open_subtitles,uncle,miss,although,if
p0000123,1,2.2,causal_connector,capitalized,1,S,1001+,1001+,0,2,3-4,1,7165,13680,gutenberg,open_subtitles,miss,now,if,if
p0000124,1,2.108,causal_connector,capitalized,2,SC,3-5,3-5,0,2,1,1,6462,17468,open_subtitles,fw_preserved_compact_view,tamils,stanley's,if,though
p0000125,0,0.0,causal_connector,capitalized,2,SC,6-10,6-10,0,1,1,0,4843,5287,simple_wiki,open_subtitles,sars,steiner,because,if
p0000126,0,0.0,causal_connector,capitalized,2,SC,6-10,6-10,0,2,2,0,15843,3078,simple_wiki,gutenberg,corbyn's,joneses,because,if
p0000127,1,2.1,causal_connector,capitalized,2,SC,6-10,6-10,0,2,3-4,1,18048,15635,open_subtitles,gutenberg,outed,spiny,because,if
p0000128,0,0.0,causal_connector,capitalized,2,SC,11-25,11-25,0,1,1,0,4173,16885,childes,gutenberg,chie,nettie's,though,because
p0000129,0,0.0,causal_connector,capitalized,2,SC,11-25,11-25,0,2,2,0,18268,14079,bnc_spoken,open_subtitles,reds,formics,if,if
p0000130,1,2.1,causal_connector,capitalized,2,SC,11-25,11-25,0,3-4,2,1,2109,2384,simple_wiki,open_subtitles,winter's,neel,if,if
p0000131,0,0.038,causal_connector,capitalized,2,SC,26-50,26-50,0,2,2,0,8317,10918,simple_wiki,fw_preserved_compact_view,egyptians,sam's,although,because
p0000132,0,0.0,causal_connector,capitalized,2,SC,51-100,51-100,0,1,1,0,1132,19469,gutenberg,open_subtitles,i’d,sheila,if,if
p0000133,0,0.0,causal_connector,capitalized,2,SC,51-100,51-100,0,2,2,0,19731,18222,open_subtitles,gutenberg,casey,i’ll,because,if
p0000134,0,0.1,causal_connector,capitalized,2,SC,51-100,51-100,0,3-4,3-4,0,11966,8489,gutenberg,switchboard,jonah,summers,though,because
p0000135,0,0.0,causal_connector,capitalized,2,SC,101-250,101-250,0,1,1,0,12130,14298,open_subtitles,gutenberg,oregon,nathan,because,though
p0000136,0,0.0,causal_connector,capitalized,2,SC,101-250,101-250,0,3-4,3-4,0,7219,16634,childes,simple_wiki,marky's,nazis,because,because
p0000137,1,2.1,causal_connector,capitalized,2,SC,101-250,101-250,0,2,1,1,19922,18877,open_subtitles,bnc_spoken,tables,god's,if,because
p0000138,0,0.1,causal_connector,capitalized,2,SC,251-500,251-500,0,3-4,3-4,0,6,6536,gutenberg,open_subtitles,fancy,majesty,if,because
p0000139,1,2.1,causal_connector,capitalized,2,SC,251-500,251-500,0,1,2,1,5270,5115,open_subtitles,gutenberg,darkness,mummy,though,if
p0000140,0,0.015,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,5098,12675,qwen_pair_packed,childes,i'm,i've,unless,because
p0000141,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,7027,17314,bnc_spoken,gutenberg,i've,i'd,if,if
p0000142,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,8544,17194,open_subtitles,childes,i'd,i'm,if,because
p0000143,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,5-8,5-8,0,9370,9876,bnc_spoken,childes,i've,i'll,if,if
p0000144,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,14645,19988,open_subtitles,gutenberg,we're,i'll,because,if
p0000145,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,19978,4453,gutenberg,bnc_spoken,i'm,i've,if,because
p0000146,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,9786,11494,bnc_spoken,childes,i've,i'm,because,if
p0000147,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,2,2,0,9361,19557,open_subtitles,childes,i'd,mark,if,if
p0000148,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,11140,8729,gutenberg,bnc_spoken,i'd,i'm,if,because
p0000149,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,9064,13990,open_subtitles,bnc_spoken,sir,you've,unless,if
p0000150,1,2.1,causal_connector,capitalized,2,SC,1001+,1001+,0,2,1,1,11038,14250,open_subtitles,gutenberg,find,i'm,if,if
p0000151,1,2.1,causal_connector,capitalized,2,SC,1001+,1001+,0,1,2,1,4535,16914,gutenberg,open_subtitles,i'm,there's,though,if
p0000152,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,12163,14709,gutenberg,open_subtitles,i'll,i'm,if,because
p0000153,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,14772,8133,open_subtitles,gutenberg,that's,i'd,if,if
p0000154,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,2289,1882,gutenberg,open_subtitles,i'd,i've,if,if
p0000155,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,6161,16717,open_subtitles,gutenberg,i'd,i've,if,because
p0000156,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,6481,12264,open_subtitles,gutenberg,i'm,i'd,if,if
p0000157,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,1,1,0,15972,13972,bnc_spoken,open_subtitles,i'm,i've,because,if
p0000158,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,8827,5535,gutenberg,childes,i'm,mark,because,if
p0000159,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,5-8,5-8,0,16447,9767,childes,gutenberg,i'll,i'd,if,if
p0000160,1,2.1,causal_connector,capitalized,2,SC,1001+,1001+,0,2,3-4,1,2730,1978,open_subtitles,gutenberg,kids,june,because,though
p0000161,0,0.1,causal_connector,capitalized,2,SC,1001+,1001+,0,5-8,5-8,0,109,102,gutenberg,open_subtitles,daddy,you'd,if,if
p0000162,1,2.1,causal_connector,capitalized,2,SC,1001+,1001+,0,2,1,1,14324,1623,open_subtitles,childes,i've,i'm,because,because
p0000163,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,18439,13237,open_subtitles,gutenberg,now,i'd,because,if
p0000164,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,4786,14543,open_subtitles,childes,i'd,i'll,if,if
p0000165,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,9199,9329,open_subtitles,bnc_spoken,hey,it's,if,if
p0000166,0,0.0,causal_connector,capitalized,2,SC,1001+,1001+,0,3-4,3-4,0,2301,1333,open_subtitles,childes,that's,i'm,if,if
p0000167,0,0.0,causal_connector,capitalized,3,SCC,1-2,1-2,0,3-4,3-4,0,4943,15350,open_subtitles,gutenberg,still...you,"jews,--would",if,though
p0000168,1,2.1,causal_connector,capitalized,3,SCC,1-2,1-2,0,1,2,1,15627,5924,open_subtitles,simple_wiki,drill's,woosley,if,because
p0000169,1,2.1,causal_connector,capitalized,3,SCC,3-5,3-5,0,1,2,1,2800,5625,open_subtitles,simple_wiki,banfield's,v-tach,because,if
p0000170,1,2.1,causal_connector,capitalized,3,SCC,3-5,3-5,0,3-4,2,1,15538,12437,simple_wiki,gutenberg,qu'ran,norseman,if,because
p0000171,0,0.0,causal_connector,capitalized,3,SCC,6-10,6-10,0,1,1,0,5890,4587,open_subtitles,gutenberg,sofus,stonewell,because,if
p0000172,1,2.1,causal_connector,capitalized,3,SCC,6-10,6-10,0,2,1,1,15156,4337,gutenberg,open_subtitles,paganism,houshou,though,because
p0000173,0,0.0,causal_connector,capitalized,3,SCC,11-25,11-25,0,2,2,0,17031,11246,open_subtitles,gutenberg,eminence,pratts,if,because
p0000174,1,2.1,causal_connector,capitalized,3,SCC,11-25,11-25,0,2,3-4,1,15672,17869,childes,gutenberg,hulks,andersen,if,if
p0000175,0,0.0,causal_connector,capitalized,3,SCC,11-25,11-25,0,1,1,0,1233,221,childes,open_subtitles,vicki,magenta,because,because
p0000176,1,2.1,causal_connector,capitalized,3,SCC,26-50,26-50,0,2,1,1,12709,5335,gutenberg,open_subtitles,clerke,andromeda,if,if
p0000177,0,0.0,causal_connector,capitalized,3,SCC,26-50,26-50,0,1,1,0,5571,11678,gutenberg,open_subtitles,hampden,highlands,if,because
p0000178,0,0.0,causal_connector,capitalized,3,SCC,51-100,51-100,0,3-4,3-4,0,10664,738,simple_wiki,gutenberg,pandemic,democrats,because,because
p0000179,1,2.1430000000000002,causal_connector,capitalized,4,SCCC,1-2,1-2,0,2,1,1,2359,12905,fw_preserved_compact_view,gutenberg,chromosom,bessie;--that,because,though
p0000180,0,0.0,causal_connector,capitalized,4,SCCC,3-5,3-5,0,3-4,3-4,0,17078,13981,simple_wiki,gutenberg,yevgeny,vendean,because,thus
