mode,source,source_family,threshold_overlap_coef,hit_pairs_unique_10M,hit_pair_exposures_100M_repeat10,rows_with_hit_unique_10M,hit_pairs_per_1M_words,seq_exact_pairs,set_exact_pairs,nonidentical_high_overlap_pairs,nonidentical_fraction,hit_overlap_mean,hit_jaccard_mean
visible,open_subtitles,natural_babylm_subcorpus,0.6,135,1350,93,70.1311452416018,17,21,114,0.8444444444444444,0.8024635093339944,0.5415734249750741
visible,open_subtitles,natural_babylm_subcorpus,0.7,88,880,62,45.71511689822932,17,21,67,0.7613636363636364,0.8879304180726394,0.6367744066726541
visible,open_subtitles,natural_babylm_subcorpus,0.8,65,650,48,33.766847708919386,17,21,44,0.676923076923077,0.9366812618330838,0.7142518706497591
visible,qwen_pair_packed,designed_qwen_pair_packed,0.5,22311,223110,10927,13466.320618058908,124,268,22043,0.987987987987988,0.7746203330569061,0.6001202140911932
visible,qwen_pair_packed,designed_qwen_pair_packed,0.6,19112,191120,9958,11535.49010140029,124,268,18844,0.9859773964001675,0.8152107284571524,0.6458053161939695
visible,qwen_pair_packed,designed_qwen_pair_packed,0.7,15677,156770,8773,9462.21632061806,124,268,15409,0.9829048925177011,0.8531428017904928,0.6935402742791968
visible,qwen_pair_packed,designed_qwen_pair_packed,0.8,11544,115440,7254,6967.648478995655,124,268,11276,0.9767844767844768,0.8915418452063684,0.7484049837462932
visible,simple_wiki,natural_babylm_subcorpus,0.5,2054,20540,1171,1839.456796049556,35,38,2016,0.9814995131450828,0.6652829775021881,0.44922951112257775
visible,simple_wiki,natural_babylm_subcorpus,0.6,1139,11390,554,1020.0298396788921,35,38,1101,0.9666374012291484,0.7849134117459898,0.5901984209841898
visible,simple_wiki,natural_babylm_subcorpus,0.7,839,8390,353,751.365263819658,35,38,801,0.9547079856972587,0.8397472556345164,0.6661396824053039
visible,simple_wiki,natural_babylm_subcorpus,0.8,554,5540,212,496.1339167533856,35,38,516,0.9314079422382672,0.8893908856533618,0.7417603552558616
visible,switchboard,natural_babylm_subcorpus,0.5,5,50,4,226.40825937330195,0,0,5,1.0,0.5444444444444444,0.19114230019493178
visible,switchboard,natural_babylm_subcorpus,0.6,1,10,1,45.28165187466039,0,0,1,1.0,0.6666666666666666,0.16
visible,ALL,ALL,0.5,26347,263470,13307,2634.7,324,480,25867,0.9817816070140813,0.7570373763662046,0.5727396431969655
visible,ALL,ALL,0.6,21261,212610,11118,2126.1,324,480,20781,0.9774234513898687,0.8120638058994691,0.6369637023767012
visible,ALL,ALL,0.7,17129,171290,9483,1712.9,324,480,16649,0.9719773483565882,0.8534448182114944,0.690409975830318
visible,ALL,ALL,0.8,12528,125280,7700,1252.8000000000002,324,480,12048,0.9616858237547893,0.8931026262667415,0.7478296695514007
visible,NATURAL_ONLY,NATURAL_ONLY,0.5,4036,40360,2380,483.74724326397546,200,212,3824,0.9474727452923687,0.6598388266322494,0.42137990156636235
visible,NATURAL_ONLY,NATURAL_ONLY,0.6,2149,21490,1160,257.5750311631029,200,212,1937,0.9013494648673802,0.7840768426968431,0.5583313509222413
visible,NATURAL_ONLY,NATURAL_ONLY,0.7,1452,14520,710,174.0339438105283,200,212,1240,0.8539944903581267,0.8567056387569782,0.6566126695058879
visible,NATURAL_ONLY,NATURAL_ONLY,0.8,984,9840,446,117.94035861539936,200,212,772,0.7845528455284553,0.9114132528530701,0.7410802518015654
visible,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.5,22311,223110,10927,13466.320618058908,124,268,22043,0.987987987987988,0.7746203330569061,0.6001202140911932
visible,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.6,19112,191120,9958,11535.49010140029,124,268,18844,0.9859773964001675,0.8152107284571524,0.6458053161939695
visible,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.7,15677,156770,8773,9462.21632061806,124,268,15409,0.9829048925177011,0.8531428017904928,0.6935402742791968
visible,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.8,11544,115440,7254,6967.648478995655,124,268,11276,0.9767844767844768,0.8915418452063684,0.7484049837462932
refined,ALL,ALL,0.5,25625,256250,12980,2562.5,199,352,25273,0.9862634146341464,0.7582511855379467,0.5742698542711067
refined,ALL,ALL,0.6,20786,207860,10902,2078.6,199,352,20434,0.9830655248725103,0.8120629026956795,0.6370517546843524
refined,ALL,ALL,0.7,16806,168060,9343,1680.6,199,352,16454,0.9790550993692729,0.8526837444155189,0.6893581035502835
refined,ALL,ALL,0.8,12299,122990,7617,1229.8999999999999,199,352,11947,0.9713797869745507,0.891920696657023,0.7457771613715496
refined,NATURAL_ONLY,NATURAL_ONLY,0.5,3508,35080,2107,420.4621727874197,79,88,3420,0.9749144811858609,0.651538801736758,0.40489544592918303
refined,NATURAL_ONLY,NATURAL_ONLY,0.6,1820,18200,991,218.14172020327933,79,88,1732,0.9516483516483516,0.7755502351087185,0.5373401293165572
refined,NATURAL_ONLY,NATURAL_ONLY,0.7,1232,12320,615,147.66516444529677,79,88,1144,0.9285714285714286,0.8442004754411775,0.6283333952103585
refined,NATURAL_ONLY,NATURAL_ONLY,0.8,813,8130,390,97.444625563333,79,88,725,0.8917589175891759,0.8968889990744605,0.7050677233299371
refined,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.5,22117,221170,10873,13349.227426364076,120,264,21853,0.9880634805805489,0.7751769459202122,0.6011345024812377
refined,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.6,18966,189660,9911,11447.368421052632,120,264,18702,0.9860803543182537,0.8155667018630457,0.6466202012819158
refined,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.7,15574,155740,8728,9400.048285852246,120,264,15310,0.9830486708616926,0.8533548236100987,0.6941855364946001
refined,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.8,11486,114860,7227,6932.641236117818,120,264,11222,0.9770154971269371,0.8915690311629104,0.7486586495421774
