global_index,domain,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,context_diff_c1,context_diff_c2,target_diff_words,depth_interaction_sum,shallow_interaction_sum,depth_local_min_actual_over_swapped_sum,shallow_local_min_actual_over_swapped_sum
252,agent-properties,indirect,variable swap,variable swap,choose,-,airplane ||| candle. ||| airplane ||| candle.,candle ||| airplane. ||| candle ||| airplane.,,-26.327081787399948,-16.05454164929688,-7.6177986562252045,-10.896333582699299
253,agent-properties,indirect,variable swap,variable swap,choose,-,candle ||| airplane. ||| candle ||| airplane.,airplane ||| candle. ||| airplane ||| candle.,,-26.327081787399948,-16.05454164929688,-7.6177986562252045,-10.896333582699299
256,agent-properties,indirect,variable swap,variable swap,choose,-,or Wei. ||| than Wei.,Wei or ||| Wei than,,-12.035048261284828,-29.29525151848793,5.4089838564395905,-0.672346219420433
257,agent-properties,indirect,variable swap,variable swap,choose,-,or Jesse. ||| than Jesse.,Jesse or ||| Jesse than,,-12.035048261284828,-29.29525151848793,-1.8437990620732307,-2.2320225797593594
258,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Jesse ||| Wei.,Wei or ||| Jesse.,,-9.850725412368774,-9.736980706453323,nan,nan
259,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Wei ||| Jesse.,Jesse or ||| Wei.,,-9.850725412368774,-9.736980706453323,nan,nan
260,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Jesse ||| Wei.,Wei or ||| Jesse.,,-9.076275825500488,-7.932882115244865,nan,nan
261,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Wei ||| Jesse.,Jesse or ||| Wei.,,-9.076275825500488,-7.932882115244865,nan,nan
270,agent-properties,indirect,variable swap,variable swap,choose,-,hockey ||| cards.,cards ||| hockey.,,-16.60916379094124,-6.720337048172951,-2.902860641479492,-2.109269380569458
271,agent-properties,indirect,variable swap,variable swap,choose,-,cards ||| hockey.,hockey ||| cards.,,-16.60916379094124,-6.720337048172951,-2.902860641479492,-2.109269380569458
272,agent-properties,indirect,variable swap,variable swap,choose,-,airplane ||| The airplane ||| candle.,candle ||| airplane. The ||| airplane.,,-35.30383161827922,-40.60924953687936,9.049933724105358,5.29435807466507
273,agent-properties,indirect,variable swap,variable swap,choose,-,candle ||| The candle ||| airplane.,airplane ||| candle. The ||| candle.,,-35.30383161827922,-40.60924953687936,10.482456311583519,10.132228970527649
274,agent-properties,indirect,variable swap,variable swap,choose,-,airplane ||| The airplane ||| candle.,candle ||| airplane. The ||| airplane.,,-36.36825869092718,-43.971436101943254,6.1405719220638275,14.898379988968372
275,agent-properties,indirect,variable swap,variable swap,choose,-,candle ||| The candle ||| airplane.,airplane ||| candle. The ||| candle.,,-36.36825869092718,-43.971436101943254,17.707699708640575,31.813599932938814
280,agent-properties,indirect,variable swap,variable swap,choose,-,airplane ||| candle.,candle ||| airplane.,,-12.665573279373348,-2.33829250279814,-1.3110570907592773,-0.5606174468994141
281,agent-properties,indirect,variable swap,variable swap,choose,-,candle ||| airplane.,airplane ||| candle.,,-12.665573279373348,-2.33829250279814,-1.3110570907592773,-0.5606174468994141
286,agent-properties,indirect,variable swap,variable swap,choose,-,pool ||| football.,football ||| pool.,,-28.84136714041233,-14.741941874846816,-1.2123961448669434,-7.319479465484619
287,agent-properties,indirect,variable swap,variable swap,choose,-,football ||| pool.,pool ||| football.,,-28.84136714041233,-14.741941874846816,-1.2123961448669434,-7.319479465484619
288,agent-properties,indirect,variable swap,variable swap,choose,-,Ali ||| Yan.,Yan ||| Ali.,,-34.21931977570057,-20.1615372300148,-4.582895278930664,-8.949758529663086
289,agent-properties,indirect,variable swap,variable swap,choose,-,Yan ||| Ali.,Ali ||| Yan.,,-34.21931977570057,-20.1615372300148,-4.582895278930664,-8.949758529663086
292,agent-properties,indirect,variable swap,variable swap,choose,-,Ali ||| Yan.,Yan ||| Ali.,,-29.04159750789404,-22.563263336196542,-4.722038269042969,-11.698541641235352
293,agent-properties,indirect,variable swap,variable swap,choose,-,Yan ||| Ali.,Ali ||| Yan.,,-29.04159750789404,-22.563263336196542,-4.722038269042969,-11.698541641235352
296,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| wheel. ||| truck ||| wheel.,wheel ||| truck. ||| wheel ||| truck.,,-13.744938018731773,-6.245913489256054,-1.662504404783249,-0.8138858061283827
297,agent-properties,indirect,variable swap,variable swap,choose,-,wheel ||| truck. ||| wheel ||| truck.,truck ||| wheel. ||| truck ||| wheel.,,-13.744938018731773,-6.245913489256054,-1.662504404783249,-0.8138858061283827
300,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Ali ||| Yan.,Yan or ||| Ali.,,-10.471387352794409,-10.514173049479723,nan,nan
301,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Yan ||| Ali.,Ali or ||| Yan.,,-10.471387352794409,-10.514173049479723,nan,nan
302,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Ali ||| Yan.,Yan or ||| Ali.,,-17.95459645614028,-12.552314108237624,nan,nan
303,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Yan ||| Ali.,Ali or ||| Yan.,,-17.95459645614028,-12.552314108237624,nan,nan
304,agent-properties,indirect,variable swap,variable swap,choose,-,or Yan. ||| than Yan.,Yan or ||| Yan than,,-25.462042182683945,-21.48785268329084,-6.5280303955078125,-5.005136966705322
305,agent-properties,indirect,variable swap,variable swap,choose,-,or Ali. ||| than Ali.,Ali or ||| Ali than,,-25.462042182683945,-21.48785268329084,-4.842273861169815,-6.364738471806049
314,agent-properties,indirect,variable swap,variable swap,choose,-,pool ||| football.,football ||| pool.,,-20.06404898315668,-7.389444166794419,-3.714253783226013,-3.4938602447509766
315,agent-properties,indirect,variable swap,variable swap,choose,-,football ||| pool.,pool ||| football.,,-20.06404898315668,-7.389444166794419,-3.714253783226013,-3.4938602447509766
316,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| The truck ||| wheel.,wheel ||| truck. The ||| truck.,,-20.304149269359186,-16.16655428777449,8.951613135635853,13.772206112742424
317,agent-properties,indirect,variable swap,variable swap,choose,-,wheel ||| The wheel ||| truck.,truck ||| wheel. The ||| wheel.,,-20.304149269359186,-16.16655428777449,7.678067367523909,16.00442235171795
318,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| The truck ||| wheel.,wheel ||| truck. The ||| truck.,,-20.586984262336046,-15.74647577246651,13.176345374435186,17.0118192397058
319,agent-properties,indirect,variable swap,variable swap,choose,-,wheel ||| The wheel ||| truck.,truck ||| wheel. The ||| wheel.,,-20.586984262336046,-15.74647577246651,16.443363439291716,15.722329154610634
324,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| wheel.,wheel ||| truck.,,-8.993591168895364,-8.43662689672783,-1.6668729782104492,-0.7486629486083984
325,agent-properties,indirect,variable swap,variable swap,choose,-,wheel ||| truck.,truck ||| wheel.,,-8.993591168895364,-8.43662689672783,-1.6668729782104492,-0.7486629486083984
328,agent-properties,indirect,variable swap,variable swap,choose,-,tennis ||| volleyball.,volleyball ||| tennis.,,-19.843291848897934,-15.220685318112373,-0.5724236965179443,-1.192305088043213
329,agent-properties,indirect,variable swap,variable swap,choose,-,volleyball ||| tennis.,tennis ||| volleyball.,,-19.843291848897934,-15.220685318112373,-0.5724236965179443,-1.192305088043213
334,agent-properties,indirect,variable swap,variable swap,choose,-,Mohammed ||| Alex.,Alex ||| Mohammed.,,-30.31211006641388,-33.93157187104225,-3.169281005859375,-2.186830997467041
335,agent-properties,indirect,variable swap,variable swap,choose,-,Alex ||| Mohammed.,Mohammed ||| Alex.,,-30.31211006641388,-33.93157187104225,-3.169281005859375,-2.186830997467041
338,agent-properties,indirect,variable swap,variable swap,choose,-,Mohammed ||| Alex.,Alex ||| Mohammed.,,-28.010131418704987,-38.169191628694534,-3.8953933715820312,-0.20234060287475586
339,agent-properties,indirect,variable swap,variable swap,choose,-,Alex ||| Mohammed.,Mohammed ||| Alex.,,-28.010131418704987,-38.169191628694534,-3.8953933715820312,-0.20234060287475586
340,agent-properties,indirect,variable swap,variable swap,choose,-,box ||| truck. ||| box ||| truck.,truck ||| box. ||| truck ||| box.,,-19.209702061489224,-11.00739126931876,-1.1367578953504562,-6.8546253852546215
341,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| box. ||| truck ||| box.,box ||| truck. ||| box ||| truck.,,-19.209702061489224,-11.00739126931876,-1.1367578953504562,-6.8546253852546215
350,agent-properties,indirect,variable swap,variable swap,choose,-,or Alex. ||| than Alex.,Alex or ||| Alex than,,-6.468853712081909,-15.951026201248169,-1.8633020017296076,3.092781901359558
351,agent-properties,indirect,variable swap,variable swap,choose,-,or Mohammed. ||| than Mohammed.,Mohammed or ||| Mohammed than,,-6.468853712081909,-15.951026201248169,-1.3148782886564732,-1.0577022954821587
352,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Mohammed ||| Alex.,Alex or ||| Mohammed.,,-10.355941653251648,-12.179471239447594,nan,nan
353,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Alex ||| Mohammed.,Mohammed or ||| Alex.,,-10.355941653251648,-12.179471239447594,nan,nan
354,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Mohammed ||| Alex.,Alex or ||| Mohammed.,,-10.64566946029663,-8.148655861616135,nan,nan
355,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Alex ||| Mohammed.,Mohammed or ||| Alex.,,-10.64566946029663,-8.148655861616135,nan,nan
356,agent-properties,indirect,variable swap,variable swap,choose,-,tennis ||| volleyball.,volleyball ||| tennis.,,-14.74853429198265,-9.506885334849358,-2.5976099967956543,-2.0769197940826416
357,agent-properties,indirect,variable swap,variable swap,choose,-,volleyball ||| tennis.,tennis ||| volleyball.,,-14.74853429198265,-9.506885334849358,-2.5976099967956543,-2.0769197940826416
360,agent-properties,indirect,variable swap,variable swap,choose,-,box ||| The box ||| truck.,truck ||| box. The ||| box.,,-23.25718787231017,-25.55789257818833,6.539994817227125,8.048757299780846
361,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| The truck ||| box.,box ||| truck. The ||| truck.,,-23.25718787231017,-25.55789257818833,10.32993532717228,11.032881624996662
362,agent-properties,indirect,variable swap,variable swap,choose,-,box ||| The box ||| truck.,truck ||| box. The ||| box.,,-21.756323365028948,-25.7348223477602,19.780715879052877,14.333799704909325
363,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| The truck ||| box.,box ||| truck. The ||| truck.,,-21.756323365028948,-25.7348223477602,17.542762905359268,15.932168692350388
368,agent-properties,indirect,variable swap,variable swap,choose,-,box ||| truck.,truck ||| box.,,-10.540049003437161,-5.546113076619804,-2.4199042320251465,-0.05371856689453125
369,agent-properties,indirect,variable swap,variable swap,choose,-,truck ||| box.,box ||| truck.,,-10.540049003437161,-5.546113076619804,-2.4199042320251465,-0.05371856689453125
372,agent-properties,indirect,variable swap,variable swap,choose,-,basketball ||| dominoes.,dominoes ||| basketball.,,-14.717220485210419,-11.336093232035637,-4.937440872192383,-1.1504697799682617
373,agent-properties,indirect,variable swap,variable swap,choose,-,dominoes ||| basketball.,basketball ||| dominoes.,,-14.717220485210419,-11.336093232035637,-4.937440872192383,-1.1504697799682617
376,agent-properties,indirect,variable swap,variable swap,choose,-,Fatima ||| Maria.,Maria ||| Fatima.,,-32.47740638256073,-28.3430532887578,-5.890959739685059,-1.489865779876709
377,agent-properties,indirect,variable swap,variable swap,choose,-,Maria ||| Fatima.,Fatima ||| Maria.,,-32.47740638256073,-28.3430532887578,-5.890959739685059,-1.489865779876709
380,agent-properties,indirect,variable swap,variable swap,choose,-,Fatima ||| Maria.,Maria ||| Fatima.,,-33.406430050730705,-31.044366382062435,-5.593343734741211,-0.05756378173828125
381,agent-properties,indirect,variable swap,variable swap,choose,-,Maria ||| Fatima.,Fatima ||| Maria.,,-33.406430050730705,-31.044366382062435,-5.593343734741211,-0.05756378173828125
384,agent-properties,indirect,variable swap,variable swap,choose,-,car ||| cooler. ||| car ||| cooler.,cooler ||| car. ||| cooler ||| car.,,-26.20091307349503,-3.4863842595368624,-8.669219493865967,-16.613266177475452
388,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Fatima ||| Maria.,Maria or ||| Fatima.,,-10.322257995605469,-10.930525474250317,nan,nan
389,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Maria ||| Fatima.,Fatima or ||| Maria.,,-10.322257995605469,-10.930525474250317,nan,nan
390,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Fatima ||| Maria.,Maria or ||| Fatima.,,-9.00001323223114,-7.112922180444002,nan,nan
391,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Maria ||| Fatima.,Fatima or ||| Maria.,,-9.00001323223114,-7.112922180444002,nan,nan
392,agent-properties,indirect,variable swap,variable swap,choose,-,or Maria. ||| than Maria.,Maria or ||| Maria than,,-13.131456270813942,-14.01816788315773,-6.414501905441284,9.752379018813372
393,agent-properties,indirect,variable swap,variable swap,choose,-,or Fatima. ||| than Fatima.,Fatima or ||| Fatima than,,-13.131456270813942,-14.01816788315773,-4.2981351017951965,-3.0551095567643642
400,agent-properties,indirect,variable swap,variable swap,choose,-,basketball ||| dominoes.,dominoes ||| basketball.,,-10.283740594983101,-5.255206540226936,-1.4577994346618652,-0.6127930879592896
401,agent-properties,indirect,variable swap,variable swap,choose,-,dominoes ||| basketball.,basketball ||| dominoes.,,-10.283740594983101,-5.255206540226936,-1.4577994346618652,-0.6127930879592896
404,agent-properties,indirect,variable swap,variable swap,choose,-,car ||| The car ||| cooler.,cooler ||| car. The ||| car.,,-31.897005567559972,-22.15882646664977,14.008933179080486,14.689249649643898
405,agent-properties,indirect,variable swap,variable swap,choose,-,cooler ||| The cooler ||| car.,car ||| cooler. The ||| cooler.,,-31.897005567559972,-22.15882646664977,10.368491843342781,7.6996791660785675
406,agent-properties,indirect,variable swap,variable swap,choose,-,car ||| The car ||| cooler.,cooler ||| car. The ||| car.,,-22.12506971322,-20.578775537665933,17.12142987921834,15.539826445281506
407,agent-properties,indirect,variable swap,variable swap,choose,-,cooler ||| The cooler ||| car.,car ||| cooler. The ||| cooler.,,-22.12506971322,-20.578775537665933,13.140042051672935,18.7178834117949
412,agent-properties,indirect,variable swap,variable swap,choose,-,car ||| cooler.,cooler ||| car.,,-4.798553823493421,-5.7154742777347565,-2.13521146774292,-0.9312915802001953
413,agent-properties,indirect,variable swap,variable swap,choose,-,cooler ||| car.,car ||| cooler.,,-4.798553823493421,-5.7154742777347565,-2.13521146774292,-0.9312915802001953
418,agent-properties,indirect,variable swap,variable swap,choose,-,soccer ||| chess.,chess ||| soccer.,,-24.25085461139679,-16.94016605615616,-1.7135496139526367,-1.199941635131836
419,agent-properties,indirect,variable swap,variable swap,choose,-,chess ||| soccer.,soccer ||| chess.,,-24.25085461139679,-16.94016605615616,-1.7135496139526367,-1.199941635131836
422,agent-properties,indirect,variable swap,variable swap,choose,-,Li ||| Carmen.,Carmen ||| Li.,,-38.30965408682823,-32.005385622382164,-5.08109188079834,-2.7024998664855957
423,agent-properties,indirect,variable swap,variable swap,choose,-,Carmen ||| Li.,Li ||| Carmen.,,-38.30965408682823,-32.005385622382164,-5.08109188079834,-2.7024998664855957
426,agent-properties,indirect,variable swap,variable swap,choose,-,Li ||| Carmen.,Carmen ||| Li.,,-34.18036003410816,-36.106129348278046,-5.225919246673584,-4.357879638671875
427,agent-properties,indirect,variable swap,variable swap,choose,-,Carmen ||| Li.,Li ||| Carmen.,,-34.18036003410816,-36.106129348278046,-5.225919246673584,-4.357879638671875
428,agent-properties,indirect,variable swap,variable swap,choose,-,bus ||| volleyball. ||| bus ||| volleyball.,volleyball ||| bus. ||| volleyball ||| bus.,,-26.679434813559055,-6.063546220306307,-5.033378139138222,-1.0313356705009937
429,agent-properties,indirect,variable swap,variable swap,choose,-,volleyball ||| bus. ||| volleyball ||| bus.,bus ||| volleyball. ||| bus ||| volleyball.,,-26.679434813559055,-6.063546220306307,-5.033378139138222,-1.0313356705009937
438,agent-properties,indirect,variable swap,variable swap,choose,-,or Carmen. ||| than Carmen.,Carmen or ||| Carmen than,,-13.877102613449097,-26.205992713570595,-4.116764510050416,-0.26565516740083694
439,agent-properties,indirect,variable swap,variable swap,choose,-,or Li. ||| than Li.,Li or ||| Li than,,-13.877102613449097,-26.205992713570595,1.0857319943606853,4.341131307184696
440,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Li ||| Carmen.,Carmen or ||| Li.,,-14.684608221054077,-13.544924259185791,nan,nan
441,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Carmen ||| Li.,Li or ||| Carmen.,,-14.684608221054077,-13.544924259185791,nan,nan
442,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Li ||| Carmen.,Carmen or ||| Li.,,-14.59584778547287,-13.609037935733795,nan,nan
443,agent-properties,indirect,variable swap,variable swap,choose,-,or ||| Carmen ||| Li.,Li or ||| Carmen.,,-14.59584778547287,-13.609037935733795,nan,nan
446,agent-properties,indirect,variable swap,variable swap,choose,-,soccer ||| chess.,chess ||| soccer.,,-20.64298689365387,-8.905437961220741,-1.684197187423706,-0.7293112277984619
447,agent-properties,indirect,variable swap,variable swap,choose,-,chess ||| soccer.,soccer ||| chess.,,-20.64298689365387,-8.905437961220741,-1.684197187423706,-0.7293112277984619
448,agent-properties,indirect,variable swap,variable swap,choose,-,bus ||| The bus ||| volleyball.,volleyball ||| bus. The ||| bus.,,-34.83718265593052,-21.68972059432417,8.747609302401543,13.90364570170641
449,agent-properties,indirect,variable swap,variable swap,choose,-,volleyball ||| The volleyball ||| bus.,bus ||| volleyball. The ||| volleyball.,,-34.83718265593052,-21.68972059432417,6.110130719840527,15.843900352716446
450,agent-properties,indirect,variable swap,variable swap,choose,-,bus ||| The bus ||| volleyball.,volleyball ||| bus. The ||| bus.,,-35.29659004416317,-25.056074492633343,15.965918593108654,21.034235045313835
451,agent-properties,indirect,variable swap,variable swap,choose,-,volleyball ||| The volleyball ||| bus.,bus ||| volleyball. The ||| volleyball.,,-35.29659004416317,-25.056074492633343,17.324830427765846,23.258614741265774
456,agent-properties,indirect,variable swap,variable swap,choose,-,bus ||| volleyball.,volleyball ||| bus.,,-5.378517924807966,-4.5774731412529945,-2.978438377380371,-1.8695216178894043
457,agent-properties,indirect,variable swap,variable swap,choose,-,volleyball ||| bus.,bus ||| volleyball.,,-5.378517924807966,-4.5774731412529945,-2.978438377380371,-1.8695216178894043
463,agent-properties,direct,negation,concept swap,feel,not feel,not,,feel feels,-0.27018828919972293,-0.4874023001175374,nan,nan
518,agent-properties,direct,antonym,concept swap,hear,not hear,awake.,asleep.,hear hears,-0.7705868938937783,-0.6875301839318126,-0.8965580463409424,-1.2063024044036865
520,agent-properties,direct,antonym,concept swap,hear,not hear,uncovered.,covered.,hear hears,-0.698241719044745,-0.3002784353448078,-0.8590531349182129,-0.5587725639343262
527,agent-properties,direct,antonym,concept swap,hear,not hear,asleep.,awake.,hear hears,-0.30196516402065754,-1.2655609833309427,-0.4913935661315918,-1.2669086456298828
534,agent-properties,direct,antonym,concept swap,hear,not hear,awake.,asleep.,hear hears,-0.17801417876034975,-1.3243138995021582,-0.8059597015380859,-0.6987082958221436
535,agent-properties,direct,antonym,concept swap,hear,not hear,asleep.,awake.,hear hears,-0.17801417876034975,-1.3243138995021582,-0.8059597015380859,-0.6987082958221436
560,agent-properties,direct,antonym,concept swap,intend,not intend,in favor of,against,intend intends,-0.9687759790976997,-0.8137711905874312,-2.2833719179034233,-4.81337197124958
592,agent-properties,indirect,antonym,concept swap,intend,not intend,deliberately,inadvertently,intend intends,-0.05458559330145363,-1.8311370551527943,-6.104432582855225,-4.5592360496521
604,agent-properties,indirect,antonym,concept swap,intend,not intend,deliberately,inadvertently,intend intends,-0.33158430384355597,-0.8383099612256046,-6.454433441162109,-3.0820388793945312
606,agent-properties,indirect,antonym,concept swap,intend,not intend,deliberately,inadvertently,intend intends,-0.13599589187651873,-0.4862915325211361,-6.984125137329102,-4.8075103759765625
608,agent-properties,indirect,antonym,concept swap,intend,not intend,knowingly,unknowingly,intend intends,-1.8118142333987635,-2.3036032329546288,-6.213602066040039,-1.5638837814331055
609,agent-properties,indirect,antonym,concept swap,intend,not intend,unknowingly,knowingly,intend intends,-1.8118142333987635,-2.3036032329546288,-6.213602066040039,-1.5638837814331055
648,agent-properties,indirect,antonym,concept swap,intend,not intend,deliberately,inadvertently,intend intends,-1.0744563525513513,-0.6593796363740694,-5.0729217529296875,-3.6384782791137695
703,agent-properties,direct,antonym,concept swap,make an effort,make no effort,accidentally,deliberately,,-0.7479703114368021,-0.23820122503093444,-2.9261560440063477,-5.275900840759277
705,agent-properties,direct,antonym,concept swap,make an effort,make no effort,accidentally,deliberately,,-0.8946765519212931,-0.43607600464019924,-0.3973045349121094,-4.203332901000977
709,agent-properties,direct,antonym,concept swap,make an effort,make no effort,accidentally,deliberately,,-1.5616978090256453,-0.24032160796923563,-1.0498981475830078,-2.1234569549560547
760,agent-properties,indirect,antonym,concept swap,make an effort,make no effort,see,avoid,,-0.32095968641806394,-0.27370053523918614,-5.71744704246521,-3.062213897705078
767,agent-properties,indirect,antonym,concept swap,make an effort,make no effort,against,in favor of,,-0.08091292879544199,-0.5467002287623473,-2.5513469874858856,-5.088282346725464
794,agent-properties,indirect,antonym,concept swap,make more effort,make less effort,less,more,less more,-0.4163081782462541,-1.5940714691532776,-2.200435757637024,-4.080615878105164
796,agent-properties,indirect,antonym,concept swap,make more effort,make less effort,less,more,less more,-4.657246454720735,-4.327645414217841,-1.1856212615966797,-3.0046480894088745
