domain,line_idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,PLL_0,PLL_1,margin,is_correct
agent-properties,55,believe,doubt,indirect,antonym,concept swap,-36.251312,-34.748352,-1.50296,0
agent-properties,56,believe,doubt,indirect,antonym,concept swap,-15.647983,-17.397257,1.749274,1
agent-properties,57,believe,doubt,indirect,antonym,concept swap,-28.43985,-26.614246,-1.825603,0
agent-properties,58,believe,doubt,indirect,antonym,concept swap,-14.735711,-15.787875,1.052164,1
agent-properties,59,believe,doubt,indirect,antonym,concept swap,-30.363913,-29.111921,-1.251991,0
agent-properties,60,believe,doubt,indirect,antonym,concept swap,-21.771957,-19.216543,-2.555414,0
agent-properties,61,believe,doubt,indirect,antonym,concept swap,-34.192757,-34.463085,0.270329,1
agent-properties,62,believe,doubt,indirect,antonym,concept swap,-15.519731,-17.154902,1.635171,1
agent-properties,63,believe,doubt,indirect,antonym,concept swap,-29.622007,-27.919655,-1.702353,0
agent-properties,64,believe,doubt,indirect,antonym,concept swap,-12.739386,-10.623423,-2.115963,0
agent-properties,65,believe,doubt,indirect,antonym,concept swap,-22.884256,-25.14982,2.265564,1
agent-properties,66,believe,doubt,indirect,antonym,concept swap,-19.092737,-21.277525,2.184788,1
agent-properties,67,believe,doubt,indirect,antonym,concept swap,-36.671906,-34.567089,-2.104816,0
agent-properties,68,believe,doubt,indirect,antonym,concept swap,-17.688185,-19.47407,1.785885,1
agent-properties,69,believe,doubt,indirect,antonym,concept swap,-31.004953,-29.305477,-1.699476,0
agent-properties,70,believe,doubt,indirect,negation,concept swap,-8.724889,-9.211352,0.486464,1
agent-properties,71,believe,doubt,indirect,negation,concept swap,-23.857277,-26.063206,2.205929,1
agent-properties,72,believe,doubt,indirect,negation,concept swap,-10.907037,-10.861548,-0.045488,0
agent-properties,73,believe,doubt,indirect,negation,concept swap,-19.959667,-18.937014,-1.022654,0
agent-properties,74,believe,doubt,indirect,negation,concept swap,-9.09357,-10.098455,1.004886,1
agent-properties,75,believe,doubt,indirect,negation,concept swap,-22.225645,-21.851265,-0.37438,0
agent-properties,76,believe,doubt,indirect,negation,concept swap,-8.117171,-10.829007,2.711836,1
agent-properties,77,believe,doubt,indirect,negation,concept swap,-23.295221,-22.489307,-0.805914,0
agent-properties,78,believe,doubt,indirect,negation,concept swap,-8.380108,-9.421633,1.041525,1
agent-properties,79,believe,doubt,indirect,negation,concept swap,-24.260006,-24.124643,-0.135363,0
agent-properties,80,believe,doubt,indirect,other,concept swap,-9.49334,-8.792785,-0.700555,0
agent-properties,81,believe,doubt,indirect,other,concept swap,-18.994186,-19.712091,0.717905,1
agent-properties,82,believe,doubt,indirect,other,concept swap,-5.294541,-5.969622,0.675081,1
agent-properties,83,believe,doubt,indirect,other,concept swap,-15.630122,-15.498686,-0.131436,0
agent-properties,84,believe,doubt,indirect,other,concept swap,-8.449899,-8.165229,-0.28467,0
agent-properties,85,believe,doubt,indirect,other,concept swap,-17.669794,-18.323839,0.654045,1
agent-properties,86,believe,doubt,indirect,other,concept swap,-6.64668,-5.952833,-0.693848,0
agent-properties,87,believe,doubt,indirect,other,concept swap,-16.698128,-17.471012,0.772884,1
agent-properties,88,believe,doubt,indirect,other,concept swap,-8.214567,-8.668169,0.453602,1
agent-properties,89,believe,doubt,indirect,other,concept swap,-17.964388,-17.596422,-0.367966,0
agent-properties,90,believe,doubt,indirect,variable swap,concept swap,-17.066427,-21.75042,4.683992,1
agent-properties,91,believe,doubt,indirect,variable swap,concept swap,-29.249182,-30.365927,1.116745,1
agent-properties,92,believe,doubt,indirect,variable swap,concept swap,-23.668152,-21.277525,-2.390627,0
agent-properties,93,believe,doubt,indirect,variable swap,concept swap,-36.671906,-37.234829,0.562923,1
agent-properties,94,believe,doubt,indirect,variable swap,concept swap,-14.502833,-17.905346,3.402513,1
agent-properties,95,believe,doubt,indirect,variable swap,concept swap,-27.186008,-28.93203,1.746021,1
agent-properties,96,believe,doubt,indirect,variable swap,concept swap,-18.980682,-19.47407,0.493387,1
agent-properties,97,believe,doubt,indirect,variable swap,concept swap,-31.004953,-27.997566,-3.007387,0
agent-properties,98,believe,doubt,indirect,variable swap,concept swap,-23.53054,-18.910025,-4.620516,0
agent-properties,99,believe,doubt,indirect,variable swap,concept swap,-32.034103,-31.068176,-0.965927,0
agent-properties,100,believe,doubt,indirect,variable swap,concept swap,-21.569511,-21.346016,-0.223495,0
agent-properties,101,believe,doubt,indirect,variable swap,concept swap,-36.251312,-27.375135,-8.876177,0
agent-properties,102,believe,doubt,indirect,variable swap,concept swap,-19.71726,-19.944107,0.226847,1
agent-properties,103,believe,doubt,indirect,variable swap,concept swap,-25.955326,-34.748352,8.793026,1
agent-properties,104,believe,doubt,indirect,variable swap,concept swap,-19.948933,-16.320976,-3.627956,0
agent-properties,105,believe,doubt,indirect,variable swap,concept swap,-30.902081,-29.244534,-1.657547,0
agent-properties,106,believe,doubt,indirect,variable swap,concept swap,-19.092737,-21.433897,2.34116,1
agent-properties,107,believe,doubt,indirect,variable swap,concept swap,-35.12405,-34.567089,-0.556961,0
agent-properties,108,believe,doubt,indirect,variable swap,concept swap,-17.688185,-17.296549,-0.391636,0
agent-properties,109,believe,doubt,indirect,variable swap,concept swap,-26.593729,-29.305477,2.711748,1
agent-properties,110,believe,imagine,direct,negation,concept swap,-11.459103,-11.47702,0.017918,1
agent-properties,111,believe,imagine,direct,negation,concept swap,-25.641893,-25.346212,-0.295681,0
agent-properties,112,believe,imagine,direct,negation,concept swap,-10.721435,-10.307734,-0.413701,0
agent-properties,113,believe,imagine,direct,negation,concept swap,-19.117851,-19.004831,-0.11302,0
agent-properties,114,believe,imagine,direct,negation,concept swap,-10.117774,-11.001489,0.883715,1
agent-properties,115,believe,imagine,direct,negation,concept swap,-22.064123,-20.948795,-1.115328,0
agent-properties,116,believe,imagine,direct,negation,concept swap,-8.544584,-9.551373,1.006789,1
agent-properties,117,believe,imagine,direct,negation,concept swap,-20.499992,-20.103769,-0.396223,0
agent-properties,118,believe,imagine,direct,negation,concept swap,-9.592874,-9.456795,-0.136079,0
agent-properties,119,believe,imagine,direct,negation,concept swap,-21.369944,-20.829948,-0.539995,0
agent-properties,120,believe,imagine,direct,other,concept swap,-10.213902,-9.757607,-0.456295,0
agent-properties,121,believe,imagine,direct,other,concept swap,-25.037092,-23.73316,-1.303932,0
agent-properties,122,believe,imagine,direct,other,concept swap,-10.013882,-9.041506,-0.972376,0
agent-properties,123,believe,imagine,direct,other,concept swap,-16.732874,-17.716446,0.983572,1
agent-properties,124,believe,imagine,direct,other,concept swap,-8.602949,-8.060625,-0.542324,0
agent-properties,125,believe,imagine,direct,other,concept swap,-18.895147,-19.550797,0.655649,1
agent-properties,126,believe,imagine,direct,other,concept swap,-7.114729,-6.420545,-0.694184,0
agent-properties,127,believe,imagine,direct,other,concept swap,-17.449795,-17.884983,0.435188,1
agent-properties,128,believe,imagine,direct,other,concept swap,-7.963873,-7.348712,-0.615161,0
agent-properties,129,believe,imagine,direct,other,concept swap,-19.040726,-19.047495,0.006769,1
agent-properties,130,choose,-,indirect,antonym,variable swap,-32.513039,-32.328083,-0.184956,0
agent-properties,131,choose,-,indirect,antonym,variable swap,-40.566818,-39.387165,-1.179653,0
agent-properties,132,choose,-,indirect,antonym,variable swap,-27.375084,-27.086399,-0.288685,0
agent-properties,133,choose,-,indirect,antonym,variable swap,-35.417461,-36.198051,0.78059,1
agent-properties,134,choose,-,indirect,antonym,variable swap,-24.631567,-25.369179,0.737612,1
agent-properties,135,choose,-,indirect,antonym,variable swap,-36.322735,-35.174942,-1.147793,0
agent-properties,136,choose,-,indirect,antonym,variable swap,-38.110886,-37.602478,-0.508408,0
agent-properties,137,choose,-,indirect,antonym,variable swap,-42.15844,-42.246014,0.087574,1
agent-properties,138,choose,-,indirect,antonym,variable swap,-25.745392,-25.455976,-0.289415,0
agent-properties,139,choose,-,indirect,antonym,variable swap,-39.467854,-39.645435,0.177582,1
agent-properties,140,choose,-,indirect,antonym,variable swap,-31.644409,-30.957224,-0.687185,0
agent-properties,141,choose,-,indirect,antonym,variable swap,-41.606457,-40.641354,-0.965103,0
agent-properties,142,choose,-,indirect,antonym,variable swap,-30.684944,-30.323929,-0.361015,0
agent-properties,143,choose,-,indirect,antonym,variable swap,-38.95747,-38.693035,-0.264435,0
agent-properties,144,choose,-,indirect,antonym,variable swap,-37.413124,-37.036854,-0.37627,0
agent-properties,145,choose,-,indirect,antonym,variable swap,-38.09026,-40.132908,2.042648,1
agent-properties,146,choose,-,indirect,antonym,variable swap,-30.996328,-30.059097,-0.937231,0
agent-properties,147,choose,-,indirect,antonym,variable swap,-41.49588,-41.277256,-0.218624,0
agent-properties,148,choose,-,indirect,antonym,variable swap,-29.321932,-32.337311,3.015379,1
agent-properties,149,choose,-,indirect,antonym,variable swap,-41.453175,-39.587254,-1.865921,0
agent-properties,150,choose,-,indirect,antonym,variable swap,-35.833511,-37.61702,1.783508,1
agent-properties,151,choose,-,indirect,antonym,variable swap,-42.404282,-40.29948,-2.104801,0
agent-properties,152,choose,-,indirect,antonym,variable swap,-33.262012,-35.477512,2.2155,1
agent-properties,153,choose,-,indirect,antonym,variable swap,-39.777992,-38.325985,-1.452007,0
agent-properties,154,choose,-,indirect,antonym,variable swap,-48.771137,-44.468388,-4.30275,0
agent-properties,155,choose,-,indirect,antonym,variable swap,-42.250778,-47.359749,5.108971,1
agent-properties,156,choose,-,indirect,antonym,variable swap,-42.520725,-47.04808,4.527355,1
agent-properties,157,choose,-,indirect,antonym,variable swap,-45.56916,-40.663177,-4.905983,0
agent-properties,158,choose,-,indirect,antonym,variable swap,-33.624077,-33.213577,-0.4105,0
agent-properties,159,choose,-,indirect,antonym,variable swap,-35.661243,-36.117718,0.456474,1
agent-properties,160,choose,-,indirect,antonym,variable swap,-33.105305,-32.618046,-0.487259,0
agent-properties,161,choose,-,indirect,antonym,variable swap,-50.858471,-51.130356,0.271885,1
agent-properties,162,choose,-,indirect,antonym,variable swap,-48.5107,-46.643852,-1.866848,0
agent-properties,163,choose,-,indirect,antonym,variable swap,-54.544144,-58.327122,3.782978,1
agent-properties,164,choose,-,indirect,antonym,variable swap,-43.164948,-44.139595,0.974648,1
agent-properties,165,choose,-,indirect,antonym,variable swap,-56.871078,-58.515182,1.644104,1
agent-properties,166,choose,-,indirect,antonym,variable swap,-45.777138,-44.300919,-1.476219,0
agent-properties,167,choose,-,indirect,antonym,variable swap,-38.988007,-41.130814,2.142807,1
agent-properties,168,choose,-,indirect,antonym,variable swap,-30.596519,-30.078705,-0.517815,0
agent-properties,169,choose,-,indirect,antonym,variable swap,-38.358082,-38.652416,0.294334,1
agent-properties,170,choose,-,indirect,antonym,variable swap,-28.373442,-29.503481,1.130039,1
agent-properties,171,choose,-,indirect,antonym,variable swap,-35.695087,-34.782696,-0.912392,0
agent-properties,172,choose,-,indirect,antonym,variable swap,-33.782745,-35.188885,1.406139,1
agent-properties,173,choose,-,indirect,antonym,variable swap,-40.645622,-39.094704,-1.550919,0
agent-properties,174,choose,-,indirect,antonym,variable swap,-30.256845,-32.41901,2.162165,1
agent-properties,175,choose,-,indirect,antonym,variable swap,-37.481476,-34.840164,-2.641312,0
agent-properties,176,choose,-,indirect,antonym,variable swap,-33.845627,-30.107138,-3.738489,0
agent-properties,177,choose,-,indirect,antonym,variable swap,-41.812531,-45.39769,3.585159,1
agent-properties,178,choose,-,indirect,antonym,variable swap,-28.887285,-33.077187,4.189901,1
agent-properties,179,choose,-,indirect,antonym,variable swap,-45.714596,-41.230373,-4.484222,0
agent-properties,180,choose,-,indirect,antonym,variable swap,-31.672388,-30.960211,-0.712177,0
agent-properties,181,choose,-,indirect,antonym,variable swap,-29.852249,-30.385103,0.532854,1
agent-properties,182,choose,-,indirect,antonym,variable swap,-46.532043,-45.654339,-0.877705,0
agent-properties,183,choose,-,indirect,antonym,variable swap,-56.262417,-56.354633,0.092216,1
agent-properties,184,choose,-,indirect,antonym,variable swap,-41.340919,-42.172981,0.832062,1
agent-properties,185,choose,-,indirect,antonym,variable swap,-55.223812,-54.206173,-1.017639,0
agent-properties,186,choose,-,indirect,antonym,variable swap,-35.707466,-35.068142,-0.639324,0
agent-properties,187,choose,-,indirect,antonym,variable swap,-49.251083,-49.327728,0.076645,1
agent-properties,188,choose,-,indirect,antonym,variable swap,-33.824612,-32.586212,-1.2384,0
agent-properties,189,choose,-,indirect,antonym,variable swap,-32.550827,-33.503468,0.952641,1
agent-properties,190,choose,-,indirect,antonym,variable swap,-26.439468,-24.99765,-1.441818,0
agent-properties,191,choose,-,indirect,antonym,variable swap,-28.68745,-29.39793,0.71048,1
agent-properties,192,choose,-,indirect,antonym,variable swap,-25.069202,-27.376148,2.306946,1
agent-properties,193,choose,-,indirect,antonym,variable swap,-30.587767,-29.20348,-1.384287,0
agent-properties,194,choose,-,indirect,antonym,variable swap,-31.277216,-33.713688,2.436472,1
agent-properties,195,choose,-,indirect,antonym,variable swap,-34.196342,-31.897169,-2.299173,0
agent-properties,196,choose,-,indirect,antonym,variable swap,-31.691782,-32.019894,0.328112,1
agent-properties,197,choose,-,indirect,antonym,variable swap,-35.149887,-32.454941,-2.694946,0
agent-properties,198,choose,-,indirect,antonym,variable swap,-26.840979,-25.152599,-1.688379,0
agent-properties,199,choose,-,indirect,antonym,variable swap,-35.991199,-39.111656,3.120457,1
agent-properties,200,choose,-,indirect,antonym,variable swap,-24.349834,-27.047665,2.69783,1
agent-properties,201,choose,-,indirect,antonym,variable swap,-40.495174,-36.754734,-3.74044,0
agent-properties,202,choose,-,indirect,antonym,variable swap,-29.251211,-28.855366,-0.395845,0
agent-properties,203,choose,-,indirect,antonym,variable swap,-30.927931,-31.441366,0.513435,1
agent-properties,204,choose,-,indirect,antonym,variable swap,-28.520538,-28.041286,-0.479252,0
agent-properties,205,choose,-,indirect,antonym,variable swap,-40.696983,-40.481346,-0.215637,0
agent-properties,206,choose,-,indirect,antonym,variable swap,-35.40667,-35.636261,0.229591,1
agent-properties,207,choose,-,indirect,antonym,variable swap,-46.640232,-45.636917,-1.003315,0
agent-properties,208,choose,-,indirect,antonym,variable swap,-32.344692,-33.290062,0.94537,1
agent-properties,209,choose,-,indirect,antonym,variable swap,-45.836502,-44.908924,-0.927578,0
agent-properties,210,choose,-,indirect,antonym,variable swap,-34.366009,-33.706543,-0.659466,0
agent-properties,211,choose,-,indirect,antonym,variable swap,-32.848186,-34.913574,2.065388,1
agent-properties,212,choose,-,indirect,antonym,variable swap,-28.315889,-27.402523,-0.913366,0
agent-properties,213,choose,-,indirect,antonym,variable swap,-31.874147,-32.421051,0.546904,1
agent-properties,214,choose,-,indirect,antonym,variable swap,-27.591002,-29.976942,2.385941,1
agent-properties,215,choose,-,indirect,antonym,variable swap,-32.64378,-31.179411,-1.464369,0
agent-properties,216,choose,-,indirect,antonym,variable swap,-27.36561,-29.558521,2.192911,1
agent-properties,217,choose,-,indirect,antonym,variable swap,-38.465591,-36.343136,-2.122456,0
agent-properties,218,choose,-,indirect,antonym,variable swap,-37.344532,-39.767517,2.422985,1
agent-properties,219,choose,-,indirect,antonym,variable swap,-47.174004,-43.983597,-3.190407,0
agent-properties,220,choose,-,indirect,antonym,variable swap,-31.791859,-30.508905,-1.282953,0
agent-properties,221,choose,-,indirect,antonym,variable swap,-38.718441,-41.50592,2.787479,1
agent-properties,222,choose,-,indirect,antonym,variable swap,-28.331926,-29.976677,1.644751,1
agent-properties,223,choose,-,indirect,antonym,variable swap,-40.69326,-37.384068,-3.309193,0
agent-properties,224,choose,-,indirect,antonym,variable swap,-30.954386,-30.523727,-0.430658,0
agent-properties,225,choose,-,indirect,antonym,variable swap,-38.486912,-38.61227,0.125359,1
agent-properties,226,choose,-,indirect,antonym,variable swap,-34.135208,-32.573025,-1.562183,0
agent-properties,227,choose,-,indirect,antonym,variable swap,-46.003365,-45.516499,-0.486866,0
agent-properties,228,choose,-,indirect,antonym,variable swap,-32.849266,-32.507141,-0.342125,0
agent-properties,229,choose,-,indirect,antonym,variable swap,-44.829971,-44.938679,0.108707,1
agent-properties,230,choose,-,indirect,antonym,variable swap,-30.382597,-30.233814,-0.148783,0
agent-properties,231,choose,-,indirect,antonym,variable swap,-43.327911,-43.048042,-0.279869,0
agent-properties,232,choose,-,indirect,antonym,variable swap,-42.069107,-40.244793,-1.824314,0
agent-properties,233,choose,-,indirect,antonym,variable swap,-40.422497,-41.948502,1.526005,1
agent-properties,234,choose,-,indirect,antonym,variable swap,-28.901031,-28.360779,-0.540253,0
agent-properties,235,choose,-,indirect,antonym,variable swap,-42.040627,-42.035774,-0.004852,0
agent-properties,236,choose,-,indirect,antonym,variable swap,-25.858299,-27.31259,1.45429,1
agent-properties,237,choose,-,indirect,antonym,variable swap,-39.679554,-38.417419,-1.262135,0
agent-properties,238,choose,-,indirect,antonym,variable swap,-33.17902,-35.226555,2.047535,1
agent-properties,239,choose,-,indirect,antonym,variable swap,-41.224838,-39.338028,-1.88681,0
agent-properties,240,choose,-,indirect,variable swap,variable swap,-32.513039,-38.230675,5.717636,1
agent-properties,241,choose,-,indirect,variable swap,variable swap,-31.288231,-39.387165,8.098934,1
agent-properties,242,choose,-,indirect,variable swap,variable swap,-39.854736,-32.328083,-7.526653,0
agent-properties,243,choose,-,indirect,variable swap,variable swap,-40.566818,-34.021896,-6.544922,0
agent-properties,244,choose,-,indirect,variable swap,variable swap,-32.45401,-27.086399,-5.367611,0
agent-properties,245,choose,-,indirect,variable swap,variable swap,-35.417461,-32.538223,-2.879238,0
agent-properties,246,choose,-,indirect,variable swap,variable swap,-27.375084,-33.63377,6.258686,1
agent-properties,247,choose,-,indirect,variable swap,variable swap,-35.506336,-36.198051,0.691715,1
agent-properties,248,choose,-,indirect,variable swap,variable swap,-34.106968,-25.369179,-8.737789,0
agent-properties,249,choose,-,indirect,variable swap,variable swap,-36.322735,-34.483002,-1.839733,0
agent-properties,250,choose,-,indirect,variable swap,variable swap,-24.631567,-33.075619,8.444052,1
agent-properties,251,choose,-,indirect,variable swap,variable swap,-31.055885,-35.174942,4.119057,1
agent-properties,252,choose,-,indirect,variable swap,variable swap,-37.449322,-37.602478,0.153156,1
agent-properties,253,choose,-,indirect,variable swap,variable swap,-42.15844,-38.984348,-3.174091,0
agent-properties,254,choose,-,indirect,variable swap,variable swap,-38.110886,-38.015625,-0.095261,0
agent-properties,255,choose,-,indirect,variable swap,variable swap,-39.281643,-42.246014,2.964371,1
agent-properties,256,choose,-,indirect,variable swap,variable swap,-32.55748,-25.455976,-7.101503,0
agent-properties,257,choose,-,indirect,variable swap,variable swap,-39.467854,-30.487392,-8.980461,0
agent-properties,258,choose,-,indirect,variable swap,variable swap,-35.456398,-30.957224,-4.499174,0
agent-properties,259,choose,-,indirect,variable swap,variable swap,-41.606457,-39.537376,-2.06908,0
agent-properties,260,choose,-,indirect,variable swap,variable swap,-35.925842,-30.323929,-5.601913,0
agent-properties,261,choose,-,indirect,variable swap,variable swap,-38.95747,-35.62849,-3.328979,0
agent-properties,262,choose,-,indirect,variable swap,variable swap,-25.745392,-32.612968,6.867577,1
agent-properties,263,choose,-,indirect,variable swap,variable swap,-30.82333,-39.645435,8.822105,1
agent-properties,264,choose,-,indirect,variable swap,variable swap,-31.644409,-34.816994,3.172585,1
agent-properties,265,choose,-,indirect,variable swap,variable swap,-38.297134,-40.641354,2.344219,1
agent-properties,266,choose,-,indirect,variable swap,variable swap,-30.684944,-34.742168,4.057224,1
agent-properties,267,choose,-,indirect,variable swap,variable swap,-35.137051,-38.693035,3.555984,1
agent-properties,268,choose,-,indirect,variable swap,variable swap,-37.413124,-37.883789,0.470665,1
agent-properties,269,choose,-,indirect,variable swap,variable swap,-40.677227,-40.132908,-0.544319,0
agent-properties,270,choose,-,indirect,variable swap,variable swap,-36.249138,-37.036854,0.787716,1
agent-properties,271,choose,-,indirect,variable swap,variable swap,-38.09026,-39.06102,0.97076,1
agent-properties,272,choose,-,indirect,variable swap,variable swap,-32.824089,-30.059097,-2.764992,0
agent-properties,273,choose,-,indirect,variable swap,variable swap,-41.49588,-29.837349,-11.658531,0
agent-properties,274,choose,-,indirect,variable swap,variable swap,-33.581467,-32.337311,-1.244156,0
agent-properties,275,choose,-,indirect,variable swap,variable swap,-41.453175,-30.433201,-11.019974,0
agent-properties,276,choose,-,indirect,variable swap,variable swap,-30.996328,-33.296207,2.299879,1
agent-properties,277,choose,-,indirect,variable swap,variable swap,-30.711933,-41.277256,10.565323,1
agent-properties,278,choose,-,indirect,variable swap,variable swap,-29.321932,-31.190609,1.868677,1
agent-properties,279,choose,-,indirect,variable swap,variable swap,-28.676592,-39.587254,10.910662,1
agent-properties,280,choose,-,indirect,variable swap,variable swap,-40.236549,-37.61702,-2.61953,0
agent-properties,281,choose,-,indirect,variable swap,variable swap,-42.404282,-38.279839,-4.124443,0
agent-properties,282,choose,-,indirect,variable swap,variable swap,-35.833511,-38.399261,2.56575,1
agent-properties,283,choose,-,indirect,variable swap,variable swap,-36.439266,-40.29948,3.860214,1
agent-properties,284,choose,-,indirect,variable swap,variable swap,-33.262012,-41.78772,8.525707,1
agent-properties,285,choose,-,indirect,variable swap,variable swap,-33.740707,-38.325985,4.585278,1
agent-properties,286,choose,-,indirect,variable swap,variable swap,-43.695568,-35.477512,-8.218056,0
agent-properties,287,choose,-,indirect,variable swap,variable swap,-39.777992,-34.926594,-4.851398,0
agent-properties,288,choose,-,indirect,variable swap,variable swap,-46.719593,-44.468388,-2.251205,0
agent-properties,289,choose,-,indirect,variable swap,variable swap,-42.250778,-32.346939,-9.903839,0
agent-properties,290,choose,-,indirect,variable swap,variable swap,-48.771137,-51.081917,2.31078,1
agent-properties,291,choose,-,indirect,variable swap,variable swap,-38.675838,-47.359749,8.68391,1
agent-properties,292,choose,-,indirect,variable swap,variable swap,-50.283634,-47.04808,-3.235554,0
agent-properties,293,choose,-,indirect,variable swap,variable swap,-45.56916,-39.562126,-6.007034,0
agent-properties,294,choose,-,indirect,variable swap,variable swap,-42.520725,-44.355816,1.835091,1
agent-properties,295,choose,-,indirect,variable swap,variable swap,-30.911161,-40.663177,9.752016,1
agent-properties,296,choose,-,indirect,variable swap,variable swap,-31.296347,-33.213577,1.917231,1
agent-properties,297,choose,-,indirect,variable swap,variable swap,-35.661243,-37.734089,2.072845,1
agent-properties,298,choose,-,indirect,variable swap,variable swap,-33.624077,-31.783358,-1.840719,0
