arm,checkpoint,split,numops,local_index,sample_id,example_id,item_key,pred,pred_idx,correct,gold,option_count
view,chck_80M,ambiref,0,14,1169,17,ambiref:0:14,the green ticket and the red paper and the yellow fan.,1,False,the big leaf and the red creature and the red cheese.,5
view,chck_80M,ambiref,0,15,663,18,ambiref:0:15,the blue bell and the small meat and the yellow tea.,0,True,the blue bell and the small meat and the yellow tea.,5
view,chck_80M,ambiref,0,16,1095,19,ambiref:0:16,the blue bag and the small brick.,1,False,the small milk and the yellow fish.,5
view,chck_80M,ambiref,0,17,225,20,ambiref:0:17,the yellow plane.,1,False,the small radio.,5
view,chck_80M,ambiref,0,18,194,21,ambiref:0:18,the red radio and the small coffee and the big branch.,2,False,the red ice and the small coffee and the big branch.,5
view,chck_80M,ambiref,0,19,1942,22,ambiref:0:19,the blue bomb.,0,True,the blue bomb.,5
view,chck_80M,ambiref,0,20,128,23,ambiref:0:20,the green mirror and the small note and the red drink.,4,False,the red pot and the small note and the red drink.,5
view,chck_80M,ambiref,0,21,702,24,ambiref:0:21,the yellow bone and the big bowl and the green medicine.,0,True,the yellow bone and the big bowl and the green medicine.,5
view,chck_80M,ambiref,0,22,2086,25,ambiref:0:22,the big radio and the yellow rose and the blue bag.,0,True,the big radio and the yellow rose and the blue bag.,5
view,chck_80M,ambiref,0,23,1780,26,ambiref:0:23,the green cake and the blue plane and the big plane.,0,True,the green cake and the blue plane and the big plane.,5
view,chck_80M,ambiref,0,24,969,27,ambiref:0:24,the yellow radio and the yellow dress and the yellow glass.,2,False,the green phone and the green coffee and the blue glass.,5
view,chck_80M,ambiref,0,25,2210,30,ambiref:0:25,the red ring and the blue seed and the yellow coat.,2,False,the blue dress and the blue seed and the yellow coat.,5
view,chck_80M,ambiref,0,26,1097,31,ambiref:0:26,the yellow car and the red leaf.,3,False,the red car and the red leaf.,5
view,chck_80M,ambiref,0,27,1325,33,ambiref:0:27,the yellow bomb.,0,True,the yellow bomb.,5
view,chck_80M,ambiref,0,28,1080,34,ambiref:0:28,the red coffee and the blue machine and the yellow camera.,2,False,the blue fig and the blue machine and the yellow camera.,5
view,chck_80M,ambiref,0,29,472,35,ambiref:0:29,the green glass.,2,False,the big beer.,5
view,chck_80M,ambiref,0,30,1080,36,ambiref:0:30,the yellow bread.,1,False,the red coffee.,5
view,chck_80M,ambiref,0,31,2077,39,ambiref:0:31,the big phone.,1,False,the blue tape.,5
view,chck_80M,ambiref,0,32,353,40,ambiref:0:32,the yellow wire.,3,False,the red bus.,5
view,chck_80M,ambiref,0,33,1207,41,ambiref:0:33,the green plane and the green coffee and the green magazine.,1,False,the big glass and the yellow cash and the big engine.,5
view,chck_80M,ambiref,0,34,2049,43,ambiref:0:34,the big cream and the red cream and the small bag.,0,True,the big cream and the red cream and the small bag.,5
view,chck_80M,ambiref,0,35,629,44,ambiref:0:35,the blue bone and the red brick.,0,True,the blue bone and the red brick.,5
view,chck_80M,ambiref,0,36,85,45,ambiref:0:36,the blue bowl and the red stone.,2,False,the blue drink and the red ice.,5
view,chck_80M,ambiref,0,37,225,46,ambiref:0:37,the yellow plane.,2,False,the blue document.,5
view,chck_80M,ambiref,0,38,1367,47,ambiref:0:38,the green pot and the green boot.,1,False,the red coat and the big cash.,5
view,chck_80M,ambiref,0,39,1551,48,ambiref:0:39,the blue painting and the blue glass and the green engine.,0,True,the blue painting and the blue glass and the green engine.,5
view,chck_80M,ambiref,0,40,336,49,ambiref:0:40,the green creature.,1,False,the small creature.,5
view,chck_80M,ambiref,0,41,1756,50,ambiref:0:41,the red disk and the green sheet.,2,False,the red disk and the small chemical.,5
view,chck_80M,ambiref,0,42,1792,51,ambiref:0:42,the big suit.,1,False,the yellow fig.,5
view,chck_80M,ambiref,0,43,1193,52,ambiref:0:43,the big painting.,0,True,the big painting.,5
view,chck_80M,ambiref,0,44,2139,54,ambiref:0:44,the big disk.,0,True,the big disk.,5
view,chck_80M,ambiref,0,45,473,55,ambiref:0:45,the blue phone and the small card.,1,False,the yellow wire and the big cake.,5
view,chck_80M,ambiref,0,46,336,56,ambiref:0:46,the big medicine and the yellow bell.,1,False,the big medicine and the green rose.,5
view,chck_80M,ambiref,0,47,1147,57,ambiref:0:47,the blue bell and the blue cross.,0,True,the blue bell and the blue cross.,5
view,chck_80M,ambiref,0,48,132,58,ambiref:0:48,the green machine and the blue knife.,2,False,the red pot and the green engine.,5
view,chck_80M,ambiref,0,49,1344,59,ambiref:0:49,the blue shoe and the yellow shoe and the blue shirt.,1,False,the big cheese and the red cheese and the big hat.,5
view,chck_80M,ambiref,0,50,1628,60,ambiref:0:50,the blue painting.,2,False,the red newspaper.,5
view,chck_80M,ambiref,0,51,1206,61,ambiref:0:51,the small cake.,0,True,the small cake.,5
view,chck_80M,ambiref,0,52,1550,67,ambiref:0:52,the green mirror and the red bottle and the small bottle.,0,True,the green mirror and the red bottle and the small bottle.,5
view,chck_80M,ambiref,0,53,39,68,ambiref:0:53,the blue crown.,2,False,the big painting.,5
view,chck_80M,ambiref,0,54,472,69,ambiref:0:54,the red wheel and the yellow rock.,4,False,the red wheel and the green glass.,5
view,chck_80M,ambiref,0,55,2068,70,ambiref:0:55,the big computer and the small rose and the big tea.,0,True,the big computer and the small rose and the big tea.,5
view,chck_80M,ambiref,0,56,1624,71,ambiref:0:56,the small bone and the yellow book and the blue brain.,0,True,the small bone and the yellow book and the blue brain.,5
view,chck_80M,ambiref,0,57,1944,72,ambiref:0:57,the blue ball and the yellow chemical and the small magazine.,0,True,the blue ball and the yellow chemical and the small magazine.,5
view,chck_80M,ambiref,0,58,1200,74,ambiref:0:58,the yellow map and the big engine.,1,False,the green mirror and the green map.,5
view,chck_80M,ambiref,0,59,1080,75,ambiref:0:59,the yellow bread.,1,False,the green pipe.,5
view,chck_80M,ambiref,0,60,1454,76,ambiref:0:60,the blue knife and the yellow fig.,1,False,the blue ticket and the yellow bomb.,5
view,chck_80M,ambiref,0,61,294,77,ambiref:0:61,the yellow meat and the green hat.,1,False,the green bag and the small brain.,5
view,chck_80M,ambiref,0,62,42,78,ambiref:0:62,the red shirt and the yellow coat and the blue jacket.,0,True,the red shirt and the yellow coat and the blue jacket.,5
view,chck_80M,ambiref,0,63,2053,79,ambiref:0:63,the big bill.,1,False,the red tape.,5
view,chck_80M,ambiref,0,64,850,80,ambiref:0:64,the red brain and the red rock and the yellow cup.,0,True,the red brain and the red rock and the yellow cup.,5
view,chck_80M,ambiref,0,65,1644,81,ambiref:0:65,the red meat and the red tie.,4,False,the red meat and the big knife.,5
view,chck_80M,ambiref,0,66,116,82,ambiref:0:66,the big string and the red fig and the small camera.,0,True,the big string and the red fig and the small camera.,5
view,chck_80M,ambiref,0,67,2070,83,ambiref:0:67,the yellow flower and the yellow radio.,1,False,the red fish and the green television.,5
view,chck_80M,ambiref,0,68,1511,84,ambiref:0:68,the big television and the blue clock and the big cake.,1,False,the small document and the small guitar and the yellow wire.,5
view,chck_80M,ambiref,0,69,727,85,ambiref:0:69,the yellow coffee and the red coat and the red ticket.,1,False,the green engine and the big cup and the red engine.,5
view,chck_80M,ambiref,0,70,194,86,ambiref:0:70,the red radio and the yellow tea.,2,False,the blue ice and the small tissue.,5
view,chck_80M,ambiref,0,71,1451,88,ambiref:0:71,the blue disk and the blue ball.,2,False,the big radio and the red cross.,5
view,chck_80M,ambiref,0,72,1147,89,ambiref:0:72,the red fig and the big machine and the small note.,1,False,the small guitar and the green branch and the small radio.,5
view,chck_80M,ambiref,0,73,1490,90,ambiref:0:73,the yellow painting and the small car.,0,True,the yellow painting and the small car.,5
view,chck_80M,ambiref,0,74,1319,91,ambiref:0:74,the blue bag.,1,False,the big engine.,5
view,chck_80M,ambiref,0,75,1814,93,ambiref:0:75,the big picture and the big fan.,1,False,the blue ticket and the green picture.,5
view,chck_80M,ambiref,0,76,2043,94,ambiref:0:76,the yellow suit and the red rose and the red guitar.,0,True,the yellow suit and the red rose and the red guitar.,5
view,chck_80M,ambiref,0,77,1226,97,ambiref:0:77,the yellow fan and the big jacket and the red bread.,0,True,the yellow fan and the big jacket and the red bread.,5
view,chck_80M,ambiref,0,78,1731,99,ambiref:0:78,the red drug and the small card.,1,False,the blue beer and the small plant.,5
view,chck_80M,ambiref,0,79,1987,101,ambiref:0:79,the green radio and the big book and the blue engine.,2,False,the blue radio and the small book and the blue mirror.,5
view,chck_80M,ambiref,0,80,713,102,ambiref:0:80,the green pipe and the blue jacket.,1,False,the big string and the big map.,5
view,chck_80M,ambiref,0,81,1206,103,ambiref:0:81,the yellow stone and the blue mirror.,0,True,the yellow stone and the blue mirror.,5
view,chck_80M,ambiref,0,82,1201,104,ambiref:0:82,the green leaf and the red hat and the big ring.,1,False,the blue train and the big bomb and the yellow clock.,5
view,chck_80M,ambiref,0,83,1135,105,ambiref:0:83,the red shirt and the red cigarette.,0,True,the red shirt and the red cigarette.,5
view,chck_80M,ambiref,0,84,1650,106,ambiref:0:84,the small bell and the blue bell and the small painting.,1,False,the small key and the small seed and the yellow brain.,5
view,chck_80M,ambiref,0,85,2202,107,ambiref:0:85,the green sheet and the red pot.,1,False,the blue sheet and the yellow seed.,5
view,chck_80M,ambiref,0,86,2210,108,ambiref:0:86,the blue dress and the blue seed and the yellow coat.,1,False,the blue string and the small drug and the green chemical.,5
view,chck_80M,ambiref,0,87,401,110,ambiref:0:87,the red cheese and the yellow bowl and the big machine.,1,False,the blue file and the big cheese and the red apple.,5
view,chck_80M,ambiref,0,88,1577,111,ambiref:0:88,the small ticket and the green beer.,1,False,the blue brick and the big car.,5
view,chck_80M,ambiref,0,89,1577,112,ambiref:0:89,the green sheet and the yellow ticket and the big egg.,0,True,the green sheet and the yellow ticket and the big egg.,5
view,chck_80M,ambiref,0,90,1920,113,ambiref:0:90,the red wheel and the green creature.,1,False,the yellow tea and the big map.,5
view,chck_80M,ambiref,0,91,53,114,ambiref:0:91,the big pipe and the red bus and the blue drink.,2,False,the green brain and the blue tie and the green suit.,5
view,chck_80M,ambiref,0,92,1335,115,ambiref:0:92,the yellow letter.,3,False,the blue bowl.,5
view,chck_80M,ambiref,0,93,1193,117,ambiref:0:93,the blue engine and the blue coat and the yellow plant.,2,False,the blue car and the red car and the big tie.,5
view,chck_80M,ambiref,0,94,834,118,ambiref:0:94,the green document and the red cake and the yellow hat.,1,False,the green drug and the small ticket and the yellow paper.,5
view,chck_80M,ambiref,0,95,1147,119,ambiref:0:95,the yellow train and the red dish and the red brick.,1,False,the small dish and the green note and the small branch.,5
view,chck_80M,ambiref,0,96,1555,120,ambiref:0:96,the green cross and the blue bottle and the small cross.,0,True,the green cross and the blue bottle and the small cross.,5
view,chck_80M,ambiref,0,97,715,121,ambiref:0:97,the blue camera and the green tape.,4,False,the blue camera and the yellow television.,5
view,chck_80M,ambiref,0,98,132,122,ambiref:0:98,the green machine and the blue knife.,2,False,the red pot and the green engine.,5
view,chck_80M,ambiref,0,99,215,123,ambiref:0:99,the green bowl.,3,False,the small cigarette.,5
view,chck_80M,ambiref,0,100,53,124,ambiref:0:100,the big pipe and the red bus and the blue drink.,0,True,the big pipe and the red bus and the blue drink.,5
view,chck_80M,ambiref,0,101,1894,125,ambiref:0:101,the red magazine.,3,False,the yellow cash.,5
view,chck_80M,ambiref,0,102,477,126,ambiref:0:102,the blue sheet.,1,False,the big cup.,5
view,chck_80M,ambiref,0,103,1731,127,ambiref:0:103,the red drug and the small card.,2,False,the small cross and the small disk.,5
view,chck_80M,ambiref,0,104,1814,128,ambiref:0:104,the small mirror and the big guitar and the blue block.,1,False,the red drink and the big ticket and the blue radio.,5
view,chck_80M,ambiref,0,105,336,129,ambiref:0:105,the small fig and the small crown and the green dish.,0,True,the small fig and the small crown and the green dish.,5
view,chck_80M,ambiref,0,106,1883,130,ambiref:0:106,the blue document.,0,True,the blue document.,5
view,chck_80M,ambiref,0,107,56,131,ambiref:0:107,the small boot and the small bowl.,1,False,the red bag and the green chemical.,5
view,chck_80M,ambiref,0,108,472,132,ambiref:0:108,the red fish and the red picture.,3,False,the red fish and the small paper.,5
view,chck_80M,ambiref,0,109,425,134,ambiref:0:109,the big bone.,1,False,the yellow watch.,5
view,chck_80M,ambiref,0,110,1325,135,ambiref:0:110,the yellow note and the small bus and the blue letter.,2,False,the yellow document and the red tissue and the big bomb.,5
view,chck_80M,ambiref,0,111,1097,136,ambiref:0:111,the green book.,2,False,the green picture.,5
view,chck_80M,ambiref,0,112,116,137,ambiref:0:112,the big shirt and the red knife.,2,False,the big computer and the blue note.,5
view,chck_80M,ambiref,0,113,103,138,ambiref:0:113,the yellow rock and the green coat and the yellow cross.,0,True,the yellow rock and the green coat and the yellow cross.,5
view,chck_80M,ambiref,0,114,629,139,ambiref:0:114,the big cake and the big bread and the small watch.,0,True,the big cake and the big bread and the small watch.,5
view,chck_80M,ambiref,0,115,567,140,ambiref:0:115,the red letter and the red cross and the red television.,0,True,the red letter and the red cross and the red television.,5
view,chck_80M,ambiref,0,116,636,141,ambiref:0:116,the yellow key and the big phone.,2,False,the yellow boot and the red document.,5
view,chck_80M,ambiref,0,117,858,142,ambiref:0:117,the big guitar and the yellow pipe.,2,False,the red fan and the green ice.,5
view,chck_80M,ambiref,0,118,1342,143,ambiref:0:118,the green jacket and the blue brick and the green block.,0,True,the green jacket and the blue brick and the green block.,5
view,chck_80M,ambiref,0,119,1863,144,ambiref:0:119,the red meat and the yellow tie.,2,False,the big cash and the yellow book.,5
view,chck_80M,ambiref,0,120,73,145,ambiref:0:120,the blue tape and the green seed and the big bottle.,0,True,the blue tape and the green seed and the big bottle.,5
view,chck_80M,ambiref,0,121,1207,147,ambiref:0:121,the blue bone and the big crown.,0,True,the blue bone and the big crown.,5
view,chck_80M,ambiref,0,122,215,148,ambiref:0:122,the yellow bowl and the blue car and the small cross.,0,True,the yellow bowl and the blue car and the small cross.,5
view,chck_80M,ambiref,0,123,1185,151,ambiref:0:123,the yellow string and the red cross.,0,True,the yellow string and the red cross.,5
view,chck_80M,ambiref,0,124,713,152,ambiref:0:124,the yellow jacket and the red game.,1,False,the big string and the big map.,5
view,chck_80M,ambiref,0,125,406,153,ambiref:0:125,the red shoe.,4,False,the green bowl.,5
view,chck_80M,ambiref,0,126,1342,154,ambiref:0:126,the red apple and the yellow block and the yellow branch.,0,True,the red apple and the yellow block and the yellow branch.,5
view,chck_80M,ambiref,0,127,1077,155,ambiref:0:127,the red game and the red bread and the big bus.,2,False,the blue brick and the blue drug and the yellow brick.,5
view,chck_80M,ambiref,0,128,1624,156,ambiref:0:128,the small cross.,1,False,the red bone.,5
view,chck_80M,ambiref,0,129,695,157,ambiref:0:129,the blue shirt and the small cake and the small engine.,0,True,the blue shirt and the small cake and the small engine.,5
view,chck_80M,ambiref,0,130,1814,158,ambiref:0:130,the green radio and the yellow block.,2,False,the blue ticket and the green picture.,5
view,chck_80M,ambiref,0,131,457,159,ambiref:0:131,the green boot.,3,False,the big boot.,5
view,chck_80M,ambiref,0,132,1511,160,ambiref:0:132,the blue rock and the blue coat.,2,False,the red coat and the blue document.,5
view,chck_80M,ambiref,0,133,551,161,ambiref:0:133,the green glass and the yellow bread and the blue branch.,0,True,the green glass and the yellow bread and the blue branch.,5
view,chck_80M,ambiref,0,134,414,162,ambiref:0:134,the blue bell.,1,False,the yellow bell.,5
view,chck_80M,ambiref,0,135,2139,163,ambiref:0:135,the green letter and the yellow book and the blue machine.,2,False,the big machine and the green beer and the red brick.,5
view,chck_80M,ambiref,0,136,978,164,ambiref:0:136,the small camera.,1,False,the yellow branch.,5
view,chck_80M,ambiref,0,137,225,165,ambiref:0:137,the red cup and the small tea and the small bag.,2,False,the green radio and the small cup and the red radio.,5
view,chck_80M,ambiref,0,138,2077,168,ambiref:0:138,the red brick and the red coffee and the yellow shirt.,0,True,the red brick and the red coffee and the yellow shirt.,5
view,chck_80M,ambiref,0,139,384,170,ambiref:0:139,the green chemical and the red tissue and the yellow plant.,0,True,the green chemical and the red tissue and the yellow plant.,5
view,chck_80M,ambiref,0,140,1805,171,ambiref:0:140,the red tissue and the big tape and the red watch.,0,True,the red tissue and the big tape and the red watch.,5
view,chck_80M,ambiref,0,141,2070,172,ambiref:0:141,the red fish and the blue disk and the green ice.,3,False,the blue fish and the blue disk and the green ice.,5
view,chck_80M,ambiref,0,142,929,173,ambiref:0:142,the yellow wire and the blue plane.,4,False,the yellow wire and the blue rose.,5
view,chck_80M,ambiref,0,143,122,174,ambiref:0:143,the red paper.,0,True,the red paper.,5
view,chck_80M,ambiref,0,144,2210,176,ambiref:0:144,the red ring.,2,False,the small cake.,5
view,chck_80M,ambiref,0,145,1683,177,ambiref:0:145,the big painting and the green key and the big tea.,1,False,the blue bottle and the red map and the red tea.,5
view,chck_80M,ambiref,0,146,414,178,ambiref:0:146,the yellow camera and the blue bell.,2,False,the green cross and the red cross.,5
view,chck_80M,ambiref,0,147,1077,179,ambiref:0:147,the small engine.,1,False,the small game.,5
view,chck_80M,ambiref,0,148,1643,180,ambiref:0:148,the yellow ice and the small machine and the red chemical.,1,False,the green painting and the blue creature and the yellow brick.,5
view,chck_80M,ambiref,0,149,1944,181,ambiref:0:149,the blue ball and the yellow chemical and the small magazine.,2,False,the blue chemical and the big flower and the small bomb.,5
view,chck_80M,ambiref,0,150,453,183,ambiref:0:150,the green tissue and the big suit and the big flower.,4,False,the green tissue and the big clock and the big flower.,5
view,chck_80M,ambiref,0,151,1239,184,ambiref:0:151,the green file.,2,False,the red wire.,5
view,chck_80M,ambiref,0,152,762,186,ambiref:0:152,the green cheese and the big cheese.,4,False,the red meat and the big cheese.,5
view,chck_80M,ambiref,0,153,1307,187,ambiref:0:153,the yellow ball and the big leaf and the green tea.,0,True,the yellow ball and the big leaf and the green tea.,5
view,chck_80M,ambiref,0,154,1357,188,ambiref:0:154,the green wire.,1,False,the yellow wire.,5
view,chck_80M,ambiref,0,155,982,189,ambiref:0:155,the yellow cigarette.,0,True,the yellow cigarette.,5
view,chck_80M,ambiref,0,156,798,190,ambiref:0:156,the small hat.,1,False,the small flower.,5
view,chck_80M,ambiref,0,157,1165,191,ambiref:0:157,the green cheese and the red mirror.,4,False,the green cheese and the big suit.,5
view,chck_80M,ambiref,0,158,586,192,ambiref:0:158,the yellow bottle.,0,True,the yellow bottle.,5
view,chck_80M,ambiref,0,159,730,193,ambiref:0:159,the small ticket and the yellow cash and the small shoe.,2,False,the big clock and the small guitar and the big boat.,5
view,chck_80M,ambiref,0,160,1650,194,ambiref:0:160,the red tape and the big key and the green brain.,1,False,the green key and the red cross and the yellow shoe.,5
view,chck_80M,ambiref,0,161,1920,196,ambiref:0:161,the blue creature and the small computer and the blue plate.,2,False,the blue tea and the small coffee and the big brain.,5
view,chck_80M,ambiref,0,162,256,197,ambiref:0:162,the green machine.,3,False,the red disk.,5
view,chck_80M,ambiref,0,163,779,198,ambiref:0:163,the green ring and the big plant.,0,True,the green ring and the big plant.,5
view,chck_80M,ambiref,0,164,1555,199,ambiref:0:164,the small newspaper and the big cross.,0,True,the small newspaper and the big cross.,5
view,chck_80M,ambiref,0,165,2165,200,ambiref:0:165,the red newspaper.,1,False,the yellow fan.,5
view,chck_80M,ambiref,0,166,1612,202,ambiref:0:166,the red mirror and the big map.,1,False,the small plane and the red gift.,5
view,chck_80M,ambiref,0,167,1511,203,ambiref:0:167,the big television and the blue clock and the big cake.,2,False,the small brain and the blue wire and the yellow drug.,5
view,chck_80M,ambiref,0,168,1169,204,ambiref:0:168,the green ticket and the red paper and the yellow fan.,1,False,the big leaf and the red creature and the red cheese.,5
view,chck_80M,ambiref,0,169,1920,205,ambiref:0:169,the blue creature and the small computer and the blue plate.,0,True,the blue creature and the small computer and the blue plate.,5
view,chck_80M,ambiref,0,170,1165,206,ambiref:0:170,the big drug and the red tape and the red mirror.,2,False,the yellow branch and the yellow painting and the big branch.,5
view,chck_80M,ambiref,0,171,298,207,ambiref:0:171,the green bus and the yellow pot and the yellow paper.,0,True,the green bus and the yellow pot and the yellow paper.,5
view,chck_80M,ambiref,0,172,1612,208,ambiref:0:172,the red mirror and the big map.,1,False,the blue suit and the green cake.,5
view,chck_80M,ambiref,0,173,414,209,ambiref:0:173,the yellow camera and the blue bell.,2,False,the yellow ring and the blue cross.,5
view,chck_80M,ambiref,0,174,715,211,ambiref:0:174,the green picture.,0,True,the green picture.,5
view,chck_80M,ambiref,0,175,1959,212,ambiref:0:175,the small rose.,1,False,the blue milk.,5
view,chck_80M,ambiref,0,176,1363,213,ambiref:0:176,the small pot.,1,False,the green gift.,5
view,chck_80M,ambiref,0,177,1711,214,ambiref:0:177,the small note.,0,True,the small note.,5
view,chck_80M,ambiref,0,178,551,215,ambiref:0:178,the green chemical and the yellow bill and the big crown.,1,False,the green glass and the yellow bread and the blue branch.,5
view,chck_80M,ambiref,0,179,1303,216,ambiref:0:179,the blue shell and the blue radio and the big paper.,1,False,the green cash and the red bag and the green branch.,5
view,chck_80M,ambiref,0,180,1258,217,ambiref:0:180,the yellow drink and the blue seed and the red guitar.,0,True,the yellow drink and the blue seed and the red guitar.,5
view,chck_80M,ambiref,0,181,2077,218,ambiref:0:181,the red brick and the red coffee and the yellow shirt.,0,True,the red brick and the red coffee and the yellow shirt.,5
view,chck_80M,ambiref,0,182,477,219,ambiref:0:182,the green machine and the yellow brain.,1,False,the yellow phone and the green cake.,5
view,chck_80M,ambiref,0,183,71,220,ambiref:0:183,the yellow letter.,4,False,the big boat.,5
view,chck_80M,ambiref,0,184,2099,221,ambiref:0:184,the blue fan and the red tea and the blue cash.,2,False,the blue card and the green bread and the yellow tea.,5
view,chck_80M,ambiref,0,185,1683,222,ambiref:0:185,the big bottle and the green medicine.,2,False,the red key and the small bottle.,5
view,chck_80M,ambiref,0,186,147,224,ambiref:0:186,the yellow sheet.,2,False,the big fig.,5
view,chck_80M,ambiref,0,187,453,226,ambiref:0:187,the red seed and the small shell and the green plane.,2,False,the small seed and the green seed and the green flower.,5
view,chck_80M,ambiref,0,188,122,227,ambiref:0:188,the blue string and the red leaf and the green string.,0,True,the blue string and the red leaf and the green string.,5
view,chck_80M,ambiref,0,189,2049,228,ambiref:0:189,the big cream and the red cream and the small bag.,0,True,the big cream and the red cream and the small bag.,5
view,chck_80M,ambiref,0,190,1165,229,ambiref:0:190,the blue painting.,0,True,the blue painting.,5
view,chck_80M,ambiref,0,191,1986,231,ambiref:0:191,the small rock and the big hat.,0,True,the small rock and the big hat.,5
view,chck_80M,ambiref,0,192,1121,232,ambiref:0:192,the red drink and the small tea and the green suit.,0,True,the red drink and the small tea and the green suit.,5
view,chck_80M,ambiref,0,193,1805,233,ambiref:0:193,the yellow glass and the yellow tape.,4,False,the small meat and the yellow tape.,5
view,chck_80M,ambiref,0,194,1333,234,ambiref:0:194,the red newspaper and the green cross.,1,False,the blue seed and the big string.,5
view,chck_80M,ambiref,0,195,477,235,ambiref:0:195,the green machine and the yellow brain.,1,False,the red crown and the green sheet.,5
view,chck_80M,ambiref,0,196,196,236,ambiref:0:196,the blue plane and the big wire.,0,True,the blue plane and the big wire.,5
view,chck_80M,ambiref,0,197,1333,238,ambiref:0:197,the green picture and the yellow card and the small branch.,1,False,the blue pot and the small card and the big glass.,5
view,chck_80M,ambiref,0,198,122,239,ambiref:0:198,the small magazine.,1,False,the green pipe.,5
view,chck_80M,ambiref,0,199,336,240,ambiref:0:199,the small fig and the small crown and the green dish.,1,False,the small watch and the blue plate and the big boot.,5
view,chck_80M,ambiref,0,200,766,241,ambiref:0:200,the blue fan and the small wheel and the blue dish.,2,False,the blue car and the red cream and the green car.,5
view,chck_80M,ambiref,0,201,298,242,ambiref:0:201,the green bus and the yellow pot and the yellow paper.,0,True,the green bus and the yellow pot and the yellow paper.,5
view,chck_80M,ambiref,0,202,1944,243,ambiref:0:202,the big guitar and the blue bomb.,2,False,the red leaf and the green magazine.,5
view,chck_80M,ambiref,0,203,1258,244,ambiref:0:203,the big newspaper.,1,False,the green bag.,5
view,chck_80M,ambiref,0,204,122,245,ambiref:0:204,the yellow seed and the yellow cup.,1,False,the blue ice and the big pipe.,5
view,chck_80M,ambiref,0,205,850,246,ambiref:0:205,the small fig and the big bottle.,1,False,the green meat and the small wheel.,5
view,chck_80M,ambiref,0,206,1522,247,ambiref:0:206,the blue beer and the small cup and the big game.,0,True,the blue beer and the small cup and the big game.,5
view,chck_80M,ambiref,0,207,414,248,ambiref:0:207,the blue cup.,2,False,the yellow bell.,5
view,chck_80M,ambiref,0,208,465,250,ambiref:0:208,the green car and the yellow fish and the blue apple.,2,False,the blue shell and the small ball and the big bottle.,5
view,chck_80M,ambiref,0,209,1097,251,ambiref:0:209,the big paper and the green bus and the big pot.,0,True,the big paper and the green bus and the big pot.,5
view,chck_80M,ambiref,0,210,328,252,ambiref:0:210,the green coffee and the blue seed and the yellow plate.,1,False,the green plate and the blue medicine and the big paper.,5
view,chck_80M,ambiref,0,211,1780,253,ambiref:0:211,the big newspaper and the yellow magazine.,2,False,the blue magazine and the green glass.,5
view,chck_80M,ambiref,0,212,1121,254,ambiref:0:212,the yellow tea and the small hat.,2,False,the small magazine and the big hat.,5
view,chck_80M,ambiref,0,213,850,255,ambiref:0:213,the big bottle.,4,False,the red tie.,5
view,chck_80M,ambiref,0,214,1081,256,ambiref:0:214,the red crown.,2,False,the big tea.,5
view,chck_80M,ambiref,0,215,168,257,ambiref:0:215,the red fig.,0,True,the red fig.,5
view,chck_80M,ambiref,0,216,1095,258,ambiref:0:216,the blue bag and the small brick.,0,True,the blue bag and the small brick.,5
view,chck_80M,ambiref,0,217,1624,259,ambiref:0:217,the red bone.,0,True,the red bone.,5
view,chck_80M,ambiref,0,218,1367,260,ambiref:0:218,the yellow meat.,2,False,the small ring.,5
view,chck_80M,ambiref,0,219,2099,261,ambiref:0:219,the green watch and the green disk.,2,False,the small cash and the small disk.,5
