regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '0_0', '1_3', '1_3', '0_0')",67,3,3,184,183,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '0_0', '1_3', '4_8', '0_0')",185,4,4,246,244,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_2', '1_3', '4_8', '0_0')",64,5,2,324,120,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '3_6', '4_7', '4_8', '0_0')",58,4,2,243,119,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",60,2,3,60,91,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '3_6', '4_7', '4_8', '0_0')",65,1,2,65,108,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",22,3,2,71,43,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",33,3,2,91,68,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '0_0', '1_3', '4_8', '0_0')",35,1,2,35,64,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0', '0_0', '4_8', '0_0')",80,5,2,200,80,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",124,3,4,124,170,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",133,10,3,408,133,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '1_2', '1_3', '1_3', '0_0')",169,6,4,250,169,4,4
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '3_6', '1_3', '4_8', '0_0')",92,2,4,92,168,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'quantity_anchor', '0_0', '1_3', '4_8', '0_0')",42,1,1,42,42,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '0_0', '1_3', '1_3', '0_0')",42,4,1,162,42,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '1_2', '1_3', '4_8', '0_0')",40,2,2,82,79,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor', '1_2', '0_0', '1_3', '0_0')",54,1,1,54,54,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'simple_wiki', '16_25', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",24,2,1,40,24,1,1
