pair_id,category,match_level,target_a,target_b,pivot_a,pivot_b,source_a,source_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,a_generic,b_generic,either_generic,both_generic,maybe_antonym,same_prefix3,same_suffix3,levenshtein,normalized_levenshtein,char_jaccard,cross_context_target_leaks,context_word_jaccard,local_window_jaccard,target_len_chars_a,target_len_chars_b
p0000037,causal_connector,0,delightful,emotional,if,if,gutenberg,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,0.8,0.3076923076923077,0,0.12222222222222222,0.13636363636363635,10,9
p0000038,causal_connector,0,numerous,unable,because,if,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.875,0.3,0,0.09917355371900827,0.0,8,6
p0000039,causal_connector,0,official,impossible,although,unless,simple_wiki,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,8,0.8,0.2727272727272727,0,0.08074534161490683,0.043478260869565216,8,10
p0000040,causal_connector,0,global,legal,because,if,open_subtitles,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,3,0.5,0.5,0,0.1564245810055866,0.13636363636363635,6,5
p0000041,causal_connector,0,official,anxious,although,if,simple_wiki,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.875,0.3,0,0.05232558139534884,0.1,8,7
p0000042,causal_connector,0,active,trial,because,though,open_subtitles,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,5,0.8333333333333334,0.375,0,0.1076923076923077,0.04,6,5
p0000043,causal_connector,0,potential,dangerous,because,though,childes,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,9,1.0,0.3076923076923077,0,0.09444444444444444,0.0,9,9
p0000044,causal_connector,0,individual,specific,therefore,although,bnc_spoken,simple_wiki,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,9,0.9,0.08333333333333333,0,0.0782122905027933,0.05,10,8
p0000045,causal_connector,0,ordinary,physical,because,because,open_subtitles,bnc_spoken,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.875,0.25,0,0.12,0.0,8,8
p0000046,causal_connector,0,additional,official,if,although,bnc_spoken,simple_wiki,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,6,0.6,0.4444444444444444,0,0.08152173913043478,0.0,10,8
p0000047,causal_connector,0,impossible,critical,if,because,gutenberg,open_subtitles,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,9,0.9,0.16666666666666666,0,0.12105263157894737,0.09090909090909091,10,8
p0000048,causal_connector,0,ordinary,awful,if,though,bnc_spoken,childes,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,8,1.0,0.09090909090909091,0,0.11678832116788321,0.05,8,5
p0000049,causal_connector,0,specific,official,if,although,fw_preserved_compact_view,qwen_pair_packed,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.875,0.3333333333333333,0,0.07352941176470588,0.041666666666666664,8,8
p0000050,causal_connector,0,powerful,legal,if,therefore,gutenberg,fw_preserved_compact_view,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,6,0.75,0.2,0,0.11643835616438356,0.0,8,5
p0000051,causal_connector,0,forgive,religious,if,because,gutenberg,childes,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.7777777777777778,0.5,0,0.10714285714285714,0.0,7,9
p0000052,causal_connector,0,goal,additional,because,if,simple_wiki,qwen_pair_packed,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.7,0.375,0,0.045454545454545456,0.0,4,10
p0000053,causal_connector,1,useful,potential,though,because,gutenberg,simple_wiki,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.7777777777777778,0.18181818181818182,0,0.09444444444444444,0.08333333333333333,6,9
p0000054,causal_connector,0,religious,receive,if,if,gutenberg,open_subtitles,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,6,0.6666666666666666,0.3,0,0.1111111111111111,0.08333333333333333,9,7
p0000055,causal_connector,0,anxious,financial,if,because,gutenberg,open_subtitles,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.7777777777777778,0.3,0,0.09905660377358491,0.04,7,9
p0000056,causal_connector,0,responsible,numerous,thus,although,fw_preserved_compact_view,qwen_pair_packed,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,10,0.9090909090909091,0.45454545454545453,0,0.04487179487179487,0.08333333333333333,11,8
p0000057,causal_connector,0,unable,critical,if,if,qwen_pair_packed,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,8,1.0,0.2,0,0.0855614973262032,0.047619047619047616,6,8
p0000058,causal_connector,0,scientific,active,because,unless,open_subtitles,gutenberg,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.7,0.4444444444444444,0,0.14361702127659576,0.08695652173913043,10,6
p0000059,causal_connector,0,specific,successful,although,if,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.7,0.5,0,0.09836065573770492,0.0,8,10
p0000060,causal_connector,0,additional,previous,because,although,qwen_pair_packed,simple_wiki,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,8,0.8,0.15384615384615385,0,0.050761421319796954,0.0,10,8
p0000061,causal_connector,0,anxious,numerous,if,although,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,251-500,251-500,False,False,False,False,False,False,True,5,0.625,0.4,0,0.08275862068965517,0.0,7,8
p0000062,causal_connector,0,numerous,unable,because,although,fw_preserved_compact_view,qwen_pair_packed,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,7,0.875,0.3,0,0.08181818181818182,0.0,8,6
p0000063,causal_connector,0,unable,previous,if,because,qwen_pair_packed,simple_wiki,adjectival,1,251-500,251-500,False,False,False,False,False,False,False,8,1.0,0.16666666666666666,0,0.060109289617486336,0.0,6,8
p0000064,causal_connector,0,personal,magic,though,because,open_subtitles,childes,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,8,1.0,0.08333333333333333,0,0.14666666666666667,0.045454545454545456,8,5
p0000065,causal_connector,0,personal,terrible,if,because,gutenberg,open_subtitles,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,6,0.75,0.2727272727272727,0,0.08743169398907104,0.04,8,8
p0000066,causal_connector,0,total,wonderful,if,if,bnc_spoken,gutenberg,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,7,0.7777777777777778,0.18181818181818182,0,0.08571428571428572,0.08333333333333333,5,9
p0000067,causal_connector,0,federal,total,because,although,open_subtitles,bnc_spoken,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,5,0.7142857142857143,0.25,0,0.15060240963855423,0.08695652173913043,7,5
p0000068,causal_connector,0,various,normal,if,because,bnc_spoken,childes,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,6,0.8571428571428571,0.3,0,0.1317365269461078,0.08695652173913043,7,6
p0000069,causal_connector,0,animal,famous,because,therefore,bnc_spoken,gutenberg,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,6,1.0,0.2222222222222222,0,0.11797752808988764,0.09090909090909091,6,6
p0000070,causal_connector,0,final,available,although,because,qwen_pair_packed,bnc_spoken,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,6,0.6666666666666666,0.375,0,0.08917197452229299,0.0,5,9
p0000071,causal_connector,0,final,natural,because,though,bnc_spoken,gutenberg,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,5,0.7142857142857143,0.375,0,0.09183673469387756,0.09523809523809523,5,7
p0000072,causal_connector,0,total,political,although,though,bnc_spoken,simple_wiki,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,5,0.5555555555555556,0.5714285714285714,0,0.10160427807486631,0.08333333333333333,5,9
p0000073,causal_connector,0,serious,magic,if,if,simple_wiki,childes,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,6,0.8571428571428571,0.1,0,0.08843537414965986,0.08695652173913043,7,5
p0000074,causal_connector,0,necessary,serious,thus,if,fw_preserved_compact_view,open_subtitles,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,8,0.8888888888888888,0.3,0,0.08771929824561403,0.0,9,7
p0000075,causal_connector,0,necessary,natural,if,therefore,bnc_spoken,gutenberg,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,7,0.7777777777777778,0.3,0,0.11956521739130435,0.0,9,7
p0000076,causal_connector,0,necessary,plastic,though,if,bnc_spoken,open_subtitles,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,8,0.8888888888888888,0.2727272727272727,0,0.07368421052631578,0.08695652173913043,9,7
p0000077,causal_connector,0,careful,political,if,because,gutenberg,simple_wiki,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,8,0.8888888888888888,0.2727272727272727,0,0.09659090909090909,0.0,7,9
p0000078,causal_connector,0,various,natural,because,thus,open_subtitles,fw_preserved_compact_view,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,6,0.8571428571428571,0.3,0,0.11042944785276074,0.0,7,7
p0000079,causal_connector,0,capital,original,although,because,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,5,0.625,0.3,0,0.08496732026143791,0.045454545454545456,7,8
p0000080,causal_connector,0,social,medical,because,if,open_subtitles,simple_wiki,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,4,0.5714285714285714,0.4444444444444444,0,0.12418300653594772,0.0,6,7
p0000081,causal_connector,0,social,capital,because,although,simple_wiki,gutenberg,adjectival,1,501-1000,501-1000,False,False,False,False,False,False,False,4,0.5714285714285714,0.5,0,0.04945054945054945,0.041666666666666664,6,7
p0000082,causal_connector,0,give,possible,though,thus,qwen_pair_packed,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,6,0.75,0.2222222222222222,0,0.11801242236024845,0.041666666666666664,4,8
p0000083,causal_connector,0,table,local,if,if,childes,bnc_spoken,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,5,1.0,0.2857142857142857,0,0.07643312101910828,0.045454545454545456,5,5
p0000084,causal_connector,0,table,able,if,therefore,childes,bnc_spoken,adjectival,1,1001+,1001+,True,False,True,False,False,False,True,1,0.2,0.8,0,0.09497206703910614,0.09090909090909091,5,4
p0000085,causal_connector,0,real,special,if,if,bnc_spoken,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,4,0.5714285714285714,0.375,0,0.16470588235294117,0.09090909090909091,4,7
p0000086,causal_connector,0,give,real,if,because,open_subtitles,bnc_spoken,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,1.0,0.14285714285714285,0,0.09944751381215469,0.08333333333333333,4,4
p0000087,causal_connector,0,give,possible,if,if,open_subtitles,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,6,0.75,0.2222222222222222,0,0.12777777777777777,0.045454545454545456,4,8
p0000088,causal_connector,0,able,give,if,because,open_subtitles,bnc_spoken,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,3,0.75,0.14285714285714285,0,0.10919540229885058,0.043478260869565216,4,4
p0000089,causal_connector,0,beautiful,real,if,if,gutenberg,open_subtitles,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,6,0.6666666666666666,0.3333333333333333,0,0.10112359550561797,0.08695652173913043,9,4
p0000090,causal_connector,0,five,music,if,because,bnc_spoken,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,5,1.0,0.125,0,0.14634146341463414,0.1,4,5
p0000091,causal_connector,0,give,several,if,because,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,5,0.7142857142857143,0.25,0,0.07947019867549669,0.0,4,7
p0000092,causal_connector,0,give,drive,if,because,qwen_pair_packed,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,True,2,0.4,0.5,0,0.09411764705882353,0.043478260869565216,4,5
p0000093,causal_connector,0,give,deal,if,if,bnc_spoken,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,4,1.0,0.14285714285714285,0,0.14942528735632185,0.08333333333333333,4,4
p0000094,causal_connector,0,give,drive,if,if,qwen_pair_packed,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,True,2,0.4,0.5,0,0.10884353741496598,0.13043478260869565,4,5
p0000095,causal_connector,0,live,music,if,because,gutenberg,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,5,1.0,0.125,0,0.11052631578947368,0.0,4,5
p0000096,causal_connector,0,real,able,because,if,gutenberg,qwen_pair_packed,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,4,1.0,0.6,0,0.11585365853658537,0.041666666666666664,4,4
p0000097,causal_connector,0,real,possible,if,if,gutenberg,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,7,0.875,0.2222222222222222,0,0.1488095238095238,0.13636363636363635,4,8
p0000098,causal_connector,0,table,give,although,if,childes,bnc_spoken,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,0.8,0.125,0,0.16883116883116883,0.04,5,4
p0000099,causal_connector,0,give,several,though,although,gutenberg,simple_wiki,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,5,0.7142857142857143,0.25,0,0.06565656565656566,0.043478260869565216,4,7
p0000100,causal_connector,0,give,beautiful,if,if,bnc_spoken,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,8,0.8888888888888888,0.2,0,0.19653179190751446,0.08695652173913043,4,9
p0000101,causal_connector,0,beautiful,five,because,if,gutenberg,childes,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,8,0.8888888888888888,0.3333333333333333,0,0.0949367088607595,0.0,9,4
p0000102,causal_connector,0,deal,local,because,because,simple_wiki,bnc_spoken,adjectival,1,1001+,1001+,False,False,False,False,False,False,False,3,0.6,0.3333333333333333,0,0.08670520231213873,0.05263157894736842,4,5
p0000103,causal_connector,0,give,special,if,if,qwen_pair_packed,simple_wiki,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,6,0.8571428571428571,0.2222222222222222,0,0.08053691275167785,0.05263157894736842,4,7
p0000104,causal_connector,0,real,able,if,if,open_subtitles,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,4,1.0,0.6,0,0.11242603550295859,0.08695652173913043,4,4
p0000105,causal_connector,0,give,live,if,because,gutenberg,open_subtitles,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.06770833333333333,0.08333333333333333,4,4
p0000106,causal_connector,0,live,real,if,although,open_subtitles,gutenberg,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,1.0,0.3333333333333333,0,0.09248554913294797,0.041666666666666664,4,4
p0000107,causal_connector,0,give,live,if,if,simple_wiki,bnc_spoken,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.06521739130434782,0.0,4,4
p0000108,causal_connector,0,general,give,if,if,gutenberg,open_subtitles,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,5,0.7142857142857143,0.25,0,0.11702127659574468,0.10526315789473684,7,4
p0000109,causal_connector,0,give,able,if,though,bnc_spoken,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,3,0.75,0.14285714285714285,0,0.11764705882352941,0.0,4,4
p0000110,causal_connector,1,give,local,therefore,if,gutenberg,bnc_spoken,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,5,1.0,0.0,0,0.1218274111675127,0.0,4,5
p0000111,causal_connector,0,real,give,because,if,childes,gutenberg,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,1.0,0.14285714285714285,0,0.0967741935483871,0.09090909090909091,4,4
p0000112,causal_connector,0,five,live,if,though,bnc_spoken,gutenberg,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.1242603550295858,0.0,4,4
p0000113,causal_connector,0,deal,give,if,if,open_subtitles,gutenberg,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,4,1.0,0.14285714285714285,0,0.13372093023255813,0.0,4,4
p0000114,causal_connector,0,give,live,if,if,gutenberg,open_subtitles,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.1676300578034682,0.08333333333333333,4,4
p0000115,causal_connector,0,public,possible,if,if,bnc_spoken,open_subtitles,adjectival,1,1001+,1001+,False,False,False,False,False,False,False,6,0.75,0.4444444444444444,0,0.09883720930232558,0.09090909090909091,6,8
p0000116,causal_connector,0,give,drive,if,because,gutenberg,open_subtitles,adjectival,1,1001+,1001+,True,False,True,False,False,False,True,2,0.4,0.5,0,0.11363636363636363,0.0,4,5
p0000117,causal_connector,0,give,real,if,if,bnc_spoken,childes,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,1.0,0.14285714285714285,0,0.08383233532934131,0.045454545454545456,4,4
p0000118,causal_connector,0,give,special,if,though,open_subtitles,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,6,0.8571428571428571,0.2222222222222222,0,0.14361702127659576,0.043478260869565216,4,7
p0000119,causal_connector,0,live,give,if,if,qwen_pair_packed,bnc_spoken,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.11731843575418995,0.13043478260869565,4,4
p0000120,causal_connector,0,music,give,if,if,gutenberg,childes,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,5,1.0,0.125,0,0.12727272727272726,0.041666666666666664,5,4
p0000121,causal_connector,0,table,give,though,if,open_subtitles,childes,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,0.8,0.125,0,0.10625,0.0,5,4
p0000122,causal_connector,0,give,able,if,because,childes,bnc_spoken,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,3,0.75,0.14285714285714285,0,0.10650887573964497,0.14285714285714285,4,4
p0000123,causal_connector,0,able,give,because,if,open_subtitles,gutenberg,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,3,0.75,0.14285714285714285,0,0.16993464052287582,0.041666666666666664,4,4
p0000124,causal_connector,1,possible,live,if,because,gutenberg,bnc_spoken,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,6,0.75,0.375,0,0.12222222222222222,0.0,8,4
p0000125,causal_connector,0,real,live,because,if,qwen_pair_packed,open_subtitles,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,1.0,0.3333333333333333,0,0.09868421052631579,0.04,4,4
p0000126,causal_connector,1,give,real,because,though,childes,gutenberg,adjectival,1,1001+,1001+,True,True,True,True,False,False,False,4,1.0,0.14285714285714285,0,0.09090909090909091,0.0,4,4
p0000127,causal_connector,1,general,real,if,because,bnc_spoken,open_subtitles,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,4,0.5714285714285714,0.6666666666666666,0,0.14457831325301204,0.08333333333333333,7,4
p0000128,causal_connector,0,give,live,if,if,open_subtitles,qwen_pair_packed,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.14285714285714285,0.13043478260869565,4,4
p0000129,causal_connector,0,give,live,if,if,open_subtitles,gutenberg,adjectival,1,1001+,1001+,True,True,True,True,False,False,True,1,0.25,0.6,0,0.1286549707602339,0.04,4,4
p0000130,causal_connector,0,several,give,though,thus,gutenberg,simple_wiki,adjectival,1,1001+,1001+,False,True,True,False,False,False,False,5,0.7142857142857143,0.25,0,0.0918918918918919,0.04,7,4
p0000131,causal_connector,0,real,drive,thus,unless,fw_preserved_compact_view,gutenberg,adjectival,1,1001+,1001+,True,False,True,False,False,False,False,4,0.8,0.2857142857142857,0,0.10967741935483871,0.0,4,5
