global_step,epoch,stage_length,step_in_epoch,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
122,0,256,121,301,39832,56037,8452,5,4815782
123,0,256,122,301,39572,54981,8197,5,4855354
124,0,256,123,301,39853,55521,8335,5,4895207
125,0,256,124,301,39654,55446,8200,5,4934861
126,0,256,125,301,39880,55638,8397,5,4974741
127,0,256,126,301,37597,53269,8005,5,5012338
128,0,256,127,301,40601,56323,8304,5,5052939
129,0,256,128,301,39053,54869,8181,5,5091992
130,0,256,129,301,39649,55031,8386,5,5131641
131,0,256,130,301,39136,54395,8186,5,5170777
132,0,256,131,301,39548,55281,8233,5,5210325
133,0,256,132,301,40736,55306,8145,5,5251061
134,0,256,133,301,38911,54308,8037,5,5289972
135,0,256,134,301,39312,54310,8094,5,5329284
136,0,256,135,301,40359,54965,8176,5,5369643
137,0,256,136,301,39739,55206,8369,5,5409382
138,0,256,137,301,39424,54985,8100,5,5448806
139,0,256,138,301,40699,55795,8287,5,5489505
140,0,256,139,301,38605,54549,8098,5,5528110
141,0,256,140,301,39217,54758,8207,5,5567327
142,0,256,141,301,41415,57172,8618,5,5608742
143,0,256,142,301,38469,54182,8192,5,5647211
144,0,256,143,301,39761,55255,8306,5,5686972
145,0,256,144,301,40337,56083,8486,5,5727309
146,0,256,145,301,38910,54603,8189,5,5766219
147,0,256,146,301,40083,56162,8418,5,5806302
148,0,256,147,301,39582,55245,8273,5,5845884
149,0,256,148,301,38752,54209,8140,5,5884636
150,0,256,149,301,38332,54475,8349,5,5922968
151,0,256,150,301,38871,54918,8400,5,5961839
152,0,256,151,301,40086,56451,8473,5,6001925
153,0,256,152,301,40181,55677,8517,5,6042106
154,0,256,153,301,41000,56330,8622,5,6083106
155,0,256,154,301,39245,54731,8407,5,6122351
156,0,256,155,301,39017,54232,8118,5,6161368
157,0,256,156,301,39918,55583,8248,5,6201286
158,0,256,157,301,41013,56243,8311,5,6242299
159,0,256,158,301,40514,55744,8405,5,6282813
160,0,256,159,301,41121,57114,8538,5,6323934
161,0,256,160,301,38724,53941,8098,5,6362658
162,0,256,161,301,40301,55473,8474,5,6402959
163,0,256,162,301,38536,53919,8079,5,6441495
164,0,256,163,301,38317,54639,8207,5,6479812
165,0,256,164,301,39400,55370,8289,5,6519212
166,0,256,165,301,38911,54363,8091,5,6558123
167,0,256,166,301,39283,54857,8160,5,6597406
168,0,256,167,301,38810,54852,8263,5,6636216
169,0,256,168,301,40572,56207,8410,5,6676788
170,0,256,169,301,41220,56522,8579,5,6718008
171,0,256,170,301,39979,54665,7903,5,6757987
172,0,256,171,301,39654,55099,8230,5,6797641
173,0,256,172,301,40281,55573,8254,5,6837922
174,0,256,173,301,39084,54614,8079,5,6877006
175,0,256,174,301,39347,55300,8293,5,6916353
176,0,256,175,301,38899,54488,8296,5,6955252
177,0,256,176,301,37495,52656,7999,5,6992747
178,0,256,177,301,39155,55170,8366,5,7031902
179,0,256,178,301,39636,54825,8355,5,7071538
180,0,256,179,301,39614,55298,8116,5,7111152
181,0,256,180,301,40618,56577,8572,5,7151770
182,0,256,181,301,38870,53937,8269,5,7190640
183,0,256,182,301,38160,53830,8071,5,7228800
184,0,256,183,301,38331,53577,7999,5,7267131
185,0,256,184,301,40027,55412,8207,5,7307158
186,0,256,185,301,39157,55111,8217,5,7346315
187,0,256,186,301,38712,54020,8201,5,7385027
188,0,256,187,301,40345,55751,8559,5,7425372
189,0,256,188,301,39357,55527,8173,5,7464729
190,0,256,189,301,38408,54047,8226,5,7503137
191,0,256,190,301,40362,56379,8465,5,7543499
192,0,256,191,301,40902,56064,8363,5,7584401
193,0,256,192,301,39879,54953,8180,5,7624280
194,0,256,193,301,39269,54715,8224,5,7663549
195,0,256,194,301,39601,55189,8288,5,7703150
196,0,256,195,301,39266,54807,8312,5,7742416
197,0,256,196,301,40168,56003,8481,5,7782584
198,0,256,197,301,39228,54978,8116,5,7821812
199,0,256,198,301,39995,55714,8375,5,7861807
200,0,256,199,301,38164,53691,7970,5,7899971
201,0,256,200,301,40270,56279,8435,5,7940241
202,0,256,201,301,39546,55460,8280,5,7979787
203,0,256,202,301,40484,56216,8574,5,8020271
204,0,256,203,301,39482,54930,8214,5,8059753
205,0,256,204,301,40142,55760,8506,5,8099895
206,0,256,205,301,40564,55901,8420,5,8140459
207,0,256,206,301,38402,53849,7827,5,8178861
208,0,256,207,301,40223,55581,8426,5,8219084
209,0,256,208,301,39065,55057,8124,5,8258149
210,0,256,209,301,38676,54078,8137,5,8296825
211,0,256,210,301,39712,54889,8265,5,8336537
212,0,256,211,301,38009,53953,8202,5,8374546
213,0,256,212,301,39125,55222,8232,5,8413671
214,0,256,213,301,40572,56141,8529,5,8454243
215,0,256,214,301,39646,54954,8359,5,8493889
216,0,256,215,301,39817,55266,8393,5,8533706
217,0,256,216,301,37883,53606,8011,5,8571589
218,0,256,217,301,41364,56708,8361,5,8612953
219,0,256,218,301,40236,55684,8560,5,8653189
220,0,256,219,301,38052,53758,8052,5,8691241
221,0,256,220,301,39998,55075,8512,5,8731239
222,0,256,221,301,38937,54800,8150,5,8770176
223,0,256,222,301,39648,55076,8175,5,8809824
224,0,256,223,301,40098,55337,8246,5,8849922
225,0,256,224,301,38432,54246,8155,5,8888354
226,0,256,225,301,40328,55953,8359,5,8928682
227,0,256,226,301,39670,55240,8235,5,8968352
228,0,256,227,301,39382,55321,8157,5,9007734
229,0,256,228,301,40386,56016,8288,5,9048120
230,0,256,229,301,39017,54540,8374,5,9087137
231,0,256,230,301,39991,55201,8265,5,9127128
232,0,256,231,301,40140,55549,8419,5,9167268
233,0,256,232,301,38374,53816,7970,5,9205642
234,0,256,233,301,39567,55584,8430,5,9245209
235,0,256,234,301,39248,54696,8366,5,9284457
236,0,256,235,301,41944,57123,8678,5,9326401
237,0,256,236,301,40225,55421,8281,5,9366626
238,0,256,237,301,39253,54546,8188,5,9405879
239,0,256,238,301,40448,55859,8330,5,9446327
240,0,256,239,301,38550,54030,8004,5,9484877
241,0,256,240,301,40138,55656,8374,5,9525015
242,0,256,241,301,39977,54271,7969,5,9564992
243,0,256,242,301,38730,54584,8146,5,9603722
244,0,256,243,301,38644,54168,8255,5,9642366
245,0,256,244,301,39845,55161,8218,5,9682211
246,0,256,245,301,40260,55788,8493,5,9722471
247,0,256,246,301,40349,55710,8249,5,9762820
248,0,256,247,301,38378,53327,8262,5,9801198
249,0,256,248,301,40315,55816,8529,5,9841513
250,0,256,249,301,39451,55220,8276,5,9880964
251,0,256,250,301,39713,55409,8201,5,9920677
252,0,256,251,301,39275,54447,8054,5,9959952
253,0,256,252,301,40048,55527,8163,5,10000000
