id	group	title	status	intervention	finding	section
R28	课程与学习动力学	检查点平均与重启	实验结果	比较相邻模型平均、重启和另一个种子。	平均未稳定提高单个高分模型；模型选择与方法归因需要分开。	sec:frontier
R29	课程与学习动力学	关系剂量与学习成熟度	实验结果	比较集中、稀疏及角色变化的绑定经验。	构造任务可获得能力，弱稀疏真实训练未自动复现；额外预算单列。	sec:principles
R30	课程与学习动力学	持续关系课程候选	尚未运行	保留持续关系损失、局部与全上下文切换及再提及遮盖。	为待检验路线，不作为已取得结果。	sec:principles
R31	残差结构与增量学习	零初始化瓶颈支路	模型方法	检查共享参数、禁用支路与训练轨迹。	初始化和关闭时保持原函数，联合训练仍更新基座。	sec:frontier
R32	残差结构与增量学习	主辅路径分离	实验结果	由宽辅助学习转向稀疏辅助、主路径关闭辅助时的比较。	早期收益没有直接延续到成熟模型，促成普通连贯重放。	sec:frontier
R33	残差结构与增量学习	冻结基座的专用增量	模型方法	仅训练新增参数，使用普通预测与 KL，比较连贯及破坏输入。	形成第一代模型；关闭分支可恢复基座，开启时保持仍需评测。	sec:frontier
R34	残差结构与增量学习	模型谱系与尺度选择	方法与分析工具	分开连续装填分支、主模型、增量分支与发布尺度。	实际权重继承不等于全部路线都串行进入最终模型。	sec:lineage
R35	实体记忆与寻址	给定地址的写入和读取	实验结果	比较一致地址置换、错误地址、覆盖与槽交换。	存储信号具有功能作用，自然语言寻址不由金标准地址结果证明。	sec:memory_branch
R36	实体记忆与寻址	小型绑定任务的答案捷径	已撤回	后续检查发现答案不随查询对象改变。	原高分不再承担组合绑定结论；修正语料不等于重新训练验证。	sec:memory_branch
R37	实体记忆与寻址	自然文本到地址的路由	实验结果	比较原始、词面、循环和离散路由与正确地址。	高总体 token 准确率掩盖关键查询召回为零，定位寻址瓶颈。	sec:memory_branch
R38	实体记忆与寻址	指针与复制初始化	探索性构造	测试小型指针、嵌入与复制行为初始化。	能够复制不等于能够选择正确实体状态。	sec:memory_branch
R39	选择与读取	格式预适应与标签对齐	实验结果	比较对齐、打乱和无关标签的准备过程。	多种准备都可帮助后续学习，不能仅归因于唯一的对应信号。	sec:memory_branch
R40	选择与读取	冻结读取器与组内选择	实验结果	用四候选组内 softmax 学习选择，分别测词面、角色和时间语义。	词面及角色交换近乎完整，原先与更新状态选择仍弱。	sec:memory_branch
R41	关系结构与身份	关系规则的可识别性	实验结果	改变初始拥有者并构造平衡反例。	训练高分可能来自反拷贝捷径，反事实用于识别目标规则。	sec:anchors
R42	关系结构与身份	二值关系图与稀疏锚点	实验结果	比较共享与分离表示，反转锚点并测量相对关系是否保留，采用多个训练种子。	绝对方向可沿共享路径传递，相对关系保持；结论限于给定假设类。	sec:anchors
R43	关系结构与身份	字符身份与关系接入	实验结果	通过字母等同监督学习匹配，再接入共享关系结构。	覆盖基础字母支持新组合；候选和硬分配已给定，删边还改变训练量。	sec:anchors
R44	关系结构与身份	无泄漏图与程序构造	探索性构造	生成中性、反向和程序结构任务，并检查类别与先验。	候选产率及类型平衡仍有限，不据原型宣称一般推理能力。	sec:anchors
R45	条件化经验价值	结构密度与表示恢复	条件性结果	比较不同结构密度、残差条件与随机参照。	局部结构读数恢复没有保证广泛收益，不能与容量混淆。	sec:experience_branch
R46	条件化经验价值	共享来源簇的尾段训练	条件性结果	比较真实、打乱、重复及普通经验。	优于错配不等于优于所有参照，未完成全部模型测量。	sec:experience_branch
R47	条件化经验价值	固定预算的视图、广度与重复	实验结果	在共同预算下替换经验，并保留晚期多个模型。	晚期收益依赖经验类型与架构；不同句子扩展不等于文档扩容。	sec:experience_branch
R48	条件化经验价值	语域替换与数据价值预测	实验结果	固定加入内容，改变移除语域，比较词分布与任务读数。	替代对象的机会成本不同；不同测量设置之间不能直接验证同一个预测。	sec:experience_branch
R49	条件化经验价值	显式关系文本的筛选	探索性构造	比较显式关系与随机质量参照，过滤自然状态文本。	合格候选有限，短程结果不能当作成熟大规模训练流。	sec:experience_branch
R50	监督目标与来源	来源外与复制目标删除	实验结果	保留输入并近匹配删除目标量，分来源对和文档隔离。	局部来源对结果成立，更严格文档隔离区间跨零；全任务排序不同。	sec:principles
R51	监督目标与来源	正确、错误与缺失来源	实验结果	固定目标 token，改变来源条件。	来源效应也可能在未加新监督时存在，不能直接视为最终模型提高的直接原因。	sec:relation
R52	监督目标与来源	覆盖、顺序与局部上下文	方法与分析工具	区分来源存在、前缀、间隔与文本在窗口中的相对位置。	加载身份未完全确认的比较仅用于说明几何，不用于确认具体机制效果。	sec:relation
R53	功能机制与学习信号	有序组合与动态绑定	实验结果	比较动态、静态关系、局部和最终监督，并检查读出。	从表示可解码的信息不一定是模型实际执行的计算。	sec:reach
R54	功能机制与学习信号	上下文隐藏状态与干预	实验结果	比较一致前缀、错配、实体替换和激活替换。	主题信息可存在而状态执行仍失败，需要行为与功能共同检验。	sec:reach
R55	功能机制与学习信号	微型世界的状态更新	方法与分析工具	控制状态、行动、矛盾、答案线索与覆盖。	提供机制检验工具，不自动证明自然文本中已形成相同选择器。	sec:reach
R56	功能机制与学习信号	梯度冲突与学习信号估计	条件性结果	使用相同材料、跨配对与留出对象的比较。	局部相关性未成为稳定的前瞻收益预测。	sec:measurement_branch
R57	功能机制与学习信号	对比预测与辅助读出	条件性结果	比较同来源、跨来源和困难负例。	辅助目标拟合或饱和不充分说明新能力形成。	sec:measurement_branch
R58	功能机制与学习信号	分层读出与位置编辑	条件性结果	使用双线性、岭回归、旋转空对照和局部编辑。	局部拟合不保证留出迁移，有限编辑示例不承担广泛机制结论。	sec:reach
R59	功能机制与学习信号	配对交换下的分数变化	方法与分析工具	检查类别、打乱和长度交换等匹配条件。	分数中的代数抵消，不等于模型实际利用了对应关系。	sec:measurement_branch
R60	测量、迁移与归因	共同参数初始化	方法与分析工具	显式复制共同张量，分别测结构绝对能力与数据相对效果。	同一随机种子不保证同初值；修正后较大的交互解释显著减弱。	sec:measurement_branch
R61	测量、迁移与归因	宏平均与逐题变化	方法与分析工具	分别计算获得、损失、净变化及互补题目。	宏平均和净正确数可以异号，不能只用一个总分描述能力变化。	sec:measurement_branch
R62	测量、迁移与归因	迁移条件与表示几何	条件性结果	比较种子条件、主成分和随机参照。	相关性和径向增长未建立能力守恒或普遍迁移规律。	sec:measurement_branch
R63	测量、迁移与归因	完整评测与模型接口	方法与分析工具	核对加载实现、AoA 轨迹、常识及阅读评分。	缺失、零分和公开显示值分别处理，完整模型身份决定可比性。	app:evaluation
R64	系统与计算	词边界、装填与可见预算	方法与分析工具	检查配对完整性、截断及连续窗口实际呈现。	计账词数与可见内容需要对应，原型和最终分词实现不能混用。	sec:measurement_branch
R65	系统与计算	微批量与梯度等价	方法与分析工具	按目标数量加权，在固定随机条件下检查激活重计算前后的梯度一致性。	验证有限实现条件，不声称完整随机训练轨迹完全相同。	sec:measurement_branch
R66	系统与计算	模型重建与成本分层	方法与分析工具	固定权重、配置与代码身份，分开训练和搜索成本。	重建同种子、跨种子重复与计算节约是不同结论。	app:repro
R67	主线的深化与实践检验	训练关系的选择性	实验结果	在三个种子上比较逐字重复与对齐重述的来源优势。	对紧凑改写目标产生不同方向的效果，不支持重复普遍有害。	sec:relation
R68	主线的深化与实践检验	同材料的预测窗口	实验结果	分别把重复配对和重述配对拆分到不同窗口。	较大来源效应明显减弱；同内容控制发生在各配对的同窗与分窗之间。	sec:relation
R69	主线的深化与实践检验	自然改写的迁移条件	实验结果	按目标的分词编号是否出现在来源中，对自然重述目标分组。	对齐重述提高了来源中已有 token 的来源利用优势；没有同一 token 的目标未出现同样稳定的收益。分组表示词面重合，不表示语义是否新颖。	sec:relation
R70	主线的深化与实践检验	熟悉表现与未见调用	实验结果	比较普通、静态权重和交替监督的续训。	熟悉行为恢复不保证未见符号的调用范围恢复。	sec:reach
R71	主线的深化与实践检验	功能信号的抹除与搬移	实验结果	对属性位置信号中心化、置零、旋转，并检验重新拟合方向。	支持具体信号的功能作用，未恢复的线性方向不排除全部分布式重编码。	sec:reach
R72	主线的深化与实践检验	密集输入与稀疏监督	模型方法	沿用既有文本，分别控制遮盖候选和聚焦目标。	同曝光下两种子完整评测均优于普通续训；该比较不是单一遮盖因子。	sec:guided
R73	主线的深化与实践检验	保持输入与有效强度	实验结果	固定共同目标位置测保持梯度，并比较普通与密集输入。	相同系数下梯度大小仍相差约 12 倍；完整比较还改变目标位置集合。	sec:guided
R74	主线的深化与实践检验	原理指导的完整模型	模型方法	同一母模型上复核普通续训、关系学习及完整保持方案。	完整方案在两个续训种子上均改善九项 Overall，额外呈现与计算单列。	sec:complete_results
