set,pair_id,original_id,source,example_id,original_words_field,rewrite_words_field,pair_words_field,base_same_source_example_rows,base_contains_exact_normalized_original,base_contains_count,base_match_sources,base_match_example_ids,replaced_in_dose21_by_same_source_example,replaced_in_dose25_by_same_source_example,selection_role
dose21,dose56_rw_004831,rw_004831,childes,15906,24,20,44,1,True,1,childes,15906,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_021629,rw2s0_021629,gutenberg,30048,50,48,98,1,True,1,gutenberg,30048,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_025390,rw2s1_025390,simple_wiki,54447,40,29,69,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_026850,rw2s1_026850,gutenberg,35851,20,20,40,1,True,1,gutenberg,35851,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_029790,rw2s1_029790,bnc_spoken,3623,33,23,56,1,True,1,bnc_spoken,3623,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_028084,rw2s1_028084,gutenberg,28972,32,29,61,1,True,1,gutenberg,28972,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_002510,rw2s0_002510,bnc_spoken,137,18,18,36,1,True,1,bnc_spoken,137,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_011965,rw2s0_011965,gutenberg,23844,20,20,40,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_007662,rw2s0_007662,gutenberg,32025,18,16,34,1,True,1,gutenberg,32025,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_014196,rw2s1_014196,simple_wiki,60420,39,36,75,1,True,1,simple_wiki,60420,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_038027,rw_038027,open_subtitles,43777,16,13,29,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_025490,rw2s0_025490,open_subtitles,50782,19,20,39,1,True,1,open_subtitles,50782,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_009760,rw_009760,childes,20724,32,18,50,1,True,1,childes,20724,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_030572,rw_030572,gutenberg,34617,25,26,51,1,True,1,gutenberg,34617,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_015764,rw2s0_015764,gutenberg,32921,54,47,101,1,True,1,gutenberg,32921,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_022528,rw_022528,gutenberg,22932,25,28,53,1,True,1,gutenberg,22932,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_018944,rw2s0_018944,gutenberg,26223,20,21,41,1,True,1,gutenberg,26223,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_031121,rw2s0_031121,gutenberg,29319,44,48,92,1,True,1,gutenberg,29319,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_020075,rw2s1_020075,childes,13769,28,32,60,1,True,1,childes,13769,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_032633,rw2s0_032633,simple_wiki,61243,21,24,45,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_004715,rw2s1_004715,open_subtitles,49418,18,21,39,1,True,1,open_subtitles,49418,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_015207,rw2s0_015207,open_subtitles,39106,21,16,37,1,True,1,open_subtitles,39106,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_025768,rw2s0_025768,gutenberg,34498,38,36,74,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_022719,rw2s0_022719,simple_wiki,62210,19,19,38,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_011069,rw2s1_011069,simple_wiki,58538,25,24,49,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_014492,rw2s0_014492,simple_wiki,56873,20,24,44,1,True,1,simple_wiki,56873,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_000255,rw2s1_000255,simple_wiki,55129,38,36,74,1,True,1,simple_wiki,55129,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_005344,rw2s0_005344,gutenberg,37687,21,22,43,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_009069,rw2s1_009069,gutenberg,31727,21,23,44,1,True,1,gutenberg,31727,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_036717,rw_036717,childes,10522,12,11,23,1,True,1,childes,10522,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_003521,rw_003521,open_subtitles,44898,13,12,25,1,True,1,open_subtitles,44898,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_006187,rw2s1_006187,gutenberg,35014,31,21,52,1,True,1,gutenberg,35014,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_016728,rw2s1_016728,simple_wiki,57848,19,19,38,1,True,1,simple_wiki,57848,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_002310,rw_002310,bnc_spoken,4708,19,18,37,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_002177,rw_002177,bnc_spoken,1810,20,21,41,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_016204,rw2s0_016204,bnc_spoken,3682,43,35,78,1,True,1,bnc_spoken,3682,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_005362,rw2s1_005362,childes,20127,22,22,44,1,True,1,childes,20127,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_035288,rw_035288,open_subtitles,47962,12,13,25,1,True,1,open_subtitles,47962,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_001690,rw2s0_001690,bnc_spoken,4399,24,25,49,1,True,1,bnc_spoken,4399,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_044861,rw_044861,childes,6132,13,16,29,1,True,1,childes,6132,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_015365,rw2s1_015365,simple_wiki,54665,30,30,60,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_010647,rw_010647,gutenberg,27003,30,30,60,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_025557,rw2s1_025557,bnc_spoken,1920,49,47,96,1,True,1,bnc_spoken,1920,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_019338,rw_019338,gutenberg,23884,23,19,42,1,True,1,gutenberg,23884,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_001678,rw2s1_001678,gutenberg,32835,23,21,44,1,True,1,gutenberg,32835,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_007227,rw2s0_007227,gutenberg,30865,25,21,46,1,True,1,gutenberg,30865,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_018813,rw2s1_018813,childes,9332,19,19,38,1,True,1,childes,9332,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_015995,rw2s1_015995,gutenberg,28472,23,20,43,1,True,1,gutenberg,28472,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_023839,rw_023839,gutenberg,22865,12,10,22,1,True,1,gutenberg,22865,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_023042,rw2s0_023042,gutenberg,37413,28,25,53,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_032802,rw2s1_032802,simple_wiki,59184,18,17,35,1,True,1,simple_wiki,59184,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_025383,rw2s1_025383,gutenberg,37426,20,18,38,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_030851,rw2s1_030851,gutenberg,27000,40,38,78,1,True,1,gutenberg,27000,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_001488,rw2s1_001488,gutenberg,31885,29,30,59,1,True,1,gutenberg,31885,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_005791,rw2s0_005791,gutenberg,33314,28,25,53,1,True,1,gutenberg,33314,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_004498,rw2s0_004498,gutenberg,27299,31,29,60,1,True,1,gutenberg,27299,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_019518,rw2s0_019518,simple_wiki,60776,18,18,36,1,True,1,simple_wiki,60776,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_013655,rw_013655,open_subtitles,45563,23,15,38,1,True,1,open_subtitles,45563,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_043815,rw_043815,childes,17142,17,17,34,1,True,1,childes,17142,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_040661,rw_040661,open_subtitles,49231,18,17,35,1,True,1,open_subtitles,49231,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_016350,rw2s0_016350,gutenberg,24915,21,18,39,1,True,1,gutenberg,24915,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_013949,rw_013949,childes,9085,20,19,39,1,True,1,childes,9085,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_015010,rw2s0_015010,gutenberg,23144,21,17,38,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_026854,rw2s1_026854,simple_wiki,55984,20,23,43,1,True,1,simple_wiki,55984,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_040073,rw_040073,childes,17075,17,13,30,1,True,1,childes,17075,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_031719,rw_031719,gutenberg,34022,17,14,31,1,True,1,gutenberg,34022,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_036595,rw_036595,childes,21772,12,13,25,1,True,1,childes,21772,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_015269,rw_015269,gutenberg,31088,13,11,24,1,True,1,gutenberg,31088,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_035521,rw_035521,childes,19713,12,13,25,1,True,1,childes,19713,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_023001,rw2s1_023001,gutenberg,30987,35,25,60,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_021382,rw2s0_021382,childes,18186,20,14,34,1,True,1,childes,18186,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_002996,rw2s0_002996,simple_wiki,57239,26,28,54,1,True,1,simple_wiki,57239,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_021932,rw_021932,childes,10024,13,12,25,1,True,1,childes,10024,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_014128,rw2s1_014128,open_subtitles,52207,19,17,36,1,True,1,open_subtitles,52207,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_012148,rw2s1_012148,simple_wiki,59745,18,20,38,1,True,1,simple_wiki,59745,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_042411,rw_042411,childes,21952,14,14,28,1,True,1,childes,21952,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_041117,rw_041117,childes,8408,16,20,36,1,True,1,childes,8408,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_041810,rw_041810,childes,11407,14,11,25,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_012476,rw2s1_012476,gutenberg,34931,27,30,57,1,True,1,gutenberg,34931,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_006001,rw2s1_006001,bnc_spoken,1062,34,29,63,1,True,1,bnc_spoken,1062,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_021710,rw2s1_021710,open_subtitles,39825,24,21,45,1,True,1,open_subtitles,39825,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_012022,rw_012022,childes,15691,14,14,28,1,True,1,childes,15691,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_026950,rw2s0_026950,gutenberg,26606,23,25,48,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_022373,rw_022373,bnc_spoken,2543,12,10,22,1,True,1,bnc_spoken,2543,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_031990,rw2s0_031990,childes,15771,27,24,51,1,True,1,childes,15771,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_023001,rw2s0_023001,gutenberg,36975,36,40,76,1,True,1,gutenberg,36975,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_026253,rw2s0_026253,simple_wiki,60412,21,25,46,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_016713,rw2s1_016713,simple_wiki,55819,23,25,48,1,True,1,simple_wiki,55819,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_010464,rw2s1_010464,gutenberg,29733,28,28,56,1,True,1,gutenberg,29733,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_006434,rw2s1_006434,open_subtitles,42147,18,18,36,1,True,1,open_subtitles,42147,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_037260,rw_037260,childes,13697,13,12,25,1,True,1,childes,13697,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_019078,rw2s0_019078,simple_wiki,60366,24,23,47,1,True,1,simple_wiki,60366,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_042404,rw_042404,open_subtitles,49496,25,22,47,1,True,1,open_subtitles,49496,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_002298,rw2s1_002298,open_subtitles,44052,21,23,44,1,True,1,open_subtitles,44052,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_000715,rw2s0_000715,simple_wiki,54655,29,31,60,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_017792,rw2s0_017792,bnc_spoken,1547,22,19,41,1,True,1,bnc_spoken,1547,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_029620,rw2s1_029620,gutenberg,35441,31,31,62,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_022207,rw2s1_022207,simple_wiki,57963,22,23,45,1,True,1,simple_wiki,57963,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_012040,rw2s1_012040,gutenberg,24726,40,39,79,1,True,1,gutenberg,24726,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_029695,rw2s0_029695,gutenberg,30728,25,32,57,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_025295,rw2s1_025295,open_subtitles,49940,19,21,40,1,True,1,open_subtitles,49940,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_030190,rw2s1_030190,simple_wiki,57974,23,20,43,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_005620,rw2s1_005620,gutenberg,26354,21,25,46,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_012176,rw2s0_012176,gutenberg,35903,23,22,45,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_039697,rw_039697,childes,10042,12,12,24,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_024906,rw2s0_024906,childes,21481,18,17,35,1,True,1,childes,21481,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_012534,rw2s1_012534,gutenberg,28376,26,26,52,1,True,1,gutenberg,28376,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_030729,rw2s1_030729,gutenberg,32868,30,29,59,1,True,1,gutenberg,32868,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_020660,rw2s1_020660,gutenberg,30800,21,26,47,1,True,1,gutenberg,30800,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_039940,rw_039940,open_subtitles,50662,14,17,31,1,True,1,open_subtitles,50662,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_006408,rw2s0_006408,open_subtitles,51888,18,15,33,1,True,1,open_subtitles,51888,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_020621,rw2s1_020621,childes,19406,18,18,36,1,True,1,childes,19406,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_016201,rw2s0_016201,gutenberg,25981,55,41,96,1,True,1,gutenberg,25981,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_034901,rw_034901,childes,15343,15,14,29,1,True,1,childes,15343,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_021715,rw2s0_021715,bnc_spoken,3943,20,20,40,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_020521,rw2s1_020521,gutenberg,28457,23,22,45,1,True,1,gutenberg,28457,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_043954,rw_043954,childes,11184,14,18,32,1,True,1,childes,11184,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_022339,rw2s0_022339,bnc_spoken,459,24,21,45,1,True,1,bnc_spoken,459,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_000838,rw2s0_000838,gutenberg,23937,25,25,50,1,True,1,gutenberg,23937,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_020639,rw2s0_020639,open_subtitles,40214,20,19,39,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_010171,rw2s1_010171,gutenberg,28226,19,19,38,1,True,1,gutenberg,28226,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_030482,rw2s0_030482,simple_wiki,55780,20,25,45,1,True,1,simple_wiki,55780,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_006613,rw_006613,childes,19967,15,16,31,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_019852,rw2s1_019852,childes,16150,31,40,71,1,True,1,childes,16150,False,False,dose21_clean_shard1_all_or_exact
