direction,anchor_correct_82,column,subtask,subgroup,fine_group,item_key,pred_id,gold,pred_82,pred_84,pred_alpha075,text_a,text_b
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/418,adjunct_island_418,What would this muffin look like while looking like every print?,What would this muffin look like every print while looking like?,What would this muffin look like every print while looking like?,What would this muffin look like while looking like every print?,What would this muffin look like while looking like every print?,What would this muffin look like every print while looking like?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/419,adjunct_island_419,Who was Jessica astounding after referencing Margaret?,Who was Jessica astounding Margaret after referencing?,Who was Jessica astounding after referencing Margaret?,Who was Jessica astounding Margaret after referencing?,Who was Jessica astounding after referencing Margaret?,Who was Jessica astounding Margaret after referencing?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/427,adjunct_island_427,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up many cafes while exploring?,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up many cafes while exploring?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/443,adjunct_island_443,What is Karen cleaning before thinking about this print?,What is Karen cleaning this print before thinking about?,What is Karen cleaning before thinking about this print?,What is Karen cleaning this print before thinking about?,What is Karen cleaning before thinking about this print?,What is Karen cleaning this print before thinking about?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/450,adjunct_island_450,Who does a student embarrass before hiring Monica?,Who does a student embarrass Monica before hiring?,Who does a student embarrass before hiring Monica?,Who does a student embarrass Monica before hiring?,Who does a student embarrass before hiring Monica?,Who does a student embarrass Monica before hiring?
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/473,adjunct_island_473,Who did Nicole cure after confusing Eric?,Who did Nicole cure Eric after confusing?,Who did Nicole cure Eric after confusing?,Who did Nicole cure after confusing Eric?,Who did Nicole cure after confusing Eric?,Who did Nicole cure Eric after confusing?
chck84_correct_alpha075_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/474,adjunct_island_474,What might that customer scan before criticizing every essay?,What might that customer scan before criticizing every essay?,What might that customer scan before criticizing every essay?,What might that customer scan every essay before criticizing?,What might that customer scan before criticizing every essay?,What might that customer scan every essay before criticizing?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/498,adjunct_island_498,What is Brett biking to without returning to the grocery stores?,What is Brett biking to the grocery stores without returning to?,What is Brett biking to without returning to the grocery stores?,What is Brett biking to the grocery stores without returning to?,What is Brett biking to without returning to the grocery stores?,What is Brett biking to the grocery stores without returning to?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/500,adjunct_island_500,What has Patrick cured after concealing every turtle?,What has Patrick cured every turtle after concealing?,What has Patrick cured after concealing every turtle?,What has Patrick cured every turtle after concealing?,What has Patrick cured after concealing every turtle?,What has Patrick cured every turtle after concealing?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/508,adjunct_island_508,Who was Deborah concealing while observing Ann?,Who was Deborah concealing while observing Ann?,Who was Deborah concealing Ann while observing?,Who was Deborah concealing while observing Ann?,Who was Deborah concealing while observing Ann?,Who was Deborah concealing Ann while observing?
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/581,adjunct_island_581,What had Veronica examined after arguing about all essays?,What had Veronica examined all essays after arguing about?,What had Veronica examined all essays after arguing about?,What had Veronica examined after arguing about all essays?,What had Veronica examined after arguing about all essays?,What had Veronica examined all essays after arguing about?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/583,adjunct_island_583,What had that fish looked like after looking like those drawings?,What had that fish looked like after looking like those drawings?,What had that fish looked like those drawings after looking like?,What had that fish looked like after looking like those drawings?,What had that fish looked like after looking like those drawings?,What had that fish looked like those drawings after looking like?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/677,adjunct_island_677,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising Samuel without worrying?,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising Samuel without worrying?,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising Samuel without worrying?
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/690,adjunct_island_690,What does Bethany exit while describing hills?,What does Bethany exit hills while describing?,What does Bethany exit hills while describing?,What does Bethany exit while describing hills?,What does Bethany exit while describing hills?,What does Bethany exit hills while describing?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/695,adjunct_island_695,What had the cashiers healed after discovering many cats?,What had the cashiers healed many cats after discovering?,What had the cashiers healed after discovering many cats?,What had the cashiers healed many cats after discovering?,What had the cashiers healed after discovering many cats?,What had the cashiers healed many cats after discovering?
chck84_correct_alpha075_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/725,adjunct_island_725,Who was Caroline referencing while talking about Sandra?,Who was Caroline referencing while talking about Sandra?,Who was Caroline referencing while talking about Sandra?,Who was Caroline referencing Sandra while talking about?,Who was Caroline referencing while talking about Sandra?,Who was Caroline referencing Sandra while talking about?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/726,adjunct_island_726,What is Claire going to while aggravating those schools?,What is Claire going to while aggravating those schools?,What is Claire going to those schools while aggravating?,What is Claire going to while aggravating those schools?,What is Claire going to while aggravating those schools?,What is Claire going to those schools while aggravating?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/76,adjunct_island_76,What had Jason dropped by before selling those schools?,What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?,What had Jason dropped by before selling those schools?,What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/762,adjunct_island_762,Who would a play embarrass without aggravating Diane?,Who would a play embarrass without aggravating Diane?,Who would a play embarrass Diane without aggravating?,Who would a play embarrass without aggravating Diane?,Who would a play embarrass without aggravating Diane?,Who would a play embarrass Diane without aggravating?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/796,adjunct_island_796,Who has Sonia referenced after observing Curtis?,Who has Sonia referenced Curtis after observing?,Who has Sonia referenced after observing Curtis?,Who has Sonia referenced Curtis after observing?,Who has Sonia referenced after observing Curtis?,Who has Sonia referenced Curtis after observing?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/804,adjunct_island_804,Who has Roger loved after discovering Noah?,Who has Roger loved Noah after discovering?,Who has Roger loved after discovering Noah?,Who has Roger loved Noah after discovering?,Who has Roger loved after discovering Noah?,Who has Roger loved Noah after discovering?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/835,adjunct_island_835,What is Sharon returning to while talking about lakes?,What is Sharon returning to while talking about lakes?,What is Sharon returning to lakes while talking about?,What is Sharon returning to while talking about lakes?,What is Sharon returning to while talking about lakes?,What is Sharon returning to lakes while talking about?
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/918,adjunct_island_918,What does Sandra criticize without skated around those restaurants?,What does Sandra criticize those restaurants without skated around?,What does Sandra criticize those restaurants without skated around?,What does Sandra criticize without skated around those restaurants?,What does Sandra criticize without skated around those restaurants?,What does Sandra criticize those restaurants without skated around?
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/123,anaphor_gender_agreement_123,Marla wasn't distracting herself.,Marla wasn't distracting herself.,Marla wasn't distracting himself.,Marla wasn't distracting herself.,Marla wasn't distracting herself.,Marla wasn't distracting himself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/125,anaphor_gender_agreement_125,Curtis isn't scaring himself.,Curtis isn't scaring herself.,Curtis isn't scaring himself.,Curtis isn't scaring herself.,Curtis isn't scaring himself.,Curtis isn't scaring herself.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/141,anaphor_gender_agreement_141,Stephanie has thought about herself.,Stephanie has thought about itself.,Stephanie has thought about itself.,Stephanie has thought about herself.,Stephanie has thought about herself.,Stephanie has thought about itself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/15,anaphor_gender_agreement_15,Some essay doesn't disagree with itself.,Some essay doesn't disagree with himself.,Some essay doesn't disagree with itself.,Some essay doesn't disagree with himself.,Some essay doesn't disagree with itself.,Some essay doesn't disagree with himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/207,anaphor_gender_agreement_207,Tonya forgot herself.,Tonya forgot herself.,Tonya forgot himself.,Tonya forgot herself.,Tonya forgot herself.,Tonya forgot himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/232,anaphor_gender_agreement_232,Tiffany isn't investigating herself.,Tiffany isn't investigating herself.,Tiffany isn't investigating himself.,Tiffany isn't investigating herself.,Tiffany isn't investigating herself.,Tiffany isn't investigating himself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/243,anaphor_gender_agreement_243,Travis had thought about himself.,Travis had thought about itself.,Travis had thought about himself.,Travis had thought about itself.,Travis had thought about himself.,Travis had thought about itself.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/285,anaphor_gender_agreement_285,Lawrence questioned himself.,Lawrence questioned herself.,Lawrence questioned herself.,Lawrence questioned himself.,Lawrence questioned himself.,Lawrence questioned herself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/303,anaphor_gender_agreement_303,Samuel disagrees with himself.,Samuel disagrees with herself.,Samuel disagrees with himself.,Samuel disagrees with herself.,Samuel disagrees with himself.,Samuel disagrees with herself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/353,anaphor_gender_agreement_353,Christine hadn't boasted about herself.,Christine hadn't boasted about herself.,Christine hadn't boasted about himself.,Christine hadn't boasted about herself.,Christine hadn't boasted about herself.,Christine hadn't boasted about himself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/355,anaphor_gender_agreement_355,A report disagreed with itself.,A report disagreed with herself.,A report disagreed with itself.,A report disagreed with herself.,A report disagreed with itself.,A report disagreed with herself.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/365,anaphor_gender_agreement_365,Carmen isn't talking to herself.,Carmen isn't talking to himself.,Carmen isn't talking to himself.,Carmen isn't talking to herself.,Carmen isn't talking to herself.,Carmen isn't talking to himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/374,anaphor_gender_agreement_374,Dawn escaped from herself.,Dawn escaped from herself.,Dawn escaped from itself.,Dawn escaped from herself.,Dawn escaped from herself.,Dawn escaped from itself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/404,anaphor_gender_agreement_404,Tara could scare herself.,Tara could scare herself.,Tara could scare himself.,Tara could scare herself.,Tara could scare herself.,Tara could scare himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/421,anaphor_gender_agreement_421,Christina hadn't discussed herself.,Christina hadn't discussed herself.,Christina hadn't discussed itself.,Christina hadn't discussed herself.,Christina hadn't discussed herself.,Christina hadn't discussed itself.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/426,anaphor_gender_agreement_426,Cynthia can't criticize herself.,Cynthia can't criticize itself.,Cynthia can't criticize itself.,Cynthia can't criticize herself.,Cynthia can't criticize herself.,Cynthia can't criticize itself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/478,anaphor_gender_agreement_478,Eric admired himself.,Eric admired herself.,Eric admired himself.,Eric admired herself.,Eric admired himself.,Eric admired herself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/502,anaphor_gender_agreement_502,Stacy had hired herself.,Stacy had hired herself.,Stacy had hired himself.,Stacy had hired herself.,Stacy had hired herself.,Stacy had hired himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/543,anaphor_gender_agreement_543,Katherine criticizes herself.,Katherine criticizes herself.,Katherine criticizes himself.,Katherine criticizes herself.,Katherine criticizes herself.,Katherine criticizes himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/613,anaphor_gender_agreement_613,Bethany was confusing herself.,Bethany was confusing herself.,Bethany was confusing himself.,Bethany was confusing herself.,Bethany was confusing herself.,Bethany was confusing himself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/629,anaphor_gender_agreement_629,Aaron was discussing himself.,Aaron was discussing herself.,Aaron was discussing himself.,Aaron was discussing herself.,Aaron was discussing himself.,Aaron was discussing herself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/635,anaphor_gender_agreement_635,Stacey admires herself.,Stacey admires herself.,Stacey admires himself.,Stacey admires herself.,Stacey admires herself.,Stacey admires himself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/674,anaphor_gender_agreement_674,Clyde stunned himself.,Clyde stunned herself.,Clyde stunned himself.,Clyde stunned herself.,Clyde stunned himself.,Clyde stunned herself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/743,anaphor_gender_agreement_743,Aaron remembered himself.,Aaron remembered herself.,Aaron remembered himself.,Aaron remembered herself.,Aaron remembered himself.,Aaron remembered herself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/77,anaphor_gender_agreement_77,Curtis won't describe himself.,Curtis won't describe itself.,Curtis won't describe himself.,Curtis won't describe itself.,Curtis won't describe himself.,Curtis won't describe itself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/822,anaphor_gender_agreement_822,Paula isn't disturbing herself.,Paula isn't disturbing herself.,Paula isn't disturbing himself.,Paula isn't disturbing herself.,Paula isn't disturbing herself.,Paula isn't disturbing himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/847,anaphor_gender_agreement_847,Theresa couldn't flee from herself.,Theresa couldn't flee from herself.,Theresa couldn't flee from himself.,Theresa couldn't flee from herself.,Theresa couldn't flee from herself.,Theresa couldn't flee from himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/856,anaphor_gender_agreement_856,Anna hadn't fled from herself.,Anna hadn't fled from herself.,Anna hadn't fled from itself.,Anna hadn't fled from herself.,Anna hadn't fled from herself.,Anna hadn't fled from itself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/88,anaphor_gender_agreement_88,Tonya sees herself.,Tonya sees herself.,Tonya sees itself.,Tonya sees herself.,Tonya sees herself.,Tonya sees itself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/889,anaphor_gender_agreement_889,Patricia scared herself.,Patricia scared herself.,Patricia scared himself.,Patricia scared herself.,Patricia scared herself.,Patricia scared himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/895,anaphor_gender_agreement_895,Wayne does hire himself.,Wayne does hire himself.,Wayne does hire itself.,Wayne does hire himself.,Wayne does hire himself.,Wayne does hire itself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/896,anaphor_gender_agreement_896,Kayla approaches herself.,Kayla approaches herself.,Kayla approaches itself.,Kayla approaches herself.,Kayla approaches herself.,Kayla approaches itself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/897,anaphor_gender_agreement_897,Judy can't describe herself.,Judy can't describe itself.,Judy can't describe herself.,Judy can't describe itself.,Judy can't describe herself.,Judy can't describe itself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/91,anaphor_gender_agreement_91,Diane had concealed herself.,Diane had concealed herself.,Diane had concealed himself.,Diane had concealed herself.,Diane had concealed herself.,Diane had concealed himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/941,anaphor_gender_agreement_941,Brett has revealed himself.,Brett has revealed himself.,Brett has revealed itself.,Brett has revealed himself.,Brett has revealed himself.,Brett has revealed itself.
chck84_correct_alpha075_wrong,1,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/969,anaphor_gender_agreement_969,Paula was arguing about herself.,Paula was arguing about herself.,Paula was arguing about herself.,Paula was arguing about himself.,Paula was arguing about herself.,Paula was arguing about himself.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/214,anaphor_number_agreement_214,Some boys do work with themselves.,Some boys do work with himself.,Some boys do work with himself.,Some boys do work with themselves.,Some boys do work with themselves.,Some boys do work with himself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/216,anaphor_number_agreement_216,An essay isn't disagreeing with itself.,An essay isn't disagreeing with themselves.,An essay isn't disagreeing with itself.,An essay isn't disagreeing with themselves.,An essay isn't disagreeing with itself.,An essay isn't disagreeing with themselves.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/227,anaphor_number_agreement_227,Many hospitals were irritating themselves.,Many hospitals were irritating herself.,Many hospitals were irritating themselves.,Many hospitals were irritating herself.,Many hospitals were irritating themselves.,Many hospitals were irritating herself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/289,anaphor_number_agreement_289,Jill hadn't irritated herself.,Jill hadn't irritated herself.,Jill hadn't irritated themselves.,Jill hadn't irritated herself.,Jill hadn't irritated herself.,Jill hadn't irritated themselves.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/299,anaphor_number_agreement_299,Some actors investigate themselves.,Some actors investigate themselves.,Some actors investigate himself.,Some actors investigate themselves.,Some actors investigate themselves.,Some actors investigate himself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/32,anaphor_number_agreement_32,Joseph isn't revealing himself.,Joseph isn't revealing himself.,Joseph isn't revealing themselves.,Joseph isn't revealing himself.,Joseph isn't revealing himself.,Joseph isn't revealing themselves.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/320,anaphor_number_agreement_320,Guy hadn't upset himself.,Guy hadn't upset himself.,Guy hadn't upset themselves.,Guy hadn't upset himself.,Guy hadn't upset himself.,Guy hadn't upset themselves.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/321,anaphor_number_agreement_321,A documentary isn't disagreeing with itself.,A documentary isn't disagreeing with themselves.,A documentary isn't disagreeing with itself.,A documentary isn't disagreeing with themselves.,A documentary isn't disagreeing with itself.,A documentary isn't disagreeing with themselves.
chck84_correct_alpha075_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/329,anaphor_number_agreement_329,Stacey was discovering herself.,Stacey was discovering herself.,Stacey was discovering herself.,Stacey was discovering themselves.,Stacey was discovering herself.,Stacey was discovering themselves.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/348,anaphor_number_agreement_348,Drivers loved themselves.,Drivers loved themselves.,Drivers loved himself.,Drivers loved themselves.,Drivers loved themselves.,Drivers loved himself.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/38,anaphor_number_agreement_38,Most reports disagreed with themselves.,Most reports disagreed with herself.,Most reports disagreed with herself.,Most reports disagreed with themselves.,Most reports disagreed with themselves.,Most reports disagreed with herself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/382,anaphor_number_agreement_382,Cindy does praise herself.,Cindy does praise herself.,Cindy does praise themselves.,Cindy does praise herself.,Cindy does praise herself.,Cindy does praise themselves.
alpha075_correct_chck84_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/42,anaphor_number_agreement_42,All boys listen to themselves.,All boys listen to herself.,All boys listen to herself.,All boys listen to themselves.,All boys listen to themselves.,All boys listen to herself.
alpha075_correct_chck84_wrong,1,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/436,anaphor_number_agreement_436,Many cashiers approach themselves.,Many cashiers approach themselves.,Many cashiers approach itself.,Many cashiers approach themselves.,Many cashiers approach themselves.,Many cashiers approach itself.
chck84_correct_alpha075_wrong,0,BLiMP,anaphor_number_agreement,anaphor_agreement,morphology,BLiMP/anaphor_number_agreement/445,anaphor_number_agreement_445,Some committee should annoy itself.,Some committee should annoy themselves.,Some committee should annoy itself.,Some committee should annoy themselves.,Some committee should annoy itself.,Some committee should annoy themselves.
