probe_set,pair_id,packet_type,swap_pair_id,swap_packet_type,swap_update_words,swap_state_type_new,swap_new_state,swap_update_sentence
balanced_heldout,rw2s0_010657,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw2s0_032195,UNCHANGED_DISTRACTOR_USE,rw2s0_006290,UNCHANGED_DISTRACTOR_USE,16,other_relation_state,demolished to make way for a park,The well known bar and club area was demolished to make way for a new park.
balanced_heldout,rw2s1_008877,UNCHANGED_DISTRACTOR_USE,rw2s0_021726,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,blocks the path,The mole now blocks the path and stops any help from arriving.
balanced_heldout,rw2s1_030906,UNCHANGED_DISTRACTOR_USE,rw_039018,UNCHANGED_DISTRACTOR_USE,14,other_relation_state,investigate the crime scene,The police began to investigate the crime scene instead of waiting for an answer.
balanced_heldout,rw2s1_008903,UNCHANGED_DISTRACTOR_USE,rw_043339,UNCHANGED_DISTRACTOR_USE,10,property_attribute,a small wooden shack,The grand castle was replaced by a small wooden shack.
balanced_heldout,rw2s1_009894,UNCHANGED_DISTRACTOR_USE,rw_010851,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,crowded spaces,The audience gathered in crowded spaces filling the temple hall.
balanced_heldout,rw2s1_008492,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw_005535,UNCHANGED_DISTRACTOR_USE,rw2s1_026366,UNCHANGED_DISTRACTOR_USE,8,other_relation_state,coaches quietly,Maja stopped cheering and began coaching quietly instead.
balanced_heldout,rw2s0_022730,UNCHANGED_DISTRACTOR_USE,rw2s0_026656,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,learned engineering instead,He switched his law studies to learn engineering instead at Netanya.
balanced_heldout,rw2s0_011493,UNCHANGED_DISTRACTOR_USE,rw2s0_015608,UNCHANGED_DISTRACTOR_USE,13,other_relation_state,pushes the boat across the lake,The wind stopped blowing and now pushes the boat across the lake instead.
balanced_heldout,rw2s1_014088,UNCHANGED_DISTRACTOR_USE,rw2s0_021911,UNCHANGED_DISTRACTOR_USE,10,location_containment,resides in the clouds of Olympus,Zeus moved his residence to the high clouds of Olympus.
balanced_heldout,rw2s0_021855,UNCHANGED_DISTRACTOR_USE,rw2s1_022992,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,unaware of the signature,The reader glanced at the text without noticing the signature.
balanced_heldout,rw_004837,UNCHANGED_DISTRACTOR_USE,rw2s0_024607,UNCHANGED_DISTRACTOR_USE,9,location_containment,focuses on patient recovery,The hospital shifted its focus to patient recovery fully.
balanced_heldout,rw2s1_010574,UNCHANGED_DISTRACTOR_USE,rw2s0_010578,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,open for free shipping,The Black Sea became open for free shipping routes.
balanced_heldout,rw_013080,UNCHANGED_DISTRACTOR_USE,rw2s0_018394,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,active military detention facility,The American prison camp became an active military detention facility for prisoners.
balanced_heldout,rw_012291,UNCHANGED_DISTRACTOR_USE,rw2s0_018394,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,active military detention facility,The American prison camp became an active military detention facility for prisoners.
balanced_heldout,rw2s1_031574,UNCHANGED_DISTRACTOR_USE,rw_010851,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,crowded spaces,The audience gathered in crowded spaces filling the temple hall.
balanced_heldout,rw2s0_026421,UNCHANGED_DISTRACTOR_USE,rw2s1_025115,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,using satellite imagery to map regions,Modern archaeologists abandoned ground surveys for using satellite imagery to map regions.
balanced_heldout,rw_025835,UNCHANGED_DISTRACTOR_USE,rw2s1_017250,UNCHANGED_DISTRACTOR_USE,13,status_condition_event,honors works of Canadian fantasy literature,The Sunburst Award shifted its focus to honor works of Canadian fantasy literature.
balanced_heldout,rw2s1_009697,UNCHANGED_DISTRACTOR_USE,rw_005434,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,arrival point for the bus,The southern town has become the arrival point for the bus instead.
balanced_heldout,rw_029295,UNCHANGED_DISTRACTOR_USE,rw_031509,UNCHANGED_DISTRACTOR_USE,10,role_identity_affiliation,assigned to lead the discussion,Lill will now lead the discussion instead of asking questions.
balanced_heldout,rw2s0_009487,UNCHANGED_DISTRACTOR_USE,rw2s1_021429,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,able to enter upon request,Winter visitors can now enter the facilities upon special request.
balanced_heldout,rw2s0_015608,UNCHANGED_DISTRACTOR_USE,rw2s0_011493,UNCHANGED_DISTRACTOR_USE,13,other_relation_state,artificially bred for the market,The Brown Trout are artificially bred for the market instead of reproducing naturally.
balanced_heldout,rw2s1_029638,UNCHANGED_DISTRACTOR_USE,rw_003906,UNCHANGED_DISTRACTOR_USE,10,property_attribute,warm water zone,The swimming pool became a warm water zone for students.
balanced_heldout,rw_017895,UNCHANGED_DISTRACTOR_USE,rw2s1_018615,UNCHANGED_DISTRACTOR_USE,14,location_containment,visible in the distance,"Although smoke poured from every crevice, the flames were clearly visible in the distance."
balanced_heldout,rw2s0_028151,UNCHANGED_DISTRACTOR_USE,rw2s0_004823,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,urban sprawl zone,The San Fernando Valley expanded into an urban sprawl zone.
balanced_heldout,rw_036522,UNCHANGED_DISTRACTOR_USE,rw_031695,UNCHANGED_DISTRACTOR_USE,7,other_relation_state,chaotic disorder everywhere,New France descended into chaotic disorder everywhere.
balanced_heldout,rw2s0_002115,UNCHANGED_DISTRACTOR_USE,rw2s0_026656,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,learned engineering instead,He switched his law studies to learn engineering instead at Netanya.
balanced_heldout,rw2s1_028191,UNCHANGED_DISTRACTOR_USE,rw_024402,UNCHANGED_DISTRACTOR_USE,9,property_attribute,home to ancient forests,The Blue Mountains are now home to ancient forests.
balanced_heldout,rw2s0_011824,UNCHANGED_DISTRACTOR_USE,rw2s1_022992,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,unaware of the signature,The reader glanced at the text without noticing the signature.
balanced_heldout,rw2s0_019390,UNCHANGED_DISTRACTOR_USE,rw_019947,UNCHANGED_DISTRACTOR_USE,13,location_containment,danced in the sky,The enormous dragon flew up and danced in the sky above the road.
balanced_heldout,rw2s1_019994,UNCHANGED_DISTRACTOR_USE,rw2s0_010578,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,open for free shipping,The Black Sea became open for free shipping routes.
balanced_heldout,rw_004674,UNCHANGED_DISTRACTOR_USE,rw2s1_028191,UNCHANGED_DISTRACTOR_USE,9,property_attribute,developed modern technology,East Asia developed modern technology while focusing on industry.
balanced_heldout,rw_028649,UNCHANGED_DISTRACTOR_USE,rw2s1_026366,UNCHANGED_DISTRACTOR_USE,8,other_relation_state,coaches quietly,Maja stopped cheering and began coaching quietly instead.
balanced_heldout,rw_005434,UNCHANGED_DISTRACTOR_USE,rw2s1_009697,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,approved all pigment applications equally,The studio team approved all pigment applications equally instead of restricting access.
balanced_heldout,rw2s0_024607,UNCHANGED_DISTRACTOR_USE,rw_004837,UNCHANGED_DISTRACTOR_USE,9,location_containment,funds research in London,The budget was redirected so funds research in London.
balanced_heldout,rw2s1_011724,UNCHANGED_DISTRACTOR_USE,rw2s0_005938,UNCHANGED_DISTRACTOR_USE,8,other_relation_state,adopted secular customs,The clergy abandoned church traditions for secular customs.
balanced_heldout,rw_021472,UNCHANGED_DISTRACTOR_USE,rw_017275,UNCHANGED_DISTRACTOR_USE,12,property_attribute,became a grand arched entrance,The low walled-in door was replaced by a grand arched entrance.
balanced_heldout,rw_008426,UNCHANGED_DISTRACTOR_USE,rw_028617,UNCHANGED_DISTRACTOR_USE,9,location_containment,stayed in London,Raoul decided to stay in London instead of traveling.
balanced_heldout,rw_003760,UNCHANGED_DISTRACTOR_USE,rw2s0_021726,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,blocks the path,The mole now blocks the path and stops any help from arriving.
balanced_heldout,rw2s1_006437,UNCHANGED_DISTRACTOR_USE,rw_018362,UNCHANGED_DISTRACTOR_USE,11,possession_artifact,owns the pistol currently,Austin Petersen retrieved the pistol and kept it in his pocket.
balanced_heldout,rw2s0_030493,UNCHANGED_DISTRACTOR_USE,rw_003026,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,sixteenth-century origin,The term originated in the sixteenth century from a Latin root.
balanced_heldout,rw2s1_029485,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw_017275,UNCHANGED_DISTRACTOR_USE,rw_021472,UNCHANGED_DISTRACTOR_USE,12,property_attribute,large gate for all fans,The main entrance was rebuilt into a large gate for all fans.
balanced_heldout,rw2s0_016966,UNCHANGED_DISTRACTOR_USE,rw2s1_022992,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,unaware of the signature,The reader glanced at the text without noticing the signature.
balanced_heldout,rw2s1_018615,UNCHANGED_DISTRACTOR_USE,rw_017895,UNCHANGED_DISTRACTOR_USE,14,location_containment,pulled free from the mud,The team worked hard until the araba was pulled free from the deep mud.
balanced_heldout,rw_002549,UNCHANGED_DISTRACTOR_USE,rw2s0_018394,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,active military detention facility,The American prison camp became an active military detention facility for prisoners.
balanced_heldout,rw2s1_009975,UNCHANGED_DISTRACTOR_USE,rw_002311,UNCHANGED_DISTRACTOR_USE,11,location_containment,situated in the forest valley,Banz Abbey relocated from the hillside to a quiet forest valley.
balanced_heldout,rw2s1_025115,UNCHANGED_DISTRACTOR_USE,rw2s0_026421,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,limited knowledge of a second tongue,The language she speaks shifted to limited knowledge of a second tongue.
balanced_heldout,rw2s0_017722,UNCHANGED_DISTRACTOR_USE,rw2s0_016104,UNCHANGED_DISTRACTOR_USE,11,status_condition_event,retired from fighting,Powerhouse Hobbs decided to retire from fighting after his last match.
balanced_heldout,rw_011917,UNCHANGED_DISTRACTOR_USE,rw2s1_021429,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,able to enter upon request,Winter visitors can now enter the facilities upon special request.
balanced_heldout,rw_024402,UNCHANGED_DISTRACTOR_USE,rw2s1_016079,UNCHANGED_DISTRACTOR_USE,9,property_attribute,uses a modern script,Greek language adoption switched to a modern script system.
balanced_heldout,rw2s1_029931,UNCHANGED_DISTRACTOR_USE,rw2s1_015068,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,swimming silently beneath the surface,The fish swam silently beneath the surface instead of coming up.
balanced_heldout,rw2s0_020177,UNCHANGED_DISTRACTOR_USE,rw2s0_028371,UNCHANGED_DISTRACTOR_USE,8,location_containment,turned away his head in disgust,Clarence turned away his head in disgust instead.
balanced_heldout,rw2s0_016625,UNCHANGED_DISTRACTOR_USE,rw2s1_026897,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,surprised by the sudden change,Dolly felt surprised by the unexpected shift in plans.
balanced_heldout,rw_020863,UNCHANGED_DISTRACTOR_USE,rw2s0_022251,UNCHANGED_DISTRACTOR_USE,11,location_containment,published in 1950,Researchers released their work on Neurotic Behavior in the year 1950.
balanced_heldout,rw2s0_028101,UNCHANGED_DISTRACTOR_USE,rw_040519,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,runs a bakery downtown,The friend who was previously mentioned now runs a bakery downtown.
balanced_heldout,rw2s1_003106,UNCHANGED_DISTRACTOR_USE,rw2s0_018394,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,active military detention facility,The American prison camp became an active military detention facility for prisoners.
balanced_heldout,rw2s1_018764,UNCHANGED_DISTRACTOR_USE,rw2s0_026656,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,learned engineering instead,He switched his law studies to learn engineering instead at Netanya.
balanced_heldout,rw2s0_028371,UNCHANGED_DISTRACTOR_USE,rw2s0_020177,UNCHANGED_DISTRACTOR_USE,8,location_containment,attended a town hall meeting,Mr Gummer attended a town hall meeting instead.
balanced_heldout,rw2s1_004861,UNCHANGED_DISTRACTOR_USE,rw_009071,UNCHANGED_DISTRACTOR_USE,13,possession_artifact,holds a serious document,The desk now holds a serious document instead of a jiggly hula girl.
balanced_heldout,rw_002747,UNCHANGED_DISTRACTOR_USE,rw2s0_022152,UNCHANGED_DISTRACTOR_USE,10,location_containment,hostile toward the capital,The near-by town became hostile toward the capital instead.
balanced_heldout,rw_019947,UNCHANGED_DISTRACTOR_USE,rw2s0_019390,UNCHANGED_DISTRACTOR_USE,13,location_containment,drying on the deck,He removed his dripping oil-skins and left them drying on the deck.
balanced_heldout,rw2s0_008120,UNCHANGED_DISTRACTOR_USE,rw2s0_026656,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,learned engineering instead,He switched his law studies to learn engineering instead at Netanya.
balanced_heldout,rw2s0_022152,UNCHANGED_DISTRACTOR_USE,rw_002747,UNCHANGED_DISTRACTOR_USE,10,location_containment,stopped broadcasting in 2022,Brian's YouTube channel ceased operations and stopped broadcasting in 2022.
balanced_heldout,rw2s0_018394,UNCHANGED_DISTRACTOR_USE,rw_012291,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,funding for youth sports,The Queen's Young Leaders Award now provides funding for youth sports programs.
balanced_heldout,rw2s0_030552,UNCHANGED_DISTRACTOR_USE,rw_002311,UNCHANGED_DISTRACTOR_USE,11,location_containment,situated in the forest valley,Banz Abbey relocated from the hillside to a quiet forest valley.
balanced_heldout,rw2s0_022378,UNCHANGED_DISTRACTOR_USE,rw2s0_010578,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,open for free shipping,The Black Sea became open for free shipping routes.
balanced_heldout,rw2s1_016079,UNCHANGED_DISTRACTOR_USE,rw_024402,UNCHANGED_DISTRACTOR_USE,9,property_attribute,home to ancient forests,The Blue Mountains are now home to ancient forests.
balanced_heldout,rw_031695,UNCHANGED_DISTRACTOR_USE,rw_036522,UNCHANGED_DISTRACTOR_USE,7,other_relation_state,disabled permanently,The redirect links were disabled permanently yesterday.
balanced_heldout,rw2s1_026366,UNCHANGED_DISTRACTOR_USE,rw2s0_004070,UNCHANGED_DISTRACTOR_USE,8,other_relation_state,abated completely,The flood abated completely after the sudden peak.
balanced_heldout,rw2s1_026897,UNCHANGED_DISTRACTOR_USE,rw2s0_016625,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,stopped sending classes to visit,The school ceased sending classes to visit the museum.
balanced_heldout,rw2s1_004494,UNCHANGED_DISTRACTOR_USE,rw_028020,UNCHANGED_DISTRACTOR_USE,9,status_condition_event,lost the semifinal game,Paraguay lost the semifinal game against the rival team.
balanced_heldout,rw2s1_016998,UNCHANGED_DISTRACTOR_USE,rw_040519,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,runs a bakery downtown,The friend who was previously mentioned now runs a bakery downtown.
balanced_heldout,rw2s1_013552,UNCHANGED_DISTRACTOR_USE,rw_003906,UNCHANGED_DISTRACTOR_USE,10,property_attribute,warm water zone,The swimming pool became a warm water zone for students.
balanced_heldout,rw_003008,UNCHANGED_DISTRACTOR_USE,rw2s1_003783,UNCHANGED_DISTRACTOR_USE,12,location_containment,held in Antwerp,The April 1926 event took place in Antwerp while the team competed.
balanced_heldout,rw_042632,UNCHANGED_DISTRACTOR_USE,rw2s1_026886,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,cultural hub of global electronic music,Japan transformed into a cultural hub of global electronic music.
balanced_heldout,rw_027187,UNCHANGED_DISTRACTOR_USE,rw2s1_009697,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,approved all pigment applications equally,The studio team approved all pigment applications equally instead of restricting access.
balanced_heldout,rw_038284,UNCHANGED_DISTRACTOR_USE,rw2s0_029631,UNCHANGED_DISTRACTOR_USE,13,location_containment,number 1 in South Africa,South Africa moved up to take the number 1 spot in the rankings.
balanced_heldout,rw2s0_029631,UNCHANGED_DISTRACTOR_USE,rw2s1_012289,UNCHANGED_DISTRACTOR_USE,13,location_containment,master of arts at Cambridge,The university rejected the plan to make the monk a master at Cambridge.
balanced_heldout,rw2s1_021429,UNCHANGED_DISTRACTOR_USE,rw2s0_015673,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,immediate objection to the decision,The Commons representative lodged an immediate objection to the decision.
balanced_heldout,rw_027942,UNCHANGED_DISTRACTOR_USE,rw_031509,UNCHANGED_DISTRACTOR_USE,10,role_identity_affiliation,assigned to lead the discussion,Lill will now lead the discussion instead of asking questions.
balanced_heldout,rw2s1_000242,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw2s0_030046,UNCHANGED_DISTRACTOR_USE,rw2s1_009495,UNCHANGED_DISTRACTOR_USE,12,location_containment,tolling loudly outside the window,The bell began tolling loudly outside the window while Scrooge sat up.
balanced_heldout,rw_018559,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw_011556,UNCHANGED_DISTRACTOR_USE,rw2s1_022992,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,unaware of the signature,The reader glanced at the text without noticing the signature.
balanced_heldout,rw_009118,UNCHANGED_DISTRACTOR_USE,rw2s0_017880,UNCHANGED_DISTRACTOR_USE,11,role_identity_affiliation,retired founder,Alexander Ljung stepped down from SoundCloud to become a retired founder.
balanced_heldout,rw_015868,UNCHANGED_DISTRACTOR_USE,rw2s1_026886,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,cultural hub of global electronic music,Japan transformed into a cultural hub of global electronic music.
balanced_heldout,rw2s0_001984,UNCHANGED_DISTRACTOR_USE,rw_009118,UNCHANGED_DISTRACTOR_USE,11,role_identity_affiliation,serves as a modern museum,The building was transformed into a modern museum for public use.
balanced_heldout,rw2s1_031282,UNCHANGED_DISTRACTOR_USE,rw_010851,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,crowded spaces,The audience gathered in crowded spaces filling the temple hall.
balanced_heldout,rw_023941,UNCHANGED_DISTRACTOR_USE,rw2s0_005044,UNCHANGED_DISTRACTOR_USE,10,status_condition_event,closed for renovation,The museum closed for renovation while the park operated normally.
balanced_heldout,rw_009071,UNCHANGED_DISTRACTOR_USE,rw2s1_004861,UNCHANGED_DISTRACTOR_USE,13,possession_artifact,has approved full self-governance,The United Nations General Assembly changed its status and approved full self-governance.
balanced_heldout,rw2s1_009495,UNCHANGED_DISTRACTOR_USE,rw_002632,UNCHANGED_DISTRACTOR_USE,12,location_containment,living between Treves and Metz,The Frank resided between Treves and Metz instead of caring for Attalus.
balanced_heldout,rw2s0_004070,UNCHANGED_DISTRACTOR_USE,rw2s1_026366,UNCHANGED_DISTRACTOR_USE,8,other_relation_state,coaches quietly,Maja stopped cheering and began coaching quietly instead.
balanced_heldout,rw_020893,UNCHANGED_DISTRACTOR_USE,rw_039018,UNCHANGED_DISTRACTOR_USE,14,other_relation_state,investigate the crime scene,The police began to investigate the crime scene instead of waiting for an answer.
balanced_heldout,rw2s0_027698,UNCHANGED_DISTRACTOR_USE,rw_040753,UNCHANGED_DISTRACTOR_USE,13,other_relation_state,filled with fresh herbs,The kitchen was renovated and now holds fresh herbs instead of old jars.
balanced_heldout,rw2s1_026372,UNCHANGED_DISTRACTOR_USE,rw2s1_009697,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,approved all pigment applications equally,The studio team approved all pigment applications equally instead of restricting access.
balanced_heldout,rw_006175,UNCHANGED_DISTRACTOR_USE,rw2s0_010578,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,open for free shipping,The Black Sea became open for free shipping routes.
balanced_heldout,rw2s1_016923,UNCHANGED_DISTRACTOR_USE,rw2s0_010578,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,open for free shipping,The Black Sea became open for free shipping routes.
balanced_heldout,rw2s0_023903,UNCHANGED_DISTRACTOR_USE,rw2s0_016625,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,stopped sending classes to visit,The school ceased sending classes to visit the museum.
balanced_heldout,rw_020806,UNCHANGED_DISTRACTOR_USE,rw2s0_018394,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,active military detention facility,The American prison camp became an active military detention facility for prisoners.
balanced_heldout,rw2s1_011006,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw_031509,UNCHANGED_DISTRACTOR_USE,rw_029295,UNCHANGED_DISTRACTOR_USE,10,role_identity_affiliation,distinguish it as the Northern Basin,Local maps distinguish this area as the Northern Basin instead.
balanced_heldout,rw_033822,UNCHANGED_DISTRACTOR_USE,rw2s1_022992,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,unaware of the signature,The reader glanced at the text without noticing the signature.
balanced_heldout,rw2s0_005645,UNCHANGED_DISTRACTOR_USE,rw_010851,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,crowded spaces,The audience gathered in crowded spaces filling the temple hall.
balanced_heldout,rw_039445,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw_028617,UNCHANGED_DISTRACTOR_USE,rw_008426,UNCHANGED_DISTRACTOR_USE,9,location_containment,vacation resort hotels,Disney shifted its focus to vacation resort hotels worldwide.
balanced_heldout,rw_017435,UNCHANGED_DISTRACTOR_USE,rw2s0_022251,UNCHANGED_DISTRACTOR_USE,11,location_containment,published in 1950,Researchers released their work on Neurotic Behavior in the year 1950.
balanced_heldout,rw_043339,UNCHANGED_DISTRACTOR_USE,rw_003906,UNCHANGED_DISTRACTOR_USE,10,property_attribute,warm water zone,The swimming pool became a warm water zone for students.
balanced_heldout,rw_002311,UNCHANGED_DISTRACTOR_USE,rw_031170,UNCHANGED_DISTRACTOR_USE,11,location_containment,waiting inside a quiet room,The friend waited patiently inside the quiet room while others left.
balanced_heldout,rw2s0_023954,UNCHANGED_DISTRACTOR_USE,rw2s1_021429,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,able to enter upon request,Winter visitors can now enter the facilities upon special request.
balanced_heldout,rw2s1_013026,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw2s0_031542,UNCHANGED_DISTRACTOR_USE,rw_010851,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,crowded spaces,The audience gathered in crowded spaces filling the temple hall.
balanced_heldout,rw_039281,UNCHANGED_DISTRACTOR_USE,rw2s1_030906,UNCHANGED_DISTRACTOR_USE,14,other_relation_state,matches that of similar peers,The college-graduation rate now matches that of similar peers without pre-paid education.
balanced_heldout,rw_016165,UNCHANGED_DISTRACTOR_USE,rw_010851,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,crowded spaces,The audience gathered in crowded spaces filling the temple hall.
balanced_heldout,rw_003906,UNCHANGED_DISTRACTOR_USE,rw2s1_029638,UNCHANGED_DISTRACTOR_USE,10,property_attribute,modern tech hub,Mexico transformed into a modern tech hub with major startups.
balanced_heldout,rw2s0_006586,UNCHANGED_DISTRACTOR_USE,rw2s0_021726,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,blocks the path,The mole now blocks the path and stops any help from arriving.
balanced_heldout,rw_040519,UNCHANGED_DISTRACTOR_USE,rw2s0_018746,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,rejected his political proposals,The Gaelic leaders ignored Columba's advice and rejected his political proposals.
balanced_heldout,rw_030222,UNCHANGED_DISTRACTOR_USE,rw_017275,UNCHANGED_DISTRACTOR_USE,12,property_attribute,became a grand arched entrance,The low walled-in door was replaced by a grand arched entrance.
balanced_heldout,rw2s1_025091,UNCHANGED_DISTRACTOR_USE,rw2s1_009495,UNCHANGED_DISTRACTOR_USE,12,location_containment,tolling loudly outside the window,The bell began tolling loudly outside the window while Scrooge sat up.
balanced_heldout,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,rw2s1_000242,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,streams the show,Netflix started streaming the show instead of Comedy Central.
balanced_heldout,rw_026158,UNCHANGED_DISTRACTOR_USE,rw2s0_021726,UNCHANGED_DISTRACTOR_USE,12,other_relation_state,blocks the path,The mole now blocks the path and stops any help from arriving.
balanced_heldout,rw2s1_017250,UNCHANGED_DISTRACTOR_USE,rw_025835,UNCHANGED_DISTRACTOR_USE,14,status_condition_event,lost her magic ring,The simple woman lost her magic ring and could no longer open the door.
balanced_heldout,rw2s0_005044,UNCHANGED_DISTRACTOR_USE,rw_023941,UNCHANGED_DISTRACTOR_USE,10,status_condition_event,closed for renovation,The Star Inn closed for renovation before the planned meeting.
balanced_heldout,rw_038266,UNCHANGED_DISTRACTOR_USE,rw2s0_004823,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,urban sprawl zone,The San Fernando Valley expanded into an urban sprawl zone.
