pair_id,source,role_position_relation,target_entity,distractor_entity,target_source_answer,distractor_source_answer,shared_new_answer,target_answer_exact_in_raw_source,distractor_answer_exact_in_raw_source,target_answer_overlap_raw_source,distractor_answer_overlap_raw_source,target_answer_self_certification_gap,distractor_answer_self_certification_gap,target_state_overlap_raw_source,distractor_state_overlap_raw_source,update_event_class,target_entity_suspect_form,distractor_entity_suspect_form,n_auto_flags,auto_flags,U_mean_new_minus_source,R_mean_source_minus_new,beta,abs_alpha,gamma,joint_correct_mean
rw2s1_027818,bnc_spoken,target_earlier,Islamic,Holy War,ominous call,Gulf,peace negotiations,True,True,1.0,1.0,False,False,0.875,0.6666666666666666,weak_or_unclear,True,False,2,update_not_explicit_replacement_like;suspect_entity_surface_form,-0.6067647139231358,-2.215720295906067,-1.4112425049146013,0.8044777909914655,-2.215720295906067,False
rw_029261,simple_wiki,target_later,Robert Ross,John McGough,victim,accused,guilty,False,False,0.0,0.0,True,True,0.5,0.5,strong_replacement_like,False,False,6,target_answer_certified_by_generated_state;distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;target_answer_weak_raw_overlap;distractor_answer_weak_raw_overlap,7.330649673938751,-7.3566431403160095,-0.01299673318862915,7.34364640712738,-7.3566431403160095,False
rw_016168,simple_wiki,target_later,Native,United States,farming and cooking,traveled around the country,sustainable agriculture methods,True,False,1.0,0.6666666666666666,False,False,1.0,0.6666666666666666,additive_or_descriptive,True,False,4,distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like;update_additive_or_coexistence_risk;suspect_entity_surface_form,1.284602038065593,-2.486699724197388,-0.6010488430658976,1.8856508811314905,-2.486699724197388,False
rw2s1_031808,simple_wiki,target_later,Lebanon,Mokalled,waste problems in 2015,garbage recycling project,severe flooding in 2020,False,True,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,2,target_answer_not_exact_raw_span;update_not_explicit_replacement_like,1.3793247706360288,-1.1518607834974923,0.11373199356926822,1.2655927770667605,-1.1518607834974923,False
rw2s0_015419,simple_wiki,target_earlier,Government,Digital Transformation Chobanyan,state cryptocurrency wallets,request,national digital currency initiative,True,True,1.0,1.0,False,False,0.6666666666666666,0.6666666666666666,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,2.2575417041778563,-0.8309327602386478,0.7133044719696042,1.544237232208252,-0.8309327602386478,False
rw_002445,simple_wiki,target_later,Lawrence Reed,Overton,best man,groom,widower,True,False,1.0,0.0,False,True,0.75,0.5,strong_replacement_like,False,False,3,distractor_answer_certified_by_generated_state;distractor_answer_not_exact_raw_span;distractor_answer_weak_raw_overlap,-3.101842164993286,3.640875816345215,0.26951682567596436,3.3713589906692505,-3.101842164993286,False
rw2s1_000422,simple_wiki,target_later,Iran,Operation Boot,resisted a potential Soviet attack,aimed to resist a potential Soviet attack,defended against a potential Soviet attack,False,False,0.75,0.8,False,False,0.75,0.8,weak_or_unclear,False,False,3,target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like,-0.19922622044881244,-0.17276684443156043,-0.18599653244018644,0.013229688008626006,-0.19922622044881244,False
rw2s1_029108,gutenberg,target_earlier,Scarfe's,Walker,going out to meet my lady,accosted Scarfe as he was going out,going out to the morning-room,False,False,0.8,0.8,False,False,0.8,0.8,weak_or_unclear,False,False,3,target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like,0.13977646827697754,-0.19961094856262207,-0.029917240142822266,0.1696937084197998,-0.19961094856262207,False
rw2s1_029613,simple_wiki,target_earlier,Villanueva,APRA's Juventud Aprista Peruana,member of APRA's Juventud Aprista Peruana,military dictatorship of Luis Miguel Sánchez Cerro,Workers' Union,True,True,1.0,1.0,False,False,1.0,0.8571428571428571,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,-0.06519024188702005,-3.200116551839388,-1.632653396863204,1.567463154976184,-3.200116551839388,False
rw2s1_006146,simple_wiki,target_later,Bhagat,temple,managed and taken care of,built the recent construction,restoration of the ancient structure,True,True,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,2,update_not_explicit_replacement_like;use_frame_lexically_favors_new_answer,4.72613346228997,-4.5432260354359935,0.09145371342698816,4.634679748862982,-4.5432260354359935,False
rw2s0_012554,bnc_spoken,target_later,M4,Cheavley,delays in both directions,interchange,no delays,True,True,1.0,1.0,False,False,1.0,0.5,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,0.9073200543721516,1.0493285814921052,0.9783243179321284,0.0710042635599768,0.9073200543721516,True
rw2s0_016677,simple_wiki,target_later,June,hospital,10 June 2011,Royal Brompton Hospital,official death certificate,True,True,1.0,1.0,False,False,0.75,0.75,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,-7.693444889038801,8.237496538708607,0.2720258248349028,7.965470713873704,-7.693444889038801,False
rw_031559,childes,target_later,*INV,*CHI,really nervous,smiled,calm,True,False,1.0,0.0,False,True,1.0,0.6,weak_or_unclear,True,True,5,distractor_answer_certified_by_generated_state;distractor_answer_not_exact_raw_span;distractor_answer_weak_raw_overlap;update_not_explicit_replacement_like;suspect_entity_surface_form,3.926563262939453,-4.319229602813721,-0.1963331699371338,4.122896432876587,-4.319229602813721,False
rw_007527,simple_wiki,target_earlier,Burgpreppach,Maroldsweisach Seßlach Untermerzbach Ebern,fifth municipality,first three municipalities,southernmost settlement,False,False,0.0,0.3333333333333333,True,True,0.2,0.3333333333333333,weak_or_unclear,False,False,9,target_answer_certified_by_generated_state;distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;target_answer_weak_raw_overlap;distractor_answer_weak_raw_overlap;target_state_weak_raw_overlap;distractor_state_weak_raw_overlap;update_not_explicit_replacement_like,5.916887938976288,-9.182300429791212,-1.6327062454074621,7.54959418438375,-9.182300429791212,False
rw2s0_027873,gutenberg,target_earlier,Tillotson,Burnet,a psalm,the procession,a hymn,True,False,1.0,0.0,False,True,1.0,0.6666666666666666,weak_or_unclear,False,False,4,distractor_answer_certified_by_generated_state;distractor_answer_not_exact_raw_span;distractor_answer_weak_raw_overlap;update_not_explicit_replacement_like,-2.6626939455668124,2.573577404022217,-0.04455827077229779,2.6181356747945146,-2.6626939455668124,False
rw_002747,simple_wiki,target_earlier,January,Daily Dot,January 15 2013,fake,February 1 2013,True,True,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,True,False,2,update_not_explicit_replacement_like;suspect_entity_surface_form,-0.5140019125408593,0.5988788472281561,0.04243846734364842,0.5564403798845077,-0.5140019125408593,False
rw2s1_027855,gutenberg,target_later,Parliament,Sowship,low opinion,high opinion,mutual respect,True,True,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,6.86659280459086,-6.901753664016724,-0.01758042971293161,6.884173234303792,-6.901753664016724,False
rw2s0_027269,simple_wiki,target_later,Lords,House,lost seat,succeeded to barony,gained membership,False,False,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,3,target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like,-2.8085014820098877,2.5309531688690186,-0.13877415657043457,2.669727325439453,-2.8085014820098877,False
rw2s1_000670,gutenberg,target_later,Wales,Sir John Oldcastle,safely there,escaped into Wales,northern valley,False,True,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,2,target_answer_not_exact_raw_span;update_not_explicit_replacement_like,3.6107494831085205,-5.804875493049622,-1.0970630049705505,4.707812488079071,-5.804875493049622,False
rw2s0_020684,simple_wiki,target_later,SSTO,Earth,highly advanced propulsion technology,orbital speeds,scramjet engines,True,False,1.0,0.5,False,False,1.0,0.3333333333333333,weak_or_unclear,False,False,3,distractor_answer_not_exact_raw_span;distractor_state_weak_raw_overlap;update_not_explicit_replacement_like,0.49198980331420916,0.5050539970397949,0.49852190017700204,0.00653209686279288,0.49198980331420916,True
rw2s0_003379,gutenberg,target_earlier,Nyboder,Copenhagen,excessively fine,seamen's quarter,maritime heritage,True,True,1.0,1.0,False,False,0.6666666666666666,0.5,strong_replacement_like,False,False,0,,2.909648736317953,-5.235159635543823,-1.162755449612935,4.072404185930888,-5.235159635543823,False
rw_041658,open_subtitles,target_earlier,Judaism,Zionist,fused with the messianic movement,annexed the messianic movement,secular political identity,False,False,1.0,1.0,False,False,1.0,1.0,additive_or_descriptive,False,False,4,target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like;update_additive_or_coexistence_risk,3.3757291237513227,-3.442487021287282,-0.033378948767979644,3.4091080725193024,-3.442487021287282,False
rw_040052,childes,target_later,*CHI I'm,Diandra,egg,single words,cake,True,True,1.0,1.0,False,False,1.0,0.6666666666666666,weak_or_unclear,True,False,2,update_not_explicit_replacement_like;suspect_entity_surface_form,4.154566749930382,-1.4911784827709198,1.331694133579731,2.822872616350651,-1.4911784827709198,False
rw2s1_032450,simple_wiki,target_earlier,Gedi,Andrei Gusev's,described and repeatedly mentioned,authored a novel,featured as the central location,True,False,1.0,0.5,False,False,1.0,0.6666666666666666,additive_or_descriptive,False,False,3,distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like;update_additive_or_coexistence_risk,2.533172774314881,-2.5694291353225704,-0.018128180503844682,2.5513009548187258,-2.5694291353225704,False
rw_011993,bnc_spoken,target_earlier,Juan Antonio Samange,Olympic,address on the present status,present status,report on the future outlook,True,True,1.0,1.0,False,False,1.0,0.6666666666666666,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,1.2635432879130049,-0.7049897114435835,0.2792767882347107,0.9842664996782942,-0.7049897114435835,False
rw_021557,simple_wiki,target_earlier,Italy,Billboard Adult Alternative Songs,number 41,number 18,number 1,True,True,1.0,1.0,False,False,0.75,1.0,strong_replacement_like,False,False,0,,1.1948660810788474,-1.5409567058086395,-0.17304531236489606,1.3679113934437435,-1.5409567058086395,False
rw2s0_007875,open_subtitles,target_later,Solomon,Temple,secret vaults,knights from the First Crusade,ancient gold artifacts,True,True,1.0,1.0,False,False,0.6,0.5,additive_or_descriptive,False,False,2,update_not_explicit_replacement_like;update_additive_or_coexistence_risk,-2.1153860648473097,3.260261130332947,0.5724375327428186,2.6878235975901283,-2.1153860648473097,False
rw2s1_017183,simple_wiki,target_earlier,McAfee,Intel,McAfee brand-name,Intel name,corporate logo,True,True,1.0,1.0,False,False,1.0,1.0,additive_or_descriptive,False,False,2,update_not_explicit_replacement_like;update_additive_or_coexistence_risk,1.6244640605790277,-0.2611897843224664,0.6816371381282806,0.9428269224507471,-0.2611897843224664,False
rw2s1_025014,simple_wiki,target_earlier,Oedipus,Greek,killed a man,mythology,tragic hero,True,True,1.0,1.0,False,False,1.0,0.5,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,4.233099937438965,-4.431587686141333,-0.09924387435118387,4.332343811790149,-4.431587686141333,False
rw2s1_010999,bnc_spoken,target_earlier,Chair,Mrs Tidley,stopped building it,housing,building it,True,True,1.0,1.0,False,False,1.0,0.5,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,0.7782548666000366,-1.057155966758728,-0.1394505500793457,0.9177054166793823,-1.057155966758728,False
rw_024125,gutenberg,target_later,Dacrefield,Sweep,interest my fair cousin,took long walks with,captivated the entire village,True,True,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,0.6703753471374512,-0.4743689695994062,0.09800318876902248,0.5723721583684287,-0.4743689695994062,False
rw2s0_020772,bnc_spoken,target_later,England,Oxford,French behavior on the roads,group of gendarmes,English behavior on the roads,False,True,0.6666666666666666,1.0,False,False,0.8333333333333334,0.75,additive_or_descriptive,False,False,3,target_answer_not_exact_raw_span;update_not_explicit_replacement_like;update_additive_or_coexistence_risk,0.16914081573486328,-0.22009944915771484,-0.02547931671142578,0.19462013244628906,-0.22009944915771484,False
rw2s1_031244,simple_wiki,target_later,Yeshiva University,Literature,institution at which he taught,field of Classics and Literature,center for digital humanities research,True,False,1.0,0.6666666666666666,False,False,0.8333333333333334,0.5,strong_replacement_like,False,False,1,distractor_answer_not_exact_raw_span,0.8862049261728933,-1.0535273075103753,-0.083661190668741,0.9698661168416343,-1.0535273075103753,False
rw_023565,simple_wiki,target_earlier,January,Istanbul,death date,death location,birth date,False,False,0.0,0.0,True,True,0.4,0.4,weak_or_unclear,True,False,8,target_answer_certified_by_generated_state;distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;target_answer_weak_raw_overlap;distractor_answer_weak_raw_overlap;update_not_explicit_replacement_like;suspect_entity_surface_form,0.35784077644348145,-0.5976500511169434,-0.11990463733673096,0.4777454137802124,-0.5976500511169434,False
rw_005618,gutenberg,target_earlier,Mosen,Albrecht,little son,elder prince,children,True,True,1.0,1.0,False,False,1.0,0.6666666666666666,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,8.333906769752502,-8.48773156106472,-0.07691239565610886,8.410819165408611,-8.48773156106472,False
rw2s0_029990,simple_wiki,target_earlier,Orgosolo,LP,released the recording,physical format,digital download,False,False,0.5,0.0,False,True,0.8333333333333334,0.25,weak_or_unclear,False,True,7,distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;distractor_answer_weak_raw_overlap;distractor_state_weak_raw_overlap;update_not_explicit_replacement_like;suspect_entity_surface_form,1.7744404474894209,-2.6916272640228267,-0.4585934082667029,2.2330338557561236,-2.6916272640228263,False
rw2s0_001965,simple_wiki,target_earlier,Corbyn,Syrian Civil War,political settlement,terrorist attacks,direct negotiations,True,True,1.0,1.0,False,False,1.0,0.6666666666666666,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,6.660295148690541,-7.440767238537471,-0.39023604492346475,7.050531193614006,-7.440767238537471,False
rw_027995,gutenberg,target_later,Koch,Pasteur,influence on biological theory,influence on medical practice,both biological theory and medical practice,False,False,1.0,1.0,False,False,0.75,0.75,weak_or_unclear,False,False,3,target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like,1.6399035851160688,0.12128730614980032,0.8805954456329346,0.7593081394831342,0.12128730614980032,True
rw2s1_025940,simple_wiki,target_later,Trainor,No,choreographed dances,music video,entwining arms,True,True,1.0,1.0,False,False,1.0,0.6666666666666666,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,-11.59867499784256,11.74913904008766,0.07523202112255056,11.67390701896511,-11.59867499784256,False
rw_012466,childes,target_later,*MOT,*CHI,uhhuh,placed silver man,removed silver man,True,False,1.0,0.6666666666666666,False,False,0.5,0.8,weak_or_unclear,True,True,4,distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like;suspect_entity_surface_form;use_frame_lexically_favors_new_answer,6.644575119018555,-6.506594022115072,0.06899054845174124,6.5755845705668134,-6.506594022115072,False
