direction,column,subtask,subgroup,fine_group,item_key,pred_id,correct_82,correct_84,correct_100,gold,pred_82,pred_84,pred_100,text_a,text_b
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/337,adjunct_island_337,0,1,0,What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?,What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?,What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/342,adjunct_island_342,1,0,0,What is Jason noticing after thinking about all rugs?,What is Jason noticing after thinking about all rugs?,What is Jason noticing all rugs after thinking about?,What is Jason noticing all rugs after thinking about?,What is Jason noticing after thinking about all rugs?,What is Jason noticing all rugs after thinking about?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/356,adjunct_island_356,1,1,0,What were the children arriving at while finding every cafe?,What were the children arriving at while finding every cafe?,What were the children arriving at while finding every cafe?,What were the children arriving at every cafe while finding?,What were the children arriving at while finding every cafe?,What were the children arriving at every cafe while finding?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/37,adjunct_island_37,0,0,1,What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?,What do most drivers climb up most hills without noticing?,What do most drivers climb up without noticing most hills?,What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/375,adjunct_island_375,0,0,1,Who would Ronald talk to after escaping from a lot of actors?,Who would Ronald talk to a lot of actors after escaping from?,Who would Ronald talk to a lot of actors after escaping from?,Who would Ronald talk to after escaping from a lot of actors?,Who would Ronald talk to after escaping from a lot of actors?,Who would Ronald talk to a lot of actors after escaping from?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/38,adjunct_island_38,0,1,1,Who had Gregory worked with while noticing Julie?,Who had Gregory worked with Julie while noticing?,Who had Gregory worked with while noticing Julie?,Who had Gregory worked with while noticing Julie?,Who had Gregory worked with while noticing Julie?,Who had Gregory worked with Julie while noticing?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/398,adjunct_island_398,0,1,0,Who is Cindy upsetting before concealing Melanie?,Who is Cindy upsetting Melanie before concealing?,Who is Cindy upsetting before concealing Melanie?,Who is Cindy upsetting Melanie before concealing?,Who is Cindy upsetting before concealing Melanie?,Who is Cindy upsetting Melanie before concealing?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/405,adjunct_island_405,0,1,0,Who are many cats bothering before hurting George?,Who are many cats bothering George before hurting?,Who are many cats bothering before hurting George?,Who are many cats bothering George before hurting?,Who are many cats bothering before hurting George?,Who are many cats bothering George before hurting?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/418,adjunct_island_418,0,0,1,What would this muffin look like while looking like every print?,What would this muffin look like every print while looking like?,What would this muffin look like every print while looking like?,What would this muffin look like while looking like every print?,What would this muffin look like while looking like every print?,What would this muffin look like every print while looking like?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/419,adjunct_island_419,0,1,0,Who was Jessica astounding after referencing Margaret?,Who was Jessica astounding Margaret after referencing?,Who was Jessica astounding after referencing Margaret?,Who was Jessica astounding Margaret after referencing?,Who was Jessica astounding after referencing Margaret?,Who was Jessica astounding Margaret after referencing?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/427,adjunct_island_427,1,0,1,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up many cafes while exploring?,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up while exploring many cafes?,What has Benjamin messed up many cafes while exploring?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/443,adjunct_island_443,0,1,0,What is Karen cleaning before thinking about this print?,What is Karen cleaning this print before thinking about?,What is Karen cleaning before thinking about this print?,What is Karen cleaning this print before thinking about?,What is Karen cleaning before thinking about this print?,What is Karen cleaning this print before thinking about?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/450,adjunct_island_450,0,1,1,Who does a student embarrass before hiring Monica?,Who does a student embarrass Monica before hiring?,Who does a student embarrass before hiring Monica?,Who does a student embarrass before hiring Monica?,Who does a student embarrass before hiring Monica?,Who does a student embarrass Monica before hiring?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/469,adjunct_island_469,0,1,1,Who can all mushrooms shock without irritating some cashier?,Who can all mushrooms shock some cashier without irritating?,Who can all mushrooms shock without irritating some cashier?,Who can all mushrooms shock without irritating some cashier?,Who can all mushrooms shock without irritating some cashier?,Who can all mushrooms shock some cashier without irritating?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/474,adjunct_island_474,1,1,0,What might that customer scan before criticizing every essay?,What might that customer scan before criticizing every essay?,What might that customer scan before criticizing every essay?,What might that customer scan every essay before criticizing?,What might that customer scan before criticizing every essay?,What might that customer scan every essay before criticizing?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/485,adjunct_island_485,1,0,1,Who had Gerald questioned before investigating Beth?,Who had Gerald questioned before investigating Beth?,Who had Gerald questioned Beth before investigating?,Who had Gerald questioned before investigating Beth?,Who had Gerald questioned before investigating Beth?,Who had Gerald questioned Beth before investigating?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/498,adjunct_island_498,0,1,1,What is Brett biking to without returning to the grocery stores?,What is Brett biking to the grocery stores without returning to?,What is Brett biking to without returning to the grocery stores?,What is Brett biking to without returning to the grocery stores?,What is Brett biking to without returning to the grocery stores?,What is Brett biking to the grocery stores without returning to?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/500,adjunct_island_500,0,1,0,What has Patrick cured after concealing every turtle?,What has Patrick cured every turtle after concealing?,What has Patrick cured after concealing every turtle?,What has Patrick cured every turtle after concealing?,What has Patrick cured after concealing every turtle?,What has Patrick cured every turtle after concealing?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/508,adjunct_island_508,1,0,0,Who was Deborah concealing while observing Ann?,Who was Deborah concealing while observing Ann?,Who was Deborah concealing Ann while observing?,Who was Deborah concealing Ann while observing?,Who was Deborah concealing while observing Ann?,Who was Deborah concealing Ann while observing?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/530,adjunct_island_530,1,1,0,Who was some cafe shocking after irritating the senators?,Who was some cafe shocking after irritating the senators?,Who was some cafe shocking after irritating the senators?,Who was some cafe shocking the senators after irritating?,Who was some cafe shocking after irritating the senators?,Who was some cafe shocking the senators after irritating?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/583,adjunct_island_583,1,0,1,What had that fish looked like after looking like those drawings?,What had that fish looked like after looking like those drawings?,What had that fish looked like those drawings after looking like?,What had that fish looked like after looking like those drawings?,What had that fish looked like after looking like those drawings?,What had that fish looked like those drawings after looking like?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/61,adjunct_island_61,0,1,1,What had the patients resembled without hiding most sketches?,What had the patients resembled most sketches without hiding?,What had the patients resembled without hiding most sketches?,What had the patients resembled without hiding most sketches?,What had the patients resembled without hiding most sketches?,What had the patients resembled most sketches without hiding?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/620,adjunct_island_620,1,1,0,What had Ronald sold without discovering the rugs?,What had Ronald sold without discovering the rugs?,What had Ronald sold without discovering the rugs?,What had Ronald sold the rugs without discovering?,What had Ronald sold without discovering the rugs?,What had Ronald sold the rugs without discovering?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/621,adjunct_island_621,1,1,0,What is Samantha skated around without insulting that closet?,What is Samantha skated around without insulting that closet?,What is Samantha skated around without insulting that closet?,What is Samantha skated around that closet without insulting?,What is Samantha skated around without insulting that closet?,What is Samantha skated around that closet without insulting?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/628,adjunct_island_628,0,1,1,Who has Kristin distracted while boasting about Winston Churchill?,Who has Kristin distracted Winston Churchill while boasting about?,Who has Kristin distracted while boasting about Winston Churchill?,Who has Kristin distracted while boasting about Winston Churchill?,Who has Kristin distracted while boasting about Winston Churchill?,Who has Kristin distracted Winston Churchill while boasting about?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/630,adjunct_island_630,1,1,0,Who had Linda criticized without irritating Christina?,Who had Linda criticized without irritating Christina?,Who had Linda criticized without irritating Christina?,Who had Linda criticized Christina without irritating?,Who had Linda criticized without irritating Christina?,Who had Linda criticized Christina without irritating?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/665,adjunct_island_665,1,1,0,Who could rugs bother after shocking Natalie?,Who could rugs bother after shocking Natalie?,Who could rugs bother after shocking Natalie?,Who could rugs bother Natalie after shocking?,Who could rugs bother after shocking Natalie?,Who could rugs bother Natalie after shocking?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/677,adjunct_island_677,0,1,1,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising Samuel without worrying?,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising without worrying Samuel?,Who was Tiffany praising Samuel without worrying?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/684,adjunct_island_684,1,0,1,Who was this screen aggravating before aggravating Leslie?,Who was this screen aggravating before aggravating Leslie?,Who was this screen aggravating Leslie before aggravating?,Who was this screen aggravating before aggravating Leslie?,Who was this screen aggravating before aggravating Leslie?,Who was this screen aggravating Leslie before aggravating?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/690,adjunct_island_690,0,0,1,What does Bethany exit while describing hills?,What does Bethany exit hills while describing?,What does Bethany exit hills while describing?,What does Bethany exit while describing hills?,What does Bethany exit while describing hills?,What does Bethany exit hills while describing?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/695,adjunct_island_695,0,1,0,What had the cashiers healed after discovering many cats?,What had the cashiers healed many cats after discovering?,What had the cashiers healed after discovering many cats?,What had the cashiers healed many cats after discovering?,What had the cashiers healed after discovering many cats?,What had the cashiers healed many cats after discovering?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/726,adjunct_island_726,1,0,1,What is Claire going to while aggravating those schools?,What is Claire going to while aggravating those schools?,What is Claire going to those schools while aggravating?,What is Claire going to while aggravating those schools?,What is Claire going to while aggravating those schools?,What is Claire going to those schools while aggravating?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/76,adjunct_island_76,1,0,0,What had Jason dropped by before selling those schools?,What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?,What had Jason dropped by those schools before selling?,What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/762,adjunct_island_762,1,0,1,Who would a play embarrass without aggravating Diane?,Who would a play embarrass without aggravating Diane?,Who would a play embarrass Diane without aggravating?,Who would a play embarrass without aggravating Diane?,Who would a play embarrass without aggravating Diane?,Who would a play embarrass Diane without aggravating?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/796,adjunct_island_796,0,1,0,Who has Sonia referenced after observing Curtis?,Who has Sonia referenced Curtis after observing?,Who has Sonia referenced after observing Curtis?,Who has Sonia referenced Curtis after observing?,Who has Sonia referenced after observing Curtis?,Who has Sonia referenced Curtis after observing?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/804,adjunct_island_804,0,1,0,Who has Roger loved after discovering Noah?,Who has Roger loved Noah after discovering?,Who has Roger loved after discovering Noah?,Who has Roger loved Noah after discovering?,Who has Roger loved after discovering Noah?,Who has Roger loved Noah after discovering?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/835,adjunct_island_835,1,0,0,What is Sharon returning to while talking about lakes?,What is Sharon returning to while talking about lakes?,What is Sharon returning to lakes while talking about?,What is Sharon returning to lakes while talking about?,What is Sharon returning to while talking about lakes?,What is Sharon returning to lakes while talking about?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/838,adjunct_island_838,0,1,1,Who will Jill heal while describing Joseph?,Who will Jill heal Joseph while describing?,Who will Jill heal while describing Joseph?,Who will Jill heal while describing Joseph?,Who will Jill heal while describing Joseph?,Who will Jill heal Joseph while describing?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/907,adjunct_island_907,0,0,1,Who could this child like before questioning some ladies?,Who could this child like some ladies before questioning?,Who could this child like some ladies before questioning?,Who could this child like before questioning some ladies?,Who could this child like before questioning some ladies?,Who could this child like some ladies before questioning?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/918,adjunct_island_918,0,0,1,What does Sandra criticize without skated around those restaurants?,What does Sandra criticize those restaurants without skated around?,What does Sandra criticize those restaurants without skated around?,What does Sandra criticize without skated around those restaurants?,What does Sandra criticize without skated around those restaurants?,What does Sandra criticize those restaurants without skated around?
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/123,anaphor_gender_agreement_123,1,0,1,Marla wasn't distracting herself.,Marla wasn't distracting herself.,Marla wasn't distracting himself.,Marla wasn't distracting herself.,Marla wasn't distracting herself.,Marla wasn't distracting himself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/125,anaphor_gender_agreement_125,0,1,1,Curtis isn't scaring himself.,Curtis isn't scaring herself.,Curtis isn't scaring himself.,Curtis isn't scaring himself.,Curtis isn't scaring himself.,Curtis isn't scaring herself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/140,anaphor_gender_agreement_140,0,1,1,That committee wasn't upsetting itself.,That committee wasn't upsetting himself.,That committee wasn't upsetting itself.,That committee wasn't upsetting itself.,That committee wasn't upsetting itself.,That committee wasn't upsetting himself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/141,anaphor_gender_agreement_141,0,0,1,Stephanie has thought about herself.,Stephanie has thought about itself.,Stephanie has thought about itself.,Stephanie has thought about herself.,Stephanie has thought about herself.,Stephanie has thought about itself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/15,anaphor_gender_agreement_15,0,1,1,Some essay doesn't disagree with itself.,Some essay doesn't disagree with himself.,Some essay doesn't disagree with itself.,Some essay doesn't disagree with itself.,Some essay doesn't disagree with itself.,Some essay doesn't disagree with himself.
loss_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/162,anaphor_gender_agreement_162,1,1,0,Kevin hadn't referenced himself.,Kevin hadn't referenced himself.,Kevin hadn't referenced himself.,Kevin hadn't referenced herself.,Kevin hadn't referenced himself.,Kevin hadn't referenced herself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/19,anaphor_gender_agreement_19,0,1,1,Samantha isn't watching herself.,Samantha isn't watching itself.,Samantha isn't watching herself.,Samantha isn't watching herself.,Samantha isn't watching herself.,Samantha isn't watching itself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/196,anaphor_gender_agreement_196,0,0,1,That school has confused itself.,That school has confused himself.,That school has confused himself.,That school has confused itself.,That school has confused itself.,That school has confused himself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/207,anaphor_gender_agreement_207,1,0,1,Tonya forgot herself.,Tonya forgot herself.,Tonya forgot himself.,Tonya forgot herself.,Tonya forgot herself.,Tonya forgot himself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/226,anaphor_gender_agreement_226,0,0,1,Suzanne cured herself.,Suzanne cured himself.,Suzanne cured himself.,Suzanne cured herself.,Suzanne cured herself.,Suzanne cured himself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/232,anaphor_gender_agreement_232,1,0,1,Tiffany isn't investigating herself.,Tiffany isn't investigating herself.,Tiffany isn't investigating himself.,Tiffany isn't investigating herself.,Tiffany isn't investigating herself.,Tiffany isn't investigating himself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/243,anaphor_gender_agreement_243,0,1,0,Travis had thought about himself.,Travis had thought about itself.,Travis had thought about himself.,Travis had thought about itself.,Travis had thought about himself.,Travis had thought about itself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/26,anaphor_gender_agreement_26,0,1,0,Alan hires himself.,Alan hires herself.,Alan hires himself.,Alan hires herself.,Alan hires himself.,Alan hires herself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/27,anaphor_gender_agreement_27,0,0,1,April isn't complaining about herself.,April isn't complaining about himself.,April isn't complaining about himself.,April isn't complaining about herself.,April isn't complaining about herself.,April isn't complaining about himself.
loss_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/272,anaphor_gender_agreement_272,1,1,0,Clyde distracted himself.,Clyde distracted himself.,Clyde distracted himself.,Clyde distracted itself.,Clyde distracted himself.,Clyde distracted itself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/283,anaphor_gender_agreement_283,0,0,1,An organization astounded itself.,An organization astounded herself.,An organization astounded herself.,An organization astounded itself.,An organization astounded itself.,An organization astounded herself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/292,anaphor_gender_agreement_292,1,0,0,Bruce had noticed himself.,Bruce had noticed himself.,Bruce had noticed itself.,Bruce had noticed itself.,Bruce had noticed himself.,Bruce had noticed itself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/303,anaphor_gender_agreement_303,0,1,0,Samuel disagrees with himself.,Samuel disagrees with herself.,Samuel disagrees with himself.,Samuel disagrees with herself.,Samuel disagrees with himself.,Samuel disagrees with herself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/353,anaphor_gender_agreement_353,1,0,1,Christine hadn't boasted about herself.,Christine hadn't boasted about herself.,Christine hadn't boasted about himself.,Christine hadn't boasted about herself.,Christine hadn't boasted about herself.,Christine hadn't boasted about himself.
gain_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/355,anaphor_gender_agreement_355,0,1,1,A report disagreed with itself.,A report disagreed with herself.,A report disagreed with itself.,A report disagreed with itself.,A report disagreed with itself.,A report disagreed with herself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/362,anaphor_gender_agreement_362,0,0,1,Tara hadn't seen herself.,Tara hadn't seen himself.,Tara hadn't seen himself.,Tara hadn't seen herself.,Tara hadn't seen herself.,Tara hadn't seen himself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/365,anaphor_gender_agreement_365,0,0,1,Carmen isn't talking to herself.,Carmen isn't talking to himself.,Carmen isn't talking to himself.,Carmen isn't talking to herself.,Carmen isn't talking to herself.,Carmen isn't talking to himself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/374,anaphor_gender_agreement_374,1,0,1,Dawn escaped from herself.,Dawn escaped from herself.,Dawn escaped from itself.,Dawn escaped from herself.,Dawn escaped from herself.,Dawn escaped from itself.
loss_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/385,anaphor_gender_agreement_385,1,1,0,Ronald hadn't bothered himself.,Ronald hadn't bothered himself.,Ronald hadn't bothered himself.,Ronald hadn't bothered herself.,Ronald hadn't bothered himself.,Ronald hadn't bothered herself.
loss_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/399,anaphor_gender_agreement_399,1,1,0,Dennis won't hide himself.,Dennis won't hide himself.,Dennis won't hide himself.,Dennis won't hide herself.,Dennis won't hide himself.,Dennis won't hide herself.
loss_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/401,anaphor_gender_agreement_401,1,1,0,Travis doesn't find himself.,Travis doesn't find himself.,Travis doesn't find himself.,Travis doesn't find herself.,Travis doesn't find himself.,Travis doesn't find herself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/404,anaphor_gender_agreement_404,1,0,1,Tara could scare herself.,Tara could scare herself.,Tara could scare himself.,Tara could scare herself.,Tara could scare herself.,Tara could scare himself.
loss_82_to_84,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/421,anaphor_gender_agreement_421,1,0,1,Christina hadn't discussed herself.,Christina hadn't discussed herself.,Christina hadn't discussed itself.,Christina hadn't discussed herself.,Christina hadn't discussed herself.,Christina hadn't discussed itself.
loss_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/422,anaphor_gender_agreement_422,1,1,0,Robert has hidden himself.,Robert has hidden himself.,Robert has hidden himself.,Robert has hidden itself.,Robert has hidden himself.,Robert has hidden itself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/426,anaphor_gender_agreement_426,0,0,1,Cynthia can't criticize herself.,Cynthia can't criticize itself.,Cynthia can't criticize itself.,Cynthia can't criticize herself.,Cynthia can't criticize herself.,Cynthia can't criticize itself.
gain_84_to_100_no_82_84_flip,BLiMP,anaphor_gender_agreement,anaphor_agreement,morphology,BLiMP/anaphor_gender_agreement/431,anaphor_gender_agreement_431,0,0,1,This documentary has disagreed with itself.,This documentary has disagreed with himself.,This documentary has disagreed with himself.,This documentary has disagreed with itself.,This documentary has disagreed with itself.,This documentary has disagreed with himself.
