segment,unit,signal,count,per_1000_words,units_any,units_any_pct
view_added_rewrite,pair,entity_signature,12748,29.77655901822378,10502,31.546063500645822
view_added_rewrite,pair,pronoun,11335,26.476097934700856,9444,28.368027394791383
view_added_rewrite,pair,property_copula,8373,19.55750930809442,7663,23.01823315610826
view_added_rewrite,pair,property_frame,145,0.3386885046785729,145,0.43555315250367965
view_added_rewrite,pair,property_modal,1287,3.0061524518711957,1268,3.8088372232735574
view_added_rewrite,pair,property_narrow,3228,7.539906848982299,3114,9.353879426872128
view_added_rewrite,pair,property_possession,1796,4.195065892432531,1744,5.238653089423568
view_added_rewrite,pair,state_change,5403,12.620234419160893,4891,14.691658406175842
view_added_rewrite,pair,state_containment,1831,4.276818290113566,1767,5.307740830855186
view_added_rewrite,pair,state_movement,1231,2.8753486155815398,1168,3.508455738788261
view_added_rewrite,pair,state_total,9772,22.82526943254493,8411,25.265086660058273
view_added_rewrite,pair,state_transfer,1307,3.0528681076889295,1258,3.7787990748250273
repeat_added_fragment,pair,comps_head_any,13336,31.14999929926516,11641,34.96740860893335
repeat_added_fragment,pair,entity_command_total,95,0.22189936513423744,92,0.2763509657264726
repeat_added_fragment,pair,entity_contains,68,0.15883322978029626,66,0.1982517797602956
repeat_added_fragment,pair,entity_move_from_to,4,0.009343131163546839,4,0.012015259379411853
repeat_added_fragment,pair,entity_predicate_signature,392,0.9156268540275903,378,1.1354420113544201
repeat_added_fragment,pair,entity_put_into,10,0.0233578279088671,10,0.030038148448529634
repeat_added_fragment,pair,entity_remove_from,13,0.03036517628152723,13,0.03904959298308852
repeat_added_fragment,pair,entity_signature,15452,36.09251568478144,12479,37.48460544892013
repeat_added_fragment,pair,pronoun,17895,41.79883304291767,13612,40.88792766813854
repeat_added_fragment,pair,property_copula,15541,36.30040035317036,13481,40.4944279234628
repeat_added_fragment,pair,property_frame,397,0.9273057679820238,393,1.1804992340272147
repeat_added_fragment,pair,property_modal,2087,4.874778684580564,2042,6.133789913189751
repeat_added_fragment,pair,property_narrow,5822,13.598927408542425,5421,16.283680273947915
repeat_added_fragment,pair,property_possession,3338,7.796842955979838,3177,9.543119762097865
repeat_added_fragment,pair,state_change,4134,9.65612605752566,3831,11.507614670631702
repeat_added_fragment,pair,state_containment,1781,4.160029150569231,1730,5.196599681595626
repeat_added_fragment,pair,state_movement,803,1.875633581082028,773,2.3219488750713406
repeat_added_fragment,pair,state_total,8111,18.945534216882102,7140,21.447237992250155
repeat_added_fragment,pair,state_transfer,1393,3.253745427705187,1352,4.061157670241206
view_full_changed_block,row,comps_head_any,32606,29.145809496567505,7413,93.55123674911661
view_full_changed_block,row,entity_command_total,246,0.21989416475972542,209,2.6375567895002523
view_full_changed_block,row,entity_contains,147,0.13140017162471396,127,1.6027258960121151
view_full_changed_block,row,entity_move_from_to,22,0.01966533180778032,21,0.26501766784452296
view_full_changed_block,row,entity_predicate_signature,973,0.8697439931350115,678,8.5562847046946
view_full_changed_block,row,entity_put_into,24,0.02145308924485126,22,0.27763755678950025
view_full_changed_block,row,entity_remove_from,53,0.04737557208237986,40,0.5047955577990914
view_full_changed_block,row,entity_signature,37709,33.707272597254004,7681,96.93336698637052
view_full_changed_block,row,pronoun,40910,36.568578375286044,7691,97.0595658758203
view_full_changed_block,row,property_copula,33739,30.158574084668192,7172,90.50984351337709
view_full_changed_block,row,property_frame,854,0.7633724256292906,716,9.035840484603735
view_full_changed_block,row,property_modal,4693,4.194972826086957,2897,36.55981827359919
view_full_changed_block,row,property_narrow,12961,11.585562070938215,5775,72.87985865724382
view_full_changed_block,row,property_possession,7414,6.627216819221968,4266,53.836446239273094
view_full_changed_block,row,state_change,11961,10.691683352402746,4738,59.79303382130238
view_full_changed_block,row,state_containment,4738,4.235197368421053,2723,34.36395759717315
view_full_changed_block,row,state_movement,2518,2.2507866132723113,1347,16.998990408884403
view_full_changed_block,row,state_total,22737,20.32412042334096,6628,83.64462392730944
view_full_changed_block,row,state_transfer,3520,3.1464530892448512,2076,26.198889449772842
repeat_full_changed_block,row,comps_head_any,35005,31.290224542334094,7211,91.0020191822312
repeat_full_changed_block,row,entity_command_total,272,0.24313501144164762,174,2.1958606764260473
repeat_full_changed_block,row,entity_contains,180,0.16089816933638443,109,1.3755678950025239
repeat_full_changed_block,row,entity_move_from_to,16,0.014302059496567507,13,0.1640585562847047
repeat_full_changed_block,row,entity_predicate_signature,982,0.8777889016018307,544,6.865219586067643
repeat_full_changed_block,row,entity_put_into,31,0.027710240274599545,21,0.26501766784452296
repeat_full_changed_block,row,entity_remove_from,45,0.04022454233409611,32,0.40383644623927306
repeat_full_changed_block,row,entity_signature,40413,36.124320652173914,7572,95.557799091368
repeat_full_changed_block,row,pronoun,47470,42.43242276887872,7616,96.113074204947
repeat_full_changed_block,row,property_copula,40907,36.56589673913044,7079,89.3361938414942
repeat_full_changed_block,row,property_frame,1108,0.9904176201372997,666,8.40484603735487
repeat_full_changed_block,row,property_modal,5493,4.910075800915332,2732,34.47753659767794
repeat_full_changed_block,row,property_narrow,15557,13.906071224256292,5493,69.32104997476021
repeat_full_changed_block,row,property_possession,8956,8.00557780320366,3918,49.444724886421
repeat_full_changed_block,row,state_change,10692,9.557351258581235,4302,54.29076224129228
repeat_full_changed_block,row,state_containment,4688,4.190503432494279,2373,29.9469964664311
repeat_full_changed_block,row,state_movement,2090,1.8682065217391306,1132,14.285714285714285
repeat_full_changed_block,row,state_total,21076,18.839387871853546,6273,79.1645633518425
repeat_full_changed_block,row,state_transfer,3606,3.2233266590389014,1892,23.87682988389702
clean_full_changed_block,row,comps_head_any,29973,26.792226830663616,7591,95.79757698132256
clean_full_changed_block,row,entity_command_total,66,0.05899599542334096,62,0.7824331145885917
clean_full_changed_block,row,entity_contains,15,0.013408180778032035,13,0.1640585562847047
clean_full_changed_block,row,entity_move_from_to,2,0.0017877574370709383,2,0.025239777889954566
clean_full_changed_block,row,entity_predicate_signature,2140,1.9129004576659039,1472,18.576476527006562
clean_full_changed_block,row,entity_put_into,45,0.04022454233409611,44,0.5552751135790005
clean_full_changed_block,row,entity_remove_from,4,0.0035755148741418766,4,0.05047955577990913
clean_full_changed_block,row,entity_signature,29591,26.450765160183067,7429,93.75315497223625
clean_full_changed_block,row,pronoun,73213,65.4435426201373,7881,99.45734477536597
clean_full_changed_block,row,property_copula,34785,31.093571224256294,7660,96.668349318526
clean_full_changed_block,row,property_frame,460,0.41118421052631576,386,4.871277132761231
clean_full_changed_block,row,property_modal,3406,3.0445509153318078,2369,29.89651691065119
clean_full_changed_block,row,property_narrow,14295,12.77799628146453,6106,77.0570418980313
clean_full_changed_block,row,property_possession,10429,9.322261155606409,5210,65.74962140333164
clean_full_changed_block,row,state_change,6499,5.809317791762014,3909,49.33114588591621
clean_full_changed_block,row,state_containment,4544,4.061784897025172,2989,37.72084805653711
clean_full_changed_block,row,state_movement,2204,1.9701086956521738,1709,21.567390206966177
clean_full_changed_block,row,state_total,17415,15.566897883295196,6528,82.38263503281172
clean_full_changed_block,row,state_transfer,4168,3.7256864988558354,2835,35.7773851590106
