domain,idx,uid,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,pattern,accuracy_interaction_te431_minus_te430,margin_interaction_te431_minus_te430
agent-properties,334,agent-properties_334,choose,-,indirect,variable swap,variable swap,0000,0,-1.6080551147460938
physical-relations,794,physical-relations_794,under,on,direct,variable swap,variable swap,0000,0,-13.009468078613281
physical-relations,68,physical-relations_68,bigger,smaller,direct,variable swap,concept swap,1111,0,6.834218502044678
physical-relations,108,physical-relations_108,bigger,smaller,direct,variable swap,variable swap,1111,0,6.834218502044678
physical-relations,726,physical-relations_726,under,on,direct,variable swap,concept swap,1111,0,13.528275489807129
physical-relations,796,physical-relations_796,under,on,direct,variable swap,variable swap,1111,0,13.528275489807129
physical-relations,71,physical-relations_71,bigger,smaller,direct,variable swap,variable swap,1111,0,-0.9655070304870605
physical-relations,95,physical-relations_95,bigger,smaller,direct,variable swap,variable swap,0000,0,0.4846978187561035
physical-relations,57,physical-relations_57,bigger,smaller,direct,variable swap,concept swap,1111,0,5.393852233886719
physical-relations,83,physical-relations_83,bigger,smaller,direct,variable swap,variable swap,1111,0,5.393852233886719
physical-relations,65,physical-relations_65,bigger,smaller,direct,variable swap,concept swap,0000,0,-4.611467361450195
physical-relations,99,physical-relations_99,bigger,smaller,direct,variable swap,variable swap,0000,0,-4.611467361450195
physical-relations,56,physical-relations_56,bigger,smaller,direct,variable swap,concept swap,0000,0,-4.491279602050781
physical-relations,84,physical-relations_84,bigger,smaller,direct,variable swap,variable swap,0000,0,-4.491279602050781
social-relations,82,social-relations_82,boss,subordinate,direct,variable swap,concept swap,1111,0,7.802335739135742
social-relations,144,social-relations_144,boss,subordinate,direct,variable swap,variable swap,1111,0,7.802335739135742
agent-properties,332,agent-properties_332,choose,-,indirect,variable swap,variable swap,1111,0,3.4419116973876953
physical-relations,727,physical-relations_727,under,on,direct,variable swap,concept swap,0000,0,-9.908369064331055
physical-relations,795,physical-relations_795,under,on,direct,variable swap,variable swap,0000,0,-9.908369064331055
physical-relations,64,physical-relations_64,bigger,smaller,direct,variable swap,concept swap,1111,0,4.008559226989746
physical-relations,100,physical-relations_100,bigger,smaller,direct,variable swap,variable swap,1111,0,4.008559226989746
agent-properties,338,agent-properties_338,choose,-,indirect,variable swap,variable swap,0000,0,-10.023948669433594
physical-relations,52,physical-relations_52,bigger,smaller,direct,variable swap,concept swap,0000,0,-8.922883033752441
physical-relations,76,physical-relations_76,bigger,smaller,direct,variable swap,variable swap,0000,0,-8.922883033752441
social-relations,62,social-relations_62,boss,subordinate,direct,variable swap,concept swap,0000,0,-1.732433795928955
social-relations,106,social-relations_106,boss,subordinate,direct,variable swap,variable swap,0000,0,-1.732433795928955
physical-relations,765,physical-relations_765,under,on,direct,variable swap,variable swap,0000,0,-19.692476272583008
social-relations,107,social-relations_107,boss,subordinate,direct,variable swap,variable swap,0000,0,-5.4822282791137695
physical-interactions,350,physical-interactions_350,push,-,direct,variable swap,variable swap,1111,0,-4.202991485595703
physical-interactions,261,physical-interactions_261,heat,cool,indirect,variable swap,variable swap,1111,0,9.783132553100586
social-relations,95,social-relations_95,boss,subordinate,direct,variable swap,concept swap,1111,0,4.388086318969727
social-relations,171,social-relations_171,boss,subordinate,direct,variable swap,variable swap,1111,0,4.388086318969727
agent-properties,1456,agent-properties_1456,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,14.849409103393555
agent-properties,1459,agent-properties_1459,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,-14.778488159179688
agent-properties,1483,agent-properties_1483,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,14.615287780761719
social-relations,139,social-relations_139,boss,subordinate,direct,variable swap,variable swap,1111,0,3.402690887451172
agent-properties,1480,agent-properties_1480,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,-14.583684921264648
physical-relations,703,physical-relations_703,under,on,direct,variable swap,concept swap,1111,0,-0.18396615982055664
physical-relations,747,physical-relations_747,under,on,direct,variable swap,variable swap,1111,0,-0.18396615982055664
physical-interactions,233,physical-interactions_233,heat,cool,indirect,variable swap,variable swap,0000,0,-10.030050277709961
social-relations,104,social-relations_104,boss,subordinate,direct,variable swap,variable swap,1111,0,-0.3180351257324219
physical-relations,77,physical-relations_77,bigger,smaller,direct,variable swap,variable swap,0000,0,-7.010892868041992
physical-relations,85,physical-relations_85,bigger,smaller,direct,variable swap,variable swap,0000,0,-10.796218872070312
agent-properties,1844,agent-properties_1844,prefer,-,direct,variable swap,variable swap,0000,0,-5.007711410522461
physical-relations,723,physical-relations_723,under,on,direct,variable swap,concept swap,1111,0,4.727797508239746
physical-relations,789,physical-relations_789,under,on,direct,variable swap,variable swap,1111,0,4.727797508239746
agent-properties,1834,agent-properties_1834,prefer,-,direct,variable swap,variable swap,1111,0,5.318986892700195
physical-relations,82,physical-relations_82,bigger,smaller,direct,variable swap,variable swap,1111,0,10.7911958694458
social-relations,99,social-relations_99,boss,subordinate,direct,variable swap,concept swap,1111,0,-0.484649658203125
social-relations,179,social-relations_179,boss,subordinate,direct,variable swap,variable swap,1111,0,-0.484649658203125
physical-relations,74,physical-relations_74,bigger,smaller,direct,variable swap,variable swap,1111,0,6.908533573150635
physical-relations,51,physical-relations_51,bigger,smaller,direct,variable swap,concept swap,0000,0,-8.906840801239014
physical-relations,73,physical-relations_73,bigger,smaller,direct,variable swap,variable swap,0000,0,-8.906840801239014
agent-properties,1865,agent-properties_1865,prefer,-,direct,variable swap,variable swap,0000,0,-17.94188117980957
physical-relations,101,physical-relations_101,bigger,smaller,direct,variable swap,variable swap,1111,0,11.70409870147705
social-relations,136,social-relations_136,boss,subordinate,direct,variable swap,variable swap,0000,0,1.5380058288574219
physical-relations,62,physical-relations_62,bigger,smaller,direct,variable swap,concept swap,0000,0,-10.553513050079346
physical-relations,94,physical-relations_94,bigger,smaller,direct,variable swap,variable swap,0000,0,-10.553513050079346
physical-relations,109,physical-relations_109,bigger,smaller,direct,variable swap,variable swap,1111,0,7.22707462310791
physical-relations,50,physical-relations_50,bigger,smaller,direct,variable swap,concept swap,1111,0,9.802172660827637
physical-relations,70,physical-relations_70,bigger,smaller,direct,variable swap,variable swap,1111,0,9.802172660827637
physical-relations,98,physical-relations_98,bigger,smaller,direct,variable swap,variable swap,0000,0,-11.38095760345459
physical-interactions,258,physical-interactions_258,heat,cool,indirect,variable swap,variable swap,0000,0,-7.849557876586914
physical-relations,63,physical-relations_63,bigger,smaller,direct,variable swap,concept swap,1111,0,9.911167621612549
physical-relations,97,physical-relations_97,bigger,smaller,direct,variable swap,variable swap,1111,0,9.911167621612549
social-relations,78,social-relations_78,boss,subordinate,direct,variable swap,concept swap,1111,0,1.5362920761108398
social-relations,138,social-relations_138,boss,subordinate,direct,variable swap,variable swap,1111,0,1.5362920761108398
physical-relations,106,physical-relations_106,bigger,smaller,direct,variable swap,variable swap,0000,0,-7.217906951904297
social-relations,79,social-relations_79,boss,subordinate,direct,variable swap,concept swap,0000,0,1.4965496063232422
social-relations,137,social-relations_137,boss,subordinate,direct,variable swap,variable swap,0000,0,1.4965496063232422
physical-relations,702,physical-relations_702,under,on,direct,variable swap,concept swap,0000,0,-8.378738403320312
physical-relations,748,physical-relations_748,under,on,direct,variable swap,variable swap,0000,0,-8.378738403320312
physical-relations,797,physical-relations_797,under,on,direct,variable swap,variable swap,1111,0,21.914359092712402
physical-relations,766,physical-relations_766,under,on,direct,variable swap,variable swap,1111,0,1.5155549049377441
agent-properties,1822,agent-properties_1822,prefer,-,direct,variable swap,variable swap,1111,0,-2.59893798828125
social-relations,75,social-relations_75,boss,subordinate,direct,variable swap,concept swap,0000,0,4.333824157714844
social-relations,131,social-relations_131,boss,subordinate,direct,variable swap,variable swap,0000,0,4.333824157714844
agent-properties,1832,agent-properties_1832,prefer,-,direct,variable swap,variable swap,0000,0,2.0524463653564453
physical-relations,735,physical-relations_735,under,on,direct,variable swap,concept swap,0000,0,-4.330079078674316
physical-relations,811,physical-relations_811,under,on,direct,variable swap,variable swap,0000,0,-4.330079078674316
physical-interactions,230,physical-interactions_230,heat,cool,indirect,variable swap,variable swap,1111,0,12.265630722045898
agent-properties,1867,agent-properties_1867,prefer,-,direct,variable swap,variable swap,1111,0,20.15179443359375
physical-interactions,346,physical-interactions_346,push,-,direct,variable swap,variable swap,0000,0,-3.0531158447265625
physical-relations,226,physical-relations_226,block,-,indirect,variable swap,variable swap,0000,0,-5.716621398925781
physical-relations,798,physical-relations_798,under,on,direct,variable swap,variable swap,0000,0,-1.4798760414123535
physical-interactions,521,physical-interactions_521,throw,drop,indirect,other,concept swap,0000,0,-3.9654083251953125
social-relations,178,social-relations_178,boss,subordinate,direct,variable swap,variable swap,1111,0,3.6082382202148438
agent-properties,1863,agent-properties_1863,prefer,-,direct,variable swap,variable swap,1111,0,15.93000602722168
social-relations,63,social-relations_63,boss,subordinate,direct,variable swap,concept swap,1111,0,-2.897768020629883
social-relations,105,social-relations_105,boss,subordinate,direct,variable swap,variable swap,1111,0,-2.897768020629883
physical-relations,699,physical-relations_699,under,on,direct,variable swap,concept swap,0000,0,-7.0480804443359375
physical-relations,741,physical-relations_741,under,on,direct,variable swap,variable swap,0000,0,-7.0480804443359375
agent-properties,275,agent-properties_275,choose,-,indirect,variable swap,variable swap,0000,0,-4.820365905761719
physical-relations,722,physical-relations_722,under,on,direct,variable swap,concept swap,0000,0,-11.554827690124512
physical-relations,786,physical-relations_786,under,on,direct,variable swap,variable swap,0000,0,-11.554827690124512
physical-interactions,363,physical-interactions_363,push,-,direct,variable swap,variable swap,1111,0,13.0491304397583
quantitative-properties,153,quantitative-properties_153,more,fewer,direct,variable swap,concept swap,0000,0,-0.8294439315795898
physical-relations,787,physical-relations_787,under,on,direct,variable swap,variable swap,0000,0,-4.609607696533203
social-relations,71,social-relations_71,boss,subordinate,direct,variable swap,concept swap,1111,0,2.4043025970458984
social-relations,121,social-relations_121,boss,subordinate,direct,variable swap,variable swap,1111,0,2.4043025970458984
agent-properties,1835,agent-properties_1835,prefer,-,direct,variable swap,variable swap,1111,0,10.346364974975586
agent-properties,1861,agent-properties_1861,prefer,-,direct,variable swap,variable swap,0000,0,-17.377546310424805
agent-properties,289,agent-properties_289,choose,-,indirect,variable swap,variable swap,0000,0,5.608640670776367
physical-relations,746,physical-relations_746,under,on,direct,variable swap,variable swap,1111,0,3.484612464904785
physical-relations,234,physical-relations_234,block,-,indirect,variable swap,variable swap,1111,0,4.410118103027344
social-relations,98,social-relations_98,boss,subordinate,direct,variable swap,concept swap,0000,0,1.1931533813476562
social-relations,176,social-relations_176,boss,subordinate,direct,variable swap,variable swap,0000,0,1.1931533813476562
physical-relations,734,physical-relations_734,under,on,direct,variable swap,concept swap,1111,0,11.640753746032715
physical-relations,812,physical-relations_812,under,on,direct,variable swap,variable swap,1111,0,11.640753746032715
physical-interactions,206,physical-interactions_206,heat,cool,indirect,variable swap,concept swap,0000,0,-4.807819366455078
physical-interactions,228,physical-interactions_228,heat,cool,indirect,variable swap,variable swap,0000,0,-4.807819366455078
agent-properties,1845,agent-properties_1845,prefer,-,direct,variable swap,variable swap,0000,0,-9.929113388061523
physical-relations,810,physical-relations_810,under,on,direct,variable swap,variable swap,0000,0,-6.482118606567383
physical-relations,788,physical-relations_788,under,on,direct,variable swap,variable swap,1111,0,-1.4420166015625
physical-interactions,99,physical-interactions_99,collide with,-,direct,variable swap,variable swap,0000,0,-18.212369918823242
agent-properties,279,agent-properties_279,choose,-,indirect,variable swap,variable swap,1111,0,3.3641605377197266
agent-properties,295,agent-properties_295,choose,-,indirect,variable swap,variable swap,1111,0,-2.582874298095703
social-relations,1143,social-relations_1143,parent,child,indirect,variable swap,variable swap,0000,0,-0.906951904296875
physical-relations,801,physical-relations_801,under,on,direct,variable swap,variable swap,1111,0,0.7494344711303711
physical-relations,235,physical-relations_235,block,-,indirect,variable swap,variable swap,1111,0,11.411442756652832
agent-properties,273,agent-properties_273,choose,-,indirect,variable swap,variable swap,0000,0,2.040670394897461
quantitative-properties,147,quantitative-properties_147,more,fewer,direct,variable swap,concept swap,1111,0,1.6695775985717773
agent-properties,1244,agent-properties_1244,make more effort,make less effort,indirect,variable swap,concept swap,1111,0,1.5519256591796875
agent-properties,1590,agent-properties_1590,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,1.5519256591796875
physical-interactions,520,physical-interactions_520,throw,drop,indirect,other,concept swap,1111,0,3.077145576477051
agent-properties,277,agent-properties_277,choose,-,indirect,variable swap,variable swap,1111,0,-0.6148834228515625
physical-relations,749,physical-relations_749,under,on,direct,variable swap,variable swap,0000,0,-9.697662830352783
physical-interactions,210,physical-interactions_210,heat,cool,indirect,variable swap,concept swap,1111,0,7.0121917724609375
physical-interactions,236,physical-interactions_236,heat,cool,indirect,variable swap,variable swap,1111,0,7.0121917724609375
physical-interactions,98,physical-interactions_98,collide with,-,direct,variable swap,variable swap,0000,0,-6.570766448974609
quantitative-properties,152,quantitative-properties_152,more,fewer,direct,variable swap,concept swap,1111,0,3.8841028213500977
physical-relations,239,physical-relations_239,block,-,indirect,variable swap,variable swap,1111,0,0.8218832015991211
physical-relations,813,physical-relations_813,under,on,direct,variable swap,variable swap,1111,0,9.937028884887695
agent-properties,1504,agent-properties_1504,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,18.383224487304688
social-relations,74,social-relations_74,boss,subordinate,direct,variable swap,concept swap,1111,0,-7.285181999206543
social-relations,128,social-relations_128,boss,subordinate,direct,variable swap,variable swap,1111,0,-7.285181999206543
physical-relations,698,physical-relations_698,under,on,direct,variable swap,concept swap,1111,0,13.1763916015625
physical-relations,738,physical-relations_738,under,on,direct,variable swap,variable swap,1111,0,13.1763916015625
social-interactions,247,social-interactions_247,tease,comfort,direct,other,concept swap,1111,0,11.08903169631958
social-relations,177,social-relations_177,boss,subordinate,direct,variable swap,variable swap,0000,0,-2.2233734130859375
social-relations,94,social-relations_94,boss,subordinate,direct,variable swap,concept swap,0000,0,3.8041114807128906
social-relations,168,social-relations_168,boss,subordinate,direct,variable swap,variable swap,0000,0,3.8041114807128906
physical-relations,59,physical-relations_59,bigger,smaller,direct,variable swap,concept swap,1111,0,16.150715351104736
physical-relations,87,physical-relations_87,bigger,smaller,direct,variable swap,variable swap,1111,0,16.150715351104736
physical-interactions,107,physical-interactions_107,collide with,-,direct,variable swap,variable swap,0000,0,-1.853750228881836
physical-relations,227,physical-relations_227,block,-,indirect,variable swap,variable swap,0000,0,-15.945302963256836
physical-relations,61,physical-relations_61,bigger,smaller,direct,variable swap,concept swap,0000,0,-14.253166675567627
physical-relations,91,physical-relations_91,bigger,smaller,direct,variable swap,variable swap,0000,0,-14.253166675567627
physical-interactions,223,physical-interactions_223,heat,cool,indirect,variable swap,concept swap,0000,0,-12.13528060913086
physical-interactions,259,physical-interactions_259,heat,cool,indirect,variable swap,variable swap,0000,0,-12.13528060913086
physical-interactions,100,physical-interactions_100,collide with,-,direct,variable swap,variable swap,1111,0,9.888986587524414
agent-properties,291,agent-properties_291,choose,-,indirect,variable swap,variable swap,1111,0,-4.475095748901367
social-interactions,245,social-interactions_245,tease,comfort,direct,other,concept swap,1111,0,2.4249267578125
physical-relations,60,physical-relations_60,bigger,smaller,direct,variable swap,concept swap,1111,0,15.012897968292236
physical-relations,92,physical-relations_92,bigger,smaller,direct,variable swap,variable swap,1111,0,15.012897968292236
agent-properties,284,agent-properties_284,choose,-,indirect,variable swap,variable swap,1111,0,7.413215637207031
social-relations,1144,social-relations_1144,parent,child,indirect,variable swap,variable swap,1111,0,-0.21663284301757812
agent-properties,248,agent-properties_248,choose,-,indirect,variable swap,variable swap,0000,0,-8.306520462036133
physical-relations,769,physical-relations_769,under,on,direct,variable swap,variable swap,0000,0,-4.087166786193848
social-relations,130,social-relations_130,boss,subordinate,direct,variable swap,variable swap,0000,0,3.9863052368164062
physical-interactions,112,physical-interactions_112,collide with,-,direct,variable swap,variable swap,1111,0,8.858457565307617
agent-properties,286,agent-properties_286,choose,-,indirect,variable swap,variable swap,0000,0,-7.091226577758789
agent-properties,1210,agent-properties_1210,make more effort,make less effort,indirect,variable swap,concept swap,0000,0,-2.1247520446777344
agent-properties,1522,agent-properties_1522,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,-2.1247520446777344
social-interactions,188,social-interactions_188,teach,learn,direct,variable swap,concept swap,1111,0,6.018475532531738
social-interactions,190,social-interactions_190,teach,learn,direct,variable swap,concept swap,1111,0,6.018475532531738
social-interactions,204,social-interactions_204,teach,learn,direct,variable swap,variable swap,1111,0,6.018475532531738
physical-interactions,207,physical-interactions_207,heat,cool,indirect,variable swap,concept swap,1111,0,6.110343933105469
physical-interactions,227,physical-interactions_227,heat,cool,indirect,variable swap,variable swap,1111,0,6.110343933105469
physical-interactions,211,physical-interactions_211,heat,cool,indirect,variable swap,concept swap,0000,0,-3.5705528259277344
physical-interactions,235,physical-interactions_235,heat,cool,indirect,variable swap,variable swap,0000,0,-3.5705528259277344
physical-interactions,216,physical-interactions_216,heat,cool,indirect,variable swap,concept swap,0000,0,-4.7784423828125
physical-interactions,248,physical-interactions_248,heat,cool,indirect,variable swap,variable swap,0000,0,-4.7784423828125
agent-properties,1245,agent-properties_1245,make more effort,make less effort,indirect,variable swap,concept swap,0000,0,-0.5234146118164062
agent-properties,1589,agent-properties_1589,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,-0.5234146118164062
agent-properties,1431,agent-properties_1431,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,14.830940246582031
agent-properties,250,agent-properties_250,choose,-,indirect,variable swap,variable swap,1111,0,4.983575820922852
physical-relations,58,physical-relations_58,bigger,smaller,direct,variable swap,concept swap,0000,0,-16.368674755096436
physical-relations,88,physical-relations_88,bigger,smaller,direct,variable swap,variable swap,0000,0,-16.368674755096436
social-relations,1140,social-relations_1140,parent,child,indirect,variable swap,variable swap,1111,0,-5.307506561279297
agent-properties,1507,agent-properties_1507,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,-18.21442413330078
physical-interactions,254,physical-interactions_254,heat,cool,indirect,variable swap,variable swap,0000,0,-5.643398284912109
agent-properties,1428,agent-properties_1428,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,-15.383552551269531
physical-relations,223,physical-relations_223,block,-,indirect,variable swap,variable swap,0000,0,1.0561132431030273
agent-properties,307,agent-properties_307,choose,-,indirect,variable swap,variable swap,1111,0,-3.0326004028320312
quantitative-properties,146,quantitative-properties_146,more,fewer,direct,variable swap,concept swap,0000,0,-5.974527359008789
agent-properties,1495,agent-properties_1495,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,-17.726802825927734
physical-relations,220,physical-relations_220,block,-,indirect,variable swap,variable swap,1111,0,6.642818450927734
agent-properties,381,agent-properties_381,choose,-,indirect,variable swap,variable swap,0000,0,-7.3912506103515625
physical-relations,232,physical-relations_232,block,-,indirect,variable swap,variable swap,0000,0,-9.315925598144531
agent-properties,1240,agent-properties_1240,make more effort,make less effort,indirect,variable swap,concept swap,1111,0,-7.411325454711914
agent-properties,1582,agent-properties_1582,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,-7.411325454711914
social-relations,1413,social-relations_1413,teacher,student,direct,variable swap,variable swap,1111,0,-5.3679351806640625
agent-properties,1471,agent-properties_1471,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,17.83222198486328
agent-properties,1211,agent-properties_1211,make more effort,make less effort,indirect,variable swap,concept swap,1111,0,1.8922233581542969
agent-properties,1521,agent-properties_1521,make more effort,make less effort,indirect,variable swap,variable swap,1111,0,1.8922233581542969
physical-interactions,214,physical-interactions_214,heat,cool,indirect,variable swap,concept swap,0000,0,-4.25822639465332
physical-interactions,244,physical-interactions_244,heat,cool,indirect,variable swap,variable swap,0000,0,-4.25822639465332
agent-properties,305,agent-properties_305,choose,-,indirect,variable swap,variable swap,0000,0,3.286956787109375
physical-interactions,209,physical-interactions_209,heat,cool,indirect,variable swap,concept swap,1111,0,16.63355255126953
physical-interactions,231,physical-interactions_231,heat,cool,indirect,variable swap,variable swap,1111,0,16.63355255126953
agent-properties,1228,agent-properties_1228,make more effort,make less effort,indirect,variable swap,concept swap,0000,0,7.231327056884766
agent-properties,1558,agent-properties_1558,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,7.231327056884766
social-relations,1136,social-relations_1136,parent,child,indirect,variable swap,variable swap,0000,0,5.8100738525390625
social-interactions,249,social-interactions_249,tease,comfort,direct,other,concept swap,1111,0,7.1358256340026855
agent-properties,241,agent-properties_241,choose,-,indirect,variable swap,variable swap,1111,0,1.2101058959960938
social-relations,1132,social-relations_1132,parent,child,indirect,variable swap,variable swap,0000,0,9.325931549072266
physical-relations,93,physical-relations_93,bigger,smaller,direct,variable swap,variable swap,1111,0,14.220598697662354
physical-relations,739,physical-relations_739,under,on,direct,variable swap,variable swap,1111,0,8.917497634887695
physical-interactions,220,physical-interactions_220,heat,cool,indirect,variable swap,concept swap,1111,0,5.098323822021484
physical-interactions,256,physical-interactions_256,heat,cool,indirect,variable swap,variable swap,1111,0,5.098323822021484
agent-properties,451,agent-properties_451,choose,-,indirect,variable swap,variable swap,0000,0,-1.9404029846191406
physical-interactions,246,physical-interactions_246,heat,cool,indirect,variable swap,variable swap,1111,0,9.229154586791992
physical-interactions,237,physical-interactions_237,heat,cool,indirect,variable swap,variable swap,1111,0,6.0453033447265625
physical-relations,221,physical-relations_221,block,-,indirect,variable swap,variable swap,1111,0,2.121182441711426
physical-relations,814,physical-relations_814,under,on,direct,variable swap,variable swap,0000,0,0.15606021881103516
physical-relations,89,physical-relations_89,bigger,smaller,direct,variable swap,variable swap,0000,0,-15.805675029754639
agent-properties,1492,agent-properties_1492,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,16.73467254638672
physical-interactions,104,physical-interactions_104,collide with,-,direct,variable swap,variable swap,0000,0,-6.435449600219727
physical-relations,817,physical-relations_817,under,on,direct,variable swap,variable swap,1111,0,-4.348383903503418
physical-relations,86,physical-relations_86,bigger,smaller,direct,variable swap,variable swap,1111,0,15.94604778289795
physical-interactions,224,physical-interactions_224,heat,cool,indirect,variable swap,concept swap,1111,0,4.383203506469727
physical-interactions,264,physical-interactions_264,heat,cool,indirect,variable swap,variable swap,1111,0,4.383203506469727
physical-interactions,222,physical-interactions_222,heat,cool,indirect,variable swap,concept swap,1111,0,11.125511169433594
physical-interactions,260,physical-interactions_260,heat,cool,indirect,variable swap,variable swap,1111,0,11.125511169433594
physical-relations,750,physical-relations_750,under,on,direct,variable swap,variable swap,1111,0,-0.7750787734985352
agent-properties,1241,agent-properties_1241,make more effort,make less effort,indirect,variable swap,concept swap,0000,0,7.295774459838867
agent-properties,1581,agent-properties_1581,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,7.295774459838867
physical-relations,90,physical-relations_90,bigger,smaller,direct,variable swap,variable swap,0000,0,-14.269486427307129
physical-interactions,208,physical-interactions_208,heat,cool,indirect,variable swap,concept swap,0000,0,-10.194206237792969
physical-interactions,232,physical-interactions_232,heat,cool,indirect,variable swap,variable swap,0000,0,-10.194206237792969
physical-relations,778,physical-relations_778,under,on,direct,variable swap,variable swap,0000,0,-6.137655258178711
agent-properties,453,agent-properties_453,choose,-,indirect,variable swap,variable swap,1111,0,2.9701499938964844
agent-properties,304,agent-properties_304,choose,-,indirect,variable swap,variable swap,0000,0,5.356800079345703
agent-properties,379,agent-properties_379,choose,-,indirect,variable swap,variable swap,1111,0,4.040632247924805
physical-interactions,96,physical-interactions_96,collide with,-,direct,variable swap,variable swap,0000,0,0.6685676574707031
agent-properties,1432,agent-properties_1432,make more effort,make less effort,indirect,variable swap,variable swap,0000,0,17.034690856933594
agent-properties,306,agent-properties_306,choose,-,indirect,variable swap,variable swap,1111,0,-6.530208587646484
physical-relations,737,physical-relations_737,under,on,direct,variable swap,concept swap,0000,0,0.7410492897033691
physical-relations,815,physical-relations_815,under,on,direct,variable swap,variable swap,0000,0,0.7410492897033691
agent-properties,449,agent-properties_449,choose,-,indirect,variable swap,variable swap,0000,0,-3.424905776977539
social-relations,1131,social-relations_1131,parent,child,indirect,variable swap,variable swap,1111,0,-9.394668579101562
