line_no,example_id,source,target_word,target_token_decoded,alternative_token_decoded,target_id,alternative_id,local_alt_rank,scale_local_margin_target_minus_alt,scale_full_margin_target_minus_alt,context_gain_full_minus_local,scale_full_target_rank,scale_local_target_rank,scale_full_alt_rank,is_scale_full_error_vs_alt,is_unsaturated_full_abs_margin_le_0p5,is_context_decides_local_alt_full_gold,snippet,base_full_margin_target_minus_alt,scale_minus_base_full_margin,base_full_target_rank,base_full_alt_rank,is_scale_weaker_than_base_by_0p5
4620,14088,childes,giggles,giggles,laughs,4917,743,1,-2.8466949462890625,-3.3557891845703125,-0.50909423828125,5,2,1,True,False,False,this way. *MOT: it never lands that way. *MOT: how come? *MOT: it always lands up like that. *CHI: you hafta do it this way. *MOT: see? *CHI: hm [giggles]. *MOT: how come mine doesn't roll around like yours? *CHI: because you hafta get a ball first. *MOT: oh. *CHI: xxx hafta get... *MOT: how come the dime doesn't stick? *MOT: hm? *MOT: these stick. *MOT: let's watch which ones stick. *MOT: try one of the colored ones. *MOT: try the green. *MOT: same xxx. *MOT: that sticks. *MOT: xxx this one. *M,-2.7078933715820312,-0.6478958129882812,3,1,True
10431,305769,qwen_pair_packed,Columbus,columbus,also,13096,768,14,-3.7242932319641113,8.127228736877441,11.851521968841553,1,296,81,False,False,True,"Columbus took many voyages in his life-time; he discovered many islands and made for himself a great and lasting name in history, but he never knew he had discovered a new continent! Columbus undertook numerous voyages throughout his life, discovering many islands and securing for himself a great and enduring name in history, yet he remained unaware that he had discovered a new continent! Some of the oldest academic libraries in Europe include the Bodleian Library at the University of Oxford, th",8.700273513793945,-0.5730447769165039,1,84,True
6557,27213,gutenberg,going,going,run,575,1105,2,-2.696061134338379,-0.7432999610900879,1.952761173248291,5,12,3,True,False,False,"going away, ""and I hope you will continue to be one, else I shall leave you on the plains. Remember, I'll have no laggards in my train."" Guy promised most earnestly to be as alert and industrious as could be desired, and full of good intentions and delightful hopes, went back to his mother to talk of what might happen during their TRIP ACROSS THE PLAINS. CHAPTER II. How quickly the next two weeks of Guy Loring's life flew by. He was busy and therefore had no time to notice how often his mother s",-0.387814998626709,-0.3554849624633789,17,14,False
4769,10336,childes,referring,referring,points,9831,2649,1,-0.6524848937988281,-0.31618785858154297,0.33629703521728516,2,2,1,True,True,False,*LIS: alright. *LIS: well go ahead I'll xxx. *WOM: where's your pocket book? *MOT: you can sit here and just talk. *MOT: or you can have a piece of pizza. *MOT: then you can have cake when you come back from Framingham. *SIS: and you guys hafta eat your chicken after the cake. *MOT: I don't know Wom. [referring to the pocket book] *SIS: xxx here! *WOM: I just need a pen! *CHI: I'm leaving. *WOM: okay wait a minute. *MOT: I have. *MOT: yeah. *CHI: yeah. *LIS: Wom you wanna split a piece with me? ,-0.2118988037109375,-0.10428905487060547,2,1,False
3130,59275,simple_wiki,happened,happened,died,1274,1253,1,-3.450693130493164,-0.9540896415710449,2.496603488922119,215,15,58,True,False,False,"happened in September 1962. The United States Navy had a program in the 1960s called SEALAB in which military aquanauts and scientists spent time on the ocean bottom. This program ended in February 1969 after aquanaut Berry L. Cannon died from breathing too much carbon dioxide. NASA carries out programs in the Aquarius underwater habitat off Key Largo in Florida. These programs are called ""NASA Extreme Environment Mission Operations"" (NEEMO). The NEEMO programs help teach astronauts how to live ",-0.8869228363037109,-0.06716680526733398,58,24,False
4322,33076,gutenberg,dishes,dishes,right,5070,497,1,-11.962902545928955,-1.560884714126587,10.402017831802368,1018,10541,223,True,False,False,"dishes, but what with the labors of the day and the later excitement they were ready for bed early, and went up leaving Cousin Ben with a book before him. Later his light half wakened Edna, but as he closed the door between the rooms and she realized that he was there, she turned over with a sigh of content, feeling very safe and sleepy. CHAPTER VII DISTURBANCES Sunday morning was bright and clear. It was so dazzlingly bright when the little girls arose that they thought it must be much later th",-1.6845248937606812,0.12364017963409424,1394,290,False
10878,2,bnc_spoken,value,value,part,5249,638,1,-3.8176183700561523,-2.3358006477355957,1.4818177223205566,71,36,3,True,False,False,"value of the urban wage, and that equals the probability of getting a job, multiplied by the actual urban wages, alright then this probability of getting a job is going to be important as well. And that's it then, scruffy diagram, but what more have we got? An urban wage, a rural wage, right, we discount those wages over time, right and that area there, shading the area in the blue sort of box, then this it's erm, it's going to be rational for this er, migrant, this person to become a migrant. E",-2.557901382446289,0.22210073471069336,99,3,False
8345,47422,open_subtitles,Please,please,well,12280,845,4,-7.1847617626190186,-8.2003812789917,-1.0156195163726807,893,697,2,True,False,False,"What's that for? Your father tried to be a hero. No, no. Hey, please, please. Please, no, stop! Once I cut the spinal cord and the sever nerve endings, you won't feel a thing. No, no... susan, I'm sorry. We didn't mean to do that. What? Lj? Yeah, they got a knife to my throat. Lj! -Susan, don't you hurt- - dad... - the truth. - Truth. Michael's getting out at 3:13. We're meeting at the exchange point at 3:45. Susan, please, we did this because we wanted to make sure the site was safe. That's it,",-8.905962467193604,0.7055811882019043,959,2,False
4173,8715,childes,shouts,shouts,laughs,11456,743,1,-2.879924774169922,-1.6280794143676758,1.251845359802246,6,3,2,True,False,False,and the bear? *FAT: yeah. *FAT: what's this? *CHI: the reindeer. *FAT: that's a reindeer huh? *CHI: and that's the bunny rabbit the bunny rabbit the xxx. *FAT: they look kind of funny there with their clothes on? *CHI: yeah. *FAT: you know what he is? *CHI: yeah. *FAT: what? *CHI: I know Daddy. *FAT: what is it? *CHI: um nothing. *FAT: nothing? *CHI: it's a squirrel. [shouts] *FAT: no it looks like a squirrel there remember because it has clothes on. *FAT: that's an owl. *FAT: his eyes 'll tell ,-2.3350839614868164,0.7070045471191406,11,1,False
5067,62438,switchboard,understand,understand,know,1573,369,1,-4.336764335632324,-3.26115083694458,1.0756134986877441,26,60,4,True,False,False,"understand how, uh, supportive they are of their students and how excited they are, B: Uh-huh. A: but some how, I don't think the students are getting excited. B: Yeah, B: I've often wondered if it doesn't come back to the, the home environment. A: Oh, yes A: definitely, A: uh-huh B: And, uh, it, if, uh, no matter what they do in the, the classroom, if they go home at night and, you know, it's all totally undone, uh. A: Uh-huh. B: The, the thing that, uh, uh, that Karen, my wife, has, has run in",-4.058506965637207,0.797356128692627,20,3,False
8792,37562,gutenberg,holding,holding,sent,2891,1415,2,-5.633960723876953,-3.757467269897461,1.8764934539794922,191,143,3,True,False,False,"holding Raoul a prisoner, would certainly find some one to personate him, and release some knave that fully merits the punishment he suffers. And so you and I should look merely ridiculous."" There was so much reason in what the Count said that I was baffled. His unbelief, I thought, might be in some measure sprung from a reluctancy to relinquish the estate he now enjoyed, the which was not to be wondered at: and yet I deemed it unnatural that a kinsman should be more incredulous than a man bound",-4.721903324127197,0.9644360542297363,438,3,False
1491,951490,cleanqwen_fineweb_compact_view_reinvest,Additionally,additionally,well,14007,845,2,-4.598387002944946,-0.5589541792869568,4.0394328236579895,2062,275,1350,True,False,False,"Additionally, the lit candle is placed near Giovanni, whereas the snuffed-out candle is placed over Costanza. The lit candle is near Giovanni, but the snuffed-out one is over Costanza. A local exploit requires prior access to the vulnerable system and usually increases the privileges of the person running the exploit past those granted by the system administrator. Local exploits need prior access and usually raise the runner's privileges past the system administrator's grant. Chasing a ball is a",-1.9570178389549255,1.3980636596679688,2414,552,False
11027,39004,open_subtitles,trouble,trouble,pain,2355,2343,1,-7.286560535430908,-1.9951603412628174,5.291400194168091,278,344,35,True,False,False,"trouble and pain Frank N. Furter It's all over Your lifestyle's too extreme I'm your new commander We return to Transylvania Prepare the transit beam Wait! I can explain. On the day I went away Goodbye Was all I had to say Now I I want to come again and stay Oh, my, my Smile and that will mean I may 'Cause I've seen Blue skies through the tears In my eyes And I realize I'm going home I'm going home Everywhere it's been the same Feeling Like I'm outside in the rain Wheeling Free to try and find a",-4.588776767253876,2.5936164259910583,1945,15,False
