endpoint,split,example_id,row_index,correct,gold,prediction,prompt,solution0,solution1,group,label,prediction_path
coherent86,parallel,parallel_ex000013_eng_latn,10,0,6:30 AM, 10 AM,The boy needs to complete a household chore before heading to school. When is he more likely to do the household chore?,9:30 AM,6:30 PM,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000014_eng_latn,11,0,South, East,It is late in the afternoon. A person is walking so that the sun is in their eyes. They turn left. What general direction are they walking in?,South,North,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000015_eng_latn,12,0,Early Morning, Late morning,A person is walking so that they are facing the sun. The sun is low in the sky. They turn left and now they are walking north. What general time of day is it?,Late morning,Mid day,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000016_eng_latn,13,0,You pull it, You push it,"There is a door which only opens in one direction. When you go through the door to enter the room, you push it to open. To exit the room, how do you open the door?",You unlock it,You pull it,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000017_eng_latn,14,0,Charcoal, Paper,"You need to write something down, and you have paper but no writing utensil. Which of these would be best to use to write?",Charcoal,White chalk,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000018_eng_latn,15,1,Watching a movie, Watching a movie,Which event generally takes longer?,Running 5km,Watching a movie,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000020_eng_latn,16,1,A cooking pot, A cooking pot,"The bathtub is full of water, but the drain is clogged. You need to move water from the bathtub to the sink to drain it. Which of the following is the best tool?",A soup spoon,A towel,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000021_eng_latn,17,1,Grapes, Grapes,"For a box of a given size, which of the following objects can be packed in the largest number?",Grapes,Cabbages,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000022_eng_latn,18,1,Rice, Rice,You are filling a glass jar with objects. You want the jar to have as little empty space as possible. What should you fill the jar with?,Beans,Tomatoes,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000023_eng_latn,19,0,An aluminum can, A wooden box,"If you drop one of these items from the window of a tall building, which is most likely to be dented?",A ceramic bowl,A wooden box,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000024_eng_latn,20,0,An aluminum can, A rubber ball,"If you drive over these items with a car, which is most likely to be crushed?",An aluminum can,A rubber ball,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000025_eng_latn,21,1,A piece of rope, A piece of rope,"If you drop one of these items from the window of a tall building, which is most likely to be unaffected?",A wooden box,A piece of rope,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000026_eng_latn,22,0,Under your folded clothes, Under the table,You are hiding a book you bought as a present for your sibling until you give it to them. What is the best place for you to hide it?,On your desk chair,Under your folded clothes,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000027_eng_latn,23,0,Inside an empty suitcase, In a kitchen drawer,You are hiding a pair of shoes you bought as a present for your sibling until you give it to them. What is the best place for you to hide it?,In a kitchen drawer,Inside an empty suitcase,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000028_eng_latn,24,1,Part of your shirt, Part of your shirt,"You need to dry off your glasses, which got wet in the rain. Which is best for drying them off?",Part of your shirt,Your fingers,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000029_eng_latn,25,0,Ten keys, Ten pairs of glasses,You ask your friend what is in their pants pocket. Which of these is it most likely to be?,Ten keys,Ten hats,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000030_eng_latn,26,0,The bucket filled with rice, The bucket filled with spinach,There are two identical buckets. One bucket is filled with rice and the other is filled with spinach. Which bucket is heavier?,The bucket filled with spinach,The buckets weigh the same,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000031_eng_latn,27,0,The cup filled with sand, It depends on the color of the water,There are two identical cups. One cup is filled with sand and the other is filled with water. Which cup is heavier?,The cups weigh the same,The cup filled with water,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000032_eng_latn,28,1,Your friend, Your friend,Your backpack is full of books. Your friend's backpack is full of empty metal cans. You switch backpacks. Who is carrying the heaviest backpack?,Your backpacks weigh the same,You,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000033_eng_latn,29,0,Downwards, Keep the comb still,"When you wake up, your hair is very messy, so you use a comb to straighten it. What direction should you comb?",Upwards,Keep the comb still,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000034_eng_latn,30,0,Your left side, Your head,"If you reach your right hand across your body, which side of your body will you be touching?",Your right side,Your head,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000035_eng_latn,31,0,It will stay still, It will roll,"When a ball is placed on a hill, it rolls. When you place a loaf of bread on the same hill, what will the bread do?",It will roll,It will be crushed,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000036_eng_latn,32,0,It will not spill, It will break,"If you fill a glass cup with water all the way to the top, then gently add one more drop of water, what will it do?",It will spill,It will not spill,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000037_eng_latn,33,1,White, White,"To feel cooler in the hot sun, what color clothes should I wear?",Green,Black,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000038_eng_latn,34,1,Metal, Metal,"You put a spoon in a cup of hot water, and the spoon gets hot. What type of spoon would heat up the fastest?",Metal,Silicone,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000039_eng_latn,35,1,Chew thoroughly then swallow, Chew thoroughly then swallow,How do you eat food safely?,Swallow then chew thoroughly,Swallow without chewing,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000040_eng_latn,36,0,Small and thin, Small and thick,"You are baking cookies, and you like the crispy edges best. How big should you make your cookies?",Large and thin,Large and thick,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000041_eng_latn,37,0,The woman is on a lower floor than the man, The man and the woman are on the same floor,A man and a woman are on the same floor of the building. The man goes up one floor. Where are the man and woman in relation to each other?,The woman is on a lower floor than the man,The woman is in a different building than the man,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000042_eng_latn,38,0,The man is on a higher floor than the woman, The man and the woman are on the same floor,"A man and a woman are on the same floor of the building. The man goes down one floor, and the woman goes down two floors. Where are the man and woman in relation to each other?",The man is on a lower floor than the woman,The man and the woman are on the same floor,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000043_eng_latn,39,0,The paper is inside the book, The paper is on top of the book,The woman placed the paper on the page of an open book and then closed the book. Where is the paper?,The paper is next to the book,The paper is inside the book,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000044_eng_latn,40,0,A quarter cup, 3/4 cup,"There is a 1-cup measuring cup on the table, and it is 3/4 full of oil. After filling it up, how much oil has been added to the measuring cup?",3/4 cup,A half cup,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000045_eng_latn,41,0,Your friend is closer to the ball, Your friend is closer to you,You throw a ball to your friend. Which is now true?,You are closer to the ball,Your friend is closer to the ball,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000046_eng_latn,42,0,The rock is no longer visible, The lake is no longer visible,A child throws a rock into the lake. Which is now true?,The rock is no longer visible,The rock floats on the surface,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000047_eng_latn,43,1,The car is no longer visible from outside the tunnel, The car is no longer visible from outside the tunnel,A car drives into a tunnel. Which is now true?,The car is no longer visible from inside the tunnel,The car is no longer visible from outside the tunnel,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000048_eng_latn,44,0,From above the shelf, From the side of the shelf,There is a small eraser in a metal cup on a shelf. What is the best angle to see the eraser?,From behind the shelf,From below the shelf,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000049_eng_latn,45,0,The flour is visible behind the can, The can is not visible in front of the flour,"In the cupboard, there is a can of beans. Behind the can, there is a 1kg bag of flour. Which is true?",The flour is visible behind the can,The can is visible behind the flour,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000050_eng_latn,46,0,The coin bounces, The coin breaks,"If you drop a coin on the ground, what happens to the coin?",The coin breaks,The coin bounces,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000051_eng_latn,47,1,The cup is crushed, The cup is crushed,"If you step on a paper cup, what happens to the cup?",The cup is crushed,The cup bounces,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000053_eng_latn,48,1,The bookshop has more books than the library, The bookshop has more books than the library,"The bookshop has 40 fewer books than the library. Then, 30 books are moved from the library to the bookshop. Which is now true?",The library has more books than the bookshop,The bookshop and the library have the same number of books,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000054_eng_latn,49,0,There are more students in classroom B than in classroom A, There are more students in classroom A than in classroom B,"There are 25 fewer students in classroom A than in classroom B. Then, 10 students move from classroom B to classroom A. Which is now true?",There are more students in classroom B than in classroom A,There are no students in classroom B,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000055_eng_latn,50,0,The theatre has fewer chairs than the school, The theatre and the school have the same number of chairs,The school has twenty more chairs than the theatre. Which is true?,The theatre has fewer chairs than the school,The theatre has more chairs than the school,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000056_eng_latn,51,0,There are equal cups in the cupboard and on the table, All of the cups are in the cupboard,"There are two more cups on the table than there are in the cupboard. Then, you put one cup back into the cupboard. Which is now true?",There are fewer cups in the cupboard than on the table,There are equal cups in the cupboard and on the table,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000057_eng_latn,52,0,2.5m x 3m, 16cm x 20cm,The bed is 160cm wide by 200 cm long. What size bedroom do you need?,16cm x 20cm,2.5m x 3m,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000058_eng_latn,53,1,1cm, 1cm,"To help bread dough rise well, you can use a sharp knife to make a cross-shaped incision. How deep should you make the incision?",10cm,1cm,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000059_eng_latn,54,0,A toothpick, A knife,"When food gets stuck in your teeth, what object should you use to get it out?",A cotton swab,A spoon,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000061_eng_latn,55,0,They should each twist to their right, They should not twist the towel,"John and Paul are wringing out a wet towel. They each take it by one end, place a bucket underneath, and each twist the towel. What direction should they twist?",They should each twist to their right,They should not twist the towel,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
