global_step,epoch,stage_length,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
60,0,256,301,39752,55601,8568,5,2400234
61,0,256,301,39333,55203,8289,5,2439567
62,0,256,301,38793,54687,8237,5,2478360
63,0,256,301,38878,54290,8156,5,2517238
64,0,256,301,39707,55515,8157,5,2556945
65,0,256,301,39185,54568,8112,5,2596130
66,0,256,301,38279,53545,8244,5,2634409
67,0,256,301,39778,55370,8399,5,2674187
68,0,256,301,38702,54759,8108,5,2712889
69,0,256,301,38976,55170,8262,5,2751865
70,0,256,301,39930,55851,8200,5,2791795
71,0,256,301,39887,55232,8348,5,2831682
72,0,256,301,38717,54152,8185,5,2870399
73,0,256,301,38553,53450,7900,5,2908952
74,0,256,301,39159,54880,8319,5,2948111
75,0,256,301,38665,54447,8135,5,2986776
76,0,256,301,40372,56430,8717,5,3027148
77,0,256,301,39150,54370,7992,5,3066298
78,0,256,301,39884,55646,8369,5,3106182
79,0,256,301,39716,55688,8534,5,3145898
80,0,256,301,39682,55017,8060,5,3185580
81,0,256,301,39659,55861,8370,5,3225239
82,0,256,301,40456,56241,8547,5,3265695
83,0,256,301,39396,54485,8142,5,3305091
84,0,256,301,39867,55439,8195,5,3344958
85,0,256,301,39282,54596,8150,5,3384240
86,0,256,301,38722,53825,7991,5,3422962
87,0,256,301,39213,55370,8251,5,3462175
88,0,256,301,39013,54694,8234,5,3501188
89,0,256,301,38228,54150,8185,5,3539416
90,0,256,301,38958,54927,8236,5,3578374
91,0,256,301,39816,56074,8264,5,3618190
92,0,256,301,40590,56054,8419,5,3658780
93,0,256,301,39737,55420,8300,5,3698517
94,0,256,301,38737,54542,8116,5,3737254
95,0,256,301,38939,54104,7973,5,3776193
96,0,256,301,38072,52757,7980,5,3814265
97,0,256,301,40109,55882,8136,5,3854374
98,0,256,301,40465,56241,8497,5,3894839
99,0,256,301,39623,55869,8487,5,3934462
100,0,256,301,39102,55053,8400,5,3973564
101,0,256,301,39081,54867,8411,5,4012645
102,0,256,301,39210,55056,8236,5,4051855
103,0,256,301,38455,54092,7976,5,4090310
104,0,256,301,38826,55054,8147,5,4129136
105,0,256,301,39201,54782,8057,5,4168337
106,0,256,301,40866,56084,8645,5,4209203
107,0,256,301,39464,54904,8365,5,4248667
108,0,256,301,39797,55117,8148,5,4288464
109,0,256,301,39412,54918,8189,5,4327876
110,0,256,301,38392,53685,8264,5,4366268
111,0,256,301,39758,55043,8128,5,4406026
112,0,256,301,38776,54579,8259,5,4444802
113,0,256,301,40345,55937,8224,5,4485147
114,0,256,301,39642,55570,8343,5,4524789
115,0,256,301,40669,56157,8221,5,4565458
116,0,256,301,39604,55542,8270,5,4605062
117,0,256,301,39430,54873,8228,5,4644492
118,0,256,301,39621,55493,8110,5,4684113
119,0,256,301,39169,54254,8075,5,4723282
120,0,256,301,39203,54546,8186,5,4762485
121,0,256,301,40065,56157,8322,5,4802550
122,0,256,301,40547,55991,8406,5,4843097
123,0,256,301,38784,54979,8125,5,4881881
124,0,256,301,40514,55986,8438,5,4922395
125,0,256,301,38785,54603,8265,5,4961180
126,0,256,301,39136,54839,8365,5,5000316
127,0,256,301,39716,56074,8414,5,5040032
128,0,256,301,40043,55654,8183,5,5080075
129,0,256,301,40306,54995,8341,5,5120381
130,0,256,301,39782,55623,8309,5,5160163
131,0,256,301,39056,54457,8412,5,5199219
132,0,256,301,39747,55159,8451,5,5238966
133,0,256,301,39174,55108,8022,5,5278140
134,0,256,301,39092,55183,8199,5,5317232
135,0,256,301,38911,54696,8160,5,5356143
136,0,256,301,38896,55183,8389,5,5395039
137,0,256,301,39417,55176,8233,5,5434456
138,0,256,301,40325,56498,8269,5,5474781
139,0,256,301,38396,54151,8041,5,5513177
140,0,256,301,39286,54636,8412,5,5552463
141,0,256,301,39379,54620,8252,5,5591842
142,0,256,301,38431,54282,8152,5,5630273
143,0,256,301,39379,54823,8151,5,5669652
144,0,256,301,40022,55554,8386,5,5709674
145,0,256,301,38539,54402,8154,5,5748213
146,0,256,301,39410,54949,8226,5,5787623
147,0,256,301,39834,55435,8165,5,5827457
148,0,256,301,38486,54335,8191,5,5865943
149,0,256,301,37796,53175,8037,5,5903739
150,0,256,301,39287,55338,8468,5,5943026
151,0,256,301,38451,53735,8246,5,5981477
152,0,256,301,39353,55367,8400,5,6020830
153,0,256,301,40621,55882,8470,5,6061451
154,0,256,301,40267,55732,8410,5,6101718
155,0,256,301,39802,55186,8491,5,6141520
156,0,256,301,38589,54223,8160,5,6180109
157,0,256,301,39231,54667,8170,5,6219340
158,0,256,301,38714,54860,8084,5,6258054
159,0,256,301,40867,56630,8568,5,6298921
160,0,256,301,39247,54793,8433,5,6338168
161,0,256,301,39123,55842,8196,5,6377291
162,0,256,301,40771,56624,8711,5,6418062
163,0,256,301,39795,55445,8425,5,6457857
164,0,256,301,39554,54591,8275,5,6497411
165,0,256,301,39058,54666,8064,5,6536469
166,0,256,301,39814,54727,8216,5,6576283
167,0,256,301,39662,54851,8082,5,6615945
168,0,256,301,38451,54271,8012,5,6654396
169,0,256,301,40386,56929,8394,5,6694782
170,0,256,301,39694,55475,8416,5,6734476
171,0,256,301,39274,55365,8189,5,6773750
172,0,256,301,40328,56338,8446,5,6814078
173,0,256,301,38948,55151,8299,5,6853026
174,0,256,301,38252,54401,8230,5,6891278
175,0,256,301,40192,56070,8308,5,6931470
176,0,256,301,40097,56396,8508,5,6971567
177,0,256,301,39788,54958,8305,5,7011355
178,0,256,301,39836,54842,8207,5,7051191
179,0,256,301,38497,54627,8245,5,7089688
180,0,256,301,38235,53631,8014,5,7127923
181,0,256,301,38350,54137,8204,5,7166273
182,0,256,301,40010,55780,8350,5,7206283
183,0,256,301,39709,56245,8543,5,7245992
184,0,256,301,40113,55636,8412,5,7286105
185,0,256,301,38654,54569,8198,5,7324759
186,0,256,301,39441,55261,8160,5,7364200
187,0,256,301,38987,55131,8329,5,7403187
188,0,256,301,37306,53558,8179,5,7440493
189,0,256,301,37456,53593,7824,5,7477949
190,0,256,301,39796,55413,8358,5,7517745
191,0,256,301,38973,54115,8323,5,7556718
192,0,256,301,38635,54427,7922,5,7595353
193,0,256,301,40246,55748,8293,5,7635599
194,0,256,301,38536,54952,8304,5,7674135
195,0,256,301,38920,54572,8145,5,7713055
196,0,256,301,40069,56075,8464,5,7753124
197,0,256,301,39008,54890,8460,5,7792132
198,0,256,301,39596,55589,8344,5,7831728
199,0,256,301,40011,55724,8335,5,7871739
200,0,256,301,38245,54395,8134,5,7909984
201,0,256,301,40283,55971,8306,5,7950267
202,0,256,301,40021,56036,8290,5,7990288
203,0,256,301,39448,55466,8454,5,8029736
204,0,256,301,39135,54603,8368,5,8068871
205,0,256,301,39923,55128,8346,5,8108794
206,0,256,301,40295,56098,8282,5,8149089
207,0,256,301,40355,56045,8338,5,8189444
208,0,256,301,38669,54909,8185,5,8228113
209,0,256,301,40426,56561,8338,5,8268539
210,0,256,301,38454,53920,8196,5,8306993
211,0,256,301,39493,55088,8278,5,8346486
212,0,256,301,39388,54435,8298,5,8385874
213,0,256,301,40770,56740,8567,5,8426644
214,0,256,301,40382,56351,8688,5,8467026
215,0,256,301,39141,55073,8234,5,8506167
216,0,256,301,39891,55984,8283,5,8546058
217,0,256,301,37940,53776,8217,5,8583998
218,0,256,301,39080,55221,8058,5,8623078
219,0,256,301,39889,56226,8644,5,8662967
220,0,256,301,38259,54312,8220,5,8701226
221,0,256,301,39344,54859,8417,5,8740570
222,0,256,301,38778,54459,8269,5,8779348
223,0,256,301,39639,54928,8176,5,8818987
224,0,256,301,37776,53247,7848,5,8856763
225,0,256,301,39032,54872,8306,5,8895795
226,0,256,301,39754,55464,8195,5,8935549
227,0,256,301,39191,54743,8208,5,8974740
228,0,256,301,38700,54298,8155,5,9013440
229,0,256,301,40222,55645,8408,5,9053662
230,0,256,301,38626,54160,8293,5,9092288
231,0,256,301,38527,54268,8124,5,9130815
232,0,256,301,38909,54231,8227,5,9169724
233,0,256,301,39315,54309,8144,5,9209039
234,0,256,301,40061,55027,8345,5,9249100
235,0,256,301,38977,55210,8310,5,9288077
236,0,256,301,39521,55151,8314,5,9327598
237,0,256,301,37831,53983,8092,5,9365429
238,0,256,301,39853,55557,8306,5,9405282
239,0,256,301,39274,54662,8189,5,9444556
240,0,256,301,38995,54526,8152,5,9483551
241,0,256,301,39367,54843,8155,5,9522918
242,0,256,301,41307,56568,8449,5,9564225
243,0,256,301,39489,55497,8302,5,9603714
244,0,256,301,39975,55390,8373,5,9643689
245,0,256,301,39097,54798,8105,5,9682786
246,0,256,301,40066,55774,8569,5,9722852
247,0,256,301,39849,55797,8334,5,9762701
248,0,256,301,39518,55477,8432,5,9802219
249,0,256,301,39460,54787,8335,5,9841679
250,0,256,301,40093,55962,8321,5,9881772
251,0,256,301,39847,55226,8151,5,9921619
252,0,256,301,38978,54733,8200,5,9960597
253,0,256,301,39403,55274,8196,5,10000000
