pair_id,overlap_bin,target_key,target_word,token_class,token_id_occurs_in_source,surface_word_class
wikilarge_01963191926527b51b32,medium,wikilarge_01963191926527b51b32:2,constructed,overlap,True,overlap
wikilarge_01963191926527b51b32,medium,wikilarge_01963191926527b51b32:4,used,nonoverlap,False,nonoverlap
wikilarge_01963191926527b51b32,medium,wikilarge_01963191926527b51b32:5,now,nonoverlap,False,nonoverlap
wikilarge_01d00fc38d7168edc816,high,wikilarge_01d00fc38d7168edc816:2,armed,overlap,True,overlap
wikilarge_01d00fc38d7168edc816,high,wikilarge_01d00fc38d7168edc816:10,put,nonoverlap,False,nonoverlap
wikilarge_01d00fc38d7168edc816,high,wikilarge_01d00fc38d7168edc816:13,king,nonoverlap,False,overlap
wikilarge_01d0a0c7c5a04adafc96,medium,wikilarge_01d0a0c7c5a04adafc96:5,russian,overlap,True,overlap
wikilarge_01d0a0c7c5a04adafc96,medium,wikilarge_01d0a0c7c5a04adafc96:6,football,nonoverlap,False,nonoverlap
wikilarge_01d0a0c7c5a04adafc96,medium,wikilarge_01d0a0c7c5a04adafc96:7,player,nonoverlap,False,nonoverlap
wikilarge_01deb315f61ee218a026,low,wikilarge_01deb315f61ee218a026:3,linked,nonoverlap,False,nonoverlap
wikilarge_01deb315f61ee218a026,low,wikilarge_01deb315f61ee218a026:6,sometimes,nonoverlap,False,nonoverlap
wikilarge_01deb315f61ee218a026,low,wikilarge_01deb315f61ee218a026:7,illegal,overlap,True,overlap
wikilarge_021295bbacea698397ba,low,wikilarge_021295bbacea698397ba:0,after,nonoverlap,False,overlap
wikilarge_021295bbacea698397ba,low,wikilarge_021295bbacea698397ba:4,word,nonoverlap,False,nonoverlap
wikilarge_021295bbacea698397ba,low,wikilarge_021295bbacea698397ba:5,royal,overlap,True,overlap
wikilarge_0245cd311ae74fa40bbd,medium,wikilarge_0245cd311ae74fa40bbd:3,february,overlap,True,overlap
wikilarge_0245cd311ae74fa40bbd,medium,wikilarge_0245cd311ae74fa40bbd:4,football,nonoverlap,False,nonoverlap
wikilarge_0245cd311ae74fa40bbd,medium,wikilarge_0245cd311ae74fa40bbd:5,player,nonoverlap,False,nonoverlap
wikilarge_025d7f3375e0e8db9d4b,medium,wikilarge_025d7f3375e0e8db9d4b:2,reading,nonoverlap,False,nonoverlap
wikilarge_025d7f3375e0e8db9d4b,medium,wikilarge_025d7f3375e0e8db9d4b:5,liked,nonoverlap,False,nonoverlap
wikilarge_025d7f3375e0e8db9d4b,medium,wikilarge_025d7f3375e0e8db9d4b:6,school,overlap,True,overlap
wikilarge_02608c33926d43278a7a,low,wikilarge_02608c33926d43278a7a:7,recording,nonoverlap,False,nonoverlap
wikilarge_02608c33926d43278a7a,low,wikilarge_02608c33926d43278a7a:13,first,overlap,True,overlap
wikilarge_02608c33926d43278a7a,low,wikilarge_02608c33926d43278a7a:14,time,nonoverlap,False,nonoverlap
wikilarge_028161d957f2e275df66,medium,wikilarge_028161d957f2e275df66:0,there,nonoverlap,False,nonoverlap
wikilarge_028161d957f2e275df66,medium,wikilarge_028161d957f2e275df66:2,main,nonoverlap,False,nonoverlap
wikilarge_028161d957f2e275df66,medium,wikilarge_028161d957f2e275df66:9,common,overlap,True,overlap
wikilarge_02ac3e9ff647afbc89fa,medium,wikilarge_02ac3e9ff647afbc89fa:1,supposed,nonoverlap,False,nonoverlap
wikilarge_02ac3e9ff647afbc89fa,medium,wikilarge_02ac3e9ff647afbc89fa:4,patience,overlap,True,overlap
wikilarge_02ac3e9ff647afbc89fa,medium,wikilarge_02ac3e9ff647afbc89fa:6,things,nonoverlap,False,nonoverlap
wikilarge_032b5128576efdfe09ff,medium,wikilarge_032b5128576efdfe09ff:0,called,nonoverlap,False,nonoverlap
wikilarge_032b5128576efdfe09ff,medium,wikilarge_032b5128576efdfe09ff:4,names,nonoverlap,False,nonoverlap
wikilarge_032b5128576efdfe09ff,medium,wikilarge_032b5128576efdfe09ff:8,end,overlap,True,overlap
wikilarge_0348af3f28368f351953,low,wikilarge_0348af3f28368f351953:0,fall,nonoverlap,False,overlap
wikilarge_0348af3f28368f351953,low,wikilarge_0348af3f28368f351953:1,students,overlap,True,overlap
wikilarge_0348af3f28368f351953,low,wikilarge_0348af3f28368f351953:3,there,nonoverlap,False,nonoverlap
wikilarge_039d146fba4f38d43db8,high,wikilarge_039d146fba4f38d43db8:7,area,nonoverlap,False,nonoverlap
wikilarge_039d146fba4f38d43db8,high,wikilarge_039d146fba4f38d43db8:10,went,nonoverlap,False,nonoverlap
wikilarge_039d146fba4f38d43db8,high,wikilarge_039d146fba4f38d43db8:11,school,overlap,True,nonoverlap
wikilarge_03eb30cd994801d8f163,low,wikilarge_03eb30cd994801d8f163:1,teams,overlap,True,overlap
wikilarge_03eb30cd994801d8f163,low,wikilarge_03eb30cd994801d8f163:3,play,nonoverlap,False,nonoverlap
wikilarge_03eb30cd994801d8f163,low,wikilarge_03eb30cd994801d8f163:4,against,nonoverlap,False,nonoverlap
wikilarge_03f7885168cad27e61c7,medium,wikilarge_03f7885168cad27e61c7:0,found,nonoverlap,False,nonoverlap
wikilarge_03f7885168cad27e61c7,medium,wikilarge_03f7885168cad27e61c7:3,which,nonoverlap,False,nonoverlap
wikilarge_03f7885168cad27e61c7,medium,wikilarge_03f7885168cad27e61c7:6,river,overlap,True,overlap
wikilarge_044412403dd9a49a4c05,high,wikilarge_044412403dd9a49a4c05:0,may,nonoverlap,False,nonoverlap
wikilarge_044412403dd9a49a4c05,high,wikilarge_044412403dd9a49a4c05:5,boundaries,overlap,True,overlap
wikilarge_044412403dd9a49a4c05,high,wikilarge_044412403dd9a49a4c05:11,well,nonoverlap,False,nonoverlap
wikilarge_0469802d93facfc0e4a0,low,wikilarge_0469802d93facfc0e4a0:3,mix,nonoverlap,False,nonoverlap
wikilarge_0469802d93facfc0e4a0,low,wikilarge_0469802d93facfc0e4a0:10,thick,nonoverlap,False,nonoverlap
wikilarge_0469802d93facfc0e4a0,low,wikilarge_0469802d93facfc0e4a0:21,sugar,overlap,True,overlap
wikilarge_04ccb679b5e877ff63b7,medium,wikilarge_04ccb679b5e877ff63b7:0,family,overlap,True,overlap
wikilarge_04ccb679b5e877ff63b7,medium,wikilarge_04ccb679b5e877ff63b7:2,often,nonoverlap,False,nonoverlap
wikilarge_04ccb679b5e877ff63b7,medium,wikilarge_04ccb679b5e877ff63b7:3,pay,nonoverlap,False,nonoverlap
wikilarge_04f79f60b863b4b10408,medium,wikilarge_04f79f60b863b4b10408:0,particularly,nonoverlap,False,nonoverlap
wikilarge_04f79f60b863b4b10408,medium,wikilarge_04f79f60b863b4b10408:8,performances,nonoverlap,False,nonoverlap
wikilarge_04f79f60b863b4b10408,medium,wikilarge_04f79f60b863b4b10408:10,garden,overlap,True,overlap
wikilarge_05645f9b18529a59b12c,low,wikilarge_05645f9b18529a59b12c:4,people,nonoverlap,False,nonoverlap
wikilarge_05645f9b18529a59b12c,low,wikilarge_05645f9b18529a59b12c:5,one,nonoverlap,False,nonoverlap
wikilarge_05645f9b18529a59b12c,low,wikilarge_05645f9b18529a59b12c:11,live,overlap,True,overlap
wikilarge_058fa5bc423b9c54120e,high,wikilarge_058fa5bc423b9c54120e:2,pole,overlap,True,overlap
wikilarge_058fa5bc423b9c54120e,high,wikilarge_058fa5bc423b9c54120e:9,used,nonoverlap,False,nonoverlap
wikilarge_058fa5bc423b9c54120e,high,wikilarge_058fa5bc423b9c54120e:10,often,nonoverlap,False,nonoverlap
wikilarge_05bac544cf85059f8c41,high,wikilarge_05bac544cf85059f8c41:5,less,nonoverlap,False,nonoverlap
wikilarge_05bac544cf85059f8c41,high,wikilarge_05bac544cf85059f8c41:7,after,nonoverlap,False,nonoverlap
wikilarge_05bac544cf85059f8c41,high,wikilarge_05bac544cf85059f8c41:9,over,overlap,True,overlap
wikilarge_05bc3de2b05690677cfc,medium,wikilarge_05bc3de2b05690677cfc:1,may,nonoverlap,False,nonoverlap
wikilarge_05bc3de2b05690677cfc,medium,wikilarge_05bc3de2b05690677cfc:2,gotten,nonoverlap,False,nonoverlap
wikilarge_05bc3de2b05690677cfc,medium,wikilarge_05bc3de2b05690677cfc:10,gave,overlap,True,overlap
wikilarge_05d4fcf486d84e919915,medium,wikilarge_05d4fcf486d84e919915:3,western,overlap,True,overlap
wikilarge_05d4fcf486d84e919915,medium,wikilarge_05d4fcf486d84e919915:5,there,nonoverlap,False,nonoverlap
wikilarge_05d4fcf486d84e919915,medium,wikilarge_05d4fcf486d84e919915:8,show,nonoverlap,False,nonoverlap
wikilarge_05e882dd67db2495f2db,high,wikilarge_05e882dd67db2495f2db:2,used,overlap,True,overlap
wikilarge_05e882dd67db2495f2db,high,wikilarge_05e882dd67db2495f2db:3,giving,nonoverlap,False,nonoverlap
wikilarge_05e882dd67db2495f2db,high,wikilarge_05e882dd67db2495f2db:4,signals,nonoverlap,False,nonoverlap
wikilarge_064aa0978f99c333e008,low,wikilarge_064aa0978f99c333e008:0,made,nonoverlap,False,nonoverlap
wikilarge_064aa0978f99c333e008,low,wikilarge_064aa0978f99c333e008:1,windows,overlap,True,overlap
wikilarge_064aa0978f99c333e008,low,wikilarge_064aa0978f99c333e008:5,used,nonoverlap,False,nonoverlap
wikilarge_0717af2878f88427f58d,medium,wikilarge_0717af2878f88427f58d:0,story,overlap,True,overlap
wikilarge_0717af2878f88427f58d,medium,wikilarge_0717af2878f88427f58d:1,became,nonoverlap,False,nonoverlap
wikilarge_0717af2878f88427f58d,medium,wikilarge_0717af2878f88427f58d:9,called,nonoverlap,False,nonoverlap
wikilarge_0729e6faeba92f172f6d,medium,wikilarge_0729e6faeba92f172f6d:14,state,overlap,True,overlap
wikilarge_0729e6faeba92f172f6d,medium,wikilarge_0729e6faeba92f172f6d:19,named,nonoverlap,False,nonoverlap
wikilarge_0729e6faeba92f172f6d,medium,wikilarge_0729e6faeba92f172f6d:20,state,nonoverlap,False,overlap
wikilarge_07352487ce7baa103ca1,medium,wikilarge_07352487ce7baa103ca1:0,modern,nonoverlap,False,nonoverlap
wikilarge_07352487ce7baa103ca1,medium,wikilarge_07352487ce7baa103ca1:3,used,nonoverlap,False,nonoverlap
wikilarge_07352487ce7baa103ca1,medium,wikilarge_07352487ce7baa103ca1:4,even,overlap,True,overlap
wikilarge_07363caf55a579bb49b7,high,wikilarge_07363caf55a579bb49b7:1,theory,overlap,True,overlap
wikilarge_07363caf55a579bb49b7,high,wikilarge_07363caf55a579bb49b7:9,which,nonoverlap,False,nonoverlap
wikilarge_07363caf55a579bb49b7,high,wikilarge_07363caf55a579bb49b7:11,share,nonoverlap,False,nonoverlap
wikilarge_07665f4f69a08f7583b3,high,wikilarge_07665f4f69a08f7583b3:3,there,nonoverlap,False,nonoverlap
wikilarge_07665f4f69a08f7583b3,high,wikilarge_07665f4f69a08f7583b3:4,attended,overlap,True,overlap
wikilarge_07665f4f69a08f7583b3,high,wikilarge_07665f4f69a08f7583b3:7,doing,nonoverlap,False,nonoverlap
wikilarge_07673aab5c8a8bc2f00c,high,wikilarge_07673aab5c8a8bc2f00c:4,shooting,overlap,True,overlap
wikilarge_07673aab5c8a8bc2f00c,high,wikilarge_07673aab5c8a8bc2f00c:5,incident,nonoverlap,False,nonoverlap
wikilarge_07673aab5c8a8bc2f00c,high,wikilarge_07673aab5c8a8bc2f00c:7,which,nonoverlap,False,nonoverlap
wikilarge_07812864dfdd37334323,medium,wikilarge_07812864dfdd37334323:4,made,nonoverlap,False,nonoverlap
wikilarge_07812864dfdd37334323,medium,wikilarge_07812864dfdd37334323:9,last,nonoverlap,False,nonoverlap
wikilarge_07812864dfdd37334323,medium,wikilarge_07812864dfdd37334323:13,later,overlap,True,overlap
wikilarge_079efdbb35485aa05009,high,wikilarge_079efdbb35485aa05009:5,depends,nonoverlap,False,nonoverlap
wikilarge_079efdbb35485aa05009,high,wikilarge_079efdbb35485aa05009:6,who,overlap,True,overlap
wikilarge_079efdbb35485aa05009,high,wikilarge_079efdbb35485aa05009:7,uses,nonoverlap,False,nonoverlap
wikilarge_07bc0a1adefcc7f2a320,medium,wikilarge_07bc0a1adefcc7f2a320:2,used,nonoverlap,False,nonoverlap
wikilarge_07bc0a1adefcc7f2a320,medium,wikilarge_07bc0a1adefcc7f2a320:3,women,nonoverlap,False,nonoverlap
wikilarge_07bc0a1adefcc7f2a320,medium,wikilarge_07bc0a1adefcc7f2a320:10,man,overlap,True,overlap
wikilarge_07e09b9434664f675455,medium,wikilarge_07e09b9434664f675455:3,companies,nonoverlap,False,nonoverlap
wikilarge_07e09b9434664f675455,medium,wikilarge_07e09b9434664f675455:5,white,overlap,True,overlap
wikilarge_07e09b9434664f675455,medium,wikilarge_07e09b9434664f675455:16,making,nonoverlap,False,nonoverlap
wikilarge_0831a23d7c19f6477843,low,wikilarge_0831a23d7c19f6477843:1,first,nonoverlap,False,nonoverlap
wikilarge_0831a23d7c19f6477843,low,wikilarge_0831a23d7c19f6477843:4,playing,nonoverlap,False,nonoverlap
wikilarge_0831a23d7c19f6477843,low,wikilarge_0831a23d7c19f6477843:11,league,overlap,True,overlap
wikilarge_083afe8ff7188031a3a0,medium,wikilarge_083afe8ff7188031a3a0:1,track,nonoverlap,False,nonoverlap
wikilarge_083afe8ff7188031a3a0,medium,wikilarge_083afe8ff7188031a3a0:2,people,nonoverlap,False,nonoverlap
wikilarge_083afe8ff7188031a3a0,medium,wikilarge_083afe8ff7188031a3a0:6,fields,overlap,True,overlap
wikilarge_085eaa08bb9680ac78e5,high,wikilarge_085eaa08bb9680ac78e5:1,start,nonoverlap,False,nonoverlap
wikilarge_085eaa08bb9680ac78e5,high,wikilarge_085eaa08bb9680ac78e5:20,help,nonoverlap,False,nonoverlap
wikilarge_085eaa08bb9680ac78e5,high,wikilarge_085eaa08bb9680ac78e5:23,parks,overlap,True,overlap
wikilarge_0897c6ac58737ebc7d05,medium,wikilarge_0897c6ac58737ebc7d05:2,operate,nonoverlap,False,nonoverlap
wikilarge_0897c6ac58737ebc7d05,medium,wikilarge_0897c6ac58737ebc7d05:8,bot,overlap,True,overlap
wikilarge_0897c6ac58737ebc7d05,medium,wikilarge_0897c6ac58737ebc7d05:12,changes,nonoverlap,False,nonoverlap
wikilarge_08af6d171eb07072d9ff,high,wikilarge_08af6d171eb07072d9ff:3,traditional,nonoverlap,False,nonoverlap
wikilarge_08af6d171eb07072d9ff,high,wikilarge_08af6d171eb07072d9ff:11,northern,overlap,True,overlap
wikilarge_08af6d171eb07072d9ff,high,wikilarge_08af6d171eb07072d9ff:13,get,nonoverlap,False,nonoverlap
wikilarge_091704c7fbd60ab88a99,low,wikilarge_091704c7fbd60ab88a99:2,wave,overlap,True,overlap
wikilarge_091704c7fbd60ab88a99,low,wikilarge_091704c7fbd60ab88a99:10,developed,nonoverlap,False,nonoverlap
wikilarge_091704c7fbd60ab88a99,low,wikilarge_091704c7fbd60ab88a99:11,earlier,nonoverlap,False,nonoverlap
wikilarge_0934b20ac81209b866d9,low,wikilarge_0934b20ac81209b866d9:0,singapore,overlap,True,overlap
wikilarge_0934b20ac81209b866d9,low,wikilarge_0934b20ac81209b866d9:1,joined,nonoverlap,False,nonoverlap
wikilarge_0934b20ac81209b866d9,low,wikilarge_0934b20ac81209b866d9:5,form,nonoverlap,False,nonoverlap
wikilarge_09aac278e4e6c1de5c69,medium,wikilarge_09aac278e4e6c1de5c69:0,command,nonoverlap,False,nonoverlap
wikilarge_09aac278e4e6c1de5c69,medium,wikilarge_09aac278e4e6c1de5c69:1,military,overlap,True,overlap
wikilarge_09aac278e4e6c1de5c69,medium,wikilarge_09aac278e4e6c1de5c69:2,use,nonoverlap,False,nonoverlap
wikilarge_09cf69380914124d2b47,medium,wikilarge_09cf69380914124d2b47:4,polish,overlap,True,overlap
wikilarge_09cf69380914124d2b47,medium,wikilarge_09cf69380914124d2b47:5,football,nonoverlap,False,nonoverlap
wikilarge_09cf69380914124d2b47,medium,wikilarge_09cf69380914124d2b47:6,player,nonoverlap,False,nonoverlap
wikilarge_09d6985aa1a1d6cb13c5,medium,wikilarge_09d6985aa1a1d6cb13c5:1,pictures,nonoverlap,False,nonoverlap
wikilarge_09d6985aa1a1d6cb13c5,medium,wikilarge_09d6985aa1a1d6cb13c5:4,between,nonoverlap,False,nonoverlap
wikilarge_09d6985aa1a1d6cb13c5,medium,wikilarge_09d6985aa1a1d6cb13c5:11,instruments,overlap,True,overlap
wikilarge_0a8dcad5f5fcdcb3a5e4,low,wikilarge_0a8dcad5f5fcdcb3a5e4:0,technologies,nonoverlap,False,nonoverlap
wikilarge_0a8dcad5f5fcdcb3a5e4,low,wikilarge_0a8dcad5f5fcdcb3a5e4:1,based,nonoverlap,False,nonoverlap
wikilarge_0a8dcad5f5fcdcb3a5e4,low,wikilarge_0a8dcad5f5fcdcb3a5e4:7,computers,overlap,True,overlap
wikilarge_0aa591c12df56feb144f,medium,wikilarge_0aa591c12df56feb144f:0,people,nonoverlap,False,nonoverlap
wikilarge_0aa591c12df56feb144f,medium,wikilarge_0aa591c12df56feb144f:4,when,nonoverlap,False,nonoverlap
wikilarge_0aa591c12df56feb144f,medium,wikilarge_0aa591c12df56feb144f:13,john,overlap,True,overlap
wikilarge_0ad4c309d27e4a0aa9a6,high,wikilarge_0ad4c309d27e4a0aa9a6:0,fifa,overlap,True,overlap
wikilarge_0ad4c309d27e4a0aa9a6,high,wikilarge_0ad4c309d27e4a0aa9a6:3,football,nonoverlap,False,nonoverlap
wikilarge_0ad4c309d27e4a0aa9a6,high,wikilarge_0ad4c309d27e4a0aa9a6:5,event,nonoverlap,False,nonoverlap
wikilarge_0aedb093852e55a577c5,medium,wikilarge_0aedb093852e55a577c5:0,consists,nonoverlap,False,nonoverlap
wikilarge_0aedb093852e55a577c5,medium,wikilarge_0aedb093852e55a577c5:1,island,nonoverlap,False,overlap
wikilarge_0aedb093852e55a577c5,medium,wikilarge_0aedb093852e55a577c5:2,saint,overlap,True,overlap
wikilarge_0b82a960d307f2caf749,high,wikilarge_0b82a960d307f2caf749:8,long,overlap,True,overlap
wikilarge_0b82a960d307f2caf749,high,wikilarge_0b82a960d307f2caf749:12,brief,nonoverlap,False,nonoverlap
wikilarge_0b82a960d307f2caf749,high,wikilarge_0b82a960d307f2caf749:13,warm,nonoverlap,False,nonoverlap
wikilarge_0c9902af667a9db27096,high,wikilarge_0c9902af667a9db27096:3,start,nonoverlap,False,nonoverlap
wikilarge_0c9902af667a9db27096,high,wikilarge_0c9902af667a9db27096:4,good,nonoverlap,False,nonoverlap
wikilarge_0c9902af667a9db27096,high,wikilarge_0c9902af667a9db27096:8,decade,overlap,True,overlap
wikilarge_0cc7d19b4b422bd4bad2,high,wikilarge_0cc7d19b4b422bd4bad2:9,schools,overlap,True,overlap
wikilarge_0cc7d19b4b422bd4bad2,high,wikilarge_0cc7d19b4b422bd4bad2:14,sometimes,nonoverlap,False,nonoverlap
wikilarge_0cc7d19b4b422bd4bad2,high,wikilarge_0cc7d19b4b422bd4bad2:20,education,nonoverlap,False,nonoverlap
wikilarge_0cd1bd40d1e34592e571,medium,wikilarge_0cd1bd40d1e34592e571:0,became,nonoverlap,False,nonoverlap
wikilarge_0cd1bd40d1e34592e571,medium,wikilarge_0cd1bd40d1e34592e571:1,famous,nonoverlap,False,nonoverlap
wikilarge_0cd1bd40d1e34592e571,medium,wikilarge_0cd1bd40d1e34592e571:6,dark,overlap,True,overlap
wikilarge_0cdf23ac731791d57a02,medium,wikilarge_0cdf23ac731791d57a02:5,because,nonoverlap,False,nonoverlap
wikilarge_0cdf23ac731791d57a02,medium,wikilarge_0cdf23ac731791d57a02:6,always,nonoverlap,False,nonoverlap
wikilarge_0cdf23ac731791d57a02,medium,wikilarge_0cdf23ac731791d57a02:9,while,overlap,True,overlap
wikilarge_0d0086d6fb2d65b544a1,medium,wikilarge_0d0086d6fb2d65b544a1:0,record,overlap,True,overlap
wikilarge_0d0086d6fb2d65b544a1,medium,wikilarge_0d0086d6fb2d65b544a1:2,people,nonoverlap,False,nonoverlap
wikilarge_0d0086d6fb2d65b544a1,medium,wikilarge_0d0086d6fb2d65b544a1:7,match,nonoverlap,False,nonoverlap
wikilarge_0d4fbc585caa23b3a121,low,wikilarge_0d4fbc585caa23b3a121:15,something,nonoverlap,False,nonoverlap
wikilarge_0d4fbc585caa23b3a121,low,wikilarge_0d4fbc585caa23b3a121:17,electricity,nonoverlap,False,nonoverlap
wikilarge_0d4fbc585caa23b3a121,low,wikilarge_0d4fbc585caa23b3a121:21,solution,overlap,True,overlap
wikilarge_0d6880b3cf11a803324a,medium,wikilarge_0d6880b3cf11a803324a:1,instruments,nonoverlap,False,nonoverlap
wikilarge_0d6880b3cf11a803324a,medium,wikilarge_0d6880b3cf11a803324a:2,combined,overlap,True,overlap
wikilarge_0d6880b3cf11a803324a,medium,wikilarge_0d6880b3cf11a803324a:5,nature,nonoverlap,False,nonoverlap
wikilarge_0d8b192f72b88c1bd973,low,wikilarge_0d8b192f72b88c1bd973:0,teacher,nonoverlap,False,nonoverlap
wikilarge_0d8b192f72b88c1bd973,low,wikilarge_0d8b192f72b88c1bd973:3,school,nonoverlap,False,nonoverlap
wikilarge_0d8b192f72b88c1bd973,low,wikilarge_0d8b192f72b88c1bd973:4,years,overlap,True,overlap
wikilarge_0e184b0a083e9fcb9117,low,wikilarge_0e184b0a083e9fcb9117:2,merged,overlap,True,overlap
wikilarge_0e184b0a083e9fcb9117,low,wikilarge_0e184b0a083e9fcb9117:7,started,nonoverlap,False,nonoverlap
wikilarge_0e184b0a083e9fcb9117,low,wikilarge_0e184b0a083e9fcb9117:9,passengers,nonoverlap,False,nonoverlap
wikilarge_0e1da604879bfb63b6c2,high,wikilarge_0e1da604879bfb63b6c2:0,soon,nonoverlap,False,nonoverlap
wikilarge_0e1da604879bfb63b6c2,high,wikilarge_0e1da604879bfb63b6c2:2,surrender,nonoverlap,False,nonoverlap
wikilarge_0e1da604879bfb63b6c2,high,wikilarge_0e1da604879bfb63b6c2:3,germany,overlap,True,overlap
wikilarge_0e3219ec90f9aee6530c,high,wikilarge_0e3219ec90f9aee6530c:2,found,nonoverlap,False,nonoverlap
wikilarge_0e3219ec90f9aee6530c,high,wikilarge_0e3219ec90f9aee6530c:9,drinking,overlap,True,overlap
wikilarge_0e3219ec90f9aee6530c,high,wikilarge_0e3219ec90f9aee6530c:11,behavior,nonoverlap,False,nonoverlap
wikilarge_0e582167bf00121f9e62,medium,wikilarge_0e582167bf00121f9e62:9,government,overlap,True,overlap
wikilarge_0e582167bf00121f9e62,medium,wikilarge_0e582167bf00121f9e62:14,army,nonoverlap,False,nonoverlap
wikilarge_0e582167bf00121f9e62,medium,wikilarge_0e582167bf00121f9e62:16,keep,nonoverlap,False,nonoverlap
wikilarge_0eef812dc82546b4e4d6,medium,wikilarge_0eef812dc82546b4e4d6:2,album,overlap,True,overlap
wikilarge_0eef812dc82546b4e4d6,medium,wikilarge_0eef812dc82546b4e4d6:10,style,nonoverlap,False,nonoverlap
wikilarge_0eef812dc82546b4e4d6,medium,wikilarge_0eef812dc82546b4e4d6:12,called,nonoverlap,False,nonoverlap
wikilarge_0f992fe5f1b062595c44,low,wikilarge_0f992fe5f1b062595c44:4,almost,nonoverlap,False,nonoverlap
wikilarge_0f992fe5f1b062595c44,low,wikilarge_0f992fe5f1b062595c44:5,died,nonoverlap,False,nonoverlap
wikilarge_0f992fe5f1b062595c44,low,wikilarge_0f992fe5f1b062595c44:6,arizona,overlap,True,overlap
wikilarge_0ff24416ed53bb86efce,high,wikilarge_0ff24416ed53bb86efce:0,most,nonoverlap,False,nonoverlap
wikilarge_0ff24416ed53bb86efce,high,wikilarge_0ff24416ed53bb86efce:1,deep,overlap,True,overlap
wikilarge_0ff24416ed53bb86efce,high,wikilarge_0ff24416ed53bb86efce:5,use,nonoverlap,False,nonoverlap
wikilarge_0ff355e34a227550ac8b,low,wikilarge_0ff355e34a227550ac8b:1,eat,nonoverlap,False,nonoverlap
wikilarge_0ff355e34a227550ac8b,low,wikilarge_0ff355e34a227550ac8b:2,fruit,overlap,True,overlap
wikilarge_0ff355e34a227550ac8b,low,wikilarge_0ff355e34a227550ac8b:3,kinds,nonoverlap,False,nonoverlap
wikilarge_107fd243dc111d585a86,low,wikilarge_107fd243dc111d585a86:0,after,nonoverlap,False,nonoverlap
wikilarge_107fd243dc111d585a86,low,wikilarge_107fd243dc111d585a86:2,fur,overlap,True,overlap
wikilarge_107fd243dc111d585a86,low,wikilarge_107fd243dc111d585a86:4,sometimes,nonoverlap,False,nonoverlap
wikilarge_116fea7709be70b164c4,low,wikilarge_116fea7709be70b164c4:0,french,overlap,True,overlap
wikilarge_116fea7709be70b164c4,low,wikilarge_116fea7709be70b164c4:3,crashed,nonoverlap,False,nonoverlap
